sector_tab_order,cluster,priority_score,company,domain,hq_country,subsector,sells (what & to whom),employees_est,"valuation (date, round)",crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
1,AI,40,Blitzy,blitzy.com,USA,AI Agents & Apps,AI coding tool for enterprise teams that reverse-engineers existing codebases to accelerate development,~100 (est),"$1.4B, May 2026, Series A/B led by Northzone",May 2026 (also appears in an April 2026 list at same terms - possible reporting lag),"May 2026, $200M Series A, lead: Northzone Ventures",revenue unproven,none known,Enterprise dev-tools brand seeking mainstream visibility outside its technical buyer base,revenue unproven
1,AI,40,Exa,exa.ai,USA,AI Agents & Apps,Search/retrieval API ('web engine') purpose-built for AI agents to search and research the web,~90 (est),"$1.95B-$2.2B (reported inconsistently across sources), May 2026",May 2026,"May 2026, $250M Series C, lead: Andreessen Horowitz",revenue unproven (ARR not publicly disclosed),none known,Infrastructure layer under many agent products; fast-growing developer brand looking for consumer-facing visibility beyond its API niche,revenue unproven
1,AI,40,Factory,factory.ai (est),USA,AI Agents & Apps,Autonomous coding agents ('droids') for enterprise software development - self-improving software platform,~140 (est),"$1.5B, Apr 2026, Series C led by Khosla Ventures",April 2026,"Apr 2026, $150M Series C, lead: Khosla Ventures",revenue unproven (enterprise ARR not disclosed),none known,Engineering-automation story pairs well with an F1 team's own software/engineering-performance narrative,revenue unproven
1,AI,40,Recursive Intelligence,recursiveintel.ai (est) - note: distinct company from 'Recursive Superintelligence' (UK research lab) despite similar naming,USA,AI Infrastructure,AI-powered chip design startup (uses AI to accelerate semiconductor design),"~50 (est) - borderline sub-51, flagged (valuation $4B clears the $2B bar)","$4B, Jan 2026, Series A led by Lightspeed Venture Partners & Sequoia Capital",January 2026,"Jan 2026, $300M Series A, lead: Lightspeed Venture Partners, Sequoia Capital",revenue unproven,none known,AI-for-chip-design pairs with F1's engineering/simulation brand identity; verify against similarly-named 'Recursive Superintelligence' before outreach to avoid mix-ups,revenue unproven
1,AI,37,Fundamental,fundamental.ai (est),USA,Foundation Models & AI Labs,AI foundational models specialized for dataset analysis,"~55 (est) - sub-51 risk, flagged","$1.4B, Feb 2026, Series A led by Oak HC/FT",February 2026,"Feb 2026, $255M Series A, lead: Oak HC/FT",revenue unproven,none known,Data-analysis-model story pairs with performance-data-driven sponsorship pitches,revenue unproven
1,AI,37,webAI,webai.com,USA,Foundation Models & AI Labs,"Builds and deploys private, on-device enterprise AI models (no cloud dependency)",~120 (est),"$2.5B, Jan 2026, Series A",January 2026,"Jan 2026, Series A, amount undisclosed",revenue unproven,none known,"Edge/private-AI-for-enterprise story could tie into trackside/low-latency, data-sovereignty use cases",revenue unproven
1,AI,34,Assort Health,assorthealth.com (est),USA,AI Agents & Apps,"AI agents that automate patient-journey tasks (scheduling, intake, triage) for health systems",~100 (est),"$1.2B, Jun 2026, Series C led by Menlo Ventures",June 2026,"Jun 2026, $120M Series C, lead: Menlo Ventures",revenue unproven,none known,Healthcare-AI unicorn; less obvious F1 fit but strong enterprise cash position for a smaller sponsorship tier,revenue unproven
1,AI,34,Omni Analytics,omnianalytics.ai (est),USA,AI Agents & Apps,AI-powered business-intelligence platform for enterprise data analysis,~130 (est),"$1.51B, Apr 2026, Series C led by ICONIQ Growth",April 2026,"Apr 2026, $120M Series C, lead: ICONIQ Growth",revenue unproven,none known,BI/analytics-for-decisions positioning maps naturally onto race-strategy and data-driven performance messaging,revenue unproven
1,AI,34,Parallel,parallel.ai (est),USA,AI Agents & Apps,Search engine built specifically for AI agents (founded by ex-Twitter CEO Parag Agrawal),~70 (est),"$2B, Apr 2026, Series B led by Sequoia",April 2026,"Apr 2026, $100M Series B, lead: Sequoia Capital",revenue unproven,none known,High-profile founder plus Sequoia backing gives a strong media hook for a tech-partnership announcement,revenue unproven
1,AI,34,Vi Labs,vilabs.ai (est),USA,AI Agents & Apps,AI platform for health service organizations,~100 (est),"$1.64B, May 2026, Series B led by RevelStoke Capital Partners & Pritzker Organization",May 2026,"May 2026, $145M Series B, lead: RevelStoke Capital Partners, The Pritzker Organization",revenue unproven,none known,"Healthcare-AI unicorn; narrower fit, best as a smaller-tier partner",revenue unproven
1,AI,33,FangQing Technology,"(est, no confirmed public domain)",China,AI Infrastructure,AI inference chip startup; first chips planned to ship Q4 2026,~80 (est),"$1.5B, Aug 2026, Series A led by Xuhui Venture Capital & Zhuhai Science and Technology Industry Group",August 2026,"Aug 2026, Series A, lead: Xuhui Venture Capital, Zhuhai Science and Technology Industry Group",revenue unproven; product not yet shipping (planned Q4 2026),unclear - China AI-chip startup with state-linked investors (Zhuhai government-affiliated fund); screen carefully for export-control/Entity List exposure before any outreach,High execution and compliance risk; only pursue after clearing sanctions/export-control screening - flagged as low-confidence pick,revenue unproven; f1-risk note
1,AI,31,Applied Compute,appliedcompute.ai (est),USA,Foundation Models & AI Labs,Trains custom AI models/software for enterprises on their own proprietary data,"~55 (est) - sub-51 risk, flagged","$1.3B, Apr 2026, Series A+ led by Kleiner Perkins",April 2026,"Apr 2026, $80M Series A+, lead: Kleiner Perkins",revenue unproven,none known,Custom-model-for-data story could map to F1 telemetry/performance data use cases,revenue unproven
1,AI,31,Avoca,avoca.ai (est),USA,AI Agents & Apps,AI agents that automate customer-support tasks end to end,~65 (est),"$1B, Apr 2026, Series B led by General Catalyst & Meritech Capital Partners",April 2026,"Apr 2026, $125M Series B, lead: General Catalyst, Meritech Capital Partners",revenue unproven,none known,Consumer-facing CX brand at fresh $1B mark; global support-automation story fits a broad sponsorship pitch,revenue unproven
1,AI,31,Collate,collate.com (est - possible name collision with an unrelated data-catalog company of the same name; verify before outreach),USA,AI Agents & Apps,AI document-automation platform for life-sciences companies,~75 (est),"$1B, Jun 2026, round led by Redpoint Ventures",June 2026,"Jun 2026, $95M round, lead: Redpoint Ventures",revenue unproven,none known,"Life-sciences-AI unicorn; narrower fit, best as a smaller-tier or regional partner",revenue unproven
1,AI,31,Redo,redo.ai (est),USA,AI Agents & Apps,"AI-powered automation for e-commerce operations (returns, listings, customer ops)",~70 (est),"$1B+, Jun 2026, Series B led by Smash Capital",June 2026,"Jun 2026, $81M Series B, lead: Smash Capital",revenue unproven,none known,Fresh e-commerce-AI unicorn looking for consumer-brand visibility,revenue unproven
1,AI,26,Unconventional AI,unconventional.ai (est),USA,AI Infrastructure,Building an energy-efficient computer/hardware platform purpose-built for AI workloads,"~50 (est) - borderline sub-51, flagged (valuation $4.5B clears the $2B bar)","$4.5B, 2026 (est - exact date unconfirmed)",2026 (est),"2026 (est), amount undisclosed",revenue unproven (pre-commercial hardware),none known,Founded by ex-Databricks head of AI Naveen Rao; energy-efficient-compute angle maps to F1's sustainability/efficiency messaging,revenue unproven; valuation provisional
2,Energy & Climate,73,Kraken Technologies,kraken.tech,United Kingdom,Batteries & Grid,"SaaS 'operating system' for utilities worldwide - billing, grid flexibility, virtual power plant orchestration, and customer platform, licensed to energy retailers/utilities globally",500+ (est),$8.65B,"Dec 2025/Jan 2026 (formal spin-out from Octopus Energy Group with independent $1B equity stake sale, ahead of planned standalone separation mid-2026)","Stake sale ($1B equity sold to D1 Capital, Fidelity International, Durable Capital, Ontario Teachers')","Real revenue - contracted annual revenue exceeded $500M, grown 4x in three years",none known - distinct newly independent entity from parent Octopus Energy (already in database); no F1 ties found,Grid/utility software 'operating system' narrative is a strong climate-software fit for F1 Net Zero 2030 and grid-decarbonization technical-partner positioning; large confirmed revenue de-risks the sponsorship case.,
2,Energy & Climate,60,Fuse Energy,fuse.energy,United Kingdom,Batteries & Grid,"Vertically integrated clean energy company - owns renewable generation (solar/wind), supplies household electricity and gas, EV charging, and energy trading",150-300 (est),"$5B (Dec 2025), crossed $1B in July 2025",July 2025,July 2025 raise (Lowercarbon/Balderton) at ~$1B; $70M round Dec 2025 at $5B,Real revenue - ARR grew from ~$100M to ~$300M within months in 2025; ~7x YoY revenue growth reported Q3 2025,none known,Fast-growing UK clean-energy retailer/generator; strong consumer brand and UK base fit F1's British teams and a household-facing sustainable-energy sponsorship story.,
2,Energy & Climate,49,CMBlu Energy,cmblu.com,Germany,Batteries & Grid,"Organic SolidFlow long-duration flow batteries (non-lithium) for utility, grid operator, data center and industrial storage",~250,€1B+ (~$1.1B),"April 30, 2026",Growth round (undisclosed size); commercial scale-up backed by Uniper 5 GWh framework agreement,"Real revenue - approaching $100M revenue range; operational 1 GWh gigafactory in Alzenau, Germany",none known,"Germany's first non-lithium battery unicorn; long-duration storage story fits F1 Net Zero 2030 grid-decarbonization and factory/paddock energy-storage sponsorship angles, especially for German-market partners.",
2,Energy & Climate,43,General Matter,generalmatter.com,USA,Fusion & Nuclear,Domestic HALEU/LEU uranium enrichment technology and fuel production for advanced/next-gen nuclear reactors,51-150 (est),"~$2B pre-money (reported, March 2026) - round not publicly confirmed as closed","Reported March 2026 (unconfirmed - flagged: raise was described as 'in progress' in reporting, no official close announcement found)","Reported Series B, ~$500M target (unconfirmed close); prior confirmed Series A was $50M (April 2025, led by Founders Fund)","revenue unproven commercially, but holds a $900M U.S. DOE contract for HALEU enrichment capacity",none known,Nuclear fuel security ties into the broader next-gen nuclear/clean firm power sponsorship narrative; include with caution given unconfirmed equity round close.,revenue unproven; valuation provisional
2,Energy & Climate,40,ENN Fusion,enn.cn,China,Fusion & Nuclear,Proton-boron (hydrogen-boron) fusion reactor technology; developing the Helong-2 spherical-torus demonstrator,100-200 (est),RMB 10.6B (~US$1.47B),H1 2026 (Pre-A round),"Pre-A, ~$300M raised, led by Loongson Venture Capital, CAS Star, Matrix Partners China",revenue unproven - subsidiary is pre-commercial fusion R&D; parent ENN Group is a large private clean-energy conglomerate with substantial independent revenue,"none known - privately held (ENN Group), not state-owned; no F1 ties found",Highest-valued private fusion company in China; fits a China-market clean-energy sponsorship or technical-partner narrative tied to F1's sustainable-fuel era and growing China GP profile.,revenue unproven
2,Energy & Climate,40,Rondo Energy,rondo.com,USA,Batteries & Grid,Electrified Thermal Energy Storage (industrial heat batteries) converting intermittent renewable power into continuous industrial heat and power,51-200 (est),~$1.6B (est) - reported via secondary-market pricing; no officially announced Series C confirming this figure,~mid-2026 (unconfirmed/est - flagged: valuation not corroborated by an official funding announcement),Reported Series C (unannounced/unconfirmed); prior confirmed rounds include an oversubscribed $75M Series A at $500M valuation,"revenue unproven in public disclosures, though has live commercial deployments (first large thermal battery operating at a California oil field)",none known,Industrial heat decarbonization is a growing F1 supply-chain/manufacturing sustainability theme (factory decarbonization under Net Zero 2030); include with caution given unconfirmed valuation.,revenue unproven; valuation provisional
2,Energy & Climate,37,Osapiens,osapiens.com,Germany,Climate & Carbon,"SaaS platform for ESG, supply-chain due-diligence and carbon/emissions compliance (CSRD, CSDDD, EUDR reporting)",500+ (est),$1.1B+,January 2026,"Series C, $100M, led by Decarbonization Partners",Real revenue - enterprise SaaS with a large paying customer base across European supply-chain compliance (specific ARR undisclosed),none known,Climate/ESG compliance software fits F1 team and sponsor supply-chain decarbonization reporting needs under Net Zero 2030; strong enterprise revenue and European base support a credible technical/software-partner pitch.,
2,Energy & Climate,24,Pacific Fusion,pacificfusion.com,USA,Fusion & Nuclear,Magneto-inertial (pulsed-power) fusion energy systems targeting net facility gain and eventual commercial fusion power plants,150-300 (est),"$1B+ (milestone-based Series A, growing beyond initial $900M tranche)","2025 (Series A closed 2024-2025, valuation confirmed crossing $1B through 2025 milestone tranches; $1B manufacturing campus announced Sept 2025)",Series A (milestone-based structure),"revenue unproven - pre-commercial R&D stage, no product revenue","none known - no sponsorship, ownership, or personnel ties to F1 identified",Fusion is the flagship 'ultimate clean power' story for F1 Net Zero 2030 messaging; strong US hardware-tech narrative for team title/technical partners seeking a moonshot clean-energy association.,revenue unproven
3,"Defense, Space & Robotics",43,TARS,tars-robotics.com (est),China,Robotics & Drones,Humanoid robotics platform,100 (est),$1.9B,April 2026,$513M seed round,Revenue unproven - seed-stage despite unusually large round size,"medium - China-based, geopolitical/export-control brand-safety review needed",Commercial humanoid-robotics company (not identified as military-linked or sanctioned); still recommend standard China-market brand-safety and export-control diligence before outreach.,revenue unproven; f1-risk note
3,"Defense, Space & Robotics",38,Cowboy Space,cowboy.space (est),USA,Space,Rockets and orbital infrastructure to deploy data centers and compute capacity in space,110 (est),$2B,May 2026,$305M Series B,"Revenue unproven - pre-revenue infrastructure build-out, valuation based on data-center-in-space thesis",low,Frontier space-infrastructure story (orbital compute) fits an innovation-forward sponsorship narrative with no defense sensitivity.,revenue unproven; f1-risk note
3,"Defense, Space & Robotics",35,GigaAI,gigaai.com (est),China,Robotics & Drones,Hardware and software for robotic systems trained on synthetic data,100 (est),$1.5B,April 2026,$220M Series B,"Revenue unproven - synthetic-data/simulation model, early commercial traction","medium - China-based, standard geopolitical brand-safety review needed","Commercial robotics-data infrastructure company; no indication of military ties, but recommend China-market brand-safety diligence.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",35,Harmattan AI,harmattan.ai,France,Defense Tech,AI-guided loitering munitions and autonomous strike systems for European militaries,120 (est),$1.4B,2026,$200M Series B led by Dassault Aviation,Backed by Dassault Aviation as strategic/commercial partner; government contract pipeline implied but not independently disclosed - revenue partially unproven,"high - weapons manufacturer, strong brand-safety concern","Defense brand-safety note: this is a munitions maker; any association should be framed only at the sovereign-technology/European-defense-autonomy mission level, if pursued at all - high scrutiny recommended before outreach.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",35,Nio GeniTech,"nio.com (subsidiary, est)",China,Deep-Tech Hardware,"Custom autonomous-driving and automotive semiconductor chips, spun out of automaker NIO",180 (est),$1.5B,February 2026,$330M Series A,Revenue tied to parent NIO's vehicle production volumes; standalone figures not disclosed,"medium-high - China-based automotive-chip spinout, closer scrutiny warranted given auto-industry/EV competitive overlap with F1 ecosystem and China semiconductor policy sensitivity","Automotive-chip innovation story, but recommend deeper diligence given ties to a car manufacturer (competitive overlap risk with existing F1 automotive sponsors) and China semiconductor export-control sensitivity.",f1-risk note
3,"Defense, Space & Robotics",35,Skyryse,skyryse.com,USA,Space,Universal autonomous flight-control system retrofitted onto aircraft to simplify and automate piloting,250 (est),$1.1-1.2B,February 2026,$300M Series C,Commercial retrofit and OEM partnership contracts cited; full revenue figures not disclosed,low,"Aviation-safety and automation innovation angle, largely civilian-facing (not weapons); good general aerospace-tech sponsorship fit.",f1-risk note
3,"Defense, Space & Robotics",32,Revel,revel.dev (est),USA,Robotics & Drones,"Testing, localization and fleet-control software/hardware infrastructure layer for aerospace, defense and industrial robotics",80 (est),$1B,February 2026,$150M Series B led by Index Ventures,Revenue unproven publicly; sells to aerospace/defense/robotics OEMs as infrastructure layer,low-medium - some defense-adjacent customer base,"Positioned as testing/infrastructure enabler rather than an end weapons system, giving it a lower-sensitivity B2B deep-tech story.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",32,Sudu Technology,sudu-tech.com (est),China,Robotics & Drones,Foundational AI models paired with robotics hardware for manipulation and spatial understanding,120 (est),$2B,April 2026,Series A,Revenue unproven - early-stage foundation-model/hardware company,"medium - China-based, standard geopolitical brand-safety review needed",Physical-AI foundation-model story; valuation crossed $2B threshold supporting inclusion despite early stage; recommend China-market brand-safety diligence.,revenue unproven; f1-risk note
3,"Defense, Space & Robotics",32,Sunday Robotics,sundayrobotics.com (est),USA,Robotics & Drones,"Household humanoid robot (""Memo"") for domestic chores such as laundry and dishwashing",70 (est),$1.15B,February 2026,$165M Series B,Revenue unproven - pre-commercial-launch consumer hardware,low,"Consumer-facing home-robotics story with broad mainstream appeal, no defense or geopolitical sensitivity.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",29,Aalyria,aalyria.com,USA,Space,Network orchestration software and optical/RF hardware for satellite and defense communications networks (spun out of Google),160 (est),$1.3B,February 2026,$100M Series B,Commercial and government satellite-networking contracts cited (including DoD-adjacent programs); figures not fully disclosed,medium - dual-use with defense communications customers,Defense brand-safety note: framing should emphasize satellite-connectivity/networking innovation rather than its government-communications customer base.,f1-risk note
3,"Defense, Space & Robotics",29,Defense Unicorns,defenseunicorns.com,USA,Defense Tech,"Software platform for secure, air-gapped deployment and updating of mission software across military systems (ships, aircraft, submarines, forward bases)",150 (est),$1B+,January 2026,$136M Series B led by Bain Capital Tech Opportunities,Cited 300% YoY revenue growth and profitable operations per Series B announcement,"medium - defense software vendor, brand-safety review needed","Frames around secure software resilience and mission continuity, not weapons; defense brand-safety note: keep sponsorship messaging at the software/infrastructure mission level, avoid battlefield imagery.",f1-risk note
3,"Defense, Space & Robotics",29,Frore Systems,frore.com,USA,Deep-Tech Hardware,Solid-state active cooling chips (AirJet) for semiconductors and AI/data-center hardware,200 (est),$1.64B,March 2026,$143M Series D led by MVP Ventures,Eight-year-old company with commercial shipping products (OEM laptop/device design wins); revenue growing but not fully disclosed,low,"Semiconductor thermal-management hardware supplying the AI/data-center boom - clean, non-defense deep-tech story.",f1-risk note
3,"Defense, Space & Robotics",29,Hermeus,hermeus.com,USA,Defense Tech,Autonomous hypersonic aircraft systems developed for defense and future high-speed flight applications,300 (est),$1B,April 2026,$200-350M Series C,Holds U.S. Air Force/DoD development contracts (Quarterhorse/Darkhorse programs cited publicly); revenue tied to government R&D contracts rather than commercial sales,medium - defense aerospace contractor,Defense brand-safety note: strong engineering/speed-frontier narrative (hypersonic flight) can be framed around aerospace innovation rather than military application specifically.,f1-risk note
3,"Defense, Space & Robotics",29,Performance Drone Works,pdw.aero (est),USA,Robotics & Drones,Small unmanned aerial systems (drones) built for U.S. defense and military end-users,140 (est),$1.2B,March 2026,$110M Series B,Reported existing DoD/military contracts underpinning valuation; specific revenue figure not disclosed,medium-high - defense drone manufacturer,"Defense brand-safety note: pitch would need to center on precision-manufacturing and American industrial-base capability, not weapons use cases.",f1-risk note
3,"Defense, Space & Robotics",29,Tianji,tianji-robotics.com (est),China,Robotics & Drones,Dual-arm industrial and service robots,150 (est),$1.5B,May 2026,$147M Series B,Ten-year-old company with commercial industrial-robotics deployments; revenue not fully disclosed,"medium - China-based, standard geopolitical brand-safety review needed","Established (10-year) industrial-robotics manufacturer, lower hype-risk than newer entrants; recommend China-market brand-safety diligence.",f1-risk note
3,"Defense, Space & Robotics",26,Botshare,botshare.cn (est),China,Robotics & Drones,Robot leasing and rental platform for commercial/industrial robot deployment,65 (est),$1B,May 2026,Series A,"Rental/leasing revenue model implies recurring cash flow, though figures undisclosed","medium - China-based, standard geopolitical brand-safety review needed",Asset-leasing business model gives more tangible revenue signal than pure R&D-stage peers; recommend China-market brand-safety diligence.,f1-risk note
3,"Defense, Space & Robotics",26,Genki Robotics,genkirobotics.com (est),Japan,Robotics & Drones,Humanoid robots addressing public-safety and urban-maintenance tasks,55 (est),$1B,March/April 2026,Series A,Revenue unproven - early pilot deployments with municipal/public-safety partners,low,"Civic-good, public-safety-robotics narrative with strong Japan/Asia-market visibility angle.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",26,Heven AeroTech,hevenaerotech.com (est),USA,Robotics & Drones,Hydrogen-powered unmanned aerial systems (long-endurance drones) for commercial and government use,90 (est),$1B,2026,$100M Series B,Revenue unproven publicly; positioned around hydrogen-propulsion endurance advantage rather than disclosed sales,"low-medium - dual-use hydrogen aviation, not primarily a weapons company",Clean-propulsion/aerospace-innovation story (hydrogen UAS) gives a sustainability-adjacent angle distinct from pure defense messaging; still confirm government end-use mix before outreach.,revenue unproven; f1-risk note
3,"Defense, Space & Robotics",26,Lightwheel,lightwheel.ai (est),USA,Robotics & Drones,Robotics simulation platform and synthetic-data generation for training robot manipulation and navigation,60 (est),$1B,March 2026,$146M Series A,Revenue unproven - early-stage simulation/data platform monetized via enterprise robotics customers,low,"Simulation/synthetic-data infrastructure for robotics, a picks-and-shovels story with no defense or brand-safety concerns.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",26,PaXini Tech,paxini.com (est),China,Robotics & Drones,"Tactile sensor technology (robotic ""skin"") enabling fine manipulation for humanoid and industrial robots",90 (est),$1.5B,March 2026,$145M Series B,Revenue unproven publicly - component supplier to multiple robotics OEMs,"medium - China-based, standard geopolitical brand-safety review needed",Component-level deep-tech (tactile sensing) story with cross-industry robotics applications; recommend China-market brand-safety diligence.,revenue unproven; f1-risk note
3,"Defense, Space & Robotics",26,UForce,uforce.co (est),United Kingdom,Defense Tech,"Land, sea and aerial unmanned defense systems, founded by Ukrainians for Ukraine's defense needs",80 (est),$1B+,March 2026,$50M seed round,Revenue unproven - very early seed-stage; valuation driven by wartime demand signal rather than disclosed sales,high - wartime/combat-adjacent branding risk,"Defense brand-safety note: first UK/Ukraine defense-tech unicorn; framing should stay at national-resilience/engineering-innovation level, not combat use - treat as low priority for direct sponsorship given active-conflict association.",revenue unproven; f1-risk note
3,"Defense, Space & Robotics",26,ZaiNar,zainar.com,USA,Deep-Tech Hardware,Spatial-awareness hardware/chipsets turning 5G and Wi-Fi signals into precise location data for physical-AI and robotics,65 (est),$1B,February 2026,$100M Series B,Nine-year-old company with existing enterprise/industrial customers; revenue not fully disclosed,low,"Foundational wireless-positioning hardware story (physical AI enabler), broadly applicable and low sensitivity.",f1-risk note
3,"Defense, Space & Robotics",19,Gilmour Space Technologies,gspacetech.com,Australia,Space,Orbital launch vehicles (Eris rocket) for satellite deployment,230 (est),$1.0-1.2B,2025,Late-stage private round,Signed satellite-launch customer contracts; still pre-commercial-launch revenue at scale,low,"Australia's first orbital launch company - strong national-champion, engineering-excellence narrative with no defense sensitivity.",f1-risk note
3,"Defense, Space & Robotics",19,Synspective,synspective.com,Japan,Space,Synthetic Aperture Radar (SAR) small-satellite constellation and geospatial data/analytics services,260 (est),$1.2B,2025,Late-stage private round,Commercial and government geospatial-data subscription revenue disclosed in funding rounds,low-medium - some government/security customers for SAR imagery,"Earth-observation/data-analytics framing (disaster response, infrastructure monitoring) keeps messaging civilian-facing.",f1-risk note
