#,company,domain,hq_country,sector,subsector,employees_est,funding_total,why_f1
11,Pipe,pipe.com,USA,B2B Spend & Corporate Cards,Embedded Financing / Working Capital,~425,"$316M total, Series C $250M (2021)","Embedded capital-as-a-service provider partnering with software platforms to offer financing at checkout; F1's platform-and-partner-driven sponsorship ecosystem mirrors Pipe's own embedded-partnership go-to-market, making a team or paddock partnership a natural marketing story."
12,Rho,rho.co,USA,B2B Spend & Corporate Cards,Corporate Banking & Spend Management,~333,"~$205M total, latest Series C $75M (2024)","New York-based all-in-one banking/spend platform for startups, competing with Mercury/Brex/Ramp; sponsoring F1 (or a team activation) would be a high-visibility way for a challenger brand like Rho to differentiate against larger, better-funded rivals already dominating digital ad channels."
13,Soldo,soldo.com,UK/Italy,B2B Spend & Corporate Cards,Corporate Cards & Spend Management,~400,"~$225M total, latest Series C $180M (2021)","Italian-founded, London-headquartered spend management platform with deep roots in Milan (home of Monza GP) and broad European enterprise base; Soldo's brand has previously leaned into premium European lifestyle marketing, making F1 a natural extension given Italy's motorsport heritage."
14,Spendesk,spendesk.com,France,B2B Spend & Corporate Cards,Corporate Cards & Spend Management,300-330,"$311.1M total, latest Series C $114M (2022)","Category-defining French spend management scale-up ($1B+ valuation) with strong pan-European enterprise ambitions; F1's growing France/Europe fanbase and finance-team decision-maker audience aligns with Spendesk's ICP; comparable fintechs (Airwallex, Revolut) already race-sponsor, giving Spendesk a competitive marketing rationale."
15,Uncapped,weareuncapped.com,UK,B2B Spend & Corporate Cards,Revenue-Based Financing / Working Capital,~80,"$100-250M+ (equity plus institutional debt facilities, incl. large funding facilities secured 2021)","London-based working capital provider for e-commerce and subscription brands, expanding into the US; F1's British Grand Prix home-market prestige plus growing US e-commerce sponsor base fits Uncapped's transatlantic growth strategy."
16,Wayflyer,wayflyer.com,Ireland,B2B Spend & Corporate Cards,Revenue-Based Financing / Working Capital,400-440,"$300M+ equity plus large debt facilities (>$2B deployed), major rounds 2021-2022","Dublin-based working capital unicorn for e-commerce brands with US, UK and Australian offices; F1's growth in the US (Austin, Miami, Las Vegas) and among DTC/e-commerce sponsors mirrors Wayflyer's core customer base, offering a credible sponsorship narrative."
17,Bilt Rewards,biltrewards.com,United States,Consumer Fintech & Neobanks,Credit Builder / Rewards,266,"$958M total across 5 rounds; latest Series B $250M, Jul 2025","Rapidly scaling rewards/credit platform ($10.8B valuation) with a lifestyle-brand positioning (travel, dining, live events) that fits F1's experiential sponsorship model."
18,Chipper Cash,chippercash.com,United States,Consumer Fintech & Neobanks,Remittance / Neobank,243,"$305M total; Series C $250M, 2021","Pan-African cross-border payments app with a young, mobile-first user base; F1's push into African markets and diaspora fan communities creates a natural sponsorship story."
19,CoinSwitch,coinswitch.co,India,Consumer Fintech & Neobanks,Consumer Crypto Exchange,420,"$260M total; Series C, 2021-22",India's largest crypto platform (25M+ registered users) seeking mainstream trust-building; F1's Indian fan growth and lack of a current India-based crypto sponsor make this a strong regional fit.
20,Current,current.com,United States,Consumer Fintech & Neobanks,Neobank,485,"$402M total; Series D $220M, 2021",Challenger bank for everyday Americans with strong Gen Z/millennial penetration; growth-stage budget and brand-building need align with F1's expanding US fan base.
21,Curve,curve.com,United Kingdom,Consumer Fintech & Neobanks,Card Aggregation / Neobank,257,"~$250M equity + $1B Credit Suisse debt facility, 2023",UK-based 'operating system for money' card platform with strong European and MENA expansion ambitions; F1's UK roots and global calendar suit its multi-market growth strategy.
22,Klar,klar.mx,Mexico,Consumer Fintech & Neobanks,Neobank / Credit,362,~$355M total (equity + debt facilities); latest debt raise 2023,Leading Mexican digital bank (7M+ users) positioned as a mainstream consumer brand; F1's Mexico City Grand Prix and growing LatAm fanbase offer a natural regional activation.
23,M1 Finance,m1.com,United States,Consumer Fintech & Neobanks,Consumer Investing / Neobank,236,"~$323M total; Series E $150M, 2021","'Finance super app' combining investing, borrowing and spending for self-directed investors; needs premium brand credibility to compete with larger robo/neobank rivals."
24,MoneyLion,moneylion.com,United States,Consumer Fintech & Neobanks,Neobank / Consumer Investing,488,"~$300M+ pre-IPO equity plus 2021 public listing (NYSE, via SPAC)",NYSE-listed consumer finance super app (part of Gen Digital family) with an embedded-finance media arm; scale and public-company marketing budget support a marquee sponsorship.
25,MoonPay,moonpay.com,United States,Consumer Fintech & Neobanks,Consumer Crypto Wallet/Payments,438,"$757M total; latest $200M debt facility, Mar 2025","Consumer crypto on/off-ramp already active in celebrity/entertainment sponsorships; global, affluent, tech-forward user base matches F1's international fanbase and premium partner activations."
26,Phantom,phantom.com,United States,Consumer Fintech & Neobanks,Consumer Crypto Wallet,386,"~$250M total; Series C, early 2025","Fast-growing multi-chain consumer crypto wallet expanding into trading/predictions; targets a young, digitally-native demographic that closely tracks F1's fastest-growing fan segment."
27,Scalapay,scalapay.com,Italy,Consumer Fintech & Neobanks,BNPL,257,~$700M total (equity + debt facilities); Series B 2021,"Southern European BNPL leader spanning fashion/luxury/travel verticals; Italy's F1 heritage (Monza, Imola) and Scalapay's brand-positioning make a strong regional/lifestyle fit."
28,Sezzle,sezzle.com,United States,Consumer Fintech & Neobanks,BNPL,443,"$250M+ total including post-IPO capital raises, 2024",Nasdaq-listed BNPL challenger focused on financial empowerment for younger consumers; growing profitably and looking for premium brand marketing to stand apart from Affirm/Klarna.
29,Step,step.com,United States,Consumer Fintech & Neobanks,Teen Banking / Credit Builder,284,$500M total (equity + debt); most recent debt raise 2023,Gen Z-focused banking and credit-builder app newly backed by MrBeast's massive youth audience (acquired Feb 2026); direct overlap with F1's fastest-growing younger fan demographic.
30,Tandem Bank,tandem.co.uk,United Kingdom,Consumer Fintech & Neobanks,Digital Bank,417,~$270M+ total across multiple rounds through 2021,"UK challenger bank with a sustainability-led consumer brand; a UK-based, well-capitalized fintech looking to build broader consumer recognition beyond savings/lending niches."
31,Varo Bank,varobank.com,United States,Consumer Fintech & Neobanks,Neobank,430,"$1.12B total across 8 rounds; latest Series G $124M, Jan 2025","First all-digital nationally chartered US bank; young, mobile-first user base overlaps heavily with F1's US growth audience; well-funded enough for a marquee sponsorship push to build brand trust."
32,Wealthfront,wealthfront.com,United States,Consumer Fintech & Neobanks,Consumer Investing / Savings,450,~$205M total; last major round 2018,"Established robo-advisor/investing app for young professionals seeking premium, aspirational brand associations ahead of a potential IPO — F1's affluent audience is an efficient reach channel."
33,WeLab,welab.co,Hong Kong SAR,Consumer Fintech & Neobanks,Digital Bank / Consumer Lending,205,"~$700M total (incl. Series B $220M 2016, Series C $156M 2019 and digital-bank capital)","Pan-Asian digital bank operating WeLab Bank (HK), WeLend and Bank Saqu (Indonesia); backed by Allianz and CCB International, giving it both scale and appetite for a premium APAC sponsorship."
34,Zilch,zilch.com,United Kingdom,Consumer Fintech & Neobanks,BNPL,315,"~$460M total (equity + debt); Series C $125M, 2023","UK BNPL challenger with ad-funded, direct-to-consumer model; needs premium global brand halo that F1 sponsorship provides to differentiate from larger BNPL rivals."
35,Alloy,alloy.com,US,Cybersecurity,Identity Risk / Fraud Prevention (Fintech Identity Decisioning),300,"$211M total; Series C (extended) $152M, 2021-2022","Unicorn-valued ($1.55B) identity-risk decisioning platform for banks and fintechs, well past the funding threshold with a headcount that keeps sponsorship spend efficient."
36,Beyond Identity,beyondidentity.com,US,Cybersecurity,Identity (Passwordless Authentication),142,"$205M total; Series C $100M, Feb 2022","Passwordless-authentication pioneer with over $200M raised and a lean, capital-efficient team — a good fit for a targeted identity-security sponsorship."
37,BigID,bigid.com,US,Cybersecurity,Data Security (DSPM / Privacy),110,"$367M total; Series E $60-70M, Mar 2024","Extremely capital-efficient DSPM/data-intelligence leader ($1.25B valuation) with a small, high-leverage team — a textbook case for a scale-up sponsor seeking outsized exposure per employee."
38,Contrast Security,contrastsecurity.com,US,Cybersecurity,Application Security (IAST / RASP),300,"$269M total; Series E $150M, Nov 2021","Mature, well-capitalized app-security leader (Warburg Pincus, Battery backed) with an efficient headcount, suited to a targeted sponsorship for enterprise dev/security buyers."
39,Corelight,corelight.com,US,Cybersecurity,Network Detection & Response (NDR),479,"$309M total; Series E $150M, Apr 2024","Open-source-rooted (Zeek) NDR leader with strong government/enterprise traction and funding well above threshold, at the top edge of the target headcount band."
40,Coro,coro.net,US,Cybersecurity,SecOps (SMB/Mid-Market Cybersecurity Platform),350,"$275M total; Series D $100M, Mar 2024","Fast-growing modular cybersecurity platform for the underserved SMB/mid-market segment, well capitalized and still in growth mode — good story arc for a sponsorship."
41,Cyberhaven,cyberhaven.com,US,Cybersecurity,Data Security / Insider Risk (DLP),300,"$236M total; Series D $100M, Apr 2025","Well-funded, AI-era data-protection scale-up (backed by Khosla, Redpoint) squarely in the 50-500 band with a growing enterprise logo base for brand association."
42,Deep Instinct,deepinstinct.com,US,Cybersecurity,AI Security (Deep Learning Malware Prevention),220,"$322M total; Series E $62M, 2024","Israeli-founded, deep-learning-native prevention company with over $300M raised and a compact team, well positioned to use F1 for global enterprise brand-building."
43,Dream Security,dreamsecurity.com,Israel,Cybersecurity,OT / Critical Infrastructure Cybersecurity,350,"$415M total; round $260M, Jun 2026 ($3B valuation)","One of the fastest-scaling critical-infrastructure security startups ever (founded 2022-23), backed by marquee investors, with a headcount still well under 500 despite huge capital."
44,Horizon3.ai,horizon3.ai,US,Cybersecurity,SecOps (Autonomous Penetration Testing / Exposure Validation),435,"$428M total; Series E $250M, Aug 2026 ($2B+ valuation)",AI-native offensive-security company that tripled its valuation in a year on the back of a $250M round — a fast-rising challenger brand well suited to a high-visibility sponsorship.
45,Kandji,kandji.io,US,Cybersecurity,Endpoint / Device Security (Apple Device Management & Security),315,"$289M total; Series D $100M, Jul 2024",Well-funded Apple-device security/management platform ($850M valuation) with enterprise customers and headroom in headcount to grow into a marketing partnership.
46,Kiteworks,kiteworks.com,US,Cybersecurity,Data Security (Secure Content / File Sharing),361,"$650M total; growth round $456M, Aug 2024","Massively capitalized private-content-network security vendor serving regulated industries globally, with funding well above the threshold and a lean operating team."
47,Menlo Security,menlosecurity.com,US,Cybersecurity,Browser Security (Isolation),483,"$251M total; Series E $100M, 2021 (Vista Equity Partners)","Established browser-isolation pioneer with blue-chip investors and enterprise scale, sitting right at the top of the target headcount band with meaningful brand budget."
48,Orca Security,orca.security,US,Cybersecurity,Cloud Security (CSPM / CNAPP),360,"$640M total; Series E $550M, 2024","Heavily capitalized ($1.8B valuation) agentless cloud security unicorn with global enterprise reach and a lean headcount relative to its funding, ideal for a marquee sponsorship."
49,Prove Identity,prove.com,US,Cybersecurity,Identity Verification / Phone-Centric Authentication,435,"$268M total; round $40-44M, 2023","Deeply capitalized phone-based identity platform serving major banks and telcos, with headcount still inside the target band for efficient sponsorship economics."
50,Salt Security,salt.security,US,Cybersecurity,API Security,200,"$280M total; Series D $140M, Feb 2022",Category-defining API security unicorn ($1.4B valuation) with strong VC backing (CapitalG) and a headcount that keeps marketing spend efficient.
51,Socure,socure.com,US,Cybersecurity,Identity Verification / Fraud Prevention,459,"$744M total; Series E $450M, Nov 2021",One of the best-funded identity-verification companies globally ($4.5B valuation) with consumer-facing brand ambitions that align well with F1's global audience.
52,Transmit Security,transmitsecurity.com,US,Cybersecurity,Identity (CIAM / Passwordless),317,"$543M total; Series A $543M, 2021","One of the largest single funding rounds in cybersecurity history ($2.2B valuation) with a comparatively lean team, giving major sponsorship budget headroom."
53,Trulioo,trulioo.com,Canada,Cybersecurity,Identity Verification,367,"$477M total; Series D $394M, Jun 2021","Global identity-verification unicorn ($1.75B valuation) headquartered in Canada, offering geographic diversity and strong brand budget for a global sponsorship platform like F1."
54,Upwind Security,upwind.io,US,Cybersecurity,Cloud Security (CNAPP / Runtime Security),300,"$430M total; Series B $250M, Jan 2026","Fast-scaling, capital-rich runtime cloud security unicorn (Bessemer/Salesforce Ventures backed) still in the 50-500 lean-team band, giving strong per-dollar brand visibility for a category sponsor slot."
55,Aiven,aiven.io,Finland,Data & AI Platforms,"Managed open-source data platform (databases, Kafka streaming)",469,"$210M total (Series D, 2022)","European-HQ'd, globally distributed data infrastructure company (9 countries) that matches F1's global-calendar footprint; well-funded scale-up seeking premium international brand exposure beyond its home market."
56,Astronomer,astronomer.io,United States,Data & AI Platforms,Data orchestration platform (managed Apache Airflow),350,"~$300M+ total (Series D, 2022)",Orchestrates the mission-critical data pipelines behind 900+ enterprises' AI and analytics workloads — a fitting behind-the-scenes 'keeps everything running on schedule' partner narrative for race operations.
57,Domino Data Lab,domino.ai,United States,Data & AI Platforms,MLOps / enterprise AI model governance platform,267,"$233M total (Series F, 2022)","Backed by Nvidia and Snowflake; enterprise AI governance platform used by regulated industries (pharma, finance) that overlap heavily with F1's existing sponsor categories, offering a credible new-logo sponsorship story."
58,Dremio,dremio.com,United States,Data & AI Platforms,Data lakehouse / query engine (Apache Iceberg),363,"$263M total (Series F, 2022)","Lakehouse platform for governed, agent-ready enterprise data; strong funding and enterprise logos (Shell, TD Bank) make F1's global enterprise audience a natural brand-building fit, not currently affiliated with any team/series sponsorship."
59,Firebolt,firebolt.io,United States,Data & AI Platforms,Cloud data warehouse / lakehouse analytics,143,"$267M total (Series C, 2022)","Performance-obsessed data warehouse (sub-second analytics) mirrors F1's performance culture; well-capitalized, lean scale-up looking to build enterprise brand awareness outside crowded US SaaS channels."
60,H2O.ai,h2o.ai,United States,Data & AI Platforms,MLOps / AutoML / agentic GenAI platform,367,"$256M total raised (explicitly stated), last major round 2021","Backed by Nvidia, Goldman Sachs and Wells Fargo; positions itself around 'Sovereign AI' and predictive+generative AI convergence, a message that pairs well with F1's real-time strategy/predictive-analytics storylines."
61,Imply,imply.io,United States,Data & AI Platforms,Real-time analytics database (Apache Druid),183,"$213M total (Series D, 2022)","Real-time analytics platform built for the exact use case F1 has in spades (millisecond telemetry, race-ops dashboards); well-funded, capital-efficient scale-up with a clean B2B brand story for a global data-and-speed sponsorship platform."
62,Incorta,incorta.com,United States,Data & AI Platforms,Real-time BI / direct-data-analytics platform,347,"~$235M total (Series D, 2021)","ETL-free, real-time analytics on raw source data is directly analogous to F1's live telemetry pipeline; sizable funding and enterprise ERP-adjacent customer base (large industrials) fit F1's traditional sponsor mix."
63,Matillion,matillion.com,United Kingdom,Data & AI Platforms,ETL / data pipeline automation (now AI data-agent platform 'Maia'),471,"~$300M+ total (Series E, 2021)","UK-headquartered (Manchester), well-funded data pipeline company pivoting to agentic data automation; a UK/European F1 sponsorship angle plays naturally to its home-market roots and enterprise ambitions."
64,Ambience Healthcare,ambiencehealthcare.com,USA,Enterprise & Vertical AI,Healthcare vertical AI (ambient clinical documentation),231,"$373M total raised; latest $243M Series C, Jul 2025 ($1B+ valuation)","Leading ambient AI scribe platform for health systems, backed by a16z/Oak HC-FT with a $1B+ valuation; well-funded but still lean, classic high-growth scale-up sponsorship profile."
65,Augment Code,augmentcode.com,USA,Enterprise & Vertical AI,AI coding agents,170,"$252M total raised; $227M Series B, 2024","Well-funded enterprise AI coding assistant challenging incumbents, founded by ex-VMware/Databricks leaders; strong enterprise credibility and clean cap table for a first-time sports sponsorship."
66,Decagon,decagon.ai,USA,Enterprise & Vertical AI,AI CX agents (customer support),500,"$481M total raised; latest $250M Series D, Jan 2026 ($4.5B valuation)",Fast-scaling AI customer-support agent unicorn with marquee enterprise logos and heavy 2026 fundraising velocity; strong consumer-facing brand story fits trackside/paddock activation.
67,Deepgram,deepgram.com,USA,Enterprise & Vertical AI,Voice AI infrastructure (foundation for CX/voice agents),358,"~$215M total raised; $130M Series C, 2024 ($1.3B valuation)","Voice-AI infrastructure powering agentic products at Uber, DoorDash, Notion and Cursor; strong technical brand and enterprise adoption make it a credible tech sponsor for F1's engineering-driven audience."
68,Harvey,harvey.ai,USA,Enterprise & Vertical AI,Legal vertical AI,460,"$1.22B total raised; latest $200M Series G, Mar 2026 ($11B valuation)","Best-in-class legal AI brand with elite enterprise/law-firm client base (100k+ lawyers), huge recent raise and media momentum; global (US/UK) audience overlaps strongly with F1's professional-services fanbase; not currently an F1 partner."
69,LangChain,langchain.com,USA,Enterprise & Vertical AI,AI agent orchestration / developer framework,280,"$260M total raised; latest $125M round, Oct 2025 ($1.3-1.25B valuation)","Ubiquitous open-source agent framework underpinning much of the AI-agent ecosystem; strong developer-brand recognition and recent large raise, not an F1 sponsor today."
70,Mercor,mercor.com,USA,Enterprise & Vertical AI,AI-driven recruiting/workforce vertical AI,200,"$492M total raised; latest $350M Series C, Oct 2025 ($10-20B valuation range)","One of the fastest-growing AI startups in history (built by young founders, crossed $2B ARR run-rate mid-2026); explosive valuation growth and consumer awareness make it a marquee sponsorship prospect."
71,Norm Ai,norm.ai,USA,Enterprise & Vertical AI,Legal/compliance vertical AI (agentic regulatory compliance),201,"$260M+ total raised; investors include Blackstone, Citi, Vanguard, New York Life","Compliance-AI platform ('agentic law') backed by top-tier financial institutions (Blackstone, Citi, Vanguard) representing $30T+ in AUM; blue-chip investor roster signals strong sponsorship-budget durability."
72,Observe.AI,observe.ai,USA,Enterprise & Vertical AI,AI CX agents (contact center intelligence),380,"$214M total raised; $125M Series C, 2022","Established contact-center AI platform with enterprise scale (400+ staff, hundreds of enterprise customers); solid funding cushion and room to grow into a global sponsorship slot."
73,OpenEvidence,openevidence.com,USA,Enterprise & Vertical AI,Healthcare vertical AI (clinical decision support),119,"$740M total raised; latest $250M Series D, Jan 2026 ($12B valuation)",Physician-trusted medical AI reference tool with a $12B valuation and rapid capital raises; lean headcount relative to funding gives strong sponsorship budget-per-employee optics.
74,Parloa,parloa.com,Germany,Enterprise & Vertical AI,AI CX agents (voice/agentic customer experience),420,"$560M+ total raised; $350M Series D, Jan 2026 ($3B valuation)","Europe's leading agentic-CX voice AI unicorn, tripled valuation to $3B in early 2026; strong European base gives natural tie-in to F1's European race calendar and fanbase."
75,People.ai,people.ai,USA,Enterprise & Vertical AI,Sales vertical AI (revenue intelligence),216,"$201.6M total raised; $100M Series D, 2021","Established AI revenue-operations platform with a durable enterprise customer base; funding sits just over the $200M bar with a lean, efficient headcount profile."
76,PolyAI,poly.ai,United Kingdom,Enterprise & Vertical AI,AI CX agents (enterprise voice AI),252,"$223M+ total raised; $86M Series D, Dec 2025 ($750M valuation)","London-based enterprise voice-AI leader with strong UK/European presence, a natural geographic and brand fit for F1's UK-headquartered teams and European race weekends."
77,Rogo,rogo.ai,USA,Enterprise & Vertical AI,Finance vertical AI (agentic platform for banking/finance),180,"$314M+ total raised; $160M Series D, Apr 2026","Fast-growing agentic AI platform for investment banks/finance teams with rapid, back-to-back mega-rounds in 2026; finance-sector brand overlaps well with F1's paddock sponsor base."
78,Sourcegraph,sourcegraph.com,USA,Enterprise & Vertical AI,AI coding agents (Cody/Amp),170,"$245M+ total raised; $150M Series D, 2021",Established developer-tools brand pivoting hard into agentic coding (Amp/Cody); long operating history plus strong funding base gives credibility as an enterprise-grade sponsor.
79,Torq,torq.io,Israel,Enterprise & Vertical AI,AI security agents (agentic SOC/hyperautomation),443,"$332M total raised; $140M Series D, Jan 2026 ($1.2B valuation)",Newly-minted cybersecurity unicorn pioneering agentic AI SOC automation; strong recent momentum and global enterprise customer base makes it a credible security-tech sponsor.
80,Viz.ai,viz.ai,USA,Enterprise & Vertical AI,Healthcare vertical AI (clinical care-pathway detection),325,"~$309M total raised; $100M Series D, 2021 ($1.2B valuation)","Category-defining clinical AI platform deployed in 2,000+ hospitals, first AI company to receive CMS reimbursement; long operating track record with durable, well-funded enterprise business."
81,Ambiq,ambiq.com,US,GPU & AI Cloud,Ultra-Low-Power Edge AI Silicon,232,"$300M+ total cumulative, including 2025 Nasdaq IPO (~$96M raised)",Sub-threshold ultra-low-power AI silicon powering 270M+ wearable/edge devices; newly public and building a stronger consumer-facing brand.
82,Applied Digital,applieddigital.com,USA,GPU & AI Cloud,AI Data Center Developer (public),257 (201-500 band),$400M+ raised via converts/equity (Nasdaq: APLD); Polaris Forge AI Factory buildout,Award-winning AI/HPC data-center builder (waterless cooling) with growing public-market capital access; fits scale-up headcount band.
83,Axelera AI,axelera.ai,Netherlands,GPU & AI Cloud,Edge AI Inference Accelerators,250,$450M total cumulative (crossed the €200M mark mid-2025); 2025 round,European (Eindhoven-based) edge-AI accelerator scale-up with automotive/industrial vision use cases and strong EU investor backing — good European-market F1 activation fit.
84,Ayar Labs,ayarlabs.com,USA,GPU & AI Cloud,Optical I/O for AI Infrastructure,253 (201-500 band),$250M+ total (Series D and later rounds; cumulative ~$370M),"Co-packaged optics pioneer for AI interconnect, backed by Nvidia/Intel/AMD-adjacent investors; strong AI-networking growth story."
85,Baseten,baseten.co,USA,GPU & AI Cloud,Model Inference & Deployment Platform,367 (201-500 band),$250M+ total across 5+ rounds; Series E ~$300M (2025),Well-capitalized inference infra platform serving major AI labs; scale-up profile fits brand-awareness sponsorship spend.
86,Bitdeer Technologies,bitdeer.com,Singapore,GPU & AI Cloud,AI/Bitcoin HPC Data Centers (public),394 (201-500 band),"$250M+ total (Nasdaq: BTDR, plus ASIC/AI infra buildout capital)",Global 3GW energy portfolio powering Bitcoin + AI HPC; expanding AI cloud arm; global reach fits F1's international audience.
87,Bitfarms (Keel Infrastructure),keelinfra.com,USA,GPU & AI Cloud,AI/HPC Data Center (ex-crypto miner),85,$588M convertible senior notes (2031) + $128M infrastructure agreement (2025-2026),Rebranded from Bitfarms to Keel Infrastructure to pursue AI/HPC data centers across North America; previously verified lean headcount.
88,Blaize,blaize.com,USA,GPU & AI Cloud,Edge & Inference AI Platform (public via SPAC),356 (201-500 band),$250M+ (public via SPAC 2025; ~$334M raised privately pre-listing),"Programmable AI inference platform spanning edge, data center and cloud; public micro-cap with brand-building incentive."
89,CleanSpark,cleanspark.com,USA,GPU & AI Cloud,AI/Bitcoin Data Center Developer (public),201 (201-500 band),$250M+ (Nasdaq: CLSK; growing AI data-center commercial operations arm),Public data-center developer diversifying from Bitcoin into AI compute monetization; sizeable capital base for sponsorship spend.
90,d-Matrix,d-matrix.ai,USA,GPU & AI Cloud,AI Inference Compute (Chiplets),315 (201-500 band),"$450M+ total (Series C $275M, 2025)",Datacenter-scale inference chip maker (Corsair platform) with strong recent funding momentum and inference-cost narrative.
91,Etched,etched.ai,US,GPU & AI Cloud,Transformer-Specific AI Inference Chips,250,$1.04B total cumulative; latest $300M Series C at $10.3B valuation (Jul 2026),Sohu is a purpose-built transformer-inference ASIC racing to unseat NVIDIA; a $10.3B-valuation scale-up hungry for marquee global brand exposure as it commercializes.
92,Fireworks AI,fireworks.ai,USA,GPU & AI Cloud,Inference Cloud,294 (201-500 band),"$1.8B+ total (Series C $250M at $4B val., Nov 2025; Series D $1.5B at $17.5B val., 2026)",One of the fastest-growing inference platforms with a $17.5B valuation and huge marketing budget appetite; no current motorsport sponsorship.
93,FluidStack,fluidstack.io,USA,GPU & AI Cloud,Managed HPC / GPU Clusters,227 (201-500 band),~$1.9B equity total plus up to $10B GPU-backed debt facility (Macquarie); major 2025-2026 rounds,Massive capital stack backing large-scale AI clusters for hyperscaler customers; a scale-up with global ambitions and no F1 tie yet.
94,FuriosaAI,furiosa.ai,South Korea,GPU & AI Cloud,Data Center AI Accelerators,201-240,"$246M+ total (DSC Investment, Korea Development Bank, Naver)",Korean data-center AI accelerator maker with TSMC/Samsung partnerships; strong regional brand-building candidate.
95,Hailo,hailo.ai,Israel,GPU & AI Cloud,Edge AI Silicon,200,"$340M-$425M total cumulative (peak $1.2B valuation, 2024 Series C ext.)",Edge-AI processor maker pivoting toward robotics/automotive; brand visibility could help its turnaround narrative amid recent commercial resets.
96,Hut 8,hut8.com,USA,GPU & AI Cloud,AI/HPC Energy Infrastructure (public),348 (201-500 band),$250M+ (Nasdaq/TSX-listed; multiple capital raises for power/compute buildout),Power-first digital infrastructure platform pivoting hard into AI/HPC compute; public co with growing marketing budget.
