f1_sponsor,sponsor_f1_relationship,category,rank,competitor,domain,note,also_comparable_to
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",9,Clevr Blends,clevrblends.com,Fast-growing US functional latte startup,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",10,Vahdam India,vahdamteas.com,Fast-growing direct-to-consumer tea and coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",11,Change Please,changepleasecoffee.com,Fast-growing UK social-enterprise coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",12,Verve Coffee Roasters,vervecoffee.com,Fast-growing US specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",13,Onyx Coffee Lab,onyxcoffeelab.com,Fast-growing US specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",14,Sant'Eustachio Il Caffè,santeustachioilcaffe.it,Fast-growing Italian specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",15,illycaffè,illy.com,Fast-growing global premium Italian coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",16,Cafe Britt,cafebritt.com,Fast-growing Costa Rican specialty coffee export brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",17,Peet's Coffee (JDE Peet's),peets.com,Fast-growing premium US specialty coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",18,Caribou Coffee (JAB Holding),cariboucoffee.com,Fast-growing US specialty coffeehouse chain,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",19,Dutch Bros Coffee,dutchbros.com,Fast-growing US drive-thru specialty coffee chain,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",20,Philz Coffee,philzcoffee.com,Fast-growing independent US specialty coffee chain,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",21,Intelligentsia Coffee,intelligentsia.com,Fast-growing US specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",22,Groundwork Coffee,groundworkcoffee.com,Fast-growing independent LA specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",23,Wandering Bear Coffee,wanderingbearcoffee.com,Fast-growing US cold brew coffee brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",1,Nutrabolt (C4 Smart Energy),nutrabolt.com,Fast-scaling US sports-nutrition/energy holding company,Optimum Nutrition (Glanbia)
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",2,Recess,takearecess.com,Fast-growing US functional sparkling beverage startup,PepsiCo
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",3,Kin Euphorics,kineuphorics.com,Fast-growing US functional non-alcoholic beverage brand,Beforeyouspeak Coffee
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",4,Nawgan,nawgan.com,Fast-growing US wellness/energy drink startup,Monster Energy (Monster Beverage)
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",5,Steel City Energy,steelcityenergy.com,Fast-growing US independent energy drink brand,Monster Energy (Monster Beverage)
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",6,Real Ketones Energy,realketones.com,Fast-growing US ketone-based energy drink brand,Monster Energy (Monster Beverage); Red Bull
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",7,Hiya Health,hiyahealth.com,Fast-growing US children's wellness beverage brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",8,Suja Life,suja.com,Fast-growing US organic functional juice and wellness brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",9,Ghost Lifestyle Hydration,ghostlifestyle.com,Fast-growing US lifestyle sports-nutrition beverage brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",10,1st Phorm Phormula-1,1stphorm.com,Fast-scaling US DTC sports nutrition and energy brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",11,Rebbl,rebbl.co,Fast-growing US functional plant-based beverage brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",12,Vive Organic,viveorganic.com,Fast-growing US organic wellness shot brand,
Celsius (Celsius Holdings),Aston Martin partner,"Beverages, Food & CPG",13,Perfect Keto,perfectketo.com,Fast-growing US keto/energy supplement brand,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",1,Aberfeldy,aberfeldy.com,Bacardi-owned premium single malt Scotch,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",2,Monkey Shoulder,monkeyshoulder.com,Fast-growing William Grant blended malt Scotch challenger,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",3,Naked Malt,nakedmalt.com,Fast-growing blended malt Scotch challenger brand,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",4,Kilchoman,kilchomandistillery.com,Fast-growing independent Islay craft distillery,Glenfiddich (William Grant & Sons)
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",5,GlenAllachie,theglenallachie.com,Fast-growing independent Speyside single malt distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",6,Nc'nean,ncnean.com,Fast-growing sustainable independent Scotch distillery,Glenfiddich (William Grant & Sons)
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",7,Bimber Distillery,bimberdistillery.co.uk,Fast-growing independent English single malt distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",8,Roe & Co (Diageo),roeandcowhiskey.com,Fast-growing Diageo Irish whiskey challenger brand,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",9,Teeling Whiskey,teelingwhiskey.com,Fast-growing independent Irish whiskey distillery,Jack Daniel's (Brown-Forman)
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",10,Slane Irish Whiskey,slaneirishwhiskey.com,Fast-growing Brown-Forman Irish whiskey brand,Jack Daniel's (Brown-Forman)
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",11,Suntory Whisky (Hibiki/Yamazaki),suntorywhisky.com,Fast-growing global premium Japanese whisky brand,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",12,Royal Brackla (Bacardi),royalbrackla.com,Fast-growing premium Highland single malt Scotch,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",13,Ardnamurchan Distillery,adelphidistillery.com,Fast-growing independent Highland craft distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",14,Isle of Raasay Distillery,raasaydistillery.com,Fast-growing independent island single malt distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",15,Daftmill Distillery,daftmill.com,Fast-growing independent farm-based Lowland distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",16,InchDairnie Distillery,inchdairniedistillery.com,Fast-growing independent Lowland craft distillery,
Chivas Regal (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",17,The Clydeside Distillery,theclydeside.com,Fast-growing independent Glasgow craft distillery,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",1,Ecozone,ecozone.com,Fast-growing UK eco-friendly household brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",2,Bio-D,biodegradablediscount.co.uk,Fast-growing UK eco-friendly cleaning brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",3,Attitude Living,attitudeliving.com,Fast-growing Canadian eco-friendly cleaning brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",4,Puracy,puracy.com,Fast-growing natural household and laundry-care brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",5,Sonett,sonett.eu,Fast-growing independent European organic detergent brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",6,Frosch (Werner & Mertz),frosch.de,Fast-growing German eco-friendly cleaning brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",7,Sodasan,sodasan.com,Fast-growing German organic detergent brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",8,Splosh,splosh.com,Fast-growing UK refillable household cleaning brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",9,Smol,smolproducts.com,Fast-growing UK direct-to-consumer eco laundry brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",10,Grove Collaborative,grove.co,Fast-growing sustainable direct-to-consumer household brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",11,Blueland,blueland.com,Fast-growing zero-waste cleaning and laundry startup,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",12,Dropps,dropps.com,Fast-growing eco-friendly laundry-pod challenger brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",13,Molly's Suds,mollyssuds.com,Fast-growing natural laundry-detergent challenger brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",14,Rin (RSPL Group),rspl.co.in,Fast-growing Indian value detergent brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",15,Nirma,nirma.co.in,Fast-growing independent Indian detergent conglomerate,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",16,Charlie's Soap,charliesoap.com,Fast-growing independent US natural laundry detergent brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",17,Tru Earth,tru.earth,Fast-growing eco-friendly laundry-strip challenger brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",18,Dizolve,dizolve.com,Fast-growing Canadian laundry-strip challenger brand,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",19,Kind Laundry,kindlaundry.com,Fast-growing US eco-friendly laundry-sheet startup,
Dirt is Good / OMO (Unilever),F1 Academy partner,"Beverages, Food & CPG",20,Meliora Cleaning Products,meliorameansbetter.com,Fast-growing independent US natural cleaning brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",1,Bavaria 0.0%,bavaria.com,Fast-growing Dutch non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",2,O'Doul's (AB InBev),budweiser.com,Fast-growing US non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",3,Kaliber (Guinness/Diageo),guinness.com,Fast-growing non-alcoholic beer brand from Guinness,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",4,Buckler (Heineken),heineken.com,Heineken's non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",5,Fayrouz (AB InBev),ab-inbev.com,Fast-growing Middle East non-alcoholic malt beverage brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",6,Vitamalt (Royal Unibrew),royalunibrew.com,Fast-growing African/Caribbean non-alcoholic malt beverage brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",7,Bravus Brewing Company,bravusbrewing.com,Fast-growing US non-alcoholic craft beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",8,Jever Fun,jever.de,Fast-growing German non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",9,Moretti Zero (Heineken),birramoretti.com,Fast-growing Italian non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",10,"Mahou 0,0",mahou.es,Fast-growing Spanish non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",11,Amstel 0.0 (Heineken),amstel.com,Fast-growing global non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",12,Suntory All-Free,suntory.com,Fast-growing Japanese non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",13,Asahi Dry Zero,asahibeer.com,Fast-growing Japanese non-alcoholic beer brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",14,Warka Non-Alcoholic (AB InBev),ab-inbev.com,Fast-growing Middle East non-alcoholic malt beverage brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",15,Barbican (AB InBev),ab-inbev.com,Fast-growing Middle East non-alcoholic malt beverage brand,
"Estrella Galicia 0,0 (Hijos de Rivera)",Williams partner,"Beverages, Food & CPG",16,Moussy (AB InBev),ab-inbev.com,Fast-growing Middle East non-alcoholic malt beverage brand,
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",1,Larmandier-Bernier,larmandier.fr,Fast-growing biodynamic grower-Champagne house,Moet & Chandon (LVMH); Moet Hennessy (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",2,Vilmart & Cie,champagne-vilmart.fr,Fast-growing prestige grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",3,Agrapart & Fils,champagne-agrapart.com,Fast-growing grower-Champagne house,Moet & Chandon (LVMH); Moet Hennessy (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",4,Pierre Gimonnet & Fils,champagne-gimonnet.com,Fast-growing prestige grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",5,Pierre Peters,champagnepeters.com,Fast-growing grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",6,Marie Courtin,champagne-mariecourtin.com,Fast-growing biodynamic grower-Champagne house,Moet & Chandon (LVMH)
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",7,Chartogne-Taillet,chartogne-taillet.com,Fast-growing cult grower-Champagne house,Moet & Chandon (LVMH); Moet Hennessy (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",8,Fleury,champagne-fleury.fr,Fast-growing biodynamic grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",9,Tarlant,tarlant.com,Fast-growing independent grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",10,Bérêche et Fils,bereche-et-fils.com,Fast-growing grower-Champagne house,Moet & Chandon (LVMH); Moet Hennessy (LVMH)
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",11,Savart,champagne-savart.com,Fast-growing grower-Champagne house,Moet & Chandon (LVMH)
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",12,Geoffroy,champagne-geoffroy.com,Fast-growing family-owned grower-Champagne house,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",13,Chassenay d'Arce,chassenaydarce.com,Fast-growing Champagne growers' cooperative brand,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",14,Mailly Grand Cru,champagne-mailly.com,Fast-growing Champagne growers' cooperative brand,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",15,De Saint Gall (Union Champagne),de-saint-gall.com,Fast-growing Champagne cooperative brand,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",16,Beaumont des Crayères,champagne-beaumont.com,Fast-growing Champagne growers' cooperative brand,Moet & Chandon (LVMH); Taittinger
G.H. Mumm (Pernod Ricard),Ferrari partner,"Beverages, Food & CPG",17,Alexandre Bonnet,champagne-alexandre-bonnet.com,Fast-growing independent Champagne house,Moet & Chandon (LVMH); Taittinger
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",1,Electrolit,electrolit.com,Fast-growing Mexican-origin hydration drink scaling in the US,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",2,Gnarly Hydrate,gnarlynutrition.com,Fast-growing endurance sports hydration brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",3,Trace Minerals Electrolyte Stamina,tracemineralsresearch.com,Fast-growing mineral-electrolyte supplement brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",4,Waterboy Hydration,drinkwaterboy.com,Fast-growing celebrity-backed US hydration startup,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",5,Vitalyte,vitalyte.com,Fast-growing US endurance-hydration brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",6,Precision Hydration,precisionhydration.com,Fast-growing UK personalized-electrolyte endurance brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",7,Pocari Sweat (Otsuka),otsuka.co.jp,"Fast-growing Japanese ion-supply sports drink, global expansion",
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",8,100PLUS (F&N),fn.com.my,Fast-growing Southeast Asian isotonic sports drink,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",9,Suja Elements Electrolytes,suja.com,Fast-growing US organic electrolyte beverage line,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",10,Hoist Hydration,hoisthydration.com,Fast-growing US clinical-strength electrolyte drink,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",11,BioSteel,biosteel.com,Fast-growing Canadian sports hydration brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",12,Nooma,noomahydration.com,Fast-growing US coconut-water electrolyte challenger brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",13,Hammer Nutrition,hammernutrition.com,Fast-growing endurance sports hydration brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",14,Tailwind Nutrition,tailwindnutrition.com,Fast-growing endurance hydration and fueling brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",15,GU Energy Labs,guenergy.com,Fast-growing endurance sports hydration and fueling brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",16,Hydralyte,hydralyte.com,Fast-growing Australian oral rehydration therapy brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",17,SaltStick,saltstick.com,Fast-growing endurance-sports electrolyte capsule brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",18,Wilderness Athlete,wildernessathlete.com,Fast-growing US outdoor-endurance hydration brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",19,First Endurance,firstendurance.com,Fast-growing US endurance sports hydration and fueling brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",20,Neversecond,neversecond.com,Fast-growing Scandinavian endurance hydration and fueling brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",21,Maurten,maurten.com,Fast-growing Swedish premium endurance hydration and fueling brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",22,Science in Sport (SIS),scienceinsport.com,Fast-growing UK endurance sports hydration and nutrition brand,
Gatorade (PepsiCo),F1 Academy partner and car sponsor,"Beverages, Food & CPG",23,Key Nutrients Electrolytes,keynutrients.com,Fast-growing US electrolyte supplement challenger brand,
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",1,Bevel,bevel.com,Fast-growing men's grooming brand for coarse/curly hair,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",2,Bee Bald,beebald.com,Fast-growing US bald-head grooming and shaving brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",3,Aqua Velva (Combe),aquavelva.com,Fast-growing heritage US grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",4,Recipe for Men,recipeformen.com,Fast-growing Swedish men's grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",5,Grooming Lounge,groominglounge.com,Fast-growing US premium men's grooming retailer/brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",6,Blind Barber,blindbarber.com,Fast-growing US barbershop-inspired grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",7,Shaveworks,shaveworks.com,Fast-growing US ingrown-hair and shave-care brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",8,Uppercut Deluxe,uppercutdeluxe.com,Fast-growing Australian men's grooming and styling brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",9,Suavecito,suavecitopomade.com,Fast-growing US pomade and grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",10,American Crew,americancrew.com,Fast-growing global men's grooming and hair-styling brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",11,Layrite,layrite.com,Fast-growing US men's hair-styling and grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",12,Fulton & Roark,fultonandroark.com,Fast-growing independent US men's grooming brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",13,Baxter of California,baxterofcalifornia.com,Premium men's grooming and shaving brand,Wilkinson Sword (Edgewell)
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",14,Jack Black Skincare,getjackblack.com,Fast-growing premium US men's grooming brand,
Gillette (Procter & Gamble),Audi F1 partner,"Beverages, Food & CPG",15,Bulldog Skincare (Edgewell),bulldogskincare.com,Fast-growing natural men's grooming brand,
Glenfiddich (William Grant & Sons),Aston Martin partner,"Beverages, Food & CPG",1,Oban (Diageo),malts.com,Premium West Highland single malt Scotch,
