#,company,domain,hq_country,sector,signal_type,signal,signal_date,employees_est,affordability,why_f1_now,already_in_lists,source
11,Citigroup,citigroup.com,United States,Banking,rival-went-f1,"Rivals Barclays (Williams F1, Feb 2026) and Standard Chartered (F1 series partner, Jan 2026) both signed Formula 1 sponsorships in early 2026, a category Citi has no F1 presence in.",February 2026,"240,000+",Global systemically important bank with ~$80B annual revenue; comfortably above F1 entry cost.,Global banking peers Barclays and Standard Chartered are now F1-visible; Citi's brand/sports-marketing team can be shown a clear competitive gap opening in real time.,yes,TS3
12,CleanSpark,cleanspark.com,United States,Bitcoin Mining/Digital Infrastructure,rival-went-f1,Rival Core Scientific became a Cadillac Formula 1 Team partner ahead of the team's 2026 debut season.,2025,300+,Public company (NASDAQ:CLSK) with a multi-billion dollar market cap.,"Core Scientific's F1 entry signals the bitcoin-mining/AI-compute sector is actively buying into motorsport marketing, an opening for CleanSpark to respond.",yes,TS3
13,ConnectWise,connectwise.com,United States,IT Management Software,rival-went-f1,"Rival NinjaOne signed as Official Endpoint Management Partner of the Audi F1 team, announced January 2026.",January 2026,"3,000+",PE-backed (Thoma Bravo) IT management platform with substantial enterprise revenue.,NinjaOne's F1 partnership with Audi sets a fresh category benchmark in IT/endpoint management sponsorship that ConnectWise's sales and marketing teams can be shown directly.,yes,TS3
14,Dana Incorporated,dana.com,United States,Automotive Parts,rival-went-f1,Rival Tenneco was announced as a major new partner of the Cadillac Formula 1 Team ahead of its 2026 debut.,2025,"32,000+",Public company (NYSE:DAN) with ~$10B annual revenue.,"Tenneco's Cadillac F1 deal establishes automotive-supplier sponsorship as an active category on F1's newest team, directly relevant to Dana's core business.",yes,TS3
15,Databricks,databricks.com,United States,Data & AI Platform,rival-went-f1,Rival Confluent is listed as a current partner of the Racing Bulls F1 team for the 2026 season.,2025,"7,000+",Private company valued at ~$62B (2025 funding round); enterprise data contracts routinely exceed F1's entry threshold.,"Confluent's data-streaming partnership with Racing Bulls shows the real-time-data category is now active in F1 sponsorship, directly adjacent to Databricks' platform.",yes,TS3
16,DataDirect Networks (DDN),ddn.com,United States,Data Storage,rival-went-f1,Rival VAST Data is listed as a current Williams Racing F1 partner for 2026.,2025,800+,Privately held with an estimated ~$800M+ annual revenue serving large-scale AI and HPC storage customers.,VAST Data's Williams deal establishes high-performance storage as a live F1 sponsorship category directly in DDN's competitive lane.,yes,TS3
17,Deepgram,deepgram.com,United States,Voice AI/Speech Recognition,rival-went-f1,"Rival ElevenLabs joined the Audi F1 team's partner portfolio, with its voice AI technology used across Audi's content and fan-engagement platforms, announced January 2026.",January 2026,200+,Well-funded voice AI leader (raised $130M+ in growth funding); enterprise voice-AI contracts routinely run into the millions annually.,ElevenLabs' F1 debut with Audi is a direct category precedent showing voice-AI vendors can now buy into F1 — a template Deepgram can point to and beat.,yes,TS3
18,Deutsche Bank,db.com,Germany,Banking,rival-went-f1,UK banking rivals Barclays and Standard Chartered both signed new Formula 1 sponsorships in early 2026 (Williams and the F1 series respectively).,February 2026,"90,000+","Germany's largest bank by revenue (~€30B); has previously funded major sports sponsorships (e.g., DFL, marathon naming rights).","A European banking peer group is converging on F1 sponsorship, and F1's growing European/German fan base (Audi's 2026 works entry) strengthens the timing case.",yes,TS3
19,Diageo,diageo.com,United Kingdom,Spirits,rival-went-f1,Rival Jim Beam (Suntory) became the Cadillac Formula 1 Team's official spirits partner in a global deal announced September 2025.,September 2025,"25,000+","Public company (LSE:DGE), maker of Johnnie Walker and Smirnoff, with ~£17B annual revenue.","Suntory's spirits-category lock-up with Cadillac is a direct competitive precedent for Diageo, whose Johnnie Walker brand has historical F1 sponsorship experience it could revisit.",yes,TS3
20,DuPont,dupont.com,United States,Materials Science/Chemicals,rival-went-f1,Rival 3M signed on as Cadillac F1 Team's Official Material Science Partner ahead of the 2026 season.,2025,"20,000+",Public company (NYSE:DD) with ~$12B annual revenue.,3M's material-science branding across F1's newest team directly occupies DuPont's core positioning category on a high-visibility global stage.,yes,TS3
21,Ermenegildo Zegna,zegna.com,Italy,Luxury Fashion,rival-went-f1,Rival Hugo Boss (HUGO brand) signed a Formula 1 team sponsorship with Racing Bulls in 2025/2026.,2025,"7,000+",Publicly listed (NYSE:ZGN) luxury group with ~€1.9B annual revenue.,"A menswear/luxury competitor just went trackside in F1; Zegna's existing motorsport-adjacent ""Made in Italy"" positioning is a strong fit to pitch now.",yes,TS3
22,Five9,five9.com,United States,Contact Center/CX Software,rival-went-f1,Rival Genesys is listed as a current partner of Scuderia Ferrari for the 2026 F1 season.,2025,"2,500+",Public company (NASDAQ:FIVN) with ~$1B annual revenue.,"Genesys' presence at Ferrari, F1's most valuable single-team platform, sets a direct competitive precedent in the contact-center/CX software category.",yes,TS3
23,Giorgio Armani,armani.com,Italy,Luxury Fashion,rival-went-f1,Rival Hugo Boss (HUGO brand) signed a Formula 1 sponsorship with the Racing Bulls team in 2025/2026.,2025,"8,000+",Privately held with ~€2.3B annual revenue; has previously sponsored major sporting and cultural events at scale.,"An Italian premium menswear peer just entered F1 through Racing Bulls, and F1's Italian fanbase (Ferrari, Imola/Monza GPs) sharpens the local-relevance case for Armani.",yes,TS3
24,Henkel,henkel.com,Germany,Chemicals/Adhesives,rival-went-f1,Rival 3M became the Official Material Science Partner of the Cadillac Formula 1 Team for its 2026 debut.,2025,"47,000+",Public company (ETR:HEN3) with ~€21B annual revenue.,"3M's material-science tie-up with F1's newest team shows the category is open for adjacent industrial/chemicals brands, and Henkel already sponsors motorsport-adjacent categories.",,TS3
25,HSBC,hsbc.com,United Kingdom,Banking,rival-went-f1,"Direct rivals Barclays (multi-year Williams F1 sponsorship, announced Feb 2026) and Standard Chartered (multi-year F1 series partnership, announced Jan 2026) both entered Formula 1 within the same two-month window.",February 2026,"210,000+",One of the world's largest banks by assets (~$3T); global marketing budget dwarfs the F1 entry threshold many times over.,"Two direct UK/global banking rivals just bought into F1 in quick succession — a competitive-parity pitch (""your rivals are now trackside, you're not"") is timely and concrete.",yes,TS3
26,Infor,infor.com,United States,Enterprise Software (ERP),rival-went-f1,Rival IFS became an official Cadillac F1 Team partner for the team's 2026 season debut.,2025,"17,000+",Owned by Koch Industries; multi-billion dollar ERP business with global enterprise customer base.,"A direct industrial-ERP competitor just secured a slot with F1's newest, highest-profile team launch — a rare first-mover opportunity window.",yes,TS3
27,International Game Technology (IGT),igt.com,United Kingdom/Italy,Lottery/Gaming Technology,rival-went-f1,Rival Allwyn was announced as a Formula 1 Official Partner in a multi-year lottery-sector deal that took effect in February 2025.,February 2025,"10,000+",Public company (NYSE:IGT) with ~$2.6B annual revenue from lottery operations and technology.,Allwyn's exclusive lottery-category F1 partnership directly displaces IGT's category access at the exact moment F1's global audience and sponsorship rates are climbing.,yes,TS3
28,Kaseya,kaseya.com,United States,IT Management Software,rival-went-f1,"Rival NinjaOne became the Audi Revolut F1 Team's Official Endpoint Management Partner in a multi-year deal announced January 13, 2026.",January 2026,"5,000+",PE-backed (Insight Partners) IT management software leader with multi-billion dollar revenue; comfortably above F1 entry threshold.,"NinjaOne, a direct RMM/endpoint-management competitor, just landed a marquee F1 debut-season deal — a live category precedent Kaseya can respond to directly.",yes,TS3
29,Lacoste,lacoste.com,France,Apparel/Fashion,rival-went-f1,"Rival brand HUGO (Hugo Boss) signed a sponsorship deal with the Visa Cash App Racing Bulls F1 team, announced by Hugo Boss Group.",2025,"5,000+","Owned by Maus Frères, a multi-billion-euro retail group; Lacoste already sponsors tennis (French Open) at major-event scale.","A comparable premium fashion-sportswear rival just bought into F1 via Racing Bulls, and Lacoste's existing tennis sponsorship experience shows readiness to fund elite motorsport-adjacent marketing.",yes,TS3
30,Levi Strauss & Co.,levistrauss.com,United States,Apparel,rival-went-f1,Casualwear rival Tommy Hilfiger (PVH) became Cadillac F1's first official apparel/lifestyle partner ahead of the team's 2026 debut.,2025,"15,000+",Public company (NYSE:LEVI) with ~$6.4B annual revenue.,"An American lifestyle-apparel rival just claimed the launch-partner slot on F1's newest team (Cadillac), a highly visible marketing platform Levi's has yet to enter.",,TS3
31,Light & Wonder,lnw.com,United States,Gaming Technology,rival-went-f1,"Rival Allwyn secured a multi-year Official Partnership with Formula 1 in the lottery/gaming category, effective February 2025.",February 2025,"5,500+",Public company (NASDAQ:LNW) with ~$3.2B annual revenue.,"A gaming-sector peer just took F1's lottery/gaming partner slot, narrowing the field for any remaining category access as F1 sponsorship inventory tightens.",yes,TS3
32,Lloyds Banking Group,lloydsbankinggroup.com,United Kingdom,Banking,rival-went-f1,UK banking rival Barclays signed a multi-year Williams F1 sponsorship in February 2026.,February 2026,"60,000+","UK's largest retail/commercial bank by customers, ~£18B annual income; scale well above F1 entry cost.","With Barclays now on the F1 grid via Williams, Lloyds faces a visible UK-banking gap in a sport with fast-growing UK viewership.",yes,TS3
33,MARA Holdings (Marathon Digital),mara.com,United States,Bitcoin Mining/Digital Infrastructure,rival-went-f1,Rival Core Scientific was named a partner of the Cadillac Formula 1 Team ahead of its 2026 debut.,2025,500+,Public company (NASDAQ:MARA) with a multi-billion dollar market cap and large digital-infrastructure balance sheet.,A direct bitcoin-mining/AI-compute competitor just secured a slot with F1's newest team during its high-visibility launch phase.,yes,TS3
34,Monzo,monzo.com,United Kingdom,Digital Banking/Fintech,rival-went-f1,Rival Revolut secured title billing on the Audi Revolut Formula 1 Team ahead of its 2026 debut.,2025,"3,000+",Well-funded UK neobank valued at roughly £4.5B.,Revolut's headline F1 team billing sets a new visibility bar in UK digital banking that Monzo currently has no comparable answer to.,yes,TS3
35,N26,n26.com,Germany,Digital Banking/Fintech,rival-went-f1,Rival Revolut is the title co-sponsor of the Audi Revolut F1 Team for its 2026 debut.,2025,"1,500+",Well-funded European neobank (peak valuation ~$9B) with strong European customer base overlapping F1's core markets.,"Revolut's F1 title billing with Audi is a direct competitive escalation in the neobank category N26 competes in, with Audi's German heritage adding local relevance.",yes,TS3
36,NatWest Group,natwestgroup.com,United Kingdom,Banking,rival-went-f1,"UK rival Barclays signed a multi-year sponsorship of the Atlassian Williams F1 Team, announced February 2026.",February 2026,"60,000+","FTSE 100 bank with ~£14B annual income; already a major sports sponsor (Six Nations rugby), showing willingness to fund marquee sports rights.","A UK high-street banking rival just entered F1 via Williams, and NatWest's existing sports-sponsorship muscle (rugby) makes an F1 pitch a natural next conversation.",yes,TS3
37,NICE Ltd,nice.com,Israel,Contact Center/CX Software,rival-went-f1,Rival Genesys is a current Ferrari F1 partner for the 2026 season.,2025,"8,500+",Public company (NASDAQ:NICE) with ~$2.7B annual revenue.,"Genesys' Ferrari sponsorship establishes CX/contact-center software as an active F1 category, directly relevant to NICE's core competitive positioning.",yes,TS3
38,Prada Group,pradagroup.com,Italy,Luxury Fashion,rival-went-f1,Rival LVMH signed a 10-year Formula 1 Global Partnership beginning in 2025.,October 2024,"13,000+",Publicly listed (HKEX:1913) with ~€5.4B annual revenue.,"With LVMH now the dominant luxury voice across F1's global partner roster, Prada faces a widening visibility gap versus its biggest conglomerate rival.",yes,TS3
39,Pure Storage,purestorage.com,United States,Data Storage,rival-went-f1,Rival VAST Data is listed as a current partner of Williams Racing for the 2026 F1 season.,2025,"5,500+",Public company (NYSE:PSTG) with ~$3B annual revenue.,"VAST Data's Williams partnership shows enterprise storage vendors are now active in F1 team sponsorship, directly adjacent to Pure Storage's category.",yes,TS3
40,Ralph Lauren,ralphlauren.com,United States,Apparel/Fashion,rival-went-f1,"Direct rival Tommy Hilfiger (PVH) was announced as Cadillac F1 Team's first official partner, becoming the team's official apparel and lifestyle sponsor for its 2026 debut season.",2025,"15,000+","Public company (NYSE:RL) with ~$7B annual revenue; has funded major sports sponsorships (e.g., Wimbledon, US Open, Olympics outfitting).","A head-to-head American heritage-apparel rival just became the newest F1 team's launch apparel partner, creating a clear competitive-response opening.",yes,TS3
41,Redpanda,redpanda.com,United States,Data Streaming,rival-went-f1,Direct rival Confluent is a current partner of the Racing Bulls Formula 1 team.,2025,250+,Well-funded ($165M+ raised) data-streaming infrastructure company serving large enterprise customers.,"Confluent, Redpanda's closest head-to-head competitor, is now embedded in F1 team technology partnerships — a direct opening to contest the category.",yes,TS3
42,Replit,replit.com,United States,AI Coding Tools,rival-went-f1,Rival Cognition secured a multi-year partnership with Aston Martin Aramco F1 Team for AI software-engineering support starting 2026.,2025,200+,Well-funded AI development platform with unicorn-scale valuation.,"A direct AI-coding competitor just entered F1 via Aston Martin, establishing that this technology category is now actively sponsoring teams.",yes,TS3
43,Riot Platforms,riotplatforms.com,United States,Bitcoin Mining/Digital Infrastructure,rival-went-f1,Rival Core Scientific joined the Cadillac F1 Team's partner portfolio for the 2026 season.,2025,400+,Public company (NASDAQ:RIOT) with substantial market cap and large-scale compute infrastructure spend.,"With Core Scientific now inside F1's newest team, Riot's direct sector rival has claimed a scarce, highly visible sponsorship slot in a fast-consolidating category.",yes,TS3
44,Sourcegraph,sourcegraph.com,United States,AI Coding/Developer Tools,rival-went-f1,Rival Cognition became Aston Martin Aramco F1 Team's AI software-engineering partner from the 2026 season.,2025,200+,Well-funded developer-tools company with major enterprise customer base.,"Cognition's F1 team partnership is a live, named precedent in Sourcegraph's own competitive set that a pitch can be built directly around.",yes,TS3
45,Speechify,speechify.com,United States,Voice AI/Text-to-Speech,rival-went-f1,"Rival ElevenLabs became an official partner of the Audi Revolut F1 Team for its 2026 debut, announced January 2026.",January 2026,100+,Well-funded voice-AI unicorn with significant consumer and enterprise revenue.,ElevenLabs' newly signed F1 deal establishes voice-AI as an active F1 sponsorship category exactly as Audi's works team ramps up partner activations for its debut season.,yes,TS3
46,Talkdesk,talkdesk.com,United States,Contact Center/CX Software,rival-went-f1,Rival Genesys is listed as a current partner of Scuderia Ferrari for 2026.,2025,"2,000+",Well-funded CX unicorn with substantial enterprise ARR.,"With Genesys embedded at Ferrari, Talkdesk's category has a concrete, named F1 precedent to build a pitch around.",yes,TS3
47,Trimble,trimble.com,United States,Industrial Technology/Software,rival-went-f1,Rival enterprise software vendor IFS became an official partner of the Cadillac F1 Team for 2026.,2025,"11,000+",Public company (NASDAQ:TRMB) with ~$3.7B annual revenue.,"A software peer in the industrial/asset-management space just landed an F1 team deal, illustrating that this category is actively being contested for F1 sponsorship.",yes,TS3
48,Verizon,verizon.com,United States,Telecommunications,rival-went-f1,Rival América Móvil (Claro) joined the Cadillac F1 Team's partner roster ahead of the 2026 season.,2025,"100,000+",Public company (NYSE:VZ) with ~$134B annual revenue.,"With a telecom competitor already on Cadillac's inaugural partner list, Verizon has a live, concrete comparison to react to on America's first works F1 team.",yes,TS3
49,WEKA,weka.io,United States/Israel,Data Storage/AI Infrastructure,rival-went-f1,Rival VAST Data is a current Williams Racing F1 partner.,2025,400+,"Well-funded ($375M+ raised, ~$1.6B valuation) high-performance storage vendor for AI workloads.",VAST Data's F1 presence at Williams is a direct competitive precedent in the AI-storage category WEKA also competes in.,yes,TS3
50,Willis Towers Watson (WTW),wtwco.com,United Kingdom/United States,Insurance Brokerage/Risk Management,rival-went-f1,Rival Marsh signed a multi-year Official Partnership with Formula 1 covering risk management and insurance brokering.,2024,"45,000+",Public company (NASDAQ:WTW) with ~$9.7B annual revenue.,Marsh's F1-wide risk/insurance category lock-up leaves WTW without a comparable global platform in a sport with a fast-growing corporate audience.,yes,TS3
51,Wise plc,wise.com,United Kingdom,Fintech/Payments,rival-went-f1,Direct rival Revolut is the title co-sponsor of the Audi Revolut Formula 1 Team debuting in 2026.,2025,"5,000+",Public company (LSE:WISE) with ~£1B annual revenue.,"Revolut, Wise's closest head-to-head fintech competitor, now has its name on an F1 team entry — one of the highest-profile fintech sponsorships in the sport's history.",yes,TS3
52,Jeep (Stellantis),jeep.com,United States/Netherlands (Stellantis),Automotive,exited-other-sport,"Jeep's shirt sponsorship of Juventus FC, reportedly worth more than €50 million per year, ended with no renewal, leaving Juventus without a main shirt sponsor.",June 2025,"Stellantis: 250,000+",Was spending over €50M/year on a single football shirt deal — more than 15x the F1 entry threshold — proving very large sports-marketing capacity.,"A nine-figure sports sponsorship budget just came off the books with no confirmed successor spend, and stablemate Alfa Romeo is a former F1 title sponsor, making an F1 pivot for the wider Stellantis portfolio timely.",yes,TS3
53,AEVEX Aerospace,aevexaerospace.com,USA,Defense/Aerospace Technology,new-cmo,"AEVEX Corp hired Murali Krishnan as Chief Growth Officer two months after its $320 million IPO, to lead global business development and partnerships.",2026,1200,$320M raised in IPO,A newly public defense-technology firm building commercial and government brand recognition; growing category of engineering/technology firms using F1 for high-visibility B2B positioning.,,TS1
54,Airbnb,airbnb.com,USA,Travel/Hospitality,new-cmo,Airbnb named Apple and Meta veteran Rebecca Van Dyck as Chief Marketing Officer amid a major platform overhaul into services and experiences.,Jul 2025,7000,2025 revenue ~$11B,New CMO leading Airbnb's experiences relaunch; F1 host-city travel demand and race-week accommodation spikes are a natural experiential marketing tie-in.,yes,TS1
55,Bitget,bitget.com,Seychelles/Singapore,Crypto Exchange/Fintech,new-cmo,Bitget appointed Ignacio Aguirre Franco as Chief Marketing Officer.,Nov 2025,1500,One of the world's largest crypto derivatives exchanges by trading volume; hundreds of millions in annual marketing spend,Crypto exchanges are increasingly turning to mainstream global sports for legitimacy (as rival Crypto.com has done in F1); Bitget's new CMO has a clear incentive to match that category move.,yes,TS1
56,BMW,bmwgroup.com,Germany,Automotive,new-cmo,"BMW named 23-year company veteran Bernd Koerber as Chief Marketing Officer and SVP Brand Management, Customer & Digitalisation.",Aug 2026,150000,2025 revenue >€140B,BMW has not fielded an F1 works team since 2009 and is not a current sponsor; a new CMO focused on brand and customer relevance is a strong prospect for a fresh motorsport sponsorship (not works entry).,yes,TS1
57,Chipotle,chipotle.com,USA,Restaurants/QSR,new-cmo,"Chipotle hired star marketer Fernando Machado (ex-Burger King, Activision Blizzard, Unilever) as its new Chief Brand Officer.",Apr 2026,140000,2025 revenue ~$11.6B,"A famed culture-first CMO explicitly hired to make Chipotle 'famous again' is exactly the profile that greenlights a bold, first-of-its-kind global sponsorship bet.",yes,TS1
58,Chloé,chloe.com,France,Luxury Fashion,new-cmo,"Chloé appointed Valérie Leberichel as its new Chief Marketing Officer, effective June 1.",Jun 2026,1200,"Backed by Richemont, group revenue >$20B",New CMO globalizing the brand under Richemont's backing; F1's growing luxury-fashion presence in the paddock offers instant premium visibility.,yes,TS1
59,Delta Air Lines,delta.com,USA,Aviation/Travel,new-cmo,Delta promoted Ranjan Goswami to Chief Marketing and Product Officer after CMO Alicia Tillman's departure.,Jun 2026,100000,2025 revenue ~$61B,New marketing/product leadership is elevating Delta's premium brand positioning; airline rivals already use motorsport hospitality to court high-value travelers.,yes,TS1
60,DoorDash,doordash.com,USA,Technology/Delivery,new-cmo,DoorDash hired Tim Castree from Amazon as its new Chief Marketing Officer.,May 2026,10000,2025 revenue >$12B,New CMO building brand equity beyond delivery amid Wolt-led international expansion; F1's global race calendar mirrors DoorDash's overseas growth markets.,,TS1
61,e.l.f. Beauty,elfbeauty.com,USA,Beauty/Cosmetics,new-cmo,e.l.f. Beauty named Oshiya Savur as its new Chief Marketing Officer.,Apr 2026,600,FY2025 net sales ~$1.3B,Fast-growing challenger beauty brand under a new CMO needs a bold platform bet; F1's fast-growing female and Gen Z fanbase matches e.l.f.'s core demo directly.,yes,TS1
62,Estée Lauder Companies,elcompanies.com,USA,Beauty/Cosmetics,new-cmo,"Estée Lauder appointed Aude Gandon to the newly created role of Chief Digital & Marketing Officer, effective August 1.",Aug 2025,55000,FY2025 revenue ~$15B,A newly created top marketing role signals fresh cross-portfolio brand investment; F1's growing female and luxury-lifestyle fanbase is an emerging category for prestige beauty.,yes,TS1
63,GEICO,geico.com,USA,Insurance,new-cmo,"GEICO appointed Arianna Orpello, a marketing veteran from TD Bank and Capital One, as its new Chief Marketing Officer.",Jan 2026,30000,Berkshire Hathaway subsidiary; multi-billion-dollar annual ad budget,"New CMO at one of the most marketing-intensive insurers in the US is an opening to pitch a fresh, differentiated platform outside its traditional ad categories.",yes,TS1
64,Gucci,gucci.com,Italy,Luxury Fashion,new-cmo,"Gucci named Giovanni Perosino, formerly Global CMO at Maserati, as SVP of Marketing effective December 15.",Dec 2025,17000,Parent Kering revenue >$17B,A marketer straight from Maserati's motorsport-adjacent brand world is being brought in to reboot Gucci; his background makes an F1 pitch a natural extension of his playbook.,yes,TS1
65,HealthEquity,healthequity.com,USA,Healthcare/Fintech,new-cmo,"HealthEquity appointed former Mastercard B2B marketing leader Mukund Ramachandran as Chief Marketing Officer, effective September 29.",Sep 2025,5000,2025 revenue ~$1.1B,A Mastercard-trained CMO joining a healthcare-fintech scale-up brings sponsorship-savvy instincts; the category is seeking mainstream trust-building platforms.,yes,TS1
66,Hinge,hinge.co,USA,Technology/Dating,new-cmo,Hinge promoted Tamika Young to Chief Marketing and Communications Officer as former CMO Jackie Jantos became CEO.,Jun 2025,400,Parent Match Group revenue ~$3.2B,"New leadership duo pursuing aggressive growth; F1's young, affluent, global fanbase is a prized demographic for dating-app user acquisition.",,TS1
67,Kelly Services,kellyservices.com,USA,Staffing/HR Services,new-cmo,"Kelly Services appointed Patrick McCall as Chief Growth Officer, effective February 11.",Feb 2026,7000,2025 revenue ~$4.3B,New growth chief seeking a high-visibility B2B platform; F1 team partnerships are increasingly used by staffing and workforce brands for client entertainment and recruiting campaigns.,yes,TS1
68,Metso,metso.com,Finland,Industrial/Mining Technology,new-cmo,"Metso appointed Jonathan Allen as Chief Growth Officer, consolidating marketing, brand and communications under his remit, effective May 1.",May 2026,17000,2025 revenue ~€5.2B,New growth chief unifying brand strategy at a historically low-marketing industrial company; F1's engineering and performance-technology story is a strong content fit for Metso's brand story.,yes,TS1
69,Michael Kors,michaelkors.com,USA,Luxury Fashion,new-cmo,Michael Kors appointed Google fashion/luxury lead Corey Moran as Chief Marketing Officer.,Apr 2026,10000,Parent Capri Holdings revenue ~$4B,New CMO tasked with a brand-relevance turnaround; F1's luxury paddock and global lifestyle audience fit Michael Kors' repositioning push.,yes,TS1
70,Nomad Foods,nomadfoods.com,UK,Food/CPG,new-cmo,"Nomad Foods appointed Justin Billingsley as Chief Marketing Officer, effective immediately.",May 2026,7500,2025 revenue ~€2.9B,Europe's largest frozen-food group under a new CMO is looking for a pan-European brand platform; F1's dense European race calendar matches its retail footprint.,yes,TS1
71,Nvidia,nvidia.com,USA,Technology/Semiconductors,new-cmo,"Nvidia appointed former Google Cloud marketing head Alison Wagonfeld as its first-ever Chief Marketing Officer, reporting directly to CEO Jensen Huang.",Jan 2026,36000,FY2025 revenue >$130B; Fortune 10 company,A first-ever CMO with a mandate to build Nvidia's consumer/mainstream brand beyond tech buyers is a rare window to pitch a signature global platform like F1.,yes,TS1
72,OpenAI,openai.com,USA,Technology/Artificial Intelligence,new-cmo,"OpenAI hired former ServiceNow Chief Marketing Officer Colin Fleming as Chief Marketing Officer, Business, to lead its enterprise marketing push.",May 2026,3000,>$40B raised,New B2B marketing chief scaling OpenAI's enterprise and advertising push at a company still absent from major global sports platforms unlike AI-category peers already active in F1.,yes,TS1
73,PayPal,paypal.com,USA,Fintech/Payments,new-cmo,"PayPal appointed veteran brand marketer Antonio Lucio (ex-Meta, HP, Visa) as Chief Marketing and Corporate Affairs Officer in a sweeping leadership reshuffle.",May 2026,27000,2025 revenue >$31B,A brand-turnaround specialist with a Visa/fintech pedigree tasked with reviving PayPal's relevance is primed to pitch a marquee global sponsorship platform.,yes,TS1
