#,company,domain,hq_country,sector,event_type,event,event_date,amount,employees_est,why_f1
11,Fervo Energy,fervoenergy.com,USA,energy (enhanced geothermal),IPO,"Priced upsized IPO on Nasdaq (ticker FRVO) at $27/share; shares opened ~30% above pricing, biggest clean-energy IPO of 2026",2026-05-13,"$1.89B gross proceeds; ~$7.65B priced valuation, ~$10B opening market cap",600,"Newly public, well-capitalized geothermal leader riding AI-driven power demand; needs consumer/brand visibility beyond utility-scale B2B deals, fitting F1's clean-energy and grid-innovation storylines."
12,Flexe,flexe.com,USA,Logistics / on-demand warehousing,valuation_crossing_$1B,Crossed $1B valuation ('unicorn' status) after a $119M raise,2026-01,$119M raise,350,"New logistics unicorn in the flexible-warehousing space; distinct niche from DHL's F1 partnership (marketplace/network model vs. carrier), giving F1 a non-conflicting logistics-tech prospect with fresh unicorn press cycle."
13,Goodfire,goodfire.com,USA,AI (interpretability research),Funding round,Raised $150M Series B led by B Capital at $1.25B valuation,2026-02-05,$150M,45,Fresh unicorn in AI-safety/interpretability needing enterprise credibility; sponsorship could position it alongside trust/safety-minded engineering brands on the grid.
14,humans&,humansand.ai,USA,AI (human-centric AI/collaboration),Funding round,"Raised $480M seed (second-largest seed round ever) at $4.48B valuation, backed by Nvidia and Jeff Bezos",2026-01-20,$480M,60,"Flush, high-profile new entrant explicitly positioning around teamwork/communication tech - resonant with F1's pit-wall/team-communication storyline and needs a splashy brand launch."
15,Ineffable Intelligence,ineffable.ai,United Kingdom,AI (reinforcement learning/superintelligence research),Funding round,"Came out of stealth with $1.1B seed (Europe's largest-ever seed) at $5.1B valuation, led by Sequoia and Lightspeed",2026-04-27,$1.1B,35,"UK-based, newly launched with record capital and needs brand visibility fast; David Silver's RL pedigree (AlphaGo) gives a natural ""learning from experience"" storyline for a UK-rooted F1 team."
16,Inertia Enterprises,inertia.energy,USA,energy (inertial-confinement fusion),funding_round,"Raised $450M Series A led by Bessemer Venture Partners and GV to build 'Thunderwall,' the world's most powerful laser, and a fusion pilot plant based on NIF physics",2026-02-11,$450M,100,"Marquee, Twilio-founder-led fusion bet with huge capital and a bold engineering narrative well suited to F1's cutting-edge-technology sponsorship positioning."
17,Inferact,inferact.ai,USA,"AI infrastructure (inference/devtools, vLLM)",Funding round,Raised $150M at $800M valuation to scale vLLM as an open inference engine,2026-01-22,$150M,40,"Founded by the creators of vLLM, the dominant open-source inference engine; needs brand-building beyond the devtools community as it commercializes."
18,Kering Beauté / House of Creed,houseofcreed.com,France,Luxury,acquisition,"L'Oréal agreed to acquire Kering Beauté (including House of Creed) plus long-term fragrance/beauty licenses across Kering's luxury houses, with a joint venture planned in wellness/longevity",2026-03-31,€4B (~$4.3B),~500,Marquee luxury fragrance/beauty business moving to a growth-focused global operator; luxury fragrance houses are increasingly active in high-end motorsport sponsorship.
19,KreditBee,kreditbee.in,India,Fintech / Digital Lending,funding_round,"Series E co-led by Hornbill Capital and Motilal Oswal, achieved unicorn status ahead of planned IPO",2026-04,$280M (valuation $1.5B),1500,"Newly-crowned Indian lending unicorn raising a large round explicitly to prep for an IPO, indicating a scaling marketing and brand budget in a market F1 is actively growing."
20,Lands' End,landsend.com,United States,Retail,acquisition,"WHP Global acquired a 50% controlling stake, forming a new joint-venture structure to accelerate brand growth",2026-01-26,$300M,"~5,000",Heritage apparel brand recapitalized under a brand-management firm with an explicit growth mandate; fits profile of brands newly funded for expansion.
21,Leggett & Platt,leggett.com,United States,Consumer,acquisition,"Agreed to be acquired by Somnigroup (Serta Simmons parent), consolidating the mattress/bedding components manufacturer",2026-04-13,$2.5B,"~17,000","Large consumer-products consolidation creating a bigger, better-capitalized bedding/home group with brand-visibility incentives."
22,Liminal Energy,liminalenergy.com,USA,energy (utility-scale battery storage),funding_round,NGP Energy Capital Management committed $200M private-equity investment to develop utility-scale battery storage projects amid AI/data-center power demand,2026-01-16,$200M,30,Newly capitalized grid-storage platform tackling the AI power crunch; early-stage brand with room to attach to a high-visibility sustainability/tech platform like F1.
23,LMAX Group,lmax.com,United Kingdom,Trading / FX & Crypto Exchange,funding_round,$150M strategic financing and multi-year partnership with Ripple to embed RLUSD stablecoin,2026-01-16,$150M,600,"Institutional FX/crypto exchange with $8.2T in trading volume expanding into stablecoin collateral and cross-asset trading with fresh capital, giving it budget and a growth narrative for global brand marketing."
24,Mal,getmal.com,United Arab Emirates,Islamic digital banking / fintech,funding_round,"$230M round led by BlueFive Capital, one of the largest UAE fintech mega-rounds of H1 2026",2026-01,$230M,200,"Freshly capitalized UAE fintech champion in a fast-growing Gulf digital-banking niche; strong candidate for a Gulf-region F1 partnership tied to the Abu Dhabi Grand Prix, distinct from existing airline/logistics Gulf sponsors."
25,Marc Jacobs,marcjacobs.com,United States,Luxury,acquisition,"LVMH sold the brand to WHP Global, with G-III Apparel as an operating partner, in a deal financed up to $850M",2026-05-14,Up to $850M,"~1,500","High-profile fashion brand exiting LVMH for an independent, growth-focused ownership structure with capital earmarked to rebuild global visibility."
26,Midi Health,joinmidi.com,United States,Health,funding_round,Series D financing that moved the women's health/menopause telehealth platform into unicorn (>$1B) valuation territory,2026-02,$100M (valuation crossed $1B),~300,Newly-minted unicorn in the fast-growing women's health category; capital and unicorn status support a national brand-awareness push that F1's broad demographic reach could serve.
27,Mind Robotics,mindrobotics.com,USA,AI (industrial robotics/physical AI),Funding round,"Raised $500M Series A to build foundation models for industrial robots, partnering with Rivian on manufacturing data",2026-03,$500M,90,Newly capitalized industrial-robotics AI startup working directly with an automaker (Rivian) on production-line data - directly relevant to F1 teams' own factory and manufacturing operations.
28,Nathan's Famous,nathansfamous.com,United States,Food & Beverage,acquisition,"Acquired by Smithfield Foods, expanding Smithfield's branded packaged-foods portfolio",2026-01-21,$450M,~300,"Iconic F&B brand freshly capitalized under a growth-focused new parent, fitting the profile of brands seeking mainstream visibility platforms."
29,Nexthop AI,nexthop.ai,USA,AI infrastructure (networking hardware/software),Funding round,Raised $500M Series B to build AI-optimized networking infrastructure for hyperscale data centers,2026-03,$500M,150,"Networking-infrastructure unicorn built around power efficiency and reliability at scale - directly analogous to F1's own high-reliability, low-latency data network needs."
30,Neysa,neysa.ai,India,AI cloud infrastructure,funding_round,$1.2B raise ($600M equity + $600M planned debt) led by Blackstone-affiliated PE funds; largest single AI-infrastructure capital raise in Indian history,2026-02-16,$1.2B ($1.4B valuation),250,"India's newest, best-capitalized AI infrastructure champion; strong fit for F1's India growth push and a compelling 'built for scale' brand story around the Indian Grand Prix return."
31,Nourish,usenourish.com,United States,Health,funding_round,"Series C led by Menlo Ventures with Thrive Capital, Index Ventures and JPMorgan's growth arm, for its GLP-1/nutrition-counseling telehealth platform",2026-05-19,$100M (valuation $1.75B),~250,Newly crossed $1B+ valuation in the booming GLP-1/nutrition space; growth-stage consumer health brand with capital to spend on brand-building platforms.
32,Oishii,oishii.com,USA,Agtech / vertical farming,funding_round,$150M Series C,2026-05,$150M,250,"Premium agtech brand (vertical-farmed strawberries) with a luxury, sustainability-forward positioning that fits F1's paddock hospitality and sustainability sponsorship inventory; agtech is an open category among F1 partners."
33,Ollie Pets,myollie.com,United States,Food & Beverage,acquisition,Acquired by Spanish consumer-goods group Agrolimen; continues as an independent brand with cold-chain infrastructure to scale nationally,2026-02,$600M+ (enterprise value),~150,Fresh strategic ownership with an explicit mandate to scale a premium D2C food brand nationally; matches profile of growth-capitalized consumer brands entering sponsorship conversations.
34,PaleBlueDot AI,palebluedot.ai,USA,AI (compute infrastructure/GPU cloud),Funding round,"Raised $150M Series B led by B Capital, crossing $1B valuation on 10x revenue growth",2026-01-28,$150M,160,"New unicorn selling global, low-latency AI compute; positioning around reliability and speed at scale echoes F1's real-time performance-engineering story."
35,Payload Aerospace,payloadaerospace.com,Spain,space (launch vehicles),funding_round,Raised €180M Series C led by Mitsubishi Electric Corporation to advance its reusable launch vehicle program,2026-03-04,€180M (~$195M),150,"European launch startup with strong industrial backing and a Spain HQ, offering a natural regional tie-in for F1's Spanish/European fanbase and engineering story."
36,Paymentology,paymentology.com,United Kingdom,Fintech / Card Issuing & Payments Infrastructure,funding_round,Funding round co-led by Aspirity Partners and Apis Partners,2026-05,$175M,400,"Global card-issuing infrastructure provider raising a large round earmarked for product development, talent and global expansion, positioning it for a bigger international brand push."
37,Plata,plata.mx,Mexico,Digital banking / fintech,funding_round,"$405M Series C led by Bicycle Capital, following launch of Banco Plata full banking operations",2026-04,$405M ($5B valuation),1800,One of Mexico's largest-ever fintech rounds and a genuine LatAm champion with a mass-market consumer brand; well suited to a Mexico GP-anchored regional partnership.
38,Playlist,playlist.com,USA,Fitness / sports & wellness platform,funding_round,$785M private-equity investment,2026-01,$785M ($7.5B valuation),350,"Large fresh PE injection into a leading fitness/wellness consumer platform; fits F1's growing lifestyle/wellness sponsorship inventory and gives access to an affluent, active fan demographic."
39,Quince,quince.com,United States,Retail,funding_round,"Series E led by ICONIQ Capital with Basis Set Ventures, Wellington Management and others; revenue topped $1B with triple-digit growth",2026-03-11,$500M (valuation $10.1B),~500,"One of 2026's largest D2C consumer raises, pushing valuation past $10B; classic profile of a scaled, well-funded consumer brand entering major sponsorship consideration."
40,Rain,rain.xyz,United States,Crypto / Stablecoin Payments,funding_round,"Series C led by ICONIQ with Sapphire Ventures, Dragonfly, Bessemer, Lightspeed, Galaxy",2026-01-09,$250M (valuation $1.95B),150,Stablecoin card/payments infrastructure unicorn with 38x card-volume growth and 200+ bank/fintech partners; global consumer-facing crypto payments brand seeking mainstream visibility.
41,Ricursive Intelligence,ricursive.com,USA,AI (chip design),Funding round,"Raised $300M Series A at $4B valuation two months after launch, led by Lightspeed",2026-01-26,$300M,45,AI-for-chip-design pitch (AlphaChip founders) maps directly to F1's engineering-performance narrative and semiconductor/engineering sponsorship slot.
42,Slash Financial,joinslash.com,United States,Banking / Business Banking Platform,funding_round,Series C led by Ribbit Capital with Khosla Ventures and Goodwater Capital,2026-04,$100M (valuation crossed $1.4B),150,"San Francisco business-banking platform crossing $1B valuation and reaching unicorn status, a fast-growing fintech with new marquee-investor capital to deploy on brand growth."
43,Square Yards,squareyards.com,India,Real estate / proptech,valuation_crossing_$1B,Reached unicorn status (~$1.0B valuation) backed by Alto Partners and Reliance Group,2026-H1,Valuation crossed $1B,8000,India's newest proptech unicorn with a large sales and brand-marketing footprint; proptech is an open F1 sponsorship category and India remains a priority growth market for the sport.
44,Starcloud,starcloud.com,USA,space (orbital AI data centers),funding_round,Closed $170M Series A led by Benchmark and EQT Ventures at a $1.1B valuation to build orbital AI data centers and Starcloud-3 satellites,2026-03-30,$170M (at $1.1B valuation),60,Fast-rising space/AI-infrastructure unicorn (17 months from YC demo day) with a bold narrative and fresh capital for brand-building.
45,Stegra,stegra.com,Sweden,materials (green steel),funding_round,Reached agreement in principle on a €1.4B financing round led by a Wallenberg Investments-headed consortium to complete its Boden green-steel plant (round formally closed June 2026),2026-04,€1.4B (~$1.6B),1500,"Flagship European green-steel/industrial-decarbonization story with massive capital deployment, aligning with F1's sustainability and advanced-manufacturing narrative."
46,Talkiatry,talkiatry.com,United States,Health,funding_round,"Oversubscribed Series D led by Perceptive Advisors, with Sofina and existing investors a16z, blisce/, Left Lane Capital; brings total raised to $400M+",2026-02-12,$210M,~900,Fast-scaling national psychiatry/mental-health brand with fresh growth capital and consumer-facing ambitions; fits F1's push into health & wellness sponsors seeking mainstream brand visibility.
47,Tenex.AI,tenex.ai,USA,Cybersecurity (AI SOC/threat detection),Funding round,"Raised $250M Series B led by Crosspoint Capital, valuing the company at over $1B less than a year after launch",2026-03-31,$250M,70,Brand-new unicorn in AI-native cyber defense; needs fast market credibility and F1's global enterprise-buyer audience is a strong fit for a young cybersecurity challenger.
48,Verily,verily.com,United States,Health,funding_round,"Growth financing for Alphabet's precision-health subsidiary, one of Q1 2026's largest digital-health megadeals",2026-Q1,$300M,"~1,500",Large capital infusion into a data/performance-health platform aligns with F1's telemetry-and-performance storytelling and sponsor-activation opportunities.
49,Vestwell,vestwell.com,United States,Fintech / WealthTech (Retirement Savings),funding_round,Series E co-led by Blue Owl Capital and Sixth Street Growth,2026-02,$385M (valuation $2B),500,"Doubled its valuation to $2B on a mega Series E, giving the workplace-savings infrastructure platform fresh growth capital and brand-building ambitions."
50,Waymo,waymo.com,USA,Autonomous vehicles / mobility,funding_round,Large external funding round supporting robotaxi/autonomous-mobility expansion,2026-Q1,~$16B (reported),2800,One of the largest mobility capital events of the window; autonomous-driving technology leadership is a natural narrative fit for F1's technology-partner tier and does not conflict with existing F1 logistics/airline sponsors.
51,Webster Financial Corporation (Webster Bank),websterbank.com,United States,Banking / Regional Bank,ma_buyout,Agreed acquisition by Santander (Santander itself excluded as an F1 sponsor; Webster is the target company),2026-02,$12.2B acquisition,4300,"Target of the third-biggest US bank M&A deal since 2010; large regional bank undergoing a major capital-markets event, distinct from the acquiring sponsor-excluded entity."
