#,company,domain,hq_country,sector,sport,current_deal,deal_scale_est,employees_est,affordability,why_f1,already_in_lists,source
24,Wanda Group,wanda.cn,China,Diversified conglomerate (real estate/entertainment),Diamond League (athletics),Ten-year title sponsor of the Wanda Diamond League since 2020,"n/a (private, tens of billions in revenue)","80,000+",Major Chinese conglomerate,Full athletics-series title sponsorship with no F1 presence.,,PS3
25,HyperX (HP Inc.),hyperx.com,United States,Gaming peripherals,Esports (League of Legends / VALORANT),Official gaming-peripherals partner across Riot Games esports,"n/a (HP subsidiary, $53B+ group revenue)",n/a,Backed by HP's global scale,Deep gaming-hardware esports sponsorship with no F1 presence.,yes,PS3
26,Logitech G,logitechg.com,Switzerland,Gaming peripherals,Esports (League of Legends / VALORANT),Official gaming-gear partner of major Riot Games esports leagues,n/a (Logitech $4.5B+ revenue),"5,000+",Global leader in gaming peripherals,Top esports hardware sponsor with no F1 presence.,yes,PS3
27,Crunchyroll (Sony),crunchyroll.com,United States,Anime streaming,Esports (VALORANT Champions),Sponsor of VALORANT Champions 2025,n/a (Sony subsidiary),n/a,Backed by Sony's global media scale,Major streaming brand in top esports sponsorship with no F1 presence.,yes,PS3
28,Secretlab,secretlab.co,Singapore,Gaming furniture,Esports (VALORANT Champions),Sponsor of VALORANT Champions 2025,"n/a (private, est. $200M+ revenue)",500+,World's leading premium gaming-chair brand,Major gaming-lifestyle brand at top esports events with no F1 presence.,,PS3
29,Acciona,acciona.com,Spain,Renewable energy/infrastructure,Extreme E / Extreme H,Title co-sponsor of the ACCIONA | Sainz XE Team in Extreme E/Extreme H,"n/a (public, €10B+ revenue)","40,000+",Global renewables and construction group,"Backs an EV off-road racing team, aligned with F1's own sustainability push, yet has no F1 sponsorship.",yes,PS3
30,Bosch,bosch.com,Germany,Automotive engineering/technology,FIA WEC,Premium partner of the FIA World Endurance Championship,n/a,"429,000+",One of the world's largest automotive suppliers by revenue,Massive engineering budget already funds endurance-racing sponsorship with no F1 team or series deal.,yes,PS3
31,FAGE International,fageusa.com,Greece / United States,Dairy/yogurt,FIA WEC / Le Mans,"Multi-year partnership with the FIA WEC announced for the Lone Star Le Mans race, 2025",n/a,"~2,000",Global yogurt brand present in 40+ countries,A rare consumer packaged-goods brand entering endurance racing — a template for entering F1's global fan reach.,,PS3
32,ABB,abb.com,Switzerland,Industrial automation/electrification,Formula E,Title partner of the ABB FIA Formula E World Championship,n/a ($32B+ revenue),"105,000+",Global industrial giant with title-naming budget for an entire world championship,Formula E-only motorsport sponsor with a pure electrification story and no F1 program — a natural pitch given F1's own hybrid/sustainability push.,yes,PS3
33,Infosys,infosys.com,India,IT services/consulting,Formula E,Digital innovation partner of Formula E,n/a ($18B+ revenue),"300,000+",One of the world's largest IT services firms,"Deep motorsport data/tech partnership in Formula E with no F1 presence, unlike rival IT firms courting F1 teams.",yes,PS3
34,Julius Baer,juliusbaer.com,Switzerland,Private banking/wealth management,Formula E,"Founding global partner of Formula E since 2014, renewed through Season 12",n/a,"~7,000",Major Swiss private bank with hundreds of billions in assets under management,"Financial-services sponsor deeply embedded in EV racing with no F1 team or series deal, unlike Santander and Mastercard in F1.",yes,PS3
35,SABIC,sabic.com,Saudi Arabia,Chemicals/materials,Formula E,"Lead partner of Formula E, supplying sustainable materials",n/a ($34B+ revenue),"~31,000",Major global petrochemicals company,"Backs Formula E's sustainability agenda with no equivalent F1 sponsorship, despite Saudi-linked rival Aramco on the F1 grid.",yes,PS3
36,Budweiser (AB InBev),budweiser.com,United States / Belgium,Beer,ICC,Landmark global partnership between AB InBev's Budweiser brand and the ICC,n/a,"164,000+ (AB InBev global)",World's largest brewer by revenue,"Global beer brand at cricket's top table with no F1 presence, unlike Heineken on the F1 grid.",yes,PS3
37,Nissan,nissan-global.com,Japan,Automotive manufacturing,ICC,ICC Official Partner,$6-8M,"130,000+",Major global automaker within the Nissan-Renault-Mitsubishi Alliance,"Automaker sponsoring cricket's world governing body with no F1 team or title deal, despite Alliance partner Renault's Alpine F1 team.",yes,PS3
38,Sobha Group,sobha.com,India / United Arab Emirates,Real estate,ICC,ICC Global Partner,"n/a (public, ~$1B+ revenue)","4,000+",Major listed Gulf/India real-estate developer,Real-estate brand funding cricket's global-body sponsorship with no F1 presence.,,PS3
39,Dream11,dream11.com,India,Fantasy sports,ICC events,ICC category partner for fantasy sports,$3-4M,n/a (Dream Sports group $1B+ revenue),"India's largest fantasy-sports platform, part of a billion-dollar-plus sports-tech group","Deep cricket-sponsorship spend with no F1 presence, unlike Crypto.com's F1 sponsorship.",,PS3
40,WeatherTech,weathertech.com,United States,Automotive accessories,IMSA,Title sponsor of the IMSA WeatherTech SportsCar Championship since 2016,n/a,"~2,500","Privately held, reportedly $700M+ in annual revenue; funds full national series naming rights",Series-title-scale motorsport spend with no F1 presence at all.,yes,PS3
41,Michelob ULTRA (AB InBev),michelobultra.com,United States / Belgium,Beer,IMSA / NASCAR,Official beer partner of IMSA and multiple NASCAR entries,n/a,"164,000+ (AB InBev global)","Backed by AB InBev, the world's largest brewer by revenue",AB InBev brand sponsoring endurance and stock-car racing with no F1 tie (Heineken holds F1's beer category).,,PS3
42,Angel One,angelone.in,India,Stockbroking/fintech,IPL,"IPL Associate Partner, multi-year deal reported at INR 410 crore",n/a (~INR 410cr multi-year total),"5,000+",Publicly listed Indian brokerage with millions of active clients,Fintech brand spending at marquee-cricket-league scale with no F1 presence.,yes,PS3
43,My11Circle (Games24x7),my11circle.com,India,Fantasy sports,IPL,"IPL Associate Partner, multi-year deal reported at INR 625 crore",n/a (~INR 625cr multi-year total),n/a,Major Indian fantasy-sports platform holding a top-tier IPL associate sponsorship,"Large-scale digital sports sponsorship with no F1 presence, unlike Crypto.com's F1 deal.",,PS3
44,RuPay (NPCI),rupay.co.in,India,Payments network,IPL,"IPL Associate Partner, multi-year deal reported at INR 210 crore",n/a (~INR 210cr multi-year total),n/a,National payments network backed by an Indian banking consortium,"Payments brand already at IPL associate-sponsor scale, no F1 presence, unlike Mastercard on the grid.",,PS3
45,Tata Group,tata.com,India,Diversified conglomerate,IPL,Title sponsor of the Indian Premier League (TATA IPL) through 2028,~$60M/yr (INR 500 crore/yr),"935,000+ (group)",One of the world's largest conglomerates with group revenue over $165B,Enormous conglomerate funding cricket's marquee league title with no F1 presence.,,PS3
46,AutoNation,autonation.com,United States,Auto retail,IndyCar,Sponsor of IndyCar entries including Meyer Shank / Andretti programs,n/a ($27B+ revenue),"26,000+",Largest US automotive retailer by revenue,Auto-retail giant already in open-wheel racing with no F1 presence.,yes,PS3
47,BorgWarner,borgwarner.com,United States,Auto components/engineering,IndyCar,Namesake sponsor of the BorgWarner Trophy awarded to the Indianapolis 500 winner since 1936,n/a ($14B+ revenue),"39,000+",S&P 500 auto supplier,"Near-century-long motorsport trophy sponsorship with no F1 program, unlike rival suppliers linked to F1 teams.",yes,PS3
48,Fifth Third Bank,53.com,United States,Banking,IndyCar,Primary sponsor of Rahal Letterman Lanigan Racing's IndyCar entry,n/a ($8B+ revenue),"18,000+",Top-20 US bank by assets,"Regional bank already funding open-wheel primary sponsorship; F1's banking category is dominated by Santander/Mastercard, leaving room.",yes,PS3
49,Gainbridge,gainbridgelife.com,United States,Insurance/annuities,IndyCar,Presenting sponsor of the Indianapolis 500 and primary IndyCar team sponsor,n/a,n/a,Group 1001 insurance subsidiary funding Indy 500 naming rights,Insurance category already spends at marquee-race-title scale outside F1.,,PS3
50,Gallagher,ajg.com,United States,Insurance brokerage,IndyCar,Primary sponsor of Meyer Shank Racing's Indianapolis 500-winning IndyCar entry,n/a ($10B+ revenue),"50,000+",NYSE-listed global insurance broker,Funded an Indy 500-winning primary sponsorship; no F1 insurance-brokerage deal exists.,yes,PS3
51,NTT,global.ntt,Japan,IT/telecommunications,IndyCar,Title sponsor of the NTT INDYCAR Series since 2019,n/a ($95B+ group revenue),"330,000+",One of the world's largest telecom/IT conglomerates,"Funds an entire series title yet has zero F1 presence, unlike tech rivals AWS and Lenovo in F1.",yes,PS3
52,Sam's Club (Walmart),samsclub.com,United States,Retail/wholesale club,IndyCar,Sponsor of IndyCar team entries and races,"n/a (Walmart subsidiary, $600B+ revenue)","110,000+",Backed by Walmart's global retail scale,Retail giant already spending in top-tier US motorsport with no F1 presence.,,PS3
53,PPG,ppg.com,United States,Coatings/paints,IndyCar / NASCAR,"Returns as primary sponsor of Team Penske's INDYCAR entry in 2025, alongside NASCAR liveries",n/a ($18B+ revenue),"47,000+",S&P 500 industrial coatings leader,Deep US motorsport primary sponsorship with no F1 program.,yes,PS3
54,BK8,bk8.com,Curacao (online gaming),Online gambling/betting,MotoGP,Title sponsor of Gresini Racing MotoGP team since 2025,n/a,n/a,Funds full factory team-title rights across a MotoGP season,Already spends motorsport-scale sponsorship budgets in MotoGP with no F1 presence.,,PS3
55,Castrol (BP),castrol.com,United Kingdom,Automotive lubricants,MotoGP,"Title sponsor of Honda's factory MotoGP team (Castrol Honda) from 2025, replacing Repsol",n/a,"~90,000 (BP)",BP subsidiary with billions in global lubricants revenue,Direct rival to F1 fuel/lube sponsors Mobil 1 and Petronas; Castrol funds factory motorsport everywhere except F1.,yes,PS3
56,Idemitsu Kosan,idemitsu.com,Japan,Energy/lubricants,MotoGP,Title partner of the LCR Honda Idemitsu team for over a decade,n/a,"~11,000",Major Tokyo Stock Exchange-listed energy company,"Long-running two-wheel motorsport sponsor of Honda with no F1 presence, unlike Castrol/Mobil 1/Petronas rivals on the grid.",yes,PS3
57,Pertamina,pertamina.com,Indonesia,Oil & gas (state energy),MotoGP,Title sponsor of the Pertamina Enduro VR46 Racing Team since 2022,n/a,"30,000+",State-owned energy major with multi-billion-dollar revenue,"Southeast Asian energy giant funds MotoGP but has never sponsored F1, unlike Aramco and Petronas.",yes,PS3
58,Prima Assicurazioni,prima.it,Italy,Insurance (insurtech),MotoGP,Title sponsor of the Prima Pramac Yamaha MotoGP team since 2024,n/a,"~2,000","Funds a full factory-satellite MotoGP entry, implying multi-million-euro annual spend",Motorsport-adjacent insurer already bankrolls a factory-level bike program yet has zero F1 presence.,,PS3
59,Bass Pro Shops,basspro.com,United States,Outdoor/sporting goods retail,NASCAR,Primary sponsor of Trackhouse Racing's NASCAR Cup Series entries,"n/a (private, billions in revenue)","45,000+",Major US retail chain and long-time primary NASCAR sponsor,Full-season primary sponsor of a Cup team; F1 has no comparable outdoor-retail sponsor.,yes,PS3
60,Busch Light (Anheuser-Busch),buschbeer.com,United States,Beer,NASCAR,Official beer of the NASCAR Cup Series (Premier Partner) for 2025,n/a,n/a (AB InBev subsidiary),Backed by AB InBev's global scale,Category-exclusive NASCAR beer sponsor while F1's beer/spirits sponsorship sits with a different brand (Heineken).,,PS3
61,Circle K (Alimentation Couche-Tard),circlek.com,Canada,Convenience retail/fuel,NASCAR,Sponsor of multiple NASCAR Cup Series races and teams,n/a (Couche-Tard $60B+ revenue),"130,000+",Global convenience chain owned by Alimentation Couche-Tard,"Fuel-retail brand funding NASCAR races with no F1 exposure, unlike Shell and Aramco in F1.",yes,PS3
62,Cook Out,cookout.com,United States,Quick-service restaurant,NASCAR,Title sponsor of the NASCAR Clash exhibition race and multiple Cup Series races,n/a (private),"~10,000",Regional chain of hundreds of locations already funding national-TV race titles,Restaurant brand at race-title sponsorship scale in NASCAR; F1 hospitality sponsorship remains open.,,PS3
63,Craftsman (Stanley Black & Decker),craftsman.com,United States,Tools,NASCAR,Title sponsor of the NASCAR Craftsman Truck Series,n/a (SBD $15B+ revenue),"50,000+ (SBD)",Backed by Stanley Black & Decker's global tool business,Full NASCAR series title sponsor with no F1 tools-category presence.,yes,PS3
64,Freeway Insurance,freewayinsurance.com,United States,Insurance,NASCAR,New NASCAR Cup Series Premier Partner starting 2026,n/a,n/a,"Signed a series-level Premier Partner deal, implying multi-million-dollar annual commitment","Fresh entrant to series-level NASCAR sponsorship shows insurance-category appetite for top-tier motorsport, unmet in F1 beyond a couple of names.",,PS3
65,Menards,menards.com,United States,Home improvement retail,NASCAR,Primary sponsor of multiple NASCAR Cup and Truck Series entries for decades,"n/a (private, est. $12B+ revenue)","45,000+",Third-largest US home improvement chain,Decades of primary motorsport sponsorship spend with zero F1 presence.,,PS3
66,Milwaukee Tool,milwaukeetool.com,United States,Power tools,NASCAR,Primary sponsor of NASCAR Truck Series entries,"n/a (TTI subsidiary, billions in revenue)","10,000+",Backed by Techtronic Industries' global tool business,Full primary motorsport-sponsorship budget with no equivalent F1 presence.,yes,PS3
67,O'Reilly Auto Parts,oreillyauto.com,United States,Auto parts retail,NASCAR,Taking over title sponsorship of NASCAR's second-tier Xfinity Series beginning 2026,n/a ($16B+ revenue),"90,000+",Nasdaq-listed retailer with billions in annual revenue,About to become a full NASCAR series title sponsor — clear appetite for major motorsport branding beyond F1.,yes,PS3
68,Xfinity (Comcast),xfinity.com,United States,Telecom/cable,NASCAR,Premier Partner and namesake of the NASCAR Xfinity Series,n/a,"180,000+ (Comcast)",Comcast subsidiary funding a full national series' naming rights,Series-level naming rights show appetite for major motorsport spend; no F1 presence today.,yes,PS3
69,Advance Auto Parts,advanceautoparts.com,United States,Auto parts retail,NASCAR / IMSA,Long-time NASCAR and IMSA sponsor; title sponsor of the Advance Auto Parts Clash,~$9B revenue (public),"~50,000",NYSE-listed retailer with billions in annual revenue,"Deep US motorsport spend with zero F1 exposure, unlike tech rivals AWS/Salesforce on the F1 grid.",yes,PS3
70,Alibaba Group,alibaba.com,China,E-commerce/cloud,Olympics (IOC TOP),Worldwide Olympic Partner (cloud services and e-commerce),"n/a (public, $130B+ revenue)","200,000+",China's largest e-commerce/cloud company,"Top-tier Olympic technology sponsor with no F1 presence, unlike AWS/Salesforce on the grid.",yes,PS3
71,Allianz,allianz.com,Germany,Insurance,Olympics (IOC TOP),"Worldwide Olympic and Paralympic Partner, extended in 2025","n/a (public, EUR 160B+ revenue)","157,000+",One of the world's largest insurers,"Top-tier Olympic insurance partner with no F1 presence, despite F1's growing interest in insurance sponsors.",yes,PS3
72,Samsung Electronics,samsung.com,South Korea,Consumer electronics,Olympics (IOC TOP),Worldwide Olympic Partner (TOP program),"n/a (public, $200B+ revenue)","267,000+",World's largest electronics maker,"Top-tier global Olympic sponsor with no F1 presence, unlike Lenovo on the F1 grid.",yes,PS3
73,TCL,tcl.com,China,Consumer electronics,Olympics (IOC TOP),"New long-term Worldwide Olympic Partner through 2032, signed 2025","n/a (public, $27B+ revenue)","80,000+",Major global TV/electronics manufacturer,Fresh top-tier Olympic sponsorship signals a major global marketing budget with no F1 presence.,yes,PS3
74,OMEGA (Swatch Group),omegawatches.com,Switzerland,Luxury watches,Olympics / Diamond League,Official timekeeper of the Olympic Games and the Diamond League since 1932,n/a (Swatch Group CHF 6B+ revenue),"n/a (Swatch Group ~30,000)","Longest-serving Olympic timekeeper, backed by the Swatch Group",Direct rival to Rolex/TAG Heuer in luxury-watch timekeeping with zero F1 presence — the clearest timekeeper-category conversion target.,yes,PS3
75,Nikon,nikon.com,Japan,Imaging/optics,Olympics / athletics,Official Olympic photography-equipment partner across multiple Games cycles,"n/a (public, $5B+ revenue)","18,000+",Major global camera/optics manufacturer,Long-running Olympic imaging partner with no F1 presence.,yes,PS3
76,Altrad,altrad.com,France,Industrial services/scaffolding,Rugby (All Blacks / New Zealand Rugby),Principal sponsor and jersey partner of the All Blacks since 2022,"n/a (private, EUR 5B+ revenue)","50,000+",Global industrial-services group founded by Mohed Altrad,Major industrial B2B brand on New Zealand's iconic rugby jersey with no F1 presence at all.,,PS3
77,O2 (Telefonica UK),o2.co.uk,United Kingdom / Spain,Telecommunications,Rugby (England RFU),Long-running principal partner and shirt sponsor of England Rugby (RFU),n/a (Telefonica EUR 40B+ group revenue),"5,500+ (O2 UK)","Major UK mobile operator, part of the Telefonica group",Decades-long marquee rugby-jersey sponsorship with no F1 telecom deal.,,PS3
78,BONDS (Hanesbrands),bonds.com.au,Australia,Apparel,SailGP,New title partner of the BONDS Flying Roos Australia SailGP Team from 2025,n/a (Hanesbrands $3.5B+ revenue),n/a,Major Australian apparel brand under Hanesbrands,Consumer apparel brand backing a national sailing team with no F1 presence.,,PS3
79,KPMG,kpmg.com,Netherlands (global network),Professional services/consulting,SailGP,Global league partner of SailGP from 2025,n/a (network revenue $36B+),"275,000+",Big Four professional services firm,Big Four firm already spending at global sailing-league level with no F1 consulting sponsor deal.,yes,PS3
80,Mubadala,mubadala.com,United Arab Emirates,Sovereign wealth fund/investment,SailGP,Title partner of the Mubadala Brazil SailGP Team from 2025,n/a (>$330B AUM),"3,000+",Abu Dhabi sovereign wealth fund with vast capital,Deep-pocketed sovereign investor entering sailing sponsorship with no F1 team-ownership or sponsorship stake.,,PS3
81,ROCKWOOL,rockwool.com,Denmark,Building insulation manufacturing,SailGP,"Title partner of the Denmark SailGP Team, renewed through 2032","n/a (public, DKK 28B+ revenue)","12,000+",Global insulation-materials leader and SailGP's longest-standing team partner,Industrial manufacturer already funds top-tier sailing sponsorship with zero motorsport/F1 presence — a strong B2B conversion story.,yes,PS3
82,Emirates,emirates.com,United Arab Emirates,Airline,SailGP / America's Cup,Global league partner of SailGP (multi-season deal from 2025) and title partner of Emirates Team New Zealand in the America's Cup,"n/a (state-owned, $33B+ revenue)","60,000+",Major global airline with a huge sports-marketing budget,"Deep sailing sponsorship footprint but no F1 presence, unlike rival airline Qatar Airways on the F1 grid.",yes,PS3
83,Capgemini,capgemini.com,France,IT consulting,Six Nations,Official Digital Transformation Partner of Six Nations Rugby through 2029,"n/a (public, EUR 22B+ revenue)","340,000+",Global IT consulting leader,"Long-term tech sponsorship of a major rugby championship with no F1 presence, unlike rival consultancies eyeing F1 data deals.",yes,PS3
84,Guinness (Diageo),guinness.com,United Kingdom / Ireland,Beer,Six Nations,Title sponsor of the Men's and Women's Six Nations Championship,~GBP 15M/yr,"28,000+ (Diageo)",Diageo-owned global beer brand,"Full tournament title sponsor of a top rugby championship with no F1 presence, unlike Heineken's F1 deal.",yes,PS3
85,Sage,sage.com,United Kingdom,Business software (accounting/ERP),Six Nations,Official partner of Six Nations Rugby,"n/a (public, GBP 2B+ revenue)","12,000+",FTSE 100 business-software company,B2B SaaS brand already sponsoring top-tier rugby with no F1 presence.,yes,PS3
86,APICIL Group,apicil.com,France,Insurance/pension protection,Vendee Globe,Title sponsor of a Vendee Globe IMOCA skipper campaign,n/a,"3,500+",Major French insurance/protection group,Funds ocean-racing campaigns at multi-million-euro scale with no F1 presence.,,PS3
87,Banque Populaire,banquepopulaire.fr,France,Banking,Vendee Globe,Long-running title sponsor of a Vendee Globe / IMOCA ocean-racing boat and skipper,"n/a (BPCE group, tens of billions in revenue)","100,000+ (BPCE group)",Major French banking group,"Deep ocean-racing sponsorship pedigree with no F1 presence, unlike Santander in F1.",,PS3
88,Charal,charal.fr,France,Food/meat products,Vendee Globe,"Title sponsor of a Vendee Globe IMOCA skipper campaign (Charal, Jeremie Beyou)","n/a (private, part of Groupe Bigard)",n/a,Major French meat brand funding a solo round-the-world racing campaign,"Consumer food brand already at marquee endurance-sport sponsorship scale, with none in F1.",,PS3
89,Aruba.it,aruba.it,Italy,Cloud hosting/IT services,World Superbike (WSBK),Title sponsor of Aruba.it Racing Ducati in World Superbike since 2015,n/a,"~1,500","Italy's largest web-hosting company, long-term title sponsor of a factory race team",Backs Ducati's factory superbike effort; no equivalent cloud-hosting sponsor exists on the F1 grid.,yes,PS3
90,Allstate,allstate.com,USA,Insurance,college,Title sponsor of college football's Allstate Sugar Bowl and other college sponsorships.,n/a (undisclosed),"~52,000","Fortune 100 insurer, $57B+ in annual revenue; already funds marquee college-football bowl sponsorships.",State Farm and Progressive already dabble in adjacent motorsport-linked sponsorships - Allstate has none in F1 despite comparable bowl-game spend.,yes,PS2
91,Buffalo Wild Wings (Inspire Brands),buffalowildwings.com,USA,Restaurant / Sports Bar,college,Official March Madness sponsor with an estimated $10M/yr deal.,~$10M/yr (reported),"~2,500 (corporate; franchise system far larger)",Parent Inspire Brands generates tens of billions in system-wide sales; already funds a marquee March Madness deal.,"Race-day watch parties are core to Buffalo Wild Wings' business model, yet it has zero presence around F1 despite already sponsoring comparable viewing occasions in college basketball.",,PS2
92,Chick-fil-A,chick-fil-a.com,USA,Quick-Service Restaurant,college,Title sponsor of the Chick-fil-A Peach Bowl and Chick-fil-A Kickoff Game.,"n/a (undisclosed, reported eight figures annually)","~9,000 (corporate; franchise system far larger)","Private restaurant chain, $21B+ in annual system-wide sales; already funds multiple marquee college-football sponsorships.",Chick-fil-A has aggressively expanded its sports marketing footprint - F1's Atlanta-adjacent Southeastern US growth (its home market) is untapped.,yes,PS2
