#,cluster,company,domain,hq_country,sector,event_type,event,event_date,amount,employees_est,why_f1,verify_before_outreach
27,Consumer & Health,Medici Brands (David Protein / HallPass),medicibrands.com,USA,food & beverage (high-protein / better-for-you CPG),mega-round,"Raised $250M Series B co-led by Greenoaks and Valor Equity Partners, tripling valuation to $2.25B in under 2 years; David Protein on track to top $300M revenue in 2026 and HallPass just launched nationwide at Walmart",2026-09-02,$250M Series B ($2.25B valuation),150,"Fast-scaling, cash-flush CPG portfolio (David, HallPass) with a performance/discipline brand ethos and celebrity-founder (Peter Rahal, RXBAR) profile that fits F1's fitness-adjacent, aspirational audience and has fresh capital earmarked for national growth marketing.",
28,Consumer & Health,NewLimit,newlimit.com,USA,longevity biotech / consumer health (epigenetic reprogramming),mega-round,"Closed a $435M Series C to advance epigenetic reprogramming therapies aimed at reversing cellular aging, one of the largest rounds in the longevity sector to date",2026-06,$435M Series C,100,"Backed by high-profile tech figures (Brian Armstrong, Blake Byers) and riding the longevity wave that F1-adjacent brands (Oura, Whoop) have already monetized via motorsport; large war chest signals it will need consumer-facing brand building as it commercializes.",
29,Consumer & Health,Wonder,wonder.com,USA,food & beverage (multi-restaurant dining / food hall platform),mega-round,"Raised $650M Series D at a $9B pre-money valuation, led by returning investors Accel, Google Ventures and NEA with new backers AllianceBernstein and ARK Invest",2026-07-16,$650M Series D ($9B valuation),2500,"Marc Lore's fast-growing national food platform is aggressively brand-building city by city with a huge new raise; a global, high-visibility platform like F1 fits its ambition to become a household consumer name.",
30,Consumer & Health,Andrew Peller Limited,andrewpeller.com,Canada,food & beverage (wine),pe-buyout,Fairfax Financial Holdings agreed to take Andrew Peller private at ~C$397M equity / ~C$579M enterprise value,2026-06-15,C$579M enterprise value,1500,"Canada's largest wine producer, newly backed by a deep-pocketed financial holding company, fits the wine/spirits hospitality lane that F1 has cultivated (paddock club, race-weekend activations) and needs a growth story post-buyout.",
31,Consumer & Health,Au Vodka,auvodka.com,United Kingdom,food & beverage (flavored spirits),pe-buyout,"Sazerac acquired Swansea-founded, influencer-driven flavored-vodka brand Au Vodka for approximately £500M",2026-08-17,~£500M,100,"A social-media-native, youth-skewing spirits brand newly backed by a major US drinks group with global scaling ambitions mirrors the kind of fast-growth alcohol brand F1 has courted for hospitality tie-ins.",
32,Consumer & Health,Breathe Right (Prestige Consumer Healthcare),breatheright.com,USA,consumer health & wellness (OTC nasal/respiratory),pe-buyout,"Prestige Consumer Healthcare acquired the Breathe Right nasal-strip brand for $1.045B, adding a globally recognized performance/respiratory-health brand to its OTC portfolio",2026-06-15,$1.045B acquisition,100,An athletic-performance-associated OTC brand (long used by athletes for airflow) freshly acquired for over $1B by a growth-focused OTC consolidator — a strong logical tie-in to motorsport performance/endurance messaging.,
33,Consumer & Health,BÉIS Travel,beistravel.com,USA,travel & hospitality (luggage / travel goods),pe-buyout,Samsonite Group acquired Shay Mitchell's D2C travel/luggage brand BÉIS (founded 2018) at a $210M enterprise value,2026-08-12,$210M enterprise value,150,"A celebrity-founded, design-forward travel brand now backed by the world's largest luggage company is exactly the kind of fresh-capital travel-lifestyle brand that fits F1's jet-set, globe-trotting audience.",
34,Consumer & Health,Copra,drinkcopra.com,Thailand,food & beverage (super-premium coconut water),pe-buyout,The Vita Coco Company acquired Thailand-based super-premium coconut water brand Copra for $175M upfront (up to ~$275M with earnouts),2026-07-22,$175M upfront (up to ~$275M),150,A premium hydration/functional-beverage brand freshly scaled by a public strategic acquirer fits F1's hydration/electrolyte sponsor lane and its push into Southeast Asian markets.,
35,Consumer & Health,HYROX,hyrox.com,Germany,fitness & recovery (mass-participation fitness racing series),pe-buyout,"Reported to be in advanced, not-yet-signed talks for L Catterton to take a near-controlling stake in HYROX, the Hamburg-founded global functional-fitness racing series, at ~€600M",2026-09-07,"~€600M (reported, deal not yet signed)",150,"One of the fastest-growing participation sports globally, about to receive major PE growth capital, is a direct-overlap fitness/endurance audience play that fits F1's performance-lifestyle sponsorship push — flagged as reported/unsigned, so should be verified before outreach.",CHECK
36,Consumer & Health,Innovist,innovist.co,India,beauty & luxury / D2C personal care,pe-buyout,"L'Oreal acquired a majority stake in Innovist, the Indian D2C house of brands (WOW Skin Science and others), for an estimated $350M-$450M",2026-06-18,$350M-$450M (majority stake),500,"L'Oreal-backed, fast-growing Indian D2C beauty platform gains global ambitions right as F1 deepens its presence in India/Asia — a strategic regional sponsorship growth story.",
37,Consumer & Health,Made Group,madegroup.com.au,Australia,food & beverage (high-protein functional nutrition),pe-buyout,"Danone acquired Australia's Made Group, a high-protein functional-nutrition company, for ~$1.4B to push into Asia-Pacific — Danone's second nine-figure functional-nutrition deal of 2026 after Huel",2026-07-02,~$1.4B,300,Newly Danone-backed performance-nutrition brand with an Asia-Pacific growth mandate lines up with F1's expansion in that region and the sport's growing roster of protein/performance-nutrition partners.,
38,Consumer & Health,"Nestlé Holistic Health VMS platform (Nature's Bounty, Osteo Bi-Flex, Ester-C)",naturesbounty.com,USA,"consumer health & wellness (vitamins, minerals & supplements)",pe-buyout,"Yellow Wood Partners agreed to acquire Nestlé's Holistic Health VMS brand platform (Nature's Bounty, Osteo Bi-Flex, Ester-C and others) for $1.0B, with closing expected H1 2027",2026-09-01,$1.0B,1500,"A newly carved-out, PE-backed portfolio of household wellness/supplement brands will need a standalone growth and brand-building strategy — prime timing for a motorsport sponsorship pitch.",
39,Consumer & Health,Nestlé Waters & Premium Beverages (Peranel JV),perrier.com,Switzerland,"food & beverage (premium bottled water: Perrier, S.Pellegrino, Acqua Panna)",pe-buyout,"Platinum Equity took a 50/50 JV stake (carve-out) in Nestlé's global premium water/beverage portfolio of 30+ brands including Perrier, S.Pellegrino and Acqua Panna, at a $5.6B enterprise value",2026-07-23,$5.6B enterprise value,5000,"Iconic premium-water brands (Perrier, S.Pellegrino) newly under a growth-oriented PE structure looking for global relaunch momentum — a strong hospitality/paddock-club fit for F1's luxury beverage lane.",
40,Consumer & Health,Obagi Medical,obagi.com,USA,beauty & luxury (medical-grade skincare),pe-buyout,Divested to PE firm Bridgepoint for up to $460M,2026-06-01,up to $460M,300,"Newly PE-backed premium skincare brand with fresh growth capital and a physician-endorsed, science-led positioning that fits F1's expanding luxury/lifestyle sponsor roster.",
41,Consumer & Health,"Saputo UK Dairy (Cathedral City, Clover, Country Life)",cathedralcity.com,United Kingdom,food & beverage (dairy/cheese consumer brands),pe-buyout,"Lactalis (via B.S.A. SAS) agreed to acquire Saputo's UK dairy division — including household cheese/dairy brands Cathedral City, Wensleydale, Davidstow, Clover and Country Life — for a £988M enterprise value",2026-08-14,£988M enterprise value,2000,A stable of iconic UK household food brands changing hands to Europe's largest dairy group signals fresh investment appetite for consumer-brand visibility around F1's British Grand Prix market.,
42,Consumer & Health,UNTUCKit (Randa Apparel & Accessories),untuckit.com,USA,D2C apparel / retail (menswear),pe-buyout,"Randa Apparel & Accessories acquired D2C shirt brand UNTUCKit (founded 2011, ~70 US stores) for an estimated $200M-$250M",2026-09-01,~$200M-$250M (estimated),300,"A well-known D2C menswear brand now backed by a century-old apparel platform with retail scale-up resources fits F1's smart-casual, lifestyle-apparel sponsorship lane.",
43,Consumer & Health,"Golden Pet Brands (Dr. Marty, Badlands Ranch, Ultimate Pet Nutrition)",drmarty.com,USA,retail / pet wellness (fresh & freeze-dried pet food),valuation-cross,"Reported to be preparing a US listing with Morgan Stanley and Barclays, at a reported valuation above $1B; recently added a new CEO/CFO (ex-Mars, ex-P&G) and acquired the Petsource freeze-dried facility",2026-09-02,reported valuation >$1B (IPO prep; timing/size unconfirmed),500,"A newly unicorn-valued, IPO-track pet-wellness portfolio with fresh executive leadership from Mars/P&G is exactly the kind of scaling consumer brand that builds mainstream awareness through platforms like F1 — flagged as reported/unconfirmed pending an official filing.",CHECK
44,Defense & Space,Applied Aerospace & Defense,appliedaerospacedefense.com,United States,"dual-use aerospace/defense manufacturing (supplier to SpaceX, Boeing, Airbus)",ipo,"IPO on NYSE (ticker AADX), $650M raised",2026-06-03,$650M,~1500,Newly public aerospace/defense manufacturing supplier with a $1.1B backlog; a classic post-IPO sponsorship-seeking profile with strong engineering-brand appeal.,CHECK
45,Defense & Space,Lyntris,lyntris.com,United States,defense sensing hardware/software (sense-to-act battlefield connectivity),ipo,"IPO on NYSE (ticker LYNX), ~$297.5M raised",2026-08-19,~$297.5M (post-IPO valuation ~$1.8B),~400,"Freshly public defense-sensing company (formed from the Accelint/Vitesse Systems merger) with a near-$1B backlog, entering the post-IPO phase where sponsorship brand plays are common.",
46,Defense & Space,Allen Control Systems,allencontrolsystems.com,United States,counter-drone systems,mega-round,$200M Series B at $2.2B valuation,2026-06-09,$200M,~150,Newly minted counter-drone unicorn needing to build brand recognition beyond DoD buyers.,
47,Defense & Space,Cambridge Aerospace,cambridgeaerospace.com,United Kingdom,counter-drone / air defense hardware (Skyhammer interceptor system),mega-round,"$300M Series C at $3.4B valuation, reaching unicorn status in under 2 years",2026-08-10,$300M,~200,UK-based counter-drone unicorn built in under two years; UK is a core F1 team/market base and the company is entering a high-visibility growth phase.,CHECK
48,Defense & Space,Muon Space,muonspace.com,United States,satellite constellations / earth observation,mega-round,$250M round with Google and Salesforce Ventures backing,2026-08-20,$250M,~200,Backed by marquee tech investors and opening a new manufacturing facility; a scaling space company positioned to invest in brand-building.,
49,Defense & Space,SpaceSail (Yuanxin Satellite),spacesail.cn,China,LEO satellite broadband constellation,mega-round,~$1B round (~7B yuan) to accelerate Starlink-competing LEO constellation buildout,2026-08-18,~$1B,~1000,"China's flagship state-linked satellite-broadband challenger just closed a landmark raise; China is a major F1 market/race, though state-linked ownership warrants sponsorship-compliance review.",CHECK
50,Enterprise Software,Cathedral,cathedral.so,United States,cybersecurity (offensive security/cyber operations),mega-round,$160M funding round,2026-07,$160M,80,"Offensive cyber-operations vendor with a large 2026 raise, entering a high-visibility growth and branding phase.",
51,Enterprise Software,Glow,glow.security,United States,cybersecurity (endpoint security for AI era),mega-round,$180M Series A (one of the largest Series A rounds in cybersecurity in years),2026-07,$180M,100,"Breakout endpoint-security startup with an outsized Series A, positioned for an aggressive brand-awareness push.",
52,Enterprise Software,River AI,river.ai,United States,data platform (custom AI model fine-tuning),mega-round,$1.1B seed/Series A combined round,2026-08,$1.1B at $5B valuation,80,"Massive early-stage raise for an enterprise AI/data platform founded by a high-profile ex-xAI co-founder, a headline-grabbing brand story.",
53,Enterprise Software,Spur,spur.us,United States,cybersecurity (threat intelligence),mega-round,$200M funding round,2026-07,$200M,100,"Threat-intelligence vendor with one of the largest cyber funding rounds of the year, scaling enterprise go-to-market and brand reach.",
54,Enterprise Software,ThreatLocker,threatlocker.com,United States,cybersecurity (endpoint security),mega-round,$190M Series F,2026-07,$190M,1200,"Endpoint-security vendor on an unbroken multi-year growth streak, using large late-stage capital to fund premium global brand campaigns.",
55,Enterprise Software,Alice,activefence.com,Israel,cybersecurity (AI trust & safety),rename-launch,Rebranded from ActiveFence to Alice alongside a $140M growth round,2026-08-25,$140M (valuation ~$800M-$1B),300,"Fresh corporate rebrand (ActiveFence to Alice) paired with a large raise, a classic moment for a brand to seek high-visibility sponsorship.",
56,Enterprise Software,AfterQuery,afterquery.com,United States,data platform (AI training data),valuation-cross,"Y Combinator's fastest-ever unicorn, reaching $3.2B valuation 18 months after founding",2026-09-01,valuation $3.2B (up from $300M in April 2026),100,"Record-setting YC unicorn with a compelling growth story, appealing for a splashy early sponsorship before it scales further.",
57,Enterprise Software,CodeRabbit,coderabbit.ai,United States,devtools (AI code review),valuation-cross,"$143M Series C, crossing $1B valuation",2026-08,$143M at $1.5B valuation,100,"AI code-review platform used by 17,000 customers newly reaching unicorn status, well-positioned to invest in brand awareness.",
58,Enterprise Software,Emergent,emergent.sh,India,devtools (AI coding platform),valuation-cross,"$130M Series C, crossing $1B valuation just over a year after launch",2026-07-15,$130M at $1.5B valuation,100,Extremely fast-growing AI coding unicorn seeking to build a global enterprise developer brand rapidly.,
59,Enterprise Software,Obsidian Security,obsidiansecurity.com,United States,cybersecurity (SaaS/AI-agent security),valuation-cross,"$85M Series D, crossing $1B valuation",2026-08-04,$85M at $1.1B valuation,250,"Newly crossed unicorn in SaaS security for AI agents, a fast-growing category needing enterprise brand credibility.",
60,Enterprise Software,Prime Intellect,primeintellect.ai,United States,devtools (enterprise AI agent infrastructure),valuation-cross,"$130M Series A, crossing $1B valuation",2026-07-08,$130M at $1B valuation,60,"Freshly unicorn-status enterprise AI infrastructure startup backed by Nvidia/Intel/Dell Capital, in brand-building mode.",
61,Fintech & Crypto,Ajaib,ajaib.co.id,Indonesia,trading/wealth,mega-round,"Series C investment from SBI Holdings, the country's biggest fundraising round since 2022",2026-09-01,$270M,~700,"Indonesia's leading online stock/investment trading platform, newly capitalized and expanding into stablecoin rails — Southeast Asia is a priority growth region for F1 (Singapore GP).",
62,Fintech & Crypto,Ant International,antinternational.com,Singapore,payments,mega-round,"Series A equity financing from Ant Group, Alibaba and international investors",2026-07-21,~$1.2B,"~7,000","Global cross-border payments giant raising ahead of an eventual IPO, headquartered in Singapore (an existing F1 race market) with ambitions to expand merchant/consumer payment brand across Asia and the Middle East.",
63,Fintech & Crypto,Bibby Financial Services,bibbyfinancialservices.com,United Kingdom,lending,mega-round,New funding facility to expand SME invoice financing,2026-07-17,€250M (~$270M),"~1,400","Large, long-established UK SME lender expanding funding capacity, indicating a bigger marketing budget for brand-building sponsorships.",
64,Fintech & Crypto,CAIS,caisgroup.com,USA,wealth,mega-round,Series D funding round,2026-07-31,$170M at $2B+ valuation,~650,"Well-capitalized wealthtech platform connecting financial advisors to alternative investments, serving the high-net-worth advisor audience F1 hospitality targets.",
65,Fintech & Crypto,FNZ,fnz.com,United Kingdom,wealth,mega-round,"New equity investment from existing institutional shareholders (La Caisse, CPP Investments, Generation Investment Management, Motive Partners)",2026-09-01,$450M,"~6,000","Global wealth-management technology platform with $2.5T on platform, backed by major long-term institutional investors and fresh capital for its turnaround/growth plan.",
66,Fintech & Crypto,Félix (Félix Pago),felixpago.com,USA,payments,mega-round,"Series C funding round, reaching unicorn status",2026-09-01,$200M,~150,"Miami-based, WhatsApp-first remittance unicorn serving Latino immigrants across the Americas — a demographic and geography (Miami GP, LatAm fan growth) highly relevant to F1's US expansion.",
67,Fintech & Crypto,Gravie,gravie.com,USA,insurtech,mega-round,Growth equity round to expand its self-funded health benefits platform,2026-07-31,$463M,~900,"One of the largest single insurtech raises of 2026, giving the company a large marketing war chest as it scales nationally.",
68,Fintech & Crypto,Imprint,imprintpay.com,USA,payments/lending,mega-round,New debt funding capacity (warehouse facility plus AAA-rated ABS transaction),2026-08-25,$2B in new capacity since April 2026,~300,"Fast-scaling co-branded credit card issuing platform with a huge new balance sheet, reflecting strong institutional confidence and growth ambition.",
69,Fintech & Crypto,Ingenico,ingenico.com,France,payments,mega-round,New strategic investment,2026-08-21,€150M (~$175M),"~9,000","Global payment terminal/acquiring leader based in France with fresh capital, long tied to major retail and card-network partnerships.",
70,Fintech & Crypto,inKind,inkind.com,USA,payments,mega-round,Strategic financing partnership to expand its restaurant financing/dining-rewards platform,2026-07-03,$320M,~200,Consumer-facing payments/rewards brand with fresh capital and a hospitality/lifestyle angle that could pair well with F1's paddock club and fan-experience sponsorships.,
71,Fintech & Crypto,PEX,pexcard.com,USA,spend management,mega-round,Combined debt and equity financing,2026-07-31,$160M,~200,"Corporate card and spend-management fintech with fresh growth capital, a segment (Ramp, Brex, Moss) increasingly active in sports sponsorship.",
72,Fintech & Crypto,PremFina,premfina.com,United Kingdom,insurtech,mega-round,New senior debt facility to expand insurance premium finance lending,2026-07-17,£400M (~$510M),~250,UK-based insurtech premium-finance platform with a large new capital base and pan-European ambitions.,
73,Fintech & Crypto,TabaPay,tabapay.com,USA,payments,mega-round,"Strategic growth financing led by FTV Capital, alongside plan to acquire Transact Bank for its own banking charter",2026-09-02,$155M,~150,"Instant money-movement infrastructure provider for banks and fintechs, raising capital while pursuing a bank charter — a growth-stage payments brand building national visibility.",
74,Fintech & Crypto,Augustus,augustus.com,USA,crypto/stablecoin banking,valuation-cross,"Series B led by Tiger Global to build an AI-native, federally chartered stablecoin clearing bank",2026-07-21,$180M at $1B valuation,~150,"Newly minted unicorn building stablecoin/AI banking rails, backed by founders of Nubank, Ramp and Circle; exactly the kind of well-capitalized crypto-adjacent challenger brand seeking mainstream visibility.",CHECK
75,Fintech & Crypto,Corgi,corgi.com,USA,insurtech,valuation-cross,"Series B extension, third fundraise in under three months",2026-07-24,Undisclosed amount at $4B valuation (up from $2.6B in May 2026),~250,"AI-native commercial insurer whose valuation nearly doubled in two months; one of the fastest-growing, best-capitalized insurtechs of 2026.",CHECK
76,Fintech & Crypto,Fasset,fasset.com,United Arab Emirates,crypto/neobank,valuation-cross,"Series C led by Japan's SBI Group, reaching unicorn status",2026-08-24,$68M at $1B valuation,~300,"Stablecoin-powered neobank that just crossed the $1B mark, Dubai-based in a region with deep F1 ties (Abu Dhabi GP) and strong crypto-sponsorship appetite.",
77,Industrial & Energy,SB Energy,sbenergy.com,United States,grid & electrification (data center power platform),ipo,Filed for an IPO as a fully integrated U.S. data-center and power infrastructure platform backed by SoftBank and OpenAI,2026-09-02,IPO filing (~$19B project capital raised to date),250-400,"A SoftBank/OpenAI-backed power-infrastructure platform heading toward a public listing without operating data-center capacity yet needs a strong, trust-building brand story for public investors -- global sponsorship is a fast route to that visibility.",
78,Industrial & Energy,Antares Nuclear,antaresindustries.com,United States,nuclear / small modular reactors (microreactors),mega-round,Raised $470M Series C ($370M equity + $100M debt) after its Mark-0 demonstration reactor reached criticality,2026-07-27,$470M,100-150,A microreactor developer that just proved criticality and raised a $470M round is entering a public-trust-building phase for nuclear technology -- a high-visibility sports platform can help normalize the brand beyond its military/DOE customer base.,CHECK
79,Industrial & Energy,Antora Energy,antora.com,United States,thermal battery / industrial energy storage,mega-round,Closed a $550M round to expand production of thermal batteries serving heavy industry and AI data centers,2026-07-30,$550M,300-400,"Riding the AI-data-center power boom with a fresh $550M for factory expansion, Antora is scaling from engineering story to industrial brand -- global sponsorship visibility supports enterprise sales into heavy-industry and hyperscaler accounts.",
80,Industrial & Energy,Base Power,basepower.com,United States,battery storage (home & grid),mega-round,Raised $1B Series D at a $13B valuation to scale home battery and grid-services deployment,2026-08-04,$1B,400-600,A $13B home-battery unicorn expanding beyond Texas needs consumer-facing brand equity fast -- global sports sponsorship is a proven playbook for battery/EV-adjacent brands moving from early adopters to mass market.,
81,Industrial & Energy,Focused Energy,focused-energy.world,Germany,fusion energy,mega-round,"Raised $240M Series A for laser-powered (inertial confinement) fusion reactor development, backed by RWE and Germany's SPRIND",2026-06-02,$240M,100-150,Fresh nine-figure war chest and a flagship 'Lighthouse' demo plant give a pre-revenue deep-tech brand strong reason to buy global visibility and an engineering-credibility platform like F1 to build corporate/consumer trust ahead of scale-up financing.,CHECK
82,Industrial & Energy,Joulent,joulent.com,United States,grid & electrification (behind-the-meter power for industry/AI),mega-round,Raised $1.75B strategic investment backed by National Grid Ventures for grid-independent industrial-scale power systems,2026-07-02,$1.75B,50-100,A near-unicorn-scale capital injection for 'power at the speed of American innovation' signals an aggressive brand-building phase for a young energy-infrastructure company that needs credibility with industrial and hyperscaler customers.,
83,Industrial & Energy,Suniva,suniva.com,United States,solar manufacturing,mega-round,Raised $835M to quadruple domestic solar cell manufacturing capacity with a new South Carolina facility,2026-09-08,$835M,500-700,A domestic solar manufacturer scaling capacity fourfold on fresh nine-figure capital is building an American-manufacturing brand story -- sponsorship visibility supports both policy narrative and B2B customer trust as it competes with Asian incumbents.,
