#,category,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1
1,Automation & Robotics,Covariant AI,covariant.ai,United States,AI-powered robotic picking & warehouse automation,~250,250-1k,funded-150m,Medium,Raised well over $150M cumulative venture funding for AI robotics; a growth-stage AI narrative that fits F1's data-driven performance story.
19,Industrial Gases,"Samsung Engineering Co., Ltd.",samsungengineering.com,South Korea,"LNG, hydrogen and industrial-gas plant engineering (EPC)",5500,5k-10k,core,Core – ~$7-8B revenue,Builds LNG/hydrogen and industrial-gas processing plants globally; engineering-scale brand suited to F1's energy-transition sponsorship angle.
20,Industrial Gases,Worley Limited,worley.com,Australia,"Energy, chemicals and gas-processing engineering services",50000,10k+,core,Core – ~$6-7B revenue,"Australian engineering major active in gas processing, hydrogen and carbon-capture projects; regional-champion catch (APAC/Oceania) for the category."
21,Marketing & Sales,Omnicom Group,omnicomgroup.com,United States,Advertising & marketing services holding company,75000,10k+,core,high,"~$14.7B revenue, ~75k employees; agency holding companies use marquee sports sponsorships to showcase integrated brand-building capability to clients, mirroring rival Publicis's existing F1 tie."
22,Marketing & Sales,Yelp Inc,yelp.com,United States,Local business marketing/ads,4000,1k-5k,core,medium,"~$1.4B FY2024 revenue; Yelp is expanding ad services for auto-services and hospitality SMBs, sectors that cluster around F1 race weekends, and has no existing sports sponsorship to anchor brand campaigns."
23,Marketing & Sales,WPP plc,wpp.com,United Kingdom,Advertising & marketing services holding company,100000,10k+,core,high,"World's largest ad holding company (~$15B revenue, ~100k staff); its agencies already run automotive/tech accounts and F1's global, affluent, brand-safe audience fits WPP's cross-agency pitch to CMOs."
24,Marketing & Sales,Interpublic Group (IPG),interpublic.com,United States,Advertising & marketing services holding company,55000,10k+,core,high,"~$10.7B revenue, ~55k staff; IPG (merging with Omnicom) needs high-visibility platforms to prove data-driven media capability, and F1's premium global reach fits its client roster of autos/finance brands."
25,Marketing & Sales,Dentsu Group,dentsu.com,Japan,Advertising & marketing services holding company,66000,10k+,core,high,"~$9B revenue, ~66k employees; Dentsu is the exclusive sales agent for Japanese GP commercial rights and has deep motorsport ties, making direct sponsorship a natural extension of its F1 relationship."
26,Materials & Mech Parts,SSAB AB,ssab.com,Sweden,Advanced high-strength steel,14000,10k+,sentiment,core,"Global leader in advanced high-strength and fossil-free ('HYBRIT') steel used in vehicle safety structures, matching F1's own sustainability and lightweight-safety engineering narrative."
27,Materials & Mech Parts,ArcelorMittal S.A.,corporate.arcelormittal.com,Luxembourg,Steel & mining materials,121000,10k+,sentiment,core,"World's largest steelmaker by output outside China, with major automotive-steel supply business and global brand recognition suited to F1's international sponsor tier."
28,Mobility & Automotive,Toyota Motor Corporation,global.toyota,Japan,Global automaker (passenger & hybrid vehicles),380000,10k+,sentiment,core,"World's largest automaker by volume; currently absent from F1 (competes in WEC/WRC instead), leaving a rare open lane for a top-tier OEM sponsorship or technical-partner conversation."
29,Mobility & Automotive,Kia Corporation,kia.com,South Korea,Global automaker,52000,10k+,sentiment,core,"Fast-growing global OEM investing heavily in performance/EV sub-brands and international sports sponsorship (already active in football, e.g. FIFA), with no existing F1 commitment."
30,Mobility & Automotive,"Lithia Motors, Inc.",lithiamotors.com,United States,Automotive retail & dealer group,28000,10k+,sentiment,core,"Largest U.S. new/used vehicle retailer by revenue, scaling internationally (UK acquisitions); consumer-facing auto retail brands fit F1's growing U.S. fan base and Grand Prix expansion."
31,Mobility & Automotive,"AutoNation, Inc.",autonation.com,United States,Automotive retail & dealer group,26000,10k+,sentiment,core,"One of the largest U.S. automotive retailers, with a consumer marketing budget well suited to reach F1's fast-growing American audience post Netflix 'Drive to Survive'."
32,Mobility & Automotive,"Penske Automotive Group, Inc.",penskeautomotive.com,United States,Automotive & commercial dealer group,19000,10k+,sentiment,core,"Global dealership group under the Penske brand, whose motorsport-steeped ownership (Team Penske in IndyCar/NASCAR) gives an existing racing-marketing culture that could extend into F1 sponsorship."
33,Mobility & Automotive,"Asbury Automotive Group, Inc.",asburyauto.com,United States,Automotive retail & dealer group,15000,10k+,sentiment,core,"Large publicly traded U.S. dealer group actively expanding via acquisition, fitting the profile of consumer-automotive brands using F1's U.S. growth to reach car buyers."
34,Packaging & Food Machinery,"Yamato Scale Co., Ltd.",yamato-scale.co.jp,Japan,"Weighing, checkweighing & packaging machinery for food",2800,1k-5k,core,Low-Mid $250K-1M,Long-established food-industry weighing/packaging equipment maker with revenue above the $200M core threshold; APAC growth ambitions make F1's Japanese/Asian race calendar attractive exposure.
35,Packaging & Food Machinery,Metsä Group,metsagroup.com,Finland,Sustainable packaging materials & paperboard,9300,5k-10k,core,High $2M-5M,Finnish forest-industry group (~EUR5B revenue) producing fibre-based packaging board as an alternative to plastics; sustainability credentials fit F1's renewable-materials sponsorship positioning well.
36,Packaging & Food Machinery,Kloeckner Pentaplast Group (kp),kpfilms.com,Luxembourg,Flexible & rigid packaging films for food/pharma,6000,5k-10k,core,Mid $750K-2M,"Global packaging-film manufacturer (~EUR1.5B revenue, ~6,000 staff) with an active recyclable-materials push, offering a sustainability angle comparable to other packaging sponsors in the space."
37,Packaging & Food Machinery,Archer-Daniels-Midland Company,adm.com,United States,Food ingredient processing & agribusiness supply chain,42000,10k+,core,High $3M-8M,"Fortune 50 agribusiness/ingredients giant (~$85B revenue) supplying flavors, starches and proteins to food manufacturers alongside peers like Kerry and Tate & Lyle already tracked in this category."
38,Packaging & Food Machinery,Bunge Global SA,bunge.com,Switzerland,Agribusiness & food ingredient processing,23000,10k+,core,High $2M-6M,NYSE-listed global oilseed/grain processor (~$50B revenue) supplying edible oils and ingredients to the food industry; scale and international footprint suit a global sponsorship platform like F1.
39,Packaging & Food Machinery,Wilmar International Limited,wilmar-international.com,Singapore,"Agribusiness, food processing & packaging supply chain",100000,10k+,core,High $2M-6M,"Asia's largest agribusiness group (~$60B revenue) spanning edible oils, food processing and packaging; strong APAC growth story aligns with F1's expanding Asian race calendar and fan base."
40,Packaging & Food Machinery,"Cargill, Incorporated",cargill.com,United States,"Food, agriculture & ingredient processing",160000,10k+,core,High $5M+,"Privately held but publicly reported ~$160B-revenue food and agriculture conglomerate; scale far exceeds the core gate, and its ingredient/packaging supply-chain footprint mirrors sponsors already tracked."
41,Storage Hardware,Cubbit S.p.A.,cubbit.io,Italy,"Distributed, geo-cloud object storage",120,100-250,sentiment,"Sentiment: backed by the EIC Fund and CDP Venture Capital; provides sovereign, geo-distributed cloud storage to European enterprise and public-sector customers as an EU alternative to hyperscaler storage",An Italian tech champion with Monza/Imola home-market ties; its EU data-sovereignty message fits Europe-first team sponsorship narratives.
42,Storage Hardware,"Pavilion Data Systems, Inc.",pavilion.io,United States,High-performance NVMe-oF storage arrays for AI/HPC,150,100-250,sentiment,Sentiment: raised over $100M across multiple funding rounds; NVMe storage platforms deployed in AI/ML and high-performance computing clusters,"An ultra-low-latency storage pitch parallels F1's real-time data demands; its compact size mirrors smaller technical partners already in the paddock (e.g., JetCool, Motivair)."
43,TIC,Sterling Check Corp.,sterlingcheck.com,USA,Background screening & identity verification,4700,1k-5k,core,medium,Background-check/identity-verification competitor to Checkr/HireRight already on the list; revenue ~$700M clears the core revenue gate.
44,TIC,SNC-Lavalin Group (AtkinsRealis),atkinsrealis.com,Canada,"Engineering, inspection & infrastructure consulting",36000,10k+,core,high,"Major engineering/inspection firm for transport and venue infrastructure, motorsport-circuit adjacent; revenue >$4B, core."
45,Tools & Industrial Supply,"Airgas, Inc. (Air Liquide)",airgas.com,United States,"Industrial, medical & specialty gases and supply","~20,000",10k+,core,High,~$12B revenue industrial gas and hardgoods distributor with a large-scale industrial customer base fitting an F1 supply-chain sponsorship.
46,Travel & Hospitality,"Melia Hotels International, S.A.",melia.com,Spain,Hotel & resort chain,35000,10k+,core,Mid $750K-2M,"BME-listed European hotel group (~EUR2B revenue) with strong presence near several European F1 venues (Spain, Italy); a logical race-market hospitality partner."
47,Travel & Hospitality,Minor Hotels (Minor International PCL),minorhotels.com,Thailand,"Hotel & resort group (Anantara, NH Hotels)",20000,10k+,core,Mid $750K-2M,"SET-listed hospitality group (~$2B+ revenue) spanning luxury (Anantara) to midscale (NH Hotels) brands across Asia-Pacific and Europe, both regions with F1 race calendars."
48,Travel & Hospitality,Sonesta International Hotels Corporation,sonesta.com,United States,Hotel chain (incl. Extended Stay America),13000,10k+,core,Mid $750K-2M,US hotel operator (~$3B revenue) formed via the Extended Stay America merger; scale clears the core revenue gate and it lacks any current motorsport sponsorship.
49,Travel & Hospitality,Club Med (Fosun Tourism Group),clubmed.com,France,All-inclusive resort operator,14000,10k+,core,Mid $750K-2M,"French all-inclusive resort brand under Fosun Tourism Group, with ~65 resorts worldwide and staffing well above the core employee gate; premium leisure positioning fits F1's lifestyle hospitality tier."
50,Vertical SaaS,Clearwater Analytics,clearwateranalytics.com,United States,Investment management & accounting SaaS,1500,1k-5k,core,medium,"~$400M FY2024 revenue; serves insurers and asset managers, a client base already well represented among F1 sponsors, giving Clearwater a plausible entry point to reach the same institutional-investor decision-makers."
