#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
11,CCC Intelligent Solutions,cccis.com,United States,Auto claims & collision repair software,"2,700-3,000",1k-5k,core,high,"Public (NASDAQ: CCCS), revenue >$900M FY23; connects insurers, repairers and OEMs, aligning with F1's automotive/insurance sponsor categories.",yes,X10a
12,CDK Global,cdkglobal.com,United States,Automotive dealer management system (DMS),"8,500-9,500",5k-10k,core,high,"Taken private by Brookfield Business Partners (2022, ~$8.3B deal); >6,000 employees and multi-billion-dollar revenue scale; deep ties to auto dealer networks that overlap F1's automotive sponsor ecosystem.",yes,X10a
13,Cornerstone OnDemand,cornerstoneondemand.com,United States,Learning and talent management SaaS platform,"2,800+",1k-5k,core,PE-owned (Clearlake Capital); revenue ~$700M+,"Large, well-established HR/learning SaaS platform under major PE ownership; revenue scale clears core gate.",yes,X10b
14,CoStar Group,costargroup.com,United States,"Commercial real estate data, analytics and marketplace platform","6,000+",5k-10k,core,"Public company (NASDAQ: CSGP), revenue ~$2.7B","Large, highly profitable public real estate data/marketplace leader (also owns Homes.com); revenue and headcount scale clearly clear core gate, and not a current F1 sponsor.",yes,X10b
15,Coursera,coursera.org,United States,Online higher-education and professional learning platform,"1,500-2,000",1k-5k,core,"Public company (NYSE: COUR), revenue ~$690M","Public global learning platform with international brand reach matching F1's audience; not an existing F1 sponsor, so remains eligible.",yes,X10b
16,Cox Automotive,coxautoinc.com,United States,"Automotive retail software & marketplace (Manheim, Dealertrack, vAuto)","27,000-34,000",10k+,core,high,"Division of Cox Enterprises (private conglomerate, tens of billions in revenue); Cox Automotive alone reports multi-billion-dollar revenue and >20,000 staff, giving major sponsorship budget capacity.",yes,X10a
17,Definitive Healthcare,definitivehc.com,United States,Healthcare commercial intelligence platform,700-900,250-1k,core,high,"Public (NASDAQ: DH), revenue >$245M FY23; healthcare data/analytics platform serving life-sciences and provider clients.",yes,X10a
18,Descartes Systems Group,descartes.com,Canada,Logistics and supply chain network/routing software,"2,500+",1k-5k,core,"Public company (NASDAQ/TSX: DSGX), revenue ~$550M+",Established public logistics-software provider with global customer network; revenue scale clears core gate.,yes,X10b
19,Diebold Nixdorf,dieboldnixdorf.com,United States,Retail & banking self-service/POS hardware and software,"20,000+",10k+,core,"Public company (NYSE: DBD), revenue ~$3.6B",Large global retail/banking infrastructure vendor with international footprint matching F1's calendar; scale supports team-partner level budgets post balance-sheet recovery.,yes,X10b
20,Docebo,docebo.com,Canada,Corporate learning management system (LMS) SaaS,"800-1,000",250-1k,core,"Public company (NASDAQ: DCBO), revenue ~$200M",Public LMS vendor at the core-revenue threshold with growing enterprise customer base; global reach aligns with F1 audience.,yes,X10b
21,Doximity,doximity.com,United States,Digital platform for medical professionals,800-900,250-1k,core,high,"Public (NYSE: DOCS), revenue >$500M FY24; highly profitable healthcare SaaS with strong physician engagement and brand marketing budget.",yes,X10a
22,Duck Creek Technologies,duckcreek.com,United States,P&C insurance core systems platform (SaaS),"1,600-1,900",1k-5k,core,high,"Taken private by Vista Equity Partners (2023, $2.6B deal); last public-company revenue (NASDAQ: DCT) was >$260M, above the core threshold.",yes,X10a
23,e2open,e2open.com,United States,End-to-end supply chain management SaaS platform,"3,000+",1k-5k,core,"Public company (formerly NYSE: ETWO, taken private by CVC in 2024), revenue ~$650M",Large global supply-chain SaaS platform with revenue scale well above core threshold; strong fit for logistics-category sponsorship.,yes,X10b
24,Ellucian,ellucian.com,United States,Higher education ERP and student information systems SaaS,"3,000+",1k-5k,core,PE-owned (Blackstone/Vista); large revenue base (~$700M+ estimated),Leading higher-ed ERP vendor at meaningful revenue scale under major PE ownership; fits core-tier consideration.,,X10b
25,Enverus,enverus.com,United States,"Energy sector data, analytics and trading software platform","1,800-2,200",1k-5k,core,PE-backed (Hellman & Friedman); large established revenue base (~$400M+ estimated),Leading energy-data platform at meaningful scale with global O&G/utility client base; fits core-tier consideration.,yes,X10b
26,Epic Systems,epic.com,United States,Electronic health record (EHR) software,"13,000-14,000",10k+,core,high,"Privately held, reported revenue >$5B; dominant US hospital-EHR vendor with a workforce far above the 6,000-employee core threshold.",,X10a
27,EverCommerce,evercommerce.com,United States,Vertical SaaS conglomerate incl. healthcare/home-services software,"5,500-6,000",5k-10k,core,high,"Public (NASDAQ: EVCM), revenue >$700M FY23; multi-vertical SaaS holding company with dozens of healthcare/services brands under one public umbrella.",,X10a
28,FieldEdge,fieldedge.com,United States,Field service management software for HVAC/plumbing/electrical trades,300-500,250-1k,core,"Owned by Xplor Technologies (public, ASX: XPL, multi-billion-dollar parent)",Backed by publicly listed Xplor Technologies' global commerce-software portfolio; parent scale supports core-tier evaluation via this unit.,,X10b
29,GK Software (Fujitsu),gk-software.com,Germany,"Retail POS and omnichannel commerce software, now a Fujitsu subsidiary","900-1,200",1k-5k,core,"Wholly owned by Fujitsu (public, multi-billion-dollar parent)",European retail-software specialist backed by Fujitsu's balance sheet; Fujitsu's own motorsport/tech-sponsorship history suggests appetite for F1-adjacent activation via this unit.,,X10b
30,Guidewire Software,guidewire.com,United States,P&C insurance core systems platform,"3,000-3,300",1k-5k,core,high,"Public (NYSE: GWRE), revenue >$900M FY24; the dominant P&C insurance-core software vendor globally, with large enterprise marketing budgets.",yes,X10a
31,Instructure,instructure.com,United States,Learning management system (Canvas) for education,"1,300-1,600",1k-5k,core,"Public/PE-owned (KKR take-private 2020, later relisted), revenue ~$450M+","Large, well-capitalized ed-tech LMS vendor with global higher-ed footprint; revenue scale clears core gate.",yes,X10b
32,Kahoot!,kahoot.com,Norway,Game-based learning and engagement platform for education and enterprise,500-700,250-1k,core,"Public company (Oslo Bors: KAHOT), backed by Goldman Sachs Asset Management take-private in 2023",Global learning-engagement platform with strong European base; Goldman Sachs ownership provides financial backing consistent with core-tier sponsorship capacity.,,X10b
33,Lightspeed Commerce,lightspeedhq.com,Canada,Restaurant & retail POS/commerce platform,"3,000-3,500",1k-5k,core,high,"Public (TSX/NYSE: LSPD), revenue >$900M FY24; global hospitality merchant base overlaps F1's affluent dining/travel demographic; already sponsors sports properties, showing appetite for marketing spend.",,X10a
34,Manhattan Associates,manh.com,United States,Supply chain and omnichannel retail commerce software,"5,000+",1k-5k,core,"Public company (NASDAQ: MANH), revenue ~$900M+","Large, profitable public retail-supply-chain vendor with global enterprise customers; fits core-tier sponsorship budget and brand ambitions.",yes,X10b
35,Mindbody,mindbodyonline.com,United States,Fitness & wellness studio management platform,"2,000-2,300",1k-5k,core,high,"Taken private by Vista Equity Partners (2019, ~$1.9B deal); last public-company revenue (NASDAQ: MB, FY2018) was ~$219M, above the $200M core threshold, and now larger post-ClassPass merger.",yes,X10a
36,MRI Software,mrisoftware.com,United States,Real estate and property management ERP software,"3,500-4,000",1k-5k,core,PE-owned (GI Partners/Harvest Partners); large established revenue base (~$500M+ estimated),"Long-established, large-scale property-management software platform under major PE ownership; scale clears core gate.",yes,X10b
37,NCR Voyix,ncrvoyix.com,United States,Restaurant & retail commerce/POS software,"14,000-16,000",10k+,core,high,"Public (NYSE: VYX), revenue >$2.5B; large enterprise restaurant/retail installed base globally, though F1 fit is more opportunistic given declining hardware legacy mix.",yes,X10a
38,NextGen Healthcare,nextgen.com,United States,Ambulatory EHR & practice management software,"2,500-2,800",1k-5k,core,high,"Acquired by Thoma Bravo (2023, ~$1.8B deal); last public-company revenue (NASDAQ: NXGN) was >$600M, comfortably above the core threshold.",,X10a
39,Olo,olo.com,United States,Restaurant digital ordering & delivery platform,700-900,250-1k,core,high,"Public (NYSE: OLO), revenue >$200M run-rate 2024; enterprise restaurant-brand client base (Cheesecake Factory, Wingstop) gives co-marketing/activation reach at F1 races.",,X10a
40,OpenTable (Booking Holdings),opentable.com,United States,Restaurant reservations platform,"1,500-2,000",1k-5k,core,high,"Parent Booking Holdings is public (NASDAQ: BKNG) with >$21B revenue; not a current F1 sponsor, and OpenTable's global dining network fits F1 host-city hospitality activations.",,X10a
41,PAR Technology,partech.com,United States,Restaurant POS & drive-thru technology,"1,600-1,900",1k-5k,core,high,"Public (NYSE: PAR), revenue >$280M FY23; serves major QSR chains globally, aligning with F1's fan-activation and trackside food & beverage partners.",yes,X10a
42,Phreesia,phreesia.com,United States,Patient intake & engagement software,"2,300-2,600",1k-5k,core,high,"Public (NASDAQ: PHR), revenue >$400M FY24; profitable healthcare SaaS with a large enterprise health-system client base.",yes,X10a
43,PowerSchool,powerschool.com,United States,K-12 education SIS and administration SaaS,"3,000+",1k-5k,core,"Formerly public (NYSE: PWSC, taken private 2024 by Bain Capital); revenue ~$700M+","Dominant K-12 SaaS platform with large revenue base; scale supports core-tier consideration, though education-sector marketing norms lean conservative.",yes,X10b
44,Radial,radial.com,United States,E-commerce fulfillment and omnichannel logistics platform,"5,000+",1k-5k,core,"Wholly owned by GXO Logistics (public, multi-billion-dollar parent)",Large-scale e-commerce fulfillment operator backed by public logistics giant GXO; parent-level balance sheet supports core-tier sponsorship consideration.,,X10b
45,RealPage,realpage.com,United States,Property management and real estate operations SaaS platform,"7,000+",5k-10k,core,"PE-owned (Thoma Bravo, acquired for ~$10.2B in 2021)",Massive-scale property-management SaaS platform under major PE ownership with billions in enterprise value; clears core gate on headcount and deal scale.,yes,X10b
46,Renaissance Learning,renaissance.com,United States,K-12 assessment and learning analytics SaaS,"1,800-2,200",1k-5k,core,PE-owned (Francisco Partners/Blackstone); large revenue base (~$400M+ estimated),Leading K-12 assessment platform at meaningful scale under major PE ownership; fits core-tier evaluation.,yes,X10b
47,Reynolds and Reynolds,reyrey.com,United States,Automotive dealer management system (DMS),"4,500-5,000",1k-5k,core,high,"Privately held, family-owned; long-standing dealer-software leader with reported revenue well above $200M; deep OEM/dealer relationships relevant to F1 automotive partners.",yes,X10a
48,Sabre Corporation,sabre.com,United States,Travel technology & GDS platform for hospitality/airlines,"5,500-6,500",5k-10k,core,high,"Public (NASDAQ: SABR), revenue ~$3B; not an F1 sponsor; deep airline/hotel distribution network aligns with F1's global travel logistics.",yes,X10a
49,Sapiens International,sapiens.com,Israel,Insurance core software platform,"5,500-6,000",5k-10k,core,high,"Public (NASDAQ/TASE: SPNS), revenue >$500M FY23; global insurance-software vendor approaching the core employee threshold as well.",yes,X10a
50,SAS Institute (IDeaS),sas.com,United States,Analytics platform incl. IDeaS revenue management for hospitality,"10,500-12,000",10k+,core,high,"Privately held analytics giant, reported revenue >$3B; IDeaS unit serves hotels worldwide; SAS has no current F1 sponsorship, and its data/analytics positioning mirrors F1 teams' own analytics narrative.",yes,X10a
51,ServiceTitan,servicetitan.com,United States,"Field service management SaaS platform for trades (HVAC, plumbing, electrical)","4,000+",1k-5k,core,"Public company (NASDAQ: TTAN, IPO Dec 2024), revenue ~$770M+","Newly public, high-growth field-service software leader with strong brand-marketing budget and consumer-facing trades narrative; clears core gate.",yes,X10b
52,SiteMinder,siteminder.com,Australia,Hotel distribution & channel management platform,"900-1,100",1k-5k,core,high,"Public (ASX: SDR), revenue >AUD $200M (~US$130M+ and growing); global hotel network spans F1 host cities across APAC, Middle East and Europe.",,X10a
53,Skillsoft,skillsoft.com,United States,Corporate and professional learning SaaS platform,"2,500+",1k-5k,core,"Public company (NYSE: SKIL), revenue ~$550M",Public global learning platform with enterprise reach; revenue scale clears core gate for sponsorship budget.,yes,X10b
54,TELUS Agriculture & Consumer Goods,telus.com,Canada,Agriculture supply chain and farm data software (division of TELUS),"1,500+ (division)",1k-5k,core,"Division of TELUS Corporation (public, multi-billion-dollar parent)",Backed by TELUS's large public balance sheet; telecom parent has global brand ambitions consistent with core-tier sponsorship capacity.,yes,X10b
55,The Climate Corporation (Bayer),climate.com,United States,Digital agriculture/precision-farming decision platform (Bayer Crop Science division),"1,000+",250-1k,core,"Wholly owned by Bayer AG (public, multi-billion-euro parent); Bayer is not a current F1 sponsor",Bayer-backed precision-ag platform with global farmer reach; parent's balance sheet supports core-tier sponsorship and Bayer has no conflicting F1 partnership.,yes,X10b
56,Turnitin,turnitin.com,United States,Academic integrity and plagiarism detection SaaS,"1,400-1,700",1k-5k,core,Owned by Advance Publications; large established revenue base (~$200M+ estimated),Globally dominant academic-integrity platform with international university base; scale and stable ownership support core-tier consideration.,,X10b
57,Tyler Technologies,tylertech.com,United States,"Public sector ERP, courts, tax and records SaaS","9,000+",5k-10k,core,"Public company (NYSE: TYL), revenue ~$2.1B","Largest pure-play govtech vendor in North America; scale and public profile fit core-tier sponsorship, though govtech buyers are typically conservative on discretionary marketing.",yes,X10b
58,Veeva Systems,veeva.com,United States,"Life sciences cloud software (CRM, quality, regulatory)","6,500-7,000",5k-10k,core,high,"Public (NYSE: VEEV), revenue >$2.7B FY24; dominant life-sciences SaaS vendor with global pharma clients overlapping F1's healthcare/pharma sponsor category.",yes,X10a
59,Veradigm (Allscripts),veradigm.com,United States,Healthcare data & EHR technology,"2,200-2,500",1k-5k,core,high,"Public (OTC: MDRX/Veradigm), revenue ~$250M post-divestiture of the hospital EHR business; long-standing healthcare-IT brand.",,X10a
60,Waystar,waystar.com,United States,Healthcare payments & revenue-cycle software,"2,300-2,600",1k-5k,core,high,"Public (NASDAQ: WAY, 2024 IPO), revenue >$800M FY23; large healthcare fintech with enterprise hospital-system client base.",,X10a
61,WiseTech Global,wisetechglobal.com,Australia,Global logistics execution software platform (CargoWise),"5,000+",1k-5k,core,"Public company (ASX: WTC), revenue ~$700M+",Large public global logistics-software leader with international freight-forwarder customer base spanning F1's race calendar; clears core gate.,yes,X10b
62,Xplor Technologies,xplortechnologies.com,Australia,"Vertical SaaS platform incl. fitness/wellness (Xplor Gym, Trainerize)","3,500-4,000",1k-5k,core,high,"Public (ASX: XPL), revenue >AUD $900M FY23; multi-vertical SaaS company with a large global fitness/wellness division.",yes,X10a
63,Yardi Systems,yardi.com,United States,Real estate and property management ERP/SaaS platform,"9,000+",5k-10k,core,Privately held; large established revenue base (multi-billion-dollar estimated),One of the largest private property-management software companies globally with massive scale; clears core gate on headcount and estimated revenue.,yes,X10b
64,Bringg,bringg.com,Israel,Delivery and fulfillment orchestration SaaS for retailers,250-350,250-1k,funded-150m,Raised ~$168M cumulative funding,Well-funded last-mile orchestration platform serving global retail/QSR brands; logistics precision narrative aligns with F1 pit-stop performance messaging.,,X10b
65,Cloudbeds,cloudbeds.com,United States,Hospitality management platform (PMS/channel manager),700-900,250-1k,funded-150m,medium,"Raised >$150M across rounds (Argentum, Blackstone, EPIC/Elephant); serves boutique hotels globally in cities that host or feed F1 travel demand.",,X10a
66,D2L,d2l.com,Canada,Learning management system (Brightspace) for education,"1,000-1,200",1k-5k,funded-150m,"Public company (TSX: DTOL), revenue ~$180M",Public Canadian ed-tech vendor nearing core-revenue scale; global education-market growth strategy could support a growth-tier sponsorship.,yes,X10b
67,FourKites,fourkites.com,United States,Supply chain visibility and predictive logistics platform,700-900,250-1k,funded-150m,"Raised ~$250M cumulative funding, valued at ~$2.3B",Well-funded logistics-visibility unicorn with global freight-carrier network; funding scale clears the gate.,yes,X10b
68,Guesty,guesty.com,United States,Property & vacation-rental management platform,700-900,250-1k,funded-150m,medium,Raised ~$170M Series E (2022) at $1B valuation; short-term rental tech unicorn with strong presence in F1 host cities where fans book accommodation race weekend.,,X10a
69,Housecall Pro,housecallpro.com,United States,Field service management SaaS for home-service businesses,"800-1,000",250-1k,funded-150m,Raised ~$200M+ cumulative funding,Well-funded SMB field-service platform with large trades-industry customer base; funding scale clears the gate.,yes,X10b
70,Kin Insurance,kin.com,United States,Direct-to-consumer home insurance technology platform,400-500,250-1k,funded-150m,medium,"Raised ~$175M total, reaching unicorn status (~$1B+ valuation per 2023 reporting); well-funded insurtech MGA.",yes,X10a
71,Narvar,narvar.com,United States,Post-purchase and returns experience platform for retailers,400-600,250-1k,funded-150m,Raised ~$168M cumulative funding,Well-funded post-purchase CX vendor serving major retail brands; consumer-facing product suits fan-engagement style co-marketing.,,X10b
72,One Inc,oneinc.com,United States,Insurance payments processing platform,300-400,250-1k,funded-150m,medium,"Raised ~$156M total across rounds (Investcorp, Eldridge); crosses the $150M funded threshold in the insurance-payments niche.",,X10a
73,Reonomy,reonomy.com,United States,Commercial real estate data and analytics platform,200-300,250-1k,funded-150m,Raised ~$165M cumulative funding,Well-funded CRE data platform serving investors and brokers; funding scale clears the gate.,yes,X10b
74,Revel Systems,revelsystems.com,United States,iPad-based POS platform for retail and restaurants,400-600,250-1k,funded-150m,Raised ~$260M cumulative venture funding,Well-funded POS challenger looking to differentiate from larger incumbents; sponsorship-tier activation could support enterprise retail sales motion.,,X10b
75,ShipBob,shipbob.com,United States,E-commerce fulfillment and 3PL technology platform,"2,000+",1k-5k,funded-150m,"Raised ~$335M, valued at $1B+",Unicorn-scale fulfillment platform serving thousands of DTC brands; global logistics network mirrors F1's international footprint.,,X10b
76,Span.io,span.io,United States,Smart electrical panel and home energy management software/hardware,300-500,250-1k,funded-150m,Raised ~$230M cumulative funding,Well-funded home-energy-tech company with consumer electrification narrative that resonates with F1's electrification storyline (hybrid power units).,yes,X10b
77,Stord,stord.com,United States,Cloud supply chain and omnichannel fulfillment platform,500-700,250-1k,funded-150m,"Raised ~$340M, valued at ~$1.5B",Well-funded fulfillment-tech unicorn courting e-commerce brand logos; F1 sponsorship could support enterprise credibility push.,,X10b
78,Suki AI,suki.ai,United States,AI voice assistant for clinical documentation,150-250,250-1k,funded-150m,medium,"Raised ~$165M total incl. a Series D (2024, Google Venture Studios/Advocate Health); crosses the $150M funded threshold in the fast-growing ambient-AI-scribe category.",yes,X10a
79,Tebra,tebra.com,United States,Practice management & patient experience platform (Kareo + PatientPop),700-900,250-1k,funded-150m,medium,"Formed from the 2021 Kareo/PatientPop merger; Kareo alone had raised >$200M pre-merger per Crunchbase, putting the combined entity above the $150M funded threshold.",,X10a
80,TouchBistro,touchbistro.com,Canada,Restaurant POS & management software,600-800,250-1k,funded-150m,medium,"Raised >$150M across rounds (BMO, OMERS-backed); positioned as a Toast alternative for independent restaurants, could use F1 hospitality tie-ins for brand lift against larger rivals.",,X10a
81,Uplight,uplight.com,United States,Utility customer engagement and energy-efficiency SaaS platform,"800-1,000",250-1k,funded-150m,Raised ~$300M+ cumulative funding from utility/strategic investors,Well-funded utility-software platform partnering with major North American utilities; funding scale clears gate for a growth-stage sponsorship pitch.,yes,X10b
82,Vouch Insurance,vouch.us,United States,Business insurance platform for startups/tech companies,300-400,250-1k,funded-150m,medium,"Raised ~$185M total (Series D, 2024, existing investors); crosses the $150M funded threshold, targeting high-growth tech-company clients.",yes,X10a
83,VTS,vts.com,United States,Commercial real estate leasing and asset management platform,400-600,250-1k,funded-150m,"Raised ~$200M+ cumulative funding, valued at ~$1.4B",Well-funded commercial real estate leasing platform with unicorn valuation; funding scale clears the gate.,yes,X10b
84,Abridge,abridge.com,United States,AI clinical documentation (ambient scribe) platform,300-500,250-1k,growth-projected,medium,"Raised >$550M total, reaching a $2.75B valuation (2025 Series E, Elad Gil/IVP/Lightspeed-backed rounds reported by press); one of the fastest-growing AI health-tech companies.",yes,X10a
85,Arcadia,arcadia.com,United States,Clean-energy data and community solar platform,400-600,250-1k,growth-projected,Raised $500M+ cumulative funding (equity + project financing),Heavily capitalized clean-energy platform; funding scale and consumer-facing brand ambitions fit growth-projected gate.,,X10b
86,Aurora Solar,aurorasolar.com,United States,"Solar design, sales and proposal software platform",600-800,250-1k,growth-projected,Raised ~$490M cumulative funding,Heavily funded solar-software unicorn with national installer network; funding scale clears growth-projected gate.,,X10b
87,Bloomreach,bloomreach.com,United States,"E-commerce search, merchandising and personalization SaaS","900-1,100",1k-5k,growth-projected,Raised $400M+ cumulative funding,Well-capitalized commerce-experience platform serving global retail brands; growth funding profile fits expanding marketing/sponsorship budgets.,yes,X10b
88,Cart.com,cart.com,United States,Unified commerce and multichannel fulfillment platform,"1,000+",250-1k,growth-projected,Raised ~$440M cumulative funding,Well-capitalized commerce/fulfillment platform consolidating multiple acquisitions; growth-funding scale fits expanding brand-marketing ambitions.,yes,X10b
89,Cedar,cedar.com,United States,Patient financial engagement & billing platform,500-700,250-1k,growth-projected,medium,"Raised ~$350M total, valued at $3.2B (Series D, 2021, Tiger Global/SoftBank); high-growth patient-billing fintech.",yes,X10a
90,Commure,commure.com,United States,Healthcare operations & clinical workflow platform,"900-1,200",1k-5k,growth-projected,medium,"Raised >$800M total, most recently at a $7B valuation (2026, General Catalyst-led round per Fierce Healthcare); one of health-tech's best-funded platforms.",yes,X10a
91,Cover Genius,covergenius.com,Australia,Embedded insurance technology platform,500-600,250-1k,growth-projected,medium,Raised a $100M Series E (2023) at a $1B+ valuation with cumulative funding above $200M per reported rounds; global embedded-insurance platform partnering with major travel/e-commerce brands.,yes,X10a
92,Entrata,entrata.com,United States,Property management software platform for multifamily real estate,"2,500+",1k-5k,growth-projected,"Raised $215M+ in equity/debt funding, valued at over $1B",Well-funded multifamily property-management platform with unicorn valuation; funding/valuation profile clears growth-projected gate.,yes,X10b
93,Farmers Business Network,fbn.com,United States,"Farmer data network, e-commerce and fintech platform",600-800,250-1k,growth-projected,Raised ~$970M cumulative funding,Heavily capitalized ag-tech platform with national farmer network; funding scale clears growth-projected gate.,yes,X10b
94,Flexport,flexport.com,United States,Digital freight forwarding and global trade platform,"3,000+",1k-5k,growth-projected,"Raised $2.6B+ cumulative funding, valued at ~$8B historically",Massively capitalized global freight-forwarding platform with international brand ambitions; funding scale strongly clears growth-projected gate.,yes,X10b
95,Granicus,granicus.com,United States,Government civic engagement and communications SaaS,"1,300-1,600",1k-5k,growth-projected,PE-owned (Vista Equity/Harvest Partners); enterprise value historically $1B+,Large PE-backed govtech platform with broad municipal/federal customer base; scale of ownership supports growth-tier sponsorship consideration despite public-sector marketing constraints.,,X10b
96,H1,h1.co,United States,Healthcare provider data & life-sciences platform,500-700,250-1k,growth-projected,medium,Raised ~$226M total incl. a $123M Series D (2022) at a $2.2B valuation; well-funded life-sciences data platform with pharma-marketing budgets.,yes,X10a
97,Hostaway,hostaway.com,United States,Vacation rental property management software,500-700,250-1k,growth-projected,medium,Received a >$350M growth investment from PSG Equity (2024); fast-scaling short-term rental platform positioned in cities that see F1-weekend accommodation surges.,,X10a
98,Included Health,includedhealth.com,United States,Virtual care & healthcare navigation platform (Doctor On Demand + Grand Rounds),"2,500-3,000",1k-5k,growth-projected,medium,"Formed from the Doctor On Demand/Grand Rounds merger; raised several hundred million dollars across combined entities and holds unicorn status, serving large self-insured employers.",yes,X10a
99,Indigo Ag,indigoag.com,United States,"Agricultural biotech, carbon markets and grain marketplace platform",600-800,250-1k,growth-projected,Raised ~$1.2B cumulative funding,One of the most heavily funded ag-tech companies globally; funding scale clears growth-projected gate despite recent restructuring.,,X10b
100,Innovaccer,innovaccer.com,United States,Healthcare data platform & population health SaaS,"2,000-2,300",1k-5k,growth-projected,medium,"Raised $675M total across 9 rounds, reaching a $3.45B valuation; well-capitalized health-data unicorn with global (incl. India) engineering scale.",yes,X10a
101,Komodo Health,komodohealth.com,United States,Healthcare data & analytics platform,"800-1,000",250-1k,growth-projected,medium,"Raised ~$314M total (Series E, 2021-2022, General Atlantic/Tiger Global); well-funded healthcare-data unicorn.",yes,X10a
102,Lyra Health,lyrahealth.com,United States,Employer-sponsored mental health benefits platform,"1,500-2,000",1k-5k,growth-projected,medium,"Raised ~$900M total, valued at $5.6B in its last reported round; one of the best-capitalized mental-health benefits platforms, sold to large employers with brand budgets.",yes,X10a
103,Mark43,mark43.com,United States,Public safety and law enforcement records management SaaS,400-600,250-1k,growth-projected,"Raised ~$318M cumulative funding, valued at ~$1.6B","Unicorn-valued public-safety software vendor with strong venture backing; growth-stage profile fits expanding marketing budget, though govtech buyer base limits typical fit.",yes,X10b
104,Mews,mews.com,Czech Republic,Cloud hotel property management system,"800-1,000",250-1k,growth-projected,medium,"Raised $300M Series D (Jan 2026) at $2.5B valuation, ~$475M total raised; fast-growing hotel-tech unicorn expanding into F1 host markets (Europe, Middle East).",,X10a
105,Motive,gomotive.com,United States,"Fleet management, ELD and driver safety platform (formerly KeepTruckin)","2,500+",1k-5k,growth-projected,"Raised ~$970M cumulative funding, valued at ~$2.85B",Heavily capitalized fleet/logistics-tech unicorn with large trucking-industry customer base; funding scale clears growth-projected gate.,yes,X10b
106,Newfront,newfront.com,United States,Digital insurance brokerage technology platform,700-900,250-1k,growth-projected,medium,"Raised ~$300M total, reaching a $2.2B valuation (2021 Series E, Founders Fund/Meritech); one of insurtech's most well-capitalized brokerage platforms.",yes,X10a
107,o9 Solutions,o9solutions.com,United States,AI-driven integrated business/retail supply-chain planning platform,"2,000-3,000",1k-5k,growth-projected,"Raised $295M+, valued at ~$3.7B",Well-capitalized unicorn scaling enterprise retail/CPG accounts globally; growth-stage funding profile matches sponsorship-budget growth trajectory.,yes,X10b
108,OpenGov,opengov.com,United States,"Government budgeting, ERP and permitting cloud software","900-1,200",1k-5k,growth-projected,Raised $170M+ in venture funding; acquired/valued at ~$1.8B in 2023 recapitalization,High-valuation govtech platform expanding across state/local agencies; funding and valuation profile clears growth-projected gate.,yes,X10b
