#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
14,Benchmark Electronics,bench.com,United States,EMS precision manufacturing (aerospace/medical/semi-cap),10000,5k-10k,core,Public (NYSE:BHE); FY2024 revenue ~US$2.6B (10-K),Precision manufacturing for aerospace/medical clients mirrors F1 engineering standards,yes,X02b
15,BOE Technology Group,boe.com,China,Display panels (LCD/OLED) and optics/camera modules,90000,10k+,core,Public (Shenzhen:000725); FY2024 revenue ~US$28B (annual report),World's largest display maker also producing optical/camera modules; scale fits global tech-partner tier (optics flag),yes,X02b
16,Bourns Inc,bourns.com,United States,Passive Components & Circuit Protection,5500,5k-10k,core,"Private; global manufacturer with multi-billion-scale operations, est. 5,000+ employees","Circuit protection/passives maker serving automotive electrification, reliability-story fit",,X02a
17,BYD Electronics International,byd-electronic.com,Hong Kong,EMS/ODM electronics & components,180000,10k+,core,Public (HKEX:0285); FY2024 revenue ~US$18B (annual report),Sister company to BYD's EV business; motorsport ties reinforce group's automotive-electrification story,,X02b
18,Cal-Comp Electronics & Communications,calcomp-ec.com,Thailand,EMS/ODM electronics manufacturing,20000,10k+,core,Public (TWSE:6201); FY2024 revenue ~US$2B (annual report),Growing EMS diversifying into EV components; motorsport ties support that repositioning,,X02b
19,Celestica Inc,celestica.com,Canada,EMS/JDM electronics manufacturing,26000,10k+,core,Public (TSX/NYSE:CLS); FY2024 revenue ~US$9.6B (10-K),Strong recent growth (AI/comms hardware); sponsorship would raise consumer-facing profile,yes,X02b
20,Cicor Group,cicor.com,Switzerland,EMS manufacturing (medical/aerospace/defense),3300,1k-5k,core,Public (SIX:CICN); FY2024 revenue ~CHF400M (annual report),High-reliability Swiss EMS seeking premium engineering-brand positioning in Europe,,X02b
21,Compal Electronics,compal.com,Taiwan,ODM notebooks & EMS,60000,10k+,core,Public (TWSE:2324); FY2024 revenue ~US$30B (annual report),Large ODM with global client base; F1 gives rare direct-to-consumer brand visibility,yes,X02b
22,Compeq Manufacturing,compeq.com.tw,Taiwan,PCB Manufacturing,20000,10k+,core,"Public (TWSE: 2313); revenue ~$1.5B, 20,000+ employees",HDI/flexible PCB maker expanding automotive segment fits electrified-powertrain narrative,,X02a
23,Conrad Electronic,conrad.com,Germany,Electronics & components catalog distribution,3000,1k-5k,core,Private; industry-estimated revenue ~€1B (trade press),Long-established German electronics retailer/distributor with strong maker/engineer brand recognition potential,,X02b
24,CTS Corporation,ctscorp.com,United States,Resonators & Electronic Components,4000,1k-5k,core,"Public (NYSE: CTS); revenue ~$550M, ~4,000 employees",Sensor/resonator maker with automotive focus fits vehicle-electronics sponsorship category,yes,X02a
25,Daeduck Electronics,daeduckelec.com,South Korea,PCB & Substrates,3000,1k-5k,core,"Public (KRX: 353200); revenue ~$500M+, ~3,000 employees",Advanced substrate maker serving automotive/5G electronics fits high-tech sponsorship positioning,,X02a
26,Daishinku Corp (KDS),kds.info,Japan,Crystals & Timing,4000,1k-5k,core,"Public (TSE: 6858, majority owned by Kyocera); revenue est. $300-400M, ~4,000 employees",Crystal device maker (KDS brand) with automotive-grade product line seeking brand exposure,,X02a
27,DBG Technology,dbgtechnology.com,Hong Kong,ODM/EMS consumer electronics,8000,5k-10k,core,Public (HKEX:0862); revenue ~US$500M+ (annual report),Consumer-electronics ODM diversifying product lines; global sponsorship builds brand awareness,,X02b
28,Digi-Key Electronics,digikey.com,United States,Electronic components distribution,5000,1k-5k,core,Private; industry-estimated revenue ~US$5B (trade press),Leading online components distributor with engineer-community brand equity relevant to F1 technical audience,yes,X02b
29,Distrelec Group (Also Holding),distrelec.com,Switzerland,Electronic components distribution,1000,250-1k,core,Subsidiary of Public Also Holding (SIX:ALSN); segment revenue ~€500M (annual report),European online components distributor seeking engineer-audience brand visibility,,X02b
30,E Ink Holdings,eink.com,Taiwan,Electrophoretic (e-paper) display technology,3000,1k-5k,core,Public (TWSE:8069); FY2024 revenue ~US$500M (annual report),Distinctive display technology innovator; motorsport platform supports brand storytelling beyond e-readers,,X02b
31,Eaton Corporation,eaton.com,Ireland,Connectors & Circuit Protection,92000,10k+,core,"Public (NYSE: ETN); revenue ~$24B, ~92,000 employees",Power management and circuit-protection brand seeking motorsport engineering association,yes,X02a
32,Elite Material Co (EMC),emcgroup.com.tw,Taiwan,PCB Laminates,5000,1k-5k,core,"Public (TWSE: 2383); revenue ~$1B, ~5,000 employees",High-speed laminate maker serving networking/automotive fits F1's data-bandwidth story,,X02a
33,Endress+Hauser Group,endress.com,Switzerland,Process instrumentation & sensors,17000,10k+,core,Private; group FY2024 revenue ~€3.3B (company reports),Large family-owned instrumentation group with global reach suited to major sponsorship tiers,yes,X02b
34,Excelpoint Technology,excelpoint.com,Singapore,Electronic components distribution,1000,250-1k,core,Public (SGX:BDF); FY2024 revenue ~US$700M (annual report),Asia-Pacific distributor seeking international brand exposure to complement regional footprint,,X02b
35,Fabrinet,fabrinet.com,Thailand,EMS optical & precision manufacturing,14000,10k+,core,Public (NYSE:FN); FY2024 revenue ~US$3B (10-K),High-precision optical manufacturing story parallels F1 tolerance/performance engineering,yes,X02b
36,Fenghua Advanced Technology,fenghua.com.cn,China,Passive Components (resistors/MLCC),8000,5k-10k,core,"Public (Shenzhen: 000636); large domestic passive-component maker, revenue est. $500M+",Large-scale Chinese passive-component maker expanding international automotive customer base,,X02a
37,Flex Ltd,flex.com,Singapore,EMS full turnkey manufacturing,160000,10k+,core,Public (NASDAQ:FLEX); FY2024 revenue ~US$26B (10-K),Diversified EMS giant across automotive/industrial; F1 exposure supports cross-sector brand building,yes,X02b
38,Foxconn / Hon Hai Precision Industry,foxconn.com,Taiwan,EMS/ODM full turnkey electronics manufacturing,800000,10k+,core,"Public (TWSE:2317); FY2024 revenue ~US$220B, 800k+ global staff (annual report)",World's largest electronics manufacturer; global scale and precision-manufacturing story fits F1 engineering narrative and B2B hospitality reach,yes,X02b
39,Foxconn Industrial Internet (FII),fii-foxconn.com,China,"EMS/ODM cloud, AI server & networking hardware",200000,10k+,core,Public (Shanghai:601138); FY2024 revenue ~US$60B (annual report),AI/cloud infrastructure narrative fits F1's data-and-computing storyline; distinct listing from parent Foxconn,yes,X02b
40,Foxconn Interconnect Technology,fit-foxconn.com,Taiwan,Connectors,40000,10k+,core,"Public (HKEX: 6088); part of Hon Hai/Foxconn group, revenue several billion USD, tens of thousands of employees",Large-scale connector manufacturer expanding EV/automotive segment could use F1 for credibility,yes,X02a
41,Future Electronics,futureelectronics.com,Canada,Electronic components distribution,5000,1k-5k,core,Private (acquired by WT Microelectronics 2023); industry-estimated revenue ~US$3B (trade press),"Major global distributor now backed by WT Microelectronics' capital, supporting brand-investment capacity",yes,X02b
42,GIS - General Interface Solution Holding,gis.com.tw,Taiwan,Touch panels & cover lens for displays,40000,10k+,core,Public (TWSE:6456); FY2024 revenue ~US$3B (annual report),Major touch-panel/cover-lens maker for global brands seeking its own consumer-facing identity,,X02b
43,Goertek Inc,goertek.com,China,Acoustic components & MEMS sensors,90000,10k+,core,Public (Shenzhen:002241); FY2024 revenue ~US$5B (annual report),"Large acoustic/MEMS manufacturer diversifying into AR/VR and automotive, seeking global brand visibility",yes,X02b
44,Hamamatsu Photonics,hamamatsu.com,Japan,Photonics sensors & detectors,20000,10k+,core,Public (TYO:6965); FY2024 revenue ~US$2B (annual report),Photonics/sensing leader seeking premium global brand story to match its scientific-technology reputation,yes,X02b
45,HannStar Display Corp,hannstar.com,Taiwan,"Display panels (LCD, small/mid-size)",5100,5k-10k,core,"Public (TWSE:6116); TTM revenue ~US$367M, 5,100 staff (PitchBook, verified via search)",Mid-size panel maker seeking brand differentiation in competitive small/mid display market,,X02b
46,HARTING Technology Group,harting.com,Germany,Connectors (industrial),6300,5k-10k,core,"Private (family-owned); revenue ~€900M-1B, ~6,300 employees",Industrial connectivity brand seeking motorsport halo to reach engineering/OEM buyers,yes,X02a
47,Heilind Electronics,heilind.com,United States,Interconnect & electromechanical components distribution,2500,1k-5k,core,Private (DNOW subsidiary since 2023); industry-estimated revenue ~US$1B+ (trade press),"Leading interconnect distributor now backed by public-company parent DNOW, supporting sponsorship investment",yes,X02b
48,Hirose Electric,hirose.com,Japan,Connectors,7000,5k-10k,core,"Public (TSE: 6806); revenue ~$1.5B, ~7,000+ employees","High-density, vibration-resistant connectors align with cockpit electronics and telemetry systems",yes,X02a
49,Honeywell International (Sensing & Safety),honeywell.com,United States,Industrial/aerospace sensors,95000,10k+,core,Public (NASDAQ:HON); group FY2024 revenue ~US$38B (10-K); no current F1 team or series sponsorship identified in 2025 partner searches,Aerospace/industrial technology giant with sensing division fit for a major F1 technology-partner tier,yes,X02b
50,Huaqin Technology,huaqin.com,China,"ODM smartphones, laptops & AI hardware",30000,10k+,core,Public (Shanghai:603296); FY2024 revenue ~US$20B (annual report),Large ODM expanding into AI hardware seeking global brand recognition beyond client-confidential work,,X02b
51,Ibiden Co Ltd,ibiden.com,Japan,PCB & IC Substrates,20000,10k+,core,"Public (TSE: 4062); revenue ~$4B (incl. ceramics), 20,000+ employees",IC-substrate leader with automotive electronics exposure fits precision-manufacturing narrative,yes,X02a
52,ifm electronic,ifm.com,Germany,Industrial sensors & automation,11000,10k+,core,Private; group FY2024 revenue ~€1.5B (company reports),Large privately-held sensor group with strong European industrial base fit for motorsport partnership,yes,X02b
53,Innolux Corporation,innolux.com,Taiwan,Display panels (LCD),30000,10k+,core,Public (TWSE:3481); FY2024 revenue ~US$5B (annual report),Large display maker expanding automotive-panel business relevant to motorsport cockpit displays,,X02b
54,Integrated Micro-Electronics Inc (IMI),global-imi.com,Philippines,EMS electronics manufacturing (automotive/industrial),15000,10k+,core,Private (Ayala Corp subsidiary); revenue ~US$1.3B FY2023 (Ayala annual report),Automotive-electronics EMS with global plants; motorsport fits automotive-engineering identity,,X02b
55,Inventec Corporation,inventec.com,Taiwan,"ODM servers, notebooks & EMS",55000,10k+,core,Public (TWSE:2356); FY2024 revenue ~US$16B (annual report),Server/AI hardware growth; sponsorship builds brand recognition outside its B2B client circle,yes,X02b
56,ITT Cannon (ITT Inc.),ittcannon.com,United States,Connectors (harsh-environment),10000,5k-10k,core,"Division of ITT Inc. (public, NYSE: ITT); parent revenue ~$3.5B, ~10,000 employees group-wide",Legacy Cannon connector brand with harsh-environment pedigree fits motorsport application stories,,X02a
57,J.S.T. Mfg. Co.,jst-mfg.com,Japan,Connectors,10000,5k-10k,core,"Private; global manufacturer with plants across Asia/Americas, est. 10,000+ employees",Miniature/wire-to-board connectors used in motorsport wiring looms; credible engineering fit,,X02a
58,Jabil Inc,jabil.com,United States,EMS full turnkey manufacturing,140000,10k+,core,Public (NYSE:JBL); FY2024 revenue ~US$29B (10-K),Global manufacturing scale and engineering-services story fit F1's precision/performance narrative,yes,X02b
59,Japan Aviation Electronics (JAE),jae.com,Japan,Connectors,10000,5k-10k,core,"Public (part of NEC group listing); revenue ~$1.3B, 10,000+ employees",Aerospace-grade connector heritage resonates with F1's precision-engineering positioning,yes,X02a
60,Jianghai Capacitor,jianghai.com,China,Passive Components (capacitors),6000,5k-10k,core,"Public (Shenzhen: 002484); revenue est. $400-500M, 6,000+ employees",Major Chinese capacitor maker expanding automotive/renewable-energy segments,,X02a
61,Kaifa Technology,kaifagroup.com,China,EMS/ODM electronics manufacturing,25000,10k+,core,Public (Shenzhen:000816); revenue ~US$3B (annual report),Large diversified EMS seeking international brand visibility to support export growth,,X02b
62,Katek SE,katek-group.com,Germany,EMS electronics manufacturing (energy/medical/industrial),3500,1k-5k,core,Public (Frankfurt:KTEK); FY2024 revenue ~€600M (annual report),Energy-transition/e-mobility EMS focus aligns with F1's electrification and sustainability story,,X02b
63,Keyence Corporation,keyence.com,Japan,Industrial sensors & measurement systems,10000,5k-10k,core,Public (TYO:6861); FY2024 revenue ~US$5B (annual report),High-margin measurement/sensor leader with global sales reach and brand-building budget,yes,X02b
64,Kimball Electronics,kimballelectronics.com,United States,EMS automotive/medical/industrial electronics,6000,5k-10k,core,Public (NASDAQ:KE); FY2024 revenue ~US$1.4B (10-K),Automotive-electronics EMS with natural motorsport engineering affinity,yes,X02b
65,Kingboard Holdings,kingboard.com,Hong Kong,PCB Laminates,30000,10k+,core,"Public (HKEX: 0148); revenue ~$4B+, 30,000+ employees",World-leading laminate/PCB materials maker seeking global brand recognition for downstream customers,,X02a
66,Kinsus Interconnect Technology,kinsus.com.tw,Taiwan,IC Substrates,6000,5k-10k,core,"Public (TWSE: 3189); revenue ~$500M+, 6,000+ employees","IC substrate maker serving automotive semiconductor packaging, fits chip-shortage-era tech narrative",yes,X02a
67,Kitron ASA,kitron.com,Norway,EMS electronics manufacturing,2500,1k-5k,core,Public (Oslo Bors:KIT); FY2024 revenue ~NOK5.3B (annual report),Defense/industrial EMS looking to build premium engineering brand across Europe,,X02b
68,Knowles Corporation,knowles.com,United States,MEMS microphones & acoustic sensors,3000,1k-5k,core,Public (NYSE:KN); FY2024 revenue ~US$600M (10-K),MEMS/acoustic sensing innovator wanting broader consumer brand recognition beyond OEM components,,X02b
69,KOA Corporation,koaglobal.com,Japan,Passive Components (resistors),9000,5k-10k,core,"Public (TSE: 6999); revenue ~$700M, ~9,000 employees",Resistor maker with automotive-grade product line fits vehicle-electronics sponsorship categories,,X02a
70,Kyocera Corporation,kyocera.com,Japan,Passive Components & Ceramics (incl. AVX),80000,10k+,core,"Public (TSE: 6971); revenue ~$14B, ~80,000 employees",Ceramics/capacitor heritage (via Kyocera AVX) fits precision-materials sponsorship story,yes,X02a
71,Leuze electronic,leuze.com,Germany,Industrial sensors (optical/safety),1500,1k-5k,core,Private; FY2024 revenue ~€300M (company reports),Optical/safety sensor specialist looking for differentiated brand exposure in a crowded industrial market,yes,X02b
72,LG Display Co,lgdisplay.com,South Korea,Display panels (OLED/LCD),27000,10k+,core,"Public (NYSE/KRX:034220); FY2024 revenue ~US$21B (annual report); prior F1 tech-partner deal ended ~2013, no current F1 sponsorship found in 2025-2026 partner lists",Former F1 official technology partner; OLED cockpit-display relevance and prior F1 familiarity support renewed engagement,,X02b
73,Longcheer Technology,longcheer.com,China,ODM smartphones & electronics,15000,10k+,core,Public (Shanghai:603341); revenue ~US$5B (annual report),Large smartphone ODM looking to build a recognizable global brand beyond OEM anonymity,,X02b
74,Luxshare Precision Industry,luxshare-ict.com,China,EMS/precision components manufacturing,150000,10k+,core,Public (Shenzhen:002475); FY2024 revenue ~US$30B (annual report),Fast-growing precision manufacturer diversifying into automotive/EV; global brand-building priority,yes,X02b
75,Macnica Holdings,macnica.com,Japan,Electronic components distribution & design services,3000,1k-5k,core,Private; group revenue estimated ~US$5B (company reports),Value-added distributor with design services seeking premium engineering-brand positioning,,X02b
76,Meiko Electronics,meiko-elec.com,Japan,PCB Manufacturing,10000,5k-10k,core,"Public (TSE: 6787); revenue ~$1B, 10,000+ employees",Automotive-focused PCB maker with EV/ADAS product lines fits F1's tech-forward positioning,,X02a
77,Methode Electronics,methode.com,United States,Connectors & Sensors,4000,1k-5k,core,"Public (NYSE: MEI); revenue ~$1B, ~4,000 employees",Automotive sensor/connector supplier; EV/motorsport crossover fits current strategy,,X02a
78,Molex,molex.com,United States,Connectors,20000,10k+,core,"Subsidiary of Koch Industries (privately held); Molex revenue est. $4B+, 20,000+ employees",Global connector supplier to automotive/EV; F1 platform showcases connectivity in extreme conditions,yes,X02a
79,Mouser Electronics,mouser.com,United States,Electronic components distribution (Berkshire Hathaway/TTI sibling),3000,1k-5k,core,Private (Berkshire Hathaway subsidiary); industry-estimated revenue ~US$3B (trade press),"Engineer-focused distributor with strong design-community brand equity, well-capitalized via Berkshire",yes,X02b
80,Multi-Fineline Electronix (MFLEX),mflex.com,China,Flexible PCB,10000,5k-10k,core,Subsidiary of DSBJ Group (Shenzhen-listed parent); large-scale flex-PCB manufacturer,Flexible circuit maker serving compact automotive/consumer electronics packages,,X02a
81,Murata Manufacturing,murata.com,Japan,Passive Components (MLCC),75000,10k+,core,"Public (TSE: 6981); revenue ~$14B, ~75,000 employees",World's largest MLCC maker; miniaturized high-reliability components fit EV/hybrid powertrain story,yes,X02a
82,Nan Ya Plastics (Electronic Materials),npc.com.tw,Taiwan,PCB Laminates,15000,10k+,core,"Division of Formosa Plastics Group (public, TWSE: 1303); large diversified conglomerate scale",Copper-clad laminate maker within a major industrial group seeking motorsport materials-tech tie-in,yes,X02a
83,NCAB Group,ncabgroup.com,Sweden,PCB Sourcing & Manufacturing,700,250-1k,core,"Public (Nasdaq Stockholm: NCAB); revenue ~SEK 3B+ (~$300M), ~700 employees",PCB supply-chain specialist seeking European brand exposure via motorsport engineering ties,,X02a
84,NDK (Nihon Dempa Kogyo),ndk.com,Japan,Crystals & Frequency Control,7000,5k-10k,core,"Public (TSE: 6779); revenue ~$700M, ~7,000 employees",Frequency-control device maker; precise timing components resonate with F1 data-synchronization needs,,X02a
85,New Kinpo Group,kinpo.com.tw,Taiwan,ODM/EMS consumer & networking electronics,30000,10k+,core,"Private holding group; member companies publicly listed in Taiwan, group revenue ~US$3B (trade press)",Diversified ODM group looking to build a unified international consumer brand,yes,X02b
86,Neways Electronics International,neways.com,Netherlands,EMS electronics manufacturing,2000,1k-5k,core,Private; group revenue reported ~€300M+ (trade press),European EMS with high-reliability (medical/defense) focus mirroring F1 quality standards,,X02b
87,Nichia Corporation,nichia.co.jp,Japan,LED components (incl. display backlighting),9000,5k-10k,core,"Private; industry-estimated revenue ~US$4B, world's largest LED maker (trade press)",World-leading LED maker seeking wider brand recognition beyond component-supplier anonymity,yes,X02b
88,Nichicon Corporation,nichicon.co.jp,Japan,Passive Components (capacitors),10000,5k-10k,core,"Public (TSE: 6996); revenue ~$1.5B, ~10,000 employees",Capacitor maker expanding into EV/xEV power modules aligns with hybrid F1 powertrain era,,X02a
89,Nippon Chemi-Con,chemi-con.co.jp,Japan,Passive Components (capacitors),9000,5k-10k,core,"Public (TSE: 6997); revenue ~$1B, ~9,000 employees",Capacitor maker with growing automotive/EV segment aligns with hybrid F1 powertrain era,,X02a
90,Nippon Mektron,mektron.co.jp,Japan,Flexible PCB,15000,10k+,core,"Subsidiary of NOK Corporation (public, TSE: 7240); large-scale flex-PCB operation",Flexible circuit leader for automotive/EV battery-management modules,,X02a
91,NOTE AB,note-ems.com,Sweden,EMS electronics manufacturing,1800,1k-5k,core,"Public (Nasdaq Stockholm:NOTE); TTM revenue ~US$400M, ~1,800 staff (PitchBook)",Growing Nordic EMS; sponsorship would differentiate versus larger anonymous contract manufacturers,,X02b
92,Omron Corporation,omron.com,Japan,Industrial/automotive sensing components,28000,10k+,core,Public (TYO:6645); group FY2024 revenue ~US$5B (annual report),Diversified sensing/automation giant seeking consumer-facing brand recognition in Europe/US markets,yes,X02b
93,Omron Electronic Components,components.omron.com,Japan,"Connectors, Relays & Switches",28000,10k+,core,"Division of Omron Corporation (public, TSE: 6645); group revenue ~$5.5B, ~28,000 employees",Electromechanical component maker with automotive relay/switch business fits car-systems sponsorship,,X02a
94,Panasonic Industry,industrial.panasonic.com,Japan,Passive Components & Electronic Materials,240000,10k+,core,"Division of Panasonic Holdings (public, TSE: 6752); group revenue ~$60B; no current F1 team sponsorship identified (Panasonic Jaguar is Formula E, not F1)",Legacy motorsport sponsor (historic Toyota/Honda F1 ties) with automotive components business fit,,X02a
95,PCI Limited,pciltd.com,Singapore,EMS specialist (industrial/connected devices),3810,1k-5k,core,"Private; revenue ~US$288.7M, 3,810 employees (company profile data, verified via search)",Mid-size EMS specialist scaling internationally; motorsport sponsorship builds credibility with new markets,,X02b
96,Pegatron Corporation,pegatroncorp.com,Taiwan,ODM/EMS consumer electronics & motherboards,90000,10k+,core,Public (TWSE:4938); FY2024 revenue ~US$36B (annual report),Major consumer-electronics ODM seeking premium global brand association beyond OEM anonymity,yes,X02b
97,Pepperl+Fuchs SE,pepperl-fuchs.com,Germany,Industrial sensors & automation,6500,5k-10k,core,Private; FY2024 revenue ~€800M (company reports),Established industrial-sensor maker looking to elevate its B2B brand via motorsport association,yes,X02b
98,Phoenix Contact,phoenixcontact.com,Germany,Connectors & Terminal Blocks,22000,10k+,core,"Private (family-owned); revenue ~€3.4B, ~22,000 employees",Industrial connectivity leader with strong engineering-brand fit for team paddock/technical partnerships,yes,X02a
99,Plexus Corp,plexus.com,United States,EMS design & manufacturing,20000,10k+,core,Public (NASDAQ:PLXS); FY2024 revenue ~US$4B (10-K),Engineering-led EMS wanting differentiated brand story versus commodity contract manufacturers,yes,X02b
100,Quanta Computer,quantatw.com,Taiwan,ODM notebooks & AI/cloud servers,80000,10k+,core,Public (TWSE:2382); FY2024 revenue ~US$50B (annual report),Leading AI-server ODM; F1's data/telemetry theme is a natural technology-partner fit,yes,X02b
101,Radiall SA,radiall.com,France,Connectors (RF/coaxial),3500,1k-5k,core,"Private; revenue est. ~€300M+, ~3,500 employees",RF/coax connector maker with aerospace pedigree; telemetry-data storyline fit,yes,X02a
102,Radiant Opto-Electronics,radiant.com.tw,Taiwan,Backlight units & optical modules for displays,15000,10k+,core,Public (TWSE:6176); FY2024 revenue ~US$1B (annual report),Key display-backlight supplier seeking recognition beyond its component-supplier role,,X02b
103,Richardson Electronics,rell.com,United States,Specialty electronic components distribution,500,250-1k,core,Public (NASDAQ:RELL); FY2024 revenue ~US$200M (10-K),Specialty RF/power component distributor at the affordability threshold seeking niche brand visibility,,X02b
104,Rosenberger Group,rosenberger.com,Germany,Connectors (RF/high-speed),7000,5k-10k,core,"Private; revenue est. ~$1.3B, ~7,000+ employees globally",RF/high-speed connector expertise mirrors F1's real-time data-transmission needs,yes,X02a
105,RS Group plc,rs-online.com,United Kingdom,Industrial & electronic components distribution,9000,5k-10k,core,Public (LSE:RS1); FY2024 revenue ~£3B (annual report),UK-headquartered distributor well-positioned for partnership with UK-based F1 teams,,X02b
106,Rutronik Elektronische Bauelemente,rutronik.com,Germany,Electronic components distribution,2000,1k-5k,core,Private; industry-estimated revenue ~€2B (trade press),Major European distributor with strong automotive-sector ties relevant to motorsport,yes,X02b
107,Samsung Display Co,samsungdisplay.com,South Korea,Display panels (OLED/QD),15000,10k+,core,Segment of Public Samsung Electronics; disclosed segment revenue ~US$20B+ FY2024 (annual report),Display-technology leader distinct from Samsung's own consumer brand sponsorships; scale supports major partnership tier,,X02b
108,Samsung Electro-Mechanics,samsungsem.com,South Korea,Passive Components (MLCC),13000,10k+,core,"Public (KRX: 009150); revenue ~$7B, ~13,000 employees; no current F1 team sponsorship identified",MLCC leader expanding automotive-grade components; global motorsport reach fits brand-building goals,yes,X02a
109,Samtec Inc,samtec.com,United States,Connectors (high-speed board-level),7000,5k-10k,core,"Private; global manufacturer, est. 7,000+ employees",High-speed signal-integrity connectors mirror F1's data-acquisition and telemetry demands,yes,X02a
110,Sanmina Corporation,sanmina.com,United States,PCB & Electronics Manufacturing Services,30000,10k+,core,"Public (Nasdaq: SANM); revenue ~$8B, ~30,000 employees",Complex PCB/EMS provider serving automotive and industrial electrification customers,yes,X02a
111,Scanfil Oyj,scanfil.com,Finland,EMS electronics manufacturing,4000,1k-5k,core,Public (Nasdaq Helsinki:SCANFL); FY2024 revenue ~€900M (annual report),Nordic EMS seeking pan-European B2B brand visibility via motorsport platform,,X02b
112,Seiko Epson Corporation,epson.com,Japan,Crystal Devices & Timing,75000,10k+,core,"Public (TSE: 6724); revenue ~$8B, ~75,000 employees",Crystal/oscillator maker with precision-timing story that fits telemetry/data-sync sponsorship angle,yes,X02a
113,Sensata Technologies,sensata.com,United States,Sensors & electrical protection,19000,10k+,core,Public (NYSE:ST); FY2024 revenue ~US$3.9B (10-K),Automotive-sensor giant with direct product relevance to motorsport safety/performance sensing,yes,X02b
114,Sensirion Holding AG,sensirion.com,Switzerland,Environmental & flow sensors,1000,250-1k,core,Public (SIX:SENS); FY2024 revenue ~CHF330M (annual report),High-precision Swiss sensor maker; motorsport telemetry theme is a natural technology-partner fit,yes,X02b
115,Serial System Ltd,serialsystem.com,Singapore,Electronic components distribution,1500,1k-5k,core,Public (SGX:S69); FY2024 revenue ~US$1B (annual report),Diversified Asian distributor building global brand recognition beyond regional markets,,X02b
116,Sharp Corporation,sharp.co.jp,Japan,Display panels & consumer electronics,30000,10k+,core,"Public (TYO:6753, Foxconn majority stake); FY2024 revenue ~US$16B (annual report)",Legacy display/electronics brand seeking relevance revival; distinct entity from parent Foxconn (single entry per dedup rule),,X02b
117,Shengyi Technology,shengyi.com,China,PCB Laminates,20000,10k+,core,"Public (Shenzhen: 600183); revenue ~$2B+, 20,000+ employees",Major copper-clad laminate maker expanding automotive/EV materials segment,,X02a
