sector,rank,priority_score,company,domain,hq_country,niche,employees_est,size_band,tag,timing_signal,other_sport_deal,affordability,why_f1
02 Real Estate & Building Products,9,50,Host Hotels & Resorts,hosthotels.com,US,Largest US lodging REIT (luxury hotel portfolio),200-500,250-1k,core,,,Multi-billion-dollar-revenue REIT.,Luxury hotel guest base directly overlaps F1 race-weekend travelers in Miami/Vegas/Austin.
02 Real Estate & Building Products,10,50,KB Home,kbhome.com,US,US homebuilder,"1,000-2,000",1k-5k,core,,,High affordability given >$6B revenue.,US consumer homebuyer brand targeting the growing domestic F1 fanbase.
02 Real Estate & Building Products,11,50,Keller Williams Realty,kw.com,US,World's largest real estate franchise by agent count (private),"1,000-2,000",1k-5k,core,,,Large private franchise system with substantial recurring revenue.,"Global 180,000+ agent network offers broad consumer/employer-brand reach."
02 Real Estate & Building Products,12,50,Meritage Homes Corporation,meritagehomes.com,US,US homebuilder (energy-efficient focus),"1,000-2,000",1k-5k,core,,,High affordability given >$4B revenue.,Growing Sun Belt homebuyer base near the Austin/Vegas GP markets.
02 Real Estate & Building Products,13,50,Opendoor Technologies,opendoor.com,US,iBuying residential real estate platform,"1,000-2,000",1k-5k,core,,,Feasible given a multi-hundred-million-dollar revenue base.,US consumer housing-transaction brand seeking mainstream visibility akin to F1's crossover US audience.
02 Real Estate & Building Products,14,50,Persimmon plc,persimmonhomes.com,UK,Leading UK homebuilder,"3,000-5,000",1k-5k,core,,,High affordability - billion-pound-plus revenue.,UK home-market consumer brand fit tied to Silverstone GP.
02 Real Estate & Building Products,15,50,Prologis,prologis.com,US,World's largest industrial/logistics REIT,"2,000-3,000",1k-5k,core,,,Very high affordability given multi-billion-dollar revenue.,B2B logistics/supply-chain brand story resonates with F1's own logistics-heavy operation.
02 Real Estate & Building Products,16,50,RE/MAX Holdings,remax.com,US,Global residential real estate franchise,"500-1,000",250-1k,core,,,Franchise-fee revenue model supports a modest sponsorship.,Globally recognized real estate brand seeking international consumer visibility akin to F1's global reach.
02 Real Estate & Building Products,17,50,REA Group,rea-group.com,Australia,"realestate.com.au parent, global property portals","3,000-5,000",1k-5k,core,,,"High affordability - dominant Australian portal, News Corp-backed.",Australian GP home-market brand tie plus regional Asia-Pacific portal footprint (PropertyGuru stake).
02 Real Estate & Building Products,18,50,Related Companies,related.com,US,"Private developer (Hudson Yards, luxury residential)","3,000-4,000",1k-5k,core,,,Multi-billion-dollar private developer comfortably affords the floor budget.,Hudson Yards/luxury-condo buyer profile matches Miami/Vegas GP HNW ticket holders.
02 Real Estate & Building Products,19,50,Rightmove plc,rightmove.co.uk,UK,UK's largest property portal,"500-1,000",250-1k,core,,,High-margin ~$400M+ revenue business.,British GP home-market tie and strong national consumer brand fit.
02 Real Estate & Building Products,20,50,Scout24 SE (ImmoScout24),scout24.com,Germany,Leading German digital property/auto marketplace,"1,000-2,000",1k-5k,core,,,High-margin listed business with >$500M revenue.,German market presence and a strong consumer brand seeking international visibility.
02 Real Estate & Building Products,21,50,Simon Property Group,simon.com,US,Largest US mall/outlet REIT,"3,000-5,000",1k-5k,core,,,Multi-billion-dollar-revenue REIT easily affords the floor budget.,Premium mall-shopper demographic overlaps the luxury/HNW F1 audience in the US.
02 Real Estate & Building Products,22,50,Taylor Morrison Home Corporation,taylormorrison.com,US,Major US homebuilder (Arizona-headquartered),"2,000-3,000",1k-5k,core,,,High affordability given >$7B revenue.,Phoenix/Sun Belt HQ proximity to the Las Vegas GP market and a premium-buyer segment.
02 Real Estate & Building Products,23,50,Taylor Wimpey plc,taylorwimpey.co.uk,UK,Major UK homebuilder,"3,000-5,000",1k-5k,core,,,High affordability - billion-pound-plus revenue.,British GP home-market brand alignment.
02 Real Estate & Building Products,24,50,Tishman Speyer,tishmanspeyer.com,US,Private global developer/investor (Rockefeller Center),"2,000-3,000",1k-5k,core,,,Large global private portfolio supports the sponsorship tier.,"Global trophy-asset portfolio (NY, London, Berlin, SF) fits a B2B/employer-brand play across F1 markets."
02 Real Estate & Building Products,25,50,Toll Brothers Inc,tollbrothers.com,US,America's leading luxury homebuilder,"3,000-5,000",1k-5k,core,,,High affordability given >$10B revenue.,Direct luxury-homebuyer HNW overlap with F1's premium US audience.
02 Real Estate & Building Products,26,50,Vistry Group plc,vistrygroup.co.uk,UK,UK partnerships/homebuilding group,"3,000-5,000",1k-5k,core,,,High affordability - billion-pound-plus revenue.,UK home-market brand alignment with Silverstone GP.
02 Real Estate & Building Products,27,50,Vornado Realty Trust,vno.com,US,NYC/DC office & retail REIT,"1,000-2,000",1k-5k,core,,,Billion-dollar-revenue REIT.,Manhattan trophy-office tenant base fits a B2B employer-brand play tied to US GPs.
02 Real Estate & Building Products,28,46,Andersen Corporation,andersenwindows.com,US,Windows/doors manufacturer (private),"10,000+",5k-10k,core,,,High affordability - large private manufacturer with estimated revenue over $3B.,Premium US homebuilder-channel brand fit for B2B/consumer awareness.
02 Real Estate & Building Products,29,46,Anywhere Real Estate,anywhere.re,US,"Parent of Coldwell Banker, Century 21, Sotheby's International Realty","6,000-10,000",5k-10k,core,,,Multi-billion-dollar-revenue group.,Sotheby's International Realty's luxury-buyer audience is a precise HNW match for F1 sponsorship.
02 Real Estate & Building Products,30,46,Barratt Redrow plc,barrattredrow.co.uk,UK,UK's largest homebuilder post-merger,"6,000-10,000",5k-10k,core,,,High affordability given multi-billion-pound revenue.,British GP home-market national brand-recognition play.
02 Real Estate & Building Products,31,46,Brookfield Properties,brookfieldproperties.com,Canada,Global commercial real estate arm of Brookfield,"6,000-10,000",5k-10k,core,,,Very high affordability given parent Brookfield's ~$900B AUM.,Brookfield's global office/retail/logistics footprint spans nearly every F1 host market.
02 Real Estate & Building Products,32,46,Carlisle Companies,carlisle.com,US,Building envelope/roofing products manufacturer,"6,000-10,000",5k-10k,core,,,High affordability given >$4.5B revenue.,B2B contractor/architect brand exposure play tied to US GP markets.
02 Real Estate & Building Products,33,46,CK Asset Holdings,ckah.com,Hong Kong,Li Ka-shing-linked diversified property group,"6,000-10,000",5k-10k,core,,,Very high affordability given multi-billion-dollar market cap.,Global infrastructure/property portfolio spans several F1 host regions.
02 Real Estate & Building Products,34,46,D.R. Horton,drhorton.com,US,Largest US homebuilder by volume,"10,000+",5k-10k,core,,,Very high affordability given >$30B revenue.,Mainstream US homebuyer brand seeking association with F1's growing US audience (Texas footprint near COTA).
02 Real Estate & Building Products,35,46,Fortune Brands Innovations,fbin.com,US,"Water, security, outdoor building products (Moen, Master Lock)","6,000-10,000",5k-10k,core,,,High affordability given >$4.5B revenue.,Diverse consumer building-products portfolio for mainstream US brand visibility.
02 Real Estate & Building Products,36,46,Henderson Land Development,hld.com,Hong Kong,Family-controlled HK developer,"6,000-10,000",5k-10k,core,,,High affordability as a major HK blue-chip developer.,HNW Hong Kong/Greater Bay Area client base for B2B hospitality activation.
02 Real Estate & Building Products,37,46,Jones Lang LaSalle (JLL),jll.com,US,Global commercial real estate/investment management services,"10,000+",5k-10k,core,,,Multi-billion-dollar-revenue firm.,B2B hospitality play for corporate real estate clients across F1 calendar cities.
02 Real Estate & Building Products,38,46,Keppel Ltd,kepcorp.com,Singapore,"Diversified infrastructure/real estate/asset manager (Temasek-linked, publicly listed)","6,000-10,000",5k-10k,core,,,Multi-billion-dollar diversified group.,Singapore GP home-market presence and a broad Asian infrastructure client base.
02 Real Estate & Building Products,39,46,Lennar Corporation,lennar.com,US,Second-largest US homebuilder,"10,000+",5k-10k,core,,,Very high affordability given >$30B revenue.,Broad US consumer-brand fit with F1's expanding domestic fanbase.
02 Real Estate & Building Products,40,46,Lixil Corporation,lixil.com,Japan,"Global building products (water/housing technology, GROHE/American Standard)","10,000+",5k-10k,core,,,High affordability given >$8B revenue.,Japanese GP home-market tie and a global bathroom/kitchen brand portfolio for consumer visibility.
02 Real Estate & Building Products,41,46,Masco Corporation,masco.com,US,"Building products conglomerate (Behr, Delta Faucet)","10,000+",5k-10k,core,,,High affordability given >$7.5B revenue.,Broad US consumer brand portfolio seeking mainstream sports visibility.
02 Real Estate & Building Products,42,46,Mitsubishi Estate,mec.co.jp,Japan,"Marunouchi/Tokyo commercial real estate, global portfolio","10,000+",5k-10k,core,,,Very high affordability given major Japanese conglomerate revenue base.,Suzuka GP home-market tie-in and international office-tenant B2B audience.
02 Real Estate & Building Products,43,46,Mitsui Fudosan,mitsuifudosan.co.jp,Japan,"Diversified real estate (residential, commercial, retail malls)","10,000+",5k-10k,core,,,Tens of billions in group revenue; trivial affordability.,"Suzuka GP home-market proximity plus global portfolio (Manhattan, London) for B2B exposure."
02 Real Estate & Building Products,44,46,Mohawk Industries,mohawkind.com,US,World's largest flooring manufacturer,"10,000+",5k-10k,core,,,High affordability given >$11B revenue.,Global flooring/design brand seeking premium lifestyle association via F1's design-forward audience.
02 Real Estate & Building Products,45,46,New World Development,nwd.com.hk,Hong Kong,"Diversified developer (residential, retail, hospitality)","6,000-10,000",5k-10k,core,,,Large-cap HK conglomerate revenue base.,Luxury retail/hospitality arm aligns with F1's lifestyle-sponsorship audience.
02 Real Estate & Building Products,46,46,Nomura Real Estate Holdings,nomura-re-hd.co.jp,Japan,Residential/commercial developer,"6,000-10,000",5k-10k,core,,,Multi-billion-dollar revenue base.,Japanese GP home-market brand-building and B2B corporate client entertaining.
02 Real Estate & Building Products,47,46,NVR Inc,nvrinc.com,US,"US homebuilder (Ryan Homes, NVHomes)","6,000-10,000",5k-10k,core,,,High affordability given >$9B revenue.,East Coast US homebuyer audience overlaps the Miami GP's growing regional following.
02 Real Estate & Building Products,48,46,Pella Corporation,pella.com,US,Windows/doors manufacturer (private),"6,000-10,000",5k-10k,core,,,High affordability - large private manufacturer with estimated revenue over $2B.,Premium building-products brand targeting the US homebuilder/architect B2B audience.
02 Real Estate & Building Products,49,46,PulteGroup,pultegroupinc.com,US,"Major US homebuilder (Del Webb, Centex brands)","6,000-10,000",5k-10k,core,,,High affordability given >$16B revenue.,Premium/move-up homebuyer segment aligns with F1's upscale demographic shift in the US.
