list,company,domain,hq_country,subsector,employees_est,size_band,affordability,why_f1,already_in_master_book,source_batch
Insurance - Carriers & Reinsurers,American Family Insurance,amfam.com,United States,Multiline (mutual),13000+,6k-20k,Revenue >$15B; sponsors NASCAR and college athletics at scale,Existing motorsport (NASCAR) sponsorship spend shows budget fit; not present in F1,,L01a
Insurance - Carriers & Reinsurers,Auto-Owners Insurance,auto-owners.com,United States,P&C (mutual),9000+,6k-20k,"Revenue >$8B, profitable mutual",Large profitable regional mutual with room to grow national brand awareness; F1-clean,,L01a
Insurance - Carriers & Reinsurers,The Hartford Financial Services Group,thehartford.com,United States,Commercial P&C,19000+,6k-20k,Revenue >$26B; sponsors PGA Tour and college football playoff,Demonstrated marquee sports-sponsorship spend (golf) with no F1 footprint,,L01a
Insurance - Carriers & Reinsurers,CNA Financial Corporation,cna.com,United States,Commercial P&C,7000+,6k-20k,"Revenue >$12B, profitable public commercial carrier",Large commercial-lines brand seeking differentiated B2B visibility; no motorsport presence,,L01a
Insurance - Carriers & Reinsurers,W. R. Berkley Corporation,berkley.com,United States,Specialty P&C,8000+,6k-20k,"Revenue >$13B, highly profitable specialty underwriter",Fast-growing specialty carrier with strong underwriting profit and no current sports sponsorship footprint,,L01a
Insurance - Carriers & Reinsurers,Markel Group,markel.com,United States,Specialty Insurance,20000+,6k-20k,Revenue >$15B across insurance and Markel Ventures,"Previously a McLaren F1 title sponsor (ended); relationship lapsed, leaving room to re-engage or another team could approach",,L01a
Insurance - Carriers & Reinsurers,Arch Capital Group,archcapgroup.com,Bermuda,Specialty P&C / Reinsurance,5000+,1k-5k,"Revenue >$17B, highly profitable Bermuda-based specialty/reinsurance group",Global specialty underwriter with strong balance sheet and no motorsport sponsorship today,,L01a
Insurance - Carriers & Reinsurers,Everest Group Ltd,everestglobal.com,Bermuda,Reinsurance / Specialty,2500+,1k-5k,Revenue >$16B; profitable global reinsurer,Global reinsurer rebranding (Everest Re to Everest Group) and investing in brand awareness; F1-clean,,L01a
Insurance - Carriers & Reinsurers,RenaissanceRe Holdings,renre.com,Bermuda,Reinsurance,900+,250-1k,"Revenue >$11B, highly profitable specialty reinsurer",Well-capitalized Bermuda reinsurer with global institutional client base and no current sports sponsorship platform,yes,L01a
Insurance - Carriers & Reinsurers,Fairfax Financial Holdings,fairfax.ca,Canada,Multiline P&C Holding,40000+,20k+,"Revenue >$35B; Berkshire-style holding company, very profitable","Global P&C holding company (Odyssey, Allied World, Brit) with international footprint fitting F1's global calendar; F1-clean",,L01a
Insurance - Carriers & Reinsurers,Intact Financial Corporation,intactfc.com,Canada,P&C,30000+,20k+,"Revenue >$20B CAD; largest P&C insurer in Canada, also owns RSA UK",Leading North American/UK P&C group expanding brand across markets; no F1 presence,,L01a
Insurance - Carriers & Reinsurers,Definity Financial Corporation,definityfinancial.com,Canada,P&C,2800+,1k-5k,"Revenue >$2.6B CAD, publicly traded and profitable",Newly public (2023) Canadian carrier (Economical/Sonnet) investing in brand growth; F1-clean,yes,L01a
Insurance - Carriers & Reinsurers,Old Republic International Corporation,oldrepublic.com,United States,Multiline (specialty/title),9000+,6k-20k,"Revenue >$7B, profitable and dividend-focused",Diversified specialty insurer with strong balance sheet seeking broader commercial brand recognition,,L01a
Insurance - Carriers & Reinsurers,Assurant Inc.,assurant.com,United States,Specialty (housing/connected living),14000+,6k-20k,"Revenue >$11B, global specialty insurer","Global consumer-facing specialty insurer (mobile, auto, housing) with international footprint aligned to F1 markets",,L01a
Insurance - Carriers & Reinsurers,Unum Group,unum.com,United States,Life / Disability / Health,10000+,6k-20k,"Revenue >$13B, profitable public life & disability insurer",Large benefits carrier expanding B2B and consumer brand visibility; no F1 tie,,L01a
Insurance - Carriers & Reinsurers,MetLife Inc.,metlife.com,United States,Life & Retirement,45000+,20k+,"Revenue >$70B; one of world's largest life insurers, prior Snoopy-branded global marketing campaigns",Globally recognized brand with history of major marketing investment and no current motorsport sponsorship,yes,L01a
Insurance - Carriers & Reinsurers,Prudential Financial Inc.,prudential.com,United States,Life & Retirement,40000+,20k+,Revenue >$50B; major global life/retirement brand,Iconic US-based Prudential (distinct from UK's M&G-owned Prudential plc) has global ambitions and no F1 presence,yes,L01a
Insurance - Carriers & Reinsurers,Principal Financial Group,principal.com,United States,Life / Retirement,19000+,6k-20k,"Revenue >$14B, publicly traded and profitable",Global retirement and asset-management brand seeking international visibility; F1-clean,yes,L01a
Insurance - Carriers & Reinsurers,Lincoln National Corporation (Lincoln Financial),lincolnfinancial.com,United States,Life & Annuities,10000+,6k-20k,"Revenue >$16B, publicly traded",National financial-protection brand rebuilding marketing investment post-turnaround; no motorsport presence,,L01a
Insurance - Carriers & Reinsurers,Voya Financial,voya.com,United States,Retirement / Life,7500+,6k-20k,"Revenue >$8B, publicly traded and profitable",Workplace benefits and retirement brand investing heavily in marketing since 2014 spinoff; F1-clean,yes,L01a
Insurance - Carriers & Reinsurers,Globe Life Inc.,globelifeinsurance.com,United States,Life Insurance,3500+,1k-5k,"Revenue >$5.5B, publicly traded and highly profitable","Profitable niche life insurer with naming-rights sponsorship history (Globe Life Field, MLB Rangers) showing sports-sponsorship appetite",,L01a
Insurance - Carriers & Reinsurers,Reinsurance Group of America (RGA),rgare.com,United States,Life Reinsurance,3000+,1k-5k,"Revenue >$20B, one of world's largest life reinsurers",Global life/health reinsurer with international operations matching F1's calendar footprint; no sponsorship today,,L01a
Insurance - Carriers & Reinsurers,Kemper Corporation,kemper.com,United States,Specialty P&C,7000+,6k-20k,"Revenue >$4.5B, publicly traded",Specialty auto/personal lines insurer rebuilding brand post-restructuring; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Selective Insurance Group,selective.com,United States,Commercial P&C,2600+,1k-5k,"Revenue >$4B, publicly traded and profitable",Growth-oriented regional commercial carrier expanding national brand; no motorsport presence,,L01a
Insurance - Carriers & Reinsurers,Hanover Insurance Group,hanover.com,United States,Commercial & Personal P&C,4600+,1k-5k,"Revenue >$5.8B, publicly traded and profitable",Independent-agent focused carrier looking to build consumer brand recognition; F1-clean,,L01a
Insurance - Carriers & Reinsurers,American Financial Group,afginc.com,United States,Specialty P&C,8000+,6k-20k,"Revenue >$9B, publicly traded and highly profitable",Diversified specialty P&C group (Great American Insurance) with strong profitability and no sports sponsorship platform,,L01a
Insurance - Carriers & Reinsurers,ProAssurance Corporation,proassurance.com,United States,Specialty (medical liability),900+,250-1k,"Revenue >$1.1B, publicly traded","Niche specialty carrier with public listing and stable revenue base; F1-clean, smaller-scale prospect",,L01a
Insurance - Carriers & Reinsurers,Mercury General Corporation,mercuryinsurance.com,United States,Personal Auto P&C,4300+,1k-5k,"Revenue >$4B, publicly traded",California-based auto insurer with motoring-relevant brand and no current motorsport tie,,L01a
Insurance - Carriers & Reinsurers,Munich Re (Münchener Rück),munichre.com,Germany,Reinsurance,44000+,20k+,Revenue >€57B; world's largest reinsurer,Owns ERGO and is one of the largest global (re)insurers by revenue; no F1 sponsorship despite deep sports-risk expertise,yes,L01a
Insurance - Carriers & Reinsurers,Swiss Re,swissre.com,Switzerland,Reinsurance,15000+,6k-20k,Revenue >$45B; world's second-largest reinsurer,Global reinsurance leader with strong institutional brand and no motorsport sponsorship today,yes,L01a
Insurance - Carriers & Reinsurers,SCOR SE,scor.com,France,Reinsurance,3000+,1k-5k,Revenue >€17B; global top-5 reinsurer,Major European reinsurer rebuilding brand and investor confidence post-2023 turnaround; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Hannover Rück (Hannover Re),hannover-re.com,Germany,Reinsurance,4000+,1k-5k,"Revenue >€28B; world's third-largest reinsurer, highly profitable","Large profitable global reinsurer with no consumer-facing sports sponsorship, seeking differentiated B2B visibility",,L01a
Insurance - Carriers & Reinsurers,PartnerRe Ltd,partnerre.com,Bermuda,Reinsurance,2500+,1k-5k,"Revenue >$7B; owned by Covéa, well capitalized",Global reinsurer under French mutual ownership (Covéa) with international footprint; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Zurich Insurance Group,zurich.com,Switzerland,Multiline P&C & Life,55000+,20k+,"Revenue >$70B; top-5 global insurer, sponsors golf (Zurich Classic) and rugby",Existing marquee sports-sponsorship program (PGA Zurich Classic) proves F1-scale budget; not currently in F1,yes,L01a
Insurance - Carriers & Reinsurers,Assicurazioni Generali,generali.com,Italy,Multiline P&C & Life,82000+,20k+,Revenue >€86B; one of Europe's largest insurers,Pan-European insurance leader (verified not on F1's 2026 partner list) with global growth ambitions in Asia and Americas,yes,L01a
Insurance - Carriers & Reinsurers,Mapfre S.A.,mapfre.com,Spain,Multiline P&C,34000+,20k+,Revenue >€26B; largest Spanish insurer with strong Latin American footprint,Global Iberian/LatAm insurer with existing motorsport ties (MotoGP/MAPFRE has sponsored motorcycling) but absent from F1,yes,L01a
Insurance - Carriers & Reinsurers,Talanx AG (HDI),talanx.com,Germany,Multiline / Reinsurance,24000+,20k+,"Revenue >€50B; Germany's third-largest insurer, owns Hannover Re stake","Large diversified German insurance group (HDI, Hannover Re) with international commercial lines footprint; F1-clean",,L01a
Insurance - Carriers & Reinsurers,Ageas SA/NV,ageas.com,Belgium,Multiline P&C & Life,14000+,6k-20k,Revenue >€13B; pan-European/Asian multiline group,Belgian-headquartered insurer with European and Asian JV footprint seeking brand consolidation under single Ageas name,,L01a
Insurance - Carriers & Reinsurers,Baloise Group,baloise.com,Switzerland,Multiline P&C & Life,7000+,6k-20k,Revenue >CHF 8B; profitable Swiss/Belgian/German insurer,Established Swiss-Belgian insurer investing in digital and brand transformation ('Simply Safe'); F1-clean,,L01a
Insurance - Carriers & Reinsurers,Sampo Group / If P&C Insurance,sampo.com,Finland,P&C,10000+,6k-20k,Revenue >€6B; leading Nordic P&C group,"Nordic region's largest P&C insurer, previously sponsored rally/motorsport in Finland but not F1 today",,L01a
Insurance - Carriers & Reinsurers,Tryg A/S,tryg.com,Denmark,P&C,4000+,1k-5k,"Revenue >DKK 25B; largest Danish P&C insurer, now includes RSA Nordics/UK","Leading Nordic insurer expanded via RSA acquisition, building pan-Nordic/UK brand presence; F1-clean",,L01a
Insurance - Carriers & Reinsurers,Gjensidige Forsikring,gjensidige.no,Norway,P&C (mutual),3900+,1k-5k,Revenue >NOK 30B; largest Norwegian P&C insurer,Major Nordic mutual insurer with strong motoring-line focus and no current motorsport sponsorship,yes,L01a
Insurance - Carriers & Reinsurers,Vienna Insurance Group,vig.com,Austria,Multiline P&C & Life,30000+,20k+,Revenue >€13B; leading CEE insurance group across 30 markets,Dominant Central & Eastern European insurer seeking pan-regional brand recognition; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Uniqa Insurance Group,uniqagroup.com,Austria,Multiline P&C & Life,13000+,6k-20k,Revenue >€6.5B; major Austrian/CEE insurer,Second-largest Austrian insurer with CEE footprint building international brand equity,,L01a
Insurance - Carriers & Reinsurers,NN Group,nn-group.com,Netherlands,Life & P&C,13000+,6k-20k,Revenue >€10B; major Dutch insurer active in 11 countries,"Sponsors professional cycling (NN Running Team) and golf, showing marquee sponsorship appetite absent in F1",,L01a
Insurance - Carriers & Reinsurers,Achmea B.V.,achmea.nl,Netherlands,Multiline (mutual/cooperative),14000+,6k-20k,"Revenue >€22B; largest Dutch insurer (Centraal Beheer, Interpolis, Zilveren Kruis)",Largest Netherlands-based insurance group with strong brand portfolio and no motorsport sponsorship,,L01a
Insurance - Carriers & Reinsurers,Aegon Ltd,aegon.com,Netherlands,Life & Retirement,20000+,6k-20k,"Revenue >€10B; global life/pensions group with UK, US and Asian operations",Global life insurer (Transamerica) with international footprint aligned to F1 calendar; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Aviva plc,aviva.com,United Kingdom,Multiline P&C & Life,23000+,20k+,"Revenue >£16B; UK's largest composite insurer, acquired Direct Line in 2025","UK's leading composite insurer expanding scale via Direct Line acquisition; investing in brand consolidation, no F1 tie",yes,L01a
Insurance - Carriers & Reinsurers,Admiral Group plc,admiralgroup.co.uk,United Kingdom,Motor P&C,11000+,6k-20k,"Revenue >£5B, highly profitable UK motor insurer",UK's largest motor insurer with strong profitability and motoring-relevant brand; no F1 sponsorship despite obvious fit,,L01a
Insurance - Carriers & Reinsurers,Legal & General Group,legalandgeneral.com,United Kingdom,Life / Retirement / Asset Mgmt,9000+,6k-20k,Revenue >£8B; FTSE 100 institutional insurer,Major UK financial-services brand with large institutional client base seeking consumer visibility; F1-clean,yes,L01a
Insurance - Carriers & Reinsurers,Phoenix Group Holdings,thephoenixgroup.com,United Kingdom,Life & Pensions Consolidator,7000+,6k-20k,Revenue >£5B; largest UK long-term savings consolidator,Growing UK life/pensions group (Standard Life brand) investing in brand rebuild; no motorsport presence,,L01a
Insurance - Carriers & Reinsurers,Beazley plc,beazley.com,United Kingdom,Specialty / Lloyd's,1800+,1k-5k,"Revenue >$6B, highly profitable Lloyd's specialty insurer","Fast-growing, highly profitable Lloyd's specialty underwriter with cyber/marine expertise relevant to F1 team risk; F1-clean",yes,L01a
Insurance - Carriers & Reinsurers,Hiscox Ltd,hiscoxgroup.com,Bermuda,Specialty / Lloyd's,2700+,1k-5k,Revenue >$5B; global specialty insurer with strong brand marketing history,"Known for distinctive brand advertising (art, high-net-worth) with appetite for premium sponsorship; no F1 tie",yes,L01a
Insurance - Carriers & Reinsurers,AXA SA,axa.com,France,Multiline P&C & Life,145000+,20k+,Revenue >€110B; world's largest insurance brand by some rankings,"Formerly Ferrari's insurance partner (relationship lapsed); AXA XL offers motorsport risk products, but AXA is verified absent from F1's current 2026 partner roster",yes,L01a
Insurance - Carriers & Reinsurers,Groupama SA,groupama.com,France,Multiline (mutual),30000+,20k+,Revenue >€16B; major French mutual insurer with rugby (Stade Français) sponsorship history,"Existing sports-sponsorship track record (rugby, cycling team Groupama-FDJ) shows F1-scale marketing appetite",,L01a
Insurance - Carriers & Reinsurers,Covéa (MAAF/MMA/GMF),covea.eu,France,Multiline (mutual),24000+,20k+,"Revenue >€21B; owns PartnerRe reinsurer, large mutual group",Large diversified French mutual group with international reinsurance arm; no motorsport sponsorship currently,,L01a
Insurance - Carriers & Reinsurers,MACIF,macif.fr,France,Multiline (mutual),10000+,6k-20k,Revenue >€8B; major French mutual insurer,Large French mutual insurer with motor-insurance core business and no current motorsport sponsorship,,L01a
Insurance - Carriers & Reinsurers,MAIF,maif.fr,France,Multiline (mutual),7000+,6k-20k,Revenue >€4B; profitable French mutual insurer,"Well-regarded French mutual known for customer-first brand positioning, room for premium marketing partnership",,L01a
Insurance - Carriers & Reinsurers,R+V Versicherung,ruv.de,Germany,Multiline (cooperative),16000+,6k-20k,Revenue >€19B; major German cooperative insurer (part of DZ Bank Group),Large German cooperative-sector insurer with strong balance sheet and no motorsport sponsorship,,L01a
Insurance - Carriers & Reinsurers,ERGO Group AG,ergo.com,Germany,Multiline P&C & Life,28000+,20k+,"Revenue >€21B; Munich Re's primary insurance arm, active in 30+ countries",Munich Re's international retail insurance brand with presence across Europe and Asia; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Debeka Group,debeka.de,Germany,Life & Health (mutual),16000+,6k-20k,Revenue >€12B; Germany's largest private health/life mutual insurer,Germany's leading private health insurer with strong direct-sales brand and untapped premium sponsorship potential,,L01a
Insurance - Carriers & Reinsurers,Signal Iduna Gruppe,signal-iduna.de,Germany,Multiline (mutual),13000+,6k-20k,"Revenue >€6B; major German mutual insurer, sponsors Borussia Dortmund stadium naming rights",Existing large-scale sports sponsorship (Signal Iduna Park) demonstrates budget for marquee sports branding,,L01a
Insurance - Carriers & Reinsurers,VHV Gruppe,vhv-gruppe.de,Germany,P&C (mutual),4000+,1k-5k,Revenue >€5.5B; leading German construction/motor insurer,Motor and construction-liability specialist with room to build a national/international consumer brand,,L01a
Insurance - Carriers & Reinsurers,Helvetia Group,helvetia.com,Switzerland,Multiline P&C & Life,12000+,6k-20k,"Revenue >CHF 11B; pan-European insurer (Switzerland, Germany, Austria, Spain, Italy)",Diversified European insurer with presence across F1 host markets and no current sponsorship platform,,L01a
Insurance - Carriers & Reinsurers,Die Mobiliar (Swiss Mobiliar),mobiliar.ch,Switzerland,Multiline (mutual),5000+,1k-5k,"Revenue >CHF 4.5B; largest Swiss mutual insurer, profitable","Leading Swiss cooperative insurer known for local sports sponsorship, could scale to international motorsport",,L01a
Insurance - Carriers & Reinsurers,Unipol Gruppo,unipol.it,Italy,Multiline P&C,11000+,6k-20k,Revenue >€16B; Italy's largest P&C insurer,Italy's top P&C insurer with strong motor-line business and cultural proximity to Ferrari/Italian GP; no F1 tie,,L01a
Insurance - Carriers & Reinsurers,Mutua Madrileña,mutua.es,Spain,Multiline (mutual),7000+,6k-20k,"Revenue >€5.5B; Spain's largest motor insurance mutual, active sports sponsor","Existing sponsorship of Spanish sports (cycling, tennis via Mutua Madrid Open) proves marquee-sponsorship appetite; not in F1",,L01a
Insurance - Carriers & Reinsurers,Catalana Occidente,grupocatalanaoccidente.com,Spain,Multiline P&C,7000+,6k-20k,Revenue >€5.7B; owns Atradius credit insurance globally,Diversified Spanish insurer with global credit-insurance arm (Atradius) and Spanish GP home-market relevance,,L01a
Insurance - Carriers & Reinsurers,Bupa (British United Provident Association),bupa.com,United Kingdom,Health Insurance,85000+,20k+,"Revenue >£16B; global health insurer/provider across UK, Spain, Australia, LatAm, Asia",Truly global health brand with presence in most F1 host countries and no current sponsorship platform,,L01a
Insurance - Carriers & Reinsurers,Royal London Mutual Insurance Society,royallondon.com,United Kingdom,Life & Pensions (mutual),4200+,1k-5k,Revenue >£10B; UK's largest mutual life insurer,Largest UK mutual insurer investing in brand awareness against listed rivals; F1-clean,,L01a
Insurance - Carriers & Reinsurers,NFU Mutual,nfumutual.co.uk,United Kingdom,Multiline (mutual),4300+,1k-5k,Revenue >£2B; profitable UK rural/agricultural mutual insurer,Well-capitalized UK mutual with strong regional brand loyalty and headroom for a national-visibility sports partnership,,L01a
Insurance - Carriers & Reinsurers,Lancashire Holdings Limited,lancashiregroup.com,Bermuda,Specialty / Lloyd's Reinsurance,200+,50-250,"Revenue >$1.2B, highly profitable specialty (re)insurer","Smaller but highly profitable Bermuda/Lloyd's specialty underwriter, plausible niche co-sponsor or team partner",yes,L01a
Insurance - Carriers & Reinsurers,Just Group plc,justgroupplc.co.uk,United Kingdom,Retirement / Annuities,1200+,1k-5k,Revenue >£2B; UK's leading specialist retirement income provider,Growing UK retirement-income specialist looking to build broader consumer brand trust; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Odyssey Group Holdings,odysseygroupholdings.com,United States,Reinsurance / Specialty,2500+,1k-5k,"Revenue >$6B; Fairfax-affiliated global reinsurer, recently IPO'd (2023)",Recently public reinsurer investing in brand independence from parent Fairfax; global specialty book fits F1 sponsor profile,,L01a
Insurance - Carriers & Reinsurers,Arthur J. Gallagher & Co.,ajg.com,United States,Insurance Broker,52000+,20k+,"Revenue >$11B; world's third-largest insurance broker, highly acquisitive and profitable",Global broker scale comparable to Marsh/Aon but without an F1 deal — direct challenger opportunity now that Marsh holds F1's slot,yes,L01a
Insurance - Carriers & Reinsurers,Lockton Companies,lockton.com,United States,Insurance Broker,13000+,6k-20k,"Revenue >$4.5B; world's largest privately-held broker, profitable","Largest independent broker globally, actively challenging the Big 3 (Aon/Marsh/WTW); strong motive to differentiate via F1",yes,L01a
Insurance - Carriers & Reinsurers,Brown & Brown Inc.,bbrown.com,United States,Insurance Broker,17000+,6k-20k,"Revenue >$4.8B; publicly traded, highly profitable US broker",Fast-growing publicly traded broker consolidator seeking brand differentiation against larger rivals,,L01a
Insurance - Carriers & Reinsurers,Hub International Limited,hubinternational.com,United States,Insurance Broker,19000+,6k-20k,"Revenue >$4B; top-5 global broker, backed by Hellman & Friedman",Major PE-backed broker consolidator with North American/Canadian scale and global sponsorship ambitions,yes,L01a
Insurance - Carriers & Reinsurers,USI Insurance Services,usi.com,United States,Insurance Broker,10000+,6k-20k,Revenue >$3B; KKR-backed top-10 US broker,Well-capitalized PE-backed broker aggressively expanding national brand presence,yes,L01a
Insurance - Carriers & Reinsurers,Alliant Insurance Services,alliant.com,United States,Insurance Broker,13000+,6k-20k,Revenue >$3.5B; Stone Point/private-equity backed top-10 US broker,Rapidly growing specialty-focused broker with strong PE backing and appetite for premium brand building,yes,L01a
Insurance - Carriers & Reinsurers,Ryan Specialty Group,ryanspecialty.com,United States,Specialty Broker / MGA,5000+,1k-5k,"Revenue >$2.6B; publicly traded, high-growth specialty distributor",High-growth public specialty wholesaler investing heavily in brand since 2021 IPO; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Acrisure LLC,acrisure.com,United States,Insurance Broker / Fintech,17000+,6k-20k,"Revenue >$4B; one of the fastest-growing brokers globally, raised >$1B in recent PE/VC rounds","Hyper-acquisitive broker with major recent capital raises and a stated strategy of high-visibility sports marketing (NHL, soccer sponsorships) — no F1 deal yet",yes,L01a
Insurance - Carriers & Reinsurers,BroadStreet Partners,broadstreetpartners.com,United States,Insurance Broker,9000+,6k-20k,Revenue >$2B; PE-backed top-10 US broker consolidator,"Fast-scaling broker platform backed by major PE sponsors, building national brand identity",yes,L01a
Insurance - Carriers & Reinsurers,Baldwin Insurance Group,baldwin.com,United States,Insurance Broker,4000+,1k-5k,"Revenue >$1.1B; publicly traded (NASDAQ: BWIN), high-growth broker",Publicly traded high-growth broker (formerly Baldwin Risk Partners) with modern brand focus; F1-clean,,L01a
Insurance - Carriers & Reinsurers,AssuredPartners Inc.,assuredpartners.com,United States,Insurance Broker,10000+,6k-20k,Revenue >$2B; Apollo-backed top-15 US broker,Apollo Global-backed broker consolidator with strong capital access for a marquee brand investment,yes,L01a
Insurance - Carriers & Reinsurers,Howden Group Holdings,howdengroup.com,United Kingdom,Insurance Broker,18000+,6k-20k,Revenue >£3B; General Atlantic/CDPQ-backed global broker,Fast-growing global broker aggressively challenging Aon/Marsh/WTW; explicit growth-and-visibility strategy fits F1 sponsorship,yes,L01a
Insurance - Carriers & Reinsurers,The Ardonagh Group,ardonagh.com,United Kingdom,Insurance Broker,11000+,6k-20k,"Revenue >£1.7B; largest independent UK broker, PE-backed (multiple recent capital raises >$150M)",UK's largest independent broker platform with heavy recent PE investment and stated global ambitions,yes,L01a
Insurance - Carriers & Reinsurers,PIB Group,pib-insurance.com,United Kingdom,Insurance Broker,3000+,1k-5k,Revenue >£400M; Carlyle-backed fast-growing European broker consolidator,Carlyle Group-backed European broker platform with recent large funding rounds fueling international brand growth,,L01a
Insurance - Carriers & Reinsurers,Diot-Siaci (SIACI Saint Honoré),diot-siaci.com,France,Insurance Broker,3000+,1k-5k,"Revenue >€500M; France's leading independent broker, backed by Ardian/Butler Industries","Leading French broker group formed via 2021 merger, well-capitalized and building international profile",,L01a
Insurance - Carriers & Reinsurers,Tokio Marine Holdings,tokiomarine-hd.com,Japan,"P&C/Life carrier, global specialty",40000+,20k+,revenue ~$55B/yr; well above $250M revenue gate,"Major global P&C/life group with large international specialty book (incl. Philadelphia Ins, HCC); active global brand-building spend; not an F1 sponsor",,L01b
Insurance - Carriers & Reinsurers,MS&AD Insurance Group Holdings,ms-ad-hd.com,Japan,P&C/Life carrier,36000+,20k+,revenue ~$40B/yr,"Japan's largest P&C insurer (Mitsui Sumitomo, Aioi Nissay Dowa, MSIG); MSIG already sponsors motorsport-adjacent regional properties, no F1 tie",yes,L01b
Insurance - Carriers & Reinsurers,Sompo Holdings,sompo-hd.com,Japan,P&C/Life carrier,30000+,20k+,revenue ~$32B/yr,"Global P&C group with Sompo International specialty arm; strong overseas brand ambitions, no current F1 link",yes,L01b
Insurance - Carriers & Reinsurers,Dai-ichi Life Holdings,dai-ichi-life-hd.com,Japan,Life carrier,55000+,20k+,revenue ~$50B/yr,"One of Japan's largest listed life insurers with global expansion (Protective Life US, TAL Australia); no F1 sponsorship",yes,L01b
Insurance - Carriers & Reinsurers,Nippon Life Insurance,nissay.co.jp,Japan,Life carrier (mutual),70000+,20k+,revenue ~$60B/yr; largest mutual life insurer in Japan,"Massive scale mutual life insurer with growing overseas M&A (US, Asia); no motorsport sponsorship at present",yes,L01b
Insurance - Carriers & Reinsurers,Meiji Yasuda Life Insurance,meijiyasuda.co.jp,Japan,Life carrier (mutual),40000+,20k+,revenue ~$35B/yr,Large Japanese mutual life insurer with international asset management arm; unsponsored in motorsport,,L01b
Insurance - Carriers & Reinsurers,Sumitomo Life Insurance,sumitomolife.co.jp,Japan,Life carrier (mutual),40000+,20k+,revenue ~$30B/yr,"Top-5 Japanese life insurer, active sports sponsor domestically (golf, baseball); no F1 presence",,L01b
Insurance - Carriers & Reinsurers,Samsung Fire & Marine Insurance,samsungfire.com,South Korea,P&C carrier,6000+,5k-6k,revenue ~$15B/yr; Samsung Group affiliate,Korea's largest P&C insurer; Samsung Group has deep global sports sponsorship history (football) but no F1 link for this entity,,L01b
Insurance - Carriers & Reinsurers,Samsung Life Insurance,samsunglife.com,South Korea,Life carrier,6000+,5k-6k,revenue ~$18B/yr,"Korea's largest life insurer, Samsung Group affiliate with global brand ambitions beyond electronics",,L01b
