#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
11,Uphold,uphold.com,250-1k,unknown,~$88M raised,unknown,low,10,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; Endstate; BingX; Zoomex,"Crypto, Trading & Wealth",multi-asset rewards platform
12,Wipro,wipro.com,20k+,~$10.8B (FY2024),n/a (public),~$30B mkt cap,high,10,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
13,Zoho,zoho.com,5k-20k,~$1B+ (est.),n/a (private/bootstrapped),unknown,medium,10,Salesforce; TeamViewer; SAP; 1Password; Smartsheet; Dropbox; Freshworks; Okta; Atlassian; Keeper Security,"Cloud, Data & AI Software; Cyber, IT & Hardware",CRM/business suite rival
14,Bitget,bitget.com,1k-5k,unknown,unknown,unknown,low,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",copy-trading focused exchange
15,Bitpanda,bitpanda.com,250-1k,unknown,~$381M raised,~$4.1B (2021 round),medium,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",EU retail crypto/investing app
16,Bitstamp,bitstamp.net,250-1k,unknown,n/a (acquired by Robinhood 2025),~$200M (2025 acquisition),medium,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",one of the oldest regulated exchanges
17,Blockchain.com,blockchain.com,250-1k,unknown,~$490M raised,"~$7-14B (last known, 2022 round)",low,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",wallet + exchange platform
18,Bybit,bybit.com,1k-5k,unknown,n/a (private/bootstrapped),unknown,low,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",major derivatives-led exchange
19,Capgemini,capgemini.com,20k+,~$24B (2024),n/a (public),~$22B mkt cap,high,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; IndraMind (Indra Sistemas); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
20,HSBC,hsbc.com,20k+,~$66B (2024),n/a (public),~$170B mkt cap,high,9,American Express; Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; Velocity Black (Capital One); BNY,"Payments, Banking & Insurance",UK/global universal bank rival
21,Infosys,infosys.com,20k+,~$18.6B (FY2024),n/a (public),~$80B mkt cap,high,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
22,KuCoin,kucoin.com,1k-5k,unknown,unknown,unknown,low,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",global altcoin-heavy exchange
23,Luno,luno.com,250-1k,unknown,unknown (owned by DCG),unknown,low,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",emerging-markets focused exchange
24,Tata Consultancy Services,tcs.com,20k+,~$29B (FY2024),n/a (public),~$150B mkt cap,high,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
25,Bithumb,bithumb.com,250-1k,unknown,unknown,unknown,low,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",major South Korean exchange
26,Bitso,bitso.com,250-1k,unknown,~$550M raised,~$2.2B (2022 round),medium,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",Latin America exchange
27,Chopard,chopard.com,1k-5k,"~$1-1.5B (est., private)",n/a (private/family-owned),unknown,low,8,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie; Breitling,"Luxury, Fashion & Beauty",Independent Swiss luxury watches
28,Coincheck,coincheck.com,250-1k,unknown,"n/a (public, Coincheck Group)",unknown,low,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",leading Japanese exchange
29,Deutsche Bank,db.com,20k+,~$33B (2024),n/a (public),~$38B mkt cap,high,8,American Express; Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank/wealth rival
30,EPAM Systems,epam.com,20k+,~$4.7B (2024),n/a (public),~$13B mkt cap,high,8,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); RebelDot; NTT DATA,"Cyber, IT & Hardware",digital engineering services
31,Fuchs Petrolub,fuchs.com,5k-20k,~$3.9B (2024),n/a (public),~$4.5B mkt cap,medium,8,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",German lubricants specialist
32,Huobi / HTX,htx.com,250-1k,unknown,unknown,unknown,low,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",legacy Asia-based exchange
33,IG,ig.com,1k-5k,~$1.2B (FY2024),n/a (public),~$3.8B mkt cap,medium,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",large listed CFD/spread-betting broker
34,MEXC,mexc.com,250-1k,unknown,unknown,unknown,low,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",wide-listing altcoin exchange
35,Nike,nike.com,20k+,~$51.4B (FY2024),n/a (public),~$105B mkt cap,high,8,Puma; adidas; Castore; New Era; Oakley (EssilorLuxottica); OGIO (Topgolf Callaway Brands); TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Global sportswear leader
36,PayPal,paypal.com,20k+,~$31.8B (2024),n/a (public),~$75B mkt cap,high,8,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; MoneyGram; Endstate; Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Digital wallet/P2P rival
37,Plus500,plus500.com,250-1k,~$700-800M (2024),n/a (public),~$3.2B mkt cap,medium,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed CFD trading platform
38,Samsung,samsung.com,20k+,~$220B (2024),n/a (public),~$350B mkt cap,high,8,Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; HP; Dell Technologies; Lenovo; Snapdragon (Qualcomm); Philips; WHOOP; Oura,"Cloud, Data & AI Software; Cyber, IT & Hardware; Energy, Industrial & Automotive; Health, Betting & Services",Smart ring
39,Saxo Bank,home.saxo,1k-5k,~$580M (est.),n/a (private),unknown,low,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",multi-asset trading/investment bank
40,Snowflake,snowflake.com,5k-20k,~$3.6B (FY2025),n/a (public),~$55B mkt cap,high,8,AWS (Amazon); Microsoft; Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Alteryx; IBM; VAST Data; Confluent,"Cloud, Data & AI Software",cloud data platform rival
41,Tech Mahindra,techmahindra.com,20k+,~$6.3B (FY2024),n/a (public),~$15B mkt cap,high,8,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
42,Upbit,upbit.com,250-1k,unknown,unknown,unknown,low,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",leading South Korean exchange
43,Wise,wise.com,5k-20k,~$1.3B (FY2024),n/a (public),~$12B mkt cap,high,8,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; MoneyGram; Nu (Nubank); Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Cross-border money transfer rival
44,XTB,xtb.com,1k-5k,~$500M+ (2024),n/a (public),~$3B mkt cap,medium,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed forex/CFD broker
45,Admirals (Admiral Markets),admiralmarkets.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
46,Amsoil,amsoil.com,250-1k,~$300-500M (est.),n/a (private/family-owned),unknown,low,7,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Synthetic lubricants brand
47,Atos,atos.net,20k+,~$11B (2024),n/a (public),"~$500M-1B mkt cap (2025, distressed)",medium,7,Hewlett Packard Enterprise; DXC Technology; Cognizant; Mphasis; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
48,Axi,axi.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
49,Bank of America,bankofamerica.com,20k+,~$102B (2024),n/a (public),~$320B mkt cap,high,7,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Global investment bank rival
50,BNP Paribas,bnpparibas.com,20k+,~$52B (2024),n/a (public),~$80B mkt cap,high,7,Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank rival
51,Capital.com,capital.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",CFD trading platform
52,Citigroup,citigroup.com,20k+,~$81B (2024),n/a (public),~$140B mkt cap,high,7,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; BNY,"Payments, Banking & Insurance",Global emerging-markets banking rival
53,CMC Markets,cmcmarkets.com,250-1k,~$380M (FY2024),n/a (public),~$900M mkt cap,medium,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed CFD/forex broker
54,ENEOS,eneos.co.jp,20k+,~$85B (est.),n/a (public),~$13B mkt cap,medium,7,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",Japanese lubricants co
55,Exness,exness.com,1k-5k,"unknown (highly profitable, private)",n/a (private/bootstrapped),unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",high-volume forex/CFD broker
56,FBS,fbs.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",retail forex/CFD broker
57,Fortinet,fortinet.com,5k-20k,~$5.96B (2024),n/a (public),~$70B mkt cap,high,7,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Ruckus Networks (CommScope); Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",network security
58,Fujitsu,fujitsu.com,20k+,~$25B (est.),n/a (public),~$28B mkt cap,high,7,Hewlett Packard Enterprise; DXC Technology; Cognizant; HP; Dell Technologies; Lenovo; NTT DATA,"Cyber, IT & Hardware",servers/enterprise IT
59,FXCM,fxcm.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",global forex/CFD broker
60,HCLTech,hcltech.com,20k+,~$13.3B (FY2024),n/a (public),~$48B mkt cap,high,7,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
61,IC Markets,icmarkets.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",ECN forex/CFD broker
62,Juniper Networks,juniper.net,5k-20k,~$5.0-5.6B (2024),"n/a (public, acquired by HPE 2025)",~$14B (2025 HPE deal),high,7,Hewlett Packard Enterprise; Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks; Palo Alto Networks,"Cyber, IT & Hardware",enterprise networking
63,Klarna,klarna.com,1k-5k,~$2.8B (2024/2025),$4.5B raised (pre-IPO),~$15B mkt cap (2025 IPO),medium,7,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",Fintech super-app/BNPL overlap
64,OANDA,oanda.com,250-1k,unknown,n/a (private),unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",global forex/CFD broker
65,Panerai,panerai.com,1k-5k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,7,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",Richemont sport-luxury watches
66,PSA Banque France (Stellantis),stellantis.com,20k+,"~$170B (2024, Stellantis group)",n/a (public),~$30-40B mkt cap,high,7,Mobilize Financial Services (Renault Group); Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Payments, Banking & Insurance; Energy, Industrial & Automotive",Multi-brand automaker (Jeep/Chrysler/Peugeot)
67,Societe Generale,societegenerale.com,20k+,~$28B (2024),n/a (public),~$28B mkt cap,high,7,Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank rival
68,Sopra Steria,soprasteria.com,20k+,~$6.3B (2024),n/a (public),~$4.5B mkt cap,high,7,DXC Technology; Cognizant; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
69,ThinkMarkets,thinkmarkets.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
70,Tickmill,tickmill.com,250-1k,unknown,unknown,unknown,low,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",ECN forex/CFD broker
71,Wells Fargo,wellsfargo.com,20k+,~$82B (2024),n/a (public),~$215B mkt cap,high,7,American Express; Santander; Goldman Sachs; Barclays; Standard Chartered; Mobilize Financial Services (Renault Group); BNY,"Payments, Banking & Insurance",Rewards card issuer
72,Zenith,zenith-watches.com,250-1k,unknown (subsidiary of LVMH),n/a (subsidiary of public LVMH),unknown,low,7,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",LVMH chronograph specialist
73,ADNOC,adnoc.ae,20k+,"~$100B+ (2024, est.)",n/a (state-owned),unknown / n/a,low,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",UAE NOC
74,Adobe Experience Cloud,adobe.com,20k+,"~$21.5B (FY2024, Adobe overall)",n/a (public),~$200B mkt cap,high,6,Salesforce; Microsoft; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Smartsheet; JigSpace; Unity,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",AR authoring tool
75,BMW Group,bmwgroup.com,20k+,~$155B (2024),n/a (public),~$58B mkt cap,high,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Luxury/performance automaker
76,Check Point Software,checkpoint.com,5k-20k,~$2.5B (2024),n/a (public),~$19B mkt cap,high,6,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",network/cloud security
77,Chevron,chevron.com,20k+,~$202B (2024),n/a (public),~$280B mkt cap,high,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",US oil major
78,Databricks,databricks.com,5k-20k,"~$2.4B+ ARR (2024, rising)",$19B+ raised,~$100B+ (2025 round),medium,6,Oracle; Alteryx; IBM; VAST Data; Claude (Anthropic); Confluent,"Cloud, Data & AI Software",data/analytics platform rival
79,Genpact,genpact.com,20k+,~$4.6B (2024),n/a (public),~$6.5B mkt cap,high,6,DXC Technology; Cognizant; Mphasis; Xerox; NTT DATA; Deloitte,"Cyber, IT & Hardware; Health, Betting & Services",IT/BPO services
80,Hublot,hublot.com,1k-5k,unknown (subsidiary of LVMH),n/a (subsidiary of public LVMH),unknown,low,6,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",LVMH fusion/sport luxury watches
81,Hyundai Motor Group,hyundai.com,20k+,"~$130B (2024, Hyundai Motor Co.)",n/a (public),~$45B mkt cap,medium,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Mass-market automaker
82,Mercedes-Benz,mercedes-benz.com,20k+,~$158B (2024),n/a (public),~€60B mkt cap,high,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Automaker/F1 works team manufacturer
83,Nissan,nissan-global.com,20k+,~$83B (FY2024),n/a (public),"~$8B mkt cap (2025, distressed)",medium,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Mass-market automaker
84,Omega,omegawatches.com,1k-5k,unknown (subsidiary of Swatch Group),n/a (subsidiary of public Swatch Group),unknown,low,6,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont); Girard-Perregaux; Breitling,"Luxury, Fashion & Beauty",Swatch Group prestige sport watches
85,OMV,omv.com,20k+,~$40B (2024),n/a (public),~€13B mkt cap,medium,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",Fuel retail rival
86,Palantir Technologies,palantir.com,1k-5k,~$2.87B (2024),n/a (public),"~$300B mkt cap (2025, volatile)",medium,6,G42; Microsoft; Alteryx; IBM; Claude (Anthropic); TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",AI/data platform rival
87,PetroChina,petrochina.com.cn,20k+,~$420B (2024),n/a (public),~$200B mkt cap,high,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",China NOC
88,QatarEnergy,qatarenergy.qa,20k+,unknown (state-owned),n/a (state-owned),unknown / n/a,low,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",Qatari NOC
89,Ralph Lauren Corporation,ralphlauren.com,5k-20k,~$6.6B (FY2024),n/a (public),~$16B mkt cap,high,6,LVMH; Louis Vuitton (LVMH); Reiss; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp); TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",American premium fashion house
90,Sinopec,sinopec.com,20k+,~$450B (2024),n/a (public),~$80B mkt cap,high,6,Aramco; Shell; Petronas; Esso (ExxonMobil); bp / Castrol; Eni,"Energy, Industrial & Automotive",China NOC
91,Sophos,sophos.com,1k-5k,~$1B+ (est.),n/a (owned by Thoma Bravo),~$3.9B (2020 buyout),low,6,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Ruckus Networks (CommScope); Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",endpoint security rival
92,Tesla,tesla.com,20k+,~$97.7B (2024),n/a (public),"~$1T mkt cap (2025, volatile)",high,6,Ford; General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group; Audi (Volkswagen Group),"Energy, Industrial & Automotive",EV automaker
93,Under Armour,underarmour.com,5k-20k,~$5.7B (FY2024),n/a (public),~$3.5B mkt cap,high,6,Puma; adidas; Castore; OGIO (Topgolf Callaway Brands); TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Performance sportswear brand
94,Vacheron Constantin,vacheron-constantin.com,1k-5k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,6,TAG Heuer (LVMH); Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Richemont haute horlogerie
95,A. Lange & Sohne,alange-soehne.com,250-1k,unknown (subsidiary of Richemont),n/a (subsidiary of public Richemont),unknown,low,5,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Richemont German haute horlogerie
96,Affirm Holdings,affirm.com,1k-5k,~$2.3B (FY2024),n/a (public),~$18B mkt cap (2025),high,5,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut","Payments, Banking & Insurance",BNPL rival
97,Alibaba Cloud,alibabacloud.com,20k+,"~$15B+ (cloud segment, FY2024)","n/a (public, Alibaba Group)",~$220B mkt cap (Alibaba Group),medium,5,AWS (Amazon); G42; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",global cloud rival
98,Arista Networks,arista.com,1k-5k,~$7.0B (2024),n/a (public),~$120B mkt cap,high,5,Hewlett Packard Enterprise; Cisco; Extreme Networks; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",enterprise/data center networking
99,Audemars Piguet,audemarspiguet.com,1k-5k,~$2.2B (est.),n/a (private/family-owned),unknown,medium,5,TAG Heuer (LVMH); Rolex; Richard Mille; Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Independent haute horlogerie
100,BeyondTrust Remote Support,beyondtrust.com,1k-5k,unknown (PE-owned),unknown,unknown,low,5,TeamViewer; 1Password; Okta; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",privileged remote access rival
