#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,source_batch
36,Enerflex Ltd.,enerflex.com,Canada,Air-Separation Plants & Gas Compression,"~3,600 (post-Exterran merger)",1k-5k,core,"TSX-listed (EFX); FY2024 revenue >CAD 2B (~USD 1.5B), profitable gas-processing/compression equipment leader",Leading natural-gas and industrial-gas processing equipment maker across North America and the Middle East,S3b
37,ESAB Corporation,esabcorp.com,United States,Welding-Gas & Cutting Equipment,"~9,000",5k-10k,core,"NYSE: ESAB; FY2024 revenue >USD 2.7B, profitable global welding/cutting-equipment leader",Major welding and gas-cutting equipment brand (also owns Victor gas-cutting torches); global fabrication-client hospitality,S3b
38,Everest Kanto Cylinder,ekc.co.in,India,Cryogenic Equipment & Gas Cylinders/Tanks,~700-750,250-1k,core,"NSE/BSE-listed; FY24 revenue ~INR 15.0B (~USD 180M), up 22.6% YoY; manufactures CNG, industrial-gas and hydrogen cylinders",Fast-growing Indian CNG/hydrogen-cylinder maker approaching the USD 200M threshold; India GP tie-in,S3b
39,Excelerate Energy Inc.,excelerateenergy.com,United States,LNG Small/Mid-Scale Infrastructure,~600,250-1k,core,"Nasdaq: EE; FY2024 revenue >USD 1B, profitable LNG import/regasification (FSRU) infrastructure leader",Pioneer of floating LNG import infrastructure bringing gas access to emerging markets; growth-market energy-access story,S3b
40,Flex LNG Ltd,flexlng.com,Norway,LNG carrier shipping fleet,~250,250-1k,core,"NYSE & Oslo-listed (FLNG); annual revenue >USD300M, profitable",Modern LNG-carrier owner-operator; Norwegian clean-shipping narrative fit for F1 creative.,W03
41,Flowserve Corporation,flowserve.com,United States,"Gas-Handling, Regulators & Fluid Control","~16,000",10k+,core,"NYSE: FLS; FY2024 revenue >USD 4.5B, profitable global flow-control (pumps, valves, seals) leader","Flow-control technology used across industrial-gas, hydrogen and LNG processes; large global energy-client hospitality base",S3b
42,Fluor Corporation,fluor.com,United States,CO2 Capture Equipment,"~25,000+",10k+,core,"NYSE: FLR; FY2024 revenue >USD 16B, profitable global EPC leader active in carbon-capture and industrial-gas plant construction",Major CCUS and gas-processing plant EPC contractor; US GP triple-market presence,S3b
43,Foosung Co Ltd,foosung.com,South Korea,Fluorine gas & battery-materials producer,"~1,000",250-1k,core,KOSDAQ-listed; revenue est. ~$500M,Fast-growing Korean fluorochemical/specialty-gas maker riding EV and semiconductor demand.,U03
44,FPT Industrial S.p.A.,fptindustrial.com,Italy,Natural-gas & diesel industrial engines,"~7,500",5k-10k,core,Wholly owned by Iveco Group (Milan-listed IVG); parent revenue >USD15B,Iveco Group's engine division builds CNG/LNG industrial engines; Italian GP home-market hospitality fit.,W03
45,Freudenberg Fuel Cell e-Power Systems,freudenberg-fst.com,Germany,Fuel cell components & systems,"~52,000 (Group)",10k+,core,Private foundation-owned; Group revenue ~EUR11B,Deep-pocketed German industrial group's dedicated fuel-cell components business.,U03
46,Fronius International,fronius.com,Austria,Welding-Gas & Cutting Equipment,"~6,000+",5k-10k,core,"Private, family-owned; Group revenue >EUR 1.5B, profitable welding/solar/battery-charging technology group",Major Austrian welding-technology brand with deep pockets and prior motorsport-adjacent (solar/EV) sponsorship interest,S3b
47,Gasunie,gasunie.nl,Netherlands,Gas infrastructure & hydrogen network operator,"~2,000",1k-5k,core,State-owned; large infrastructure balance sheet,Dutch gas-grid operator building Europe's backbone hydrogen network.,U03
48,Gaztransport & Technigaz (GTT),gtt.fr,France,Cryogenic Equipment & Gas Cylinders/Tanks,~700+,250-1k,core,"Euronext Paris-listed (GTT); FY2024 revenue >EUR 380M, exceptionally profitable licensor of LNG cryogenic membrane containment technology",The world's dominant LNG cryogenic-containment technology licensor; French engineering-excellence story with rich margins to fund a marquee deal,S3b
49,GEA Group,gea.com,Germany,Air-Separation Plants & Gas Compression,"~18,000",10k+,core,"Frankfurt-listed (G1A); FY2024 revenue >EUR 5.2B, profitable process-technology group with gas/air-separation components",Major German process-engineering brand with industrial-gas-adjacent separation technology; global client hospitality,S3b
50,Godrej & Boyce (Godrej Process Equipment),godrejinfotech.com,India,Cryogenic Equipment & Gas Cylinders/Tanks,"~15,000+ (Godrej Group)",10k+,core,"Private, family-owned conglomerate; Group revenue >USD 5B (est.), Godrej Process Equipment builds cryogenic and industrial-process vessels",Legacy Indian industrial conglomerate with cryogenic/space-grade process-equipment manufacturing arm,S3b
51,Golar LNG Limited,golarlng.com,Bermuda,LNG Small/Mid-Scale Infrastructure,~250+,250-1k,core,"Nasdaq/Oslo-listed (GLNG); annual revenue >USD 250M, floating LNG (FLNG) infrastructure pioneer",Pioneer of floating LNG liquefaction vessels (FLNG); distinctive engineering story for F1 creative,S3b
52,Gujarat Fluorochemicals Ltd,gfl.co.in,India,Fluorochemicals & specialty/refrigerant gases,"~3,000",1k-5k,core,NSE/BSE-listed; revenue est. ~$700M,Leading Indian fluorogas producer; India GP growth-market fit.,U03
53,Gulf Cryo,gulfcryo.com,Kuwait,Largest independent industrial gas producer in MENA,1300,1k-5k,core,"revenue est. ~$300-400M (private, regional-major scale estimate)",No evidence of F1 sponsorship found.,S3a_v2
54,Haldor Topsoe A/S,topsoe.com,Denmark,Hydrogen Electrolyzers & Infrastructure,"~2,700",1k-5k,core,"Private (majority owned by CVC/Temasek-led consortium); revenue >USD 1B, leading SOEC electrolyzer and catalyst technology maker",World-leading solid-oxide electrolyzer (SOEC) technology house; deep-pocketed private ownership,S3b
55,Halma plc,halma.com,United Kingdom,Gas Detection & Safety Equipment,"~7,500+",5k-10k,core,"LSE-listed (HLMA); FY2024/25 revenue >GBP 2.1B, highly profitable diversified safety-technology group",Owns multiple gas-detection and process-safety subsidiaries; UK home-of-F1 tie-in unactivated,S3b
56,"Hangzhou Hangyang Co., Ltd.",hangyang.com,China,"Air separation equipment and industrial gas production, listed (SZSE)",3000,1k-5k,core,"revenue est. ~$500-700M (listed, estimated)",No evidence of F1 sponsorship found.,S3a_v2
57,Hanwha Ocean (formerly Daewoo Shipbuilding),hanwhaocean.com,South Korea,Cryogenic Equipment & Gas Cylinders/Tanks,"~9,000+",5k-10k,core,"KRX-listed; FY2024 revenue >KRW 8 trillion (~USD 5.8B), major LNG-carrier and cryogenic-containment shipbuilder",Leading LNG-carrier and floating-LNG builder now backed by the Hanwha Group; growth turnaround story,S3b
58,HD Hyundai Heavy Industries,hd-hhi.com,South Korea,Cryogenic Equipment & Gas Cylinders/Tanks,"~13,000+",10k+,core,"KRX-listed; Group revenue >USD 10B, world's largest shipbuilder with cryogenic LNG-carrier containment expertise",Builder of the world's first liquid-hydrogen carrier and largest LNG-carrier fleet supplier; global engineering-brand story,S3b
59,Hexagon Composites ASA / Hexagon Agility,hexagongroup.com,Norway,Cryogenic Equipment & Gas Cylinders/Tanks,"~1,000-1,500 (Hexagon Agility segment >500)",1k-5k,core,"Oslo-listed (OSE: HEX); Group + Agility segment revenue >USD 400-750M, profitable composite-cylinder leader",World leader in composite cylinders for CNG/hydrogen storage and transport; Norwegian clean-energy brand seeking global stage,S3b
60,Hexcel Corporation,hexcel.com,United States,Carbon fiber for hydrogen storage tanks,"~5,500",5k-10k,core,NYSE: HXL; revenue ~$1.9B,Advanced composites maker supplying hydrogen-tank and aerospace markets.,U03
61,Hitachi Zosen Corporation,hitachizosen.co.jp,Japan,LNG storage tanks & cryogenic equipment,"~20,000",10k+,core,TSE-listed; revenue ~$4B,Diversified Japanese heavy-industry group building LNG storage and hydrogen infrastructure.,U03
62,Hudson Technologies Inc,hudsontech.com,United States,Refrigerant sales & reclamation services,~300,250-1k,core,"Nasdaq: HDSN; FY2024 revenue ~USD270M, profitable",Publicly listed US refrigerant-gas services and reclamation leader benefiting from HFC phase-down economics.,W03
63,Hydrogenious LOHC Technologies,hydrogenious.net,Germany,Hydrogen Electrolyzers & Infrastructure,~200+,100-250,core,"Private, Series C; raised >EUR 270M cumulative (incl. Chevron, Mitsui, Fraunhofer-backed round)",Liquid organic hydrogen carrier (LOHC) infrastructure technology maker; growth-stage German hydrogen-logistics leader,S3b
64,Hyosung Chemical,hyosungchemical.com,South Korea,LPG & industrial/specialty gas production arm of Hyosung Group,"~3,000",1k-5k,core,Part of large listed Hyosung conglomerate; group revenue multi-billion,Deep-pocketed Korean chemicals arm with gas-production scale and no F1 presence.,U03
65,Hypertherm Associates,hypertherm.com,United States,Welding-Gas & Cutting Equipment,"~2,000",1k-5k,core,"Private, 100% employee-owned; estimated revenue >USD 500M, profitable global plasma/waterjet/laser cutting leader","Category-defining precision-cutting brand (plasma, waterjet) used across fabrication and motorsport supply chains",S3b
66,Hyundai Mobis,mobis.co.kr,South Korea,Hydrogen fuel cell system manufacturing,"~35,000+",10k+,core,KRX-listed; Group revenue >$35B,"Massive Korean auto-parts major manufacturing hydrogen fuel-cell systems at scale, no F1 tie.",U03
67,Höegh Evi (Höegh LNG Holdings),hoeghevi.com,Norway,LNG Small/Mid-Scale Infrastructure,~350+,250-1k,core,"Oslo-listed; annual charter revenue >USD 250M (estimate), FSRU/floating-LNG infrastructure operator",Norwegian floating-LNG infrastructure specialist; energy-access and clean-fuel narrative fit,S3b
68,IDEX Corporation (Corken),idexcorp.com,United States,Cryogenic Equipment & Gas Cylinders/Tanks,"~7,000 (Group)",5k-10k,core,"NYSE: IEX; FY2024 revenue >USD 3.2B, highly profitable; Corken is IDEX's LPG/industrial-gas pump & compressor brand","Ingredient brand for gas transfer/compression inside a large, profitable industrial conglomerate; global distributor hospitality asset",S3b
69,IHI Corporation,ihi.co.jp,Japan,Hydrogen Electrolyzers & Infrastructure,"~28,000",10k+,core,"TSE-listed (7013.T); Group FY2024 revenue >JPY 1.7 trillion (~USD 11B), profitable; hydrogen/ammonia co-firing and gas-turbine technology maker",Diversified Japanese heavy-industry group building hydrogen and ammonia energy infrastructure; Suzuka GP tie-in,S3b
70,Illinois Tool Works – Welding Segment (Miller Electric),itw.com,United States,Welding-Gas & Cutting Equipment,"~45,000 (ITW Group)",10k+,core,"NYSE: ITW; Group FY2024 revenue >USD 16B, highly profitable; Welding segment (Miller, Hobart) is a top-tier standalone brand",Miller Electric is a category-leading welding brand inside a AAA-rated industrial conglomerate,S3b
71,IMI Precision Engineering (Norgren),norgren.com,United Kingdom,Pneumatic & fluid-control components,"~11,000 (IMI plc Group)",10k+,core,"LSE-listed parent (IMI plc); Group FY2024 revenue >GBP2.1B, profitable",Norgren is IMI plc's leading pneumatics/fluid-control brand serving gas and process industries; UK home-of-F1 tie-in unactivated.,W03
72,Infra S.A. de C.V. (Infra Group),infra.com.mx,Mexico,Largest independent Mexican industrial/medical gas producer,1500,1k-5k,core,"revenue est. ~$250-300M (private, largest independent-Mexico scale estimate)",No evidence of F1 sponsorship found. Added by agent - Mexico/LatAm regional champion.,S3a_v2
73,Ingersoll Rand,irco.com,United States,Air-Separation Plants & Gas Compression,"~19,000",10k+,core,"NYSE: IR; FY2024 revenue >USD 6.9B, profitable global compressor and gas-handling equipment maker",Major industrial gas-compression brand; US GP triple-market presence (Austin/Miami/Vegas),S3b
74,INNIO Group,innio.com,Austria,"Gas engines (Jenbacher, Waukesha)","~4,000",1k-5k,core,"Private (Advent International); FY revenue ~USD2.8B (verified, pre-IPO filing)","Leading gas-engine maker for biogas, hydrogen-blend and industrial-gas power applications; filed for a major US IPO.",W03
75,INOX Air Products,inoxairproducts.com,India,Industrial gases JV (Air Products + INOXGFL); largest ASU network in India,1500,1k-5k,core,"revenue est. ~$400-500M (JV scale, estimated)",No evidence of F1 sponsorship found; listed separately from parent Air Products per brief.,S3a_v2
76,INOX India Limited,inoxcva.com,India,Cryogenic Equipment & Gas Cylinders/Tanks,"~1,100-1,200",1k-5k,core,"NSE/BSE-listed (2023 IPO); FY24 revenue ~INR 1,165 crore (~USD 140M) across Industrial Gas, LNG and Cryo-Scientific segments; FY26 reporting record growth",India's leading cryogenic-tank and LNG-equipment maker; direct India GP growth-market fit,S3b
77,Iwatani Corporation,iwatani.co.jp,Japan,"Industrial/LPG/hydrogen gases, large hydrogen station network operator",7900,5k-10k,core,"revenue ~$5.9B (JPY ~900B, verified group figure)",No evidence of F1 sponsorship found.,S3a_v2
78,JERA Co Inc,jera.co.jp,Japan,"LNG trading, power generation & shipping","~4,600",1k-5k,core,Private JV (TEPCO/Chubu Electric); Group revenue >USD40B,Japan's largest power generator and one of the world's biggest LNG buyers/traders; Suzuka GP tie-in.,W03
79,John Cockerill Group (Hydrogen),johncockerill.com,Belgium,Hydrogen Electrolyzers & Infrastructure,"~8,300 (Group; Hydrogen division ~170)",5k-10k,core,"Private, family/employee-owned; Group FY2024 revenue >USD 1.5B, profitable industrial and hydrogen-electrolyzer group",Major European alkaline electrolyzer gigafactory builder (incl. former McPhy assets); large parent balance sheet,S3b
80,John Zink Hamworthy Combustion (Koch Engineered Solutions),johnzink.com,United States,Combustion & flare equipment,"~2,500 (est., division)",1k-5k,core,"Subsidiary of Koch Industries (private, one of the largest US private companies)",Leading global combustion and flare-equipment brand inside Koch Industries' deep-pocketed industrial platform.,W03
81,Kaeser Kompressoren SE,kaeser.com,Germany,Compressed-air & industrial gas compressors,"~7,000",5k-10k,core,"Private family-owned; revenue est. >EUR1.5B, one of world's largest independent compressor makers","Global compressor manufacturer directly adjacent to industrial-gas production and ASU plants; German engineering brand, no F1 activation found.",W03
82,Kawasaki Heavy Industries,khi.co.jp,Japan,Hydrogen Electrolyzers & Infrastructure,"~37,000",10k+,core,"TSE-listed (7012.T); Group FY2024 revenue >JPY 1.6 trillion (~USD 11B), profitable; built the world's first liquefied-hydrogen carrier ship (Suiso Frontier)",Pioneer of liquid-hydrogen transport and liquefaction infrastructure; landmark 'world's first' engineering story for F1 creative,S3b
83,Kemppi Oy,kemppi.com,Finland,Welding-Gas & Cutting Equipment,~600-650,250-1k,core,"Private, family-owned; FY2024 turnover EUR 159M (down from EUR 210M in 2023)",Leading Nordic arc-welding equipment and software brand; Finnish precision-engineering story,S3b
84,"Kobe Steel, Ltd. (Kobelco Machinery / Kobelco Welding)",kobelco.co.jp,Japan,Air-Separation Plants & Gas Compression,"~35,000 (Group)",10k+,core,"TSE-listed (5406.T); Group revenue >JPY 2.2 trillion (~USD 15B); Machinery segment builds air-separation plants, Kobelco Welding is a top-5 global welding-consumables brand","Dual industrial-gas fit (ASU builder + welding brand) inside a huge, profitable Japanese conglomerate; Suzuka GP tie-in",S3b
85,Larsen & Toubro (Heavy Engineering - Cryogenics),larsentoubro.com,India,Cryogenic Equipment & Gas Cylinders/Tanks,"~50,000+ (L&T Group)",10k+,core,"NSE/BSE-listed; Group FY2024 revenue >USD 27B, highly profitable; Heavy Engineering division builds cryogenic tanks and ASU columns",India's largest engineering conglomerate builds cryogenic and industrial-gas process equipment (incl. for ISRO); India GP growth-market fit,S3b
86,Lincoln Electric Holdings,lincolnelectric.com,United States,Welding-Gas & Cutting Equipment,"~12,000",10k+,core,"Nasdaq: LECO; FY2024 revenue >USD 4.2B, profitable global welding/cutting-equipment leader",Iconic American welding brand with strong motorsport-fabrication ties; US GP triple-market presence,S3b
87,Linde plc,linde.com,"Ireland/UK (dual HQ, Woking+Danbury ops)","Global major - industrial, medical, specialty gases; air separation; hydrogen",68000,10k+,core,"revenue ~$33.0B FY2024 (10-K, verified)",No evidence of F1 team/series sponsorship for 2026; not an F1 sponsor brand.,S3a_v2
88,Luxfer Holdings,luxfer.com,United Kingdom,Cryogenic Equipment & Gas Cylinders/Tanks,"~1,500",1k-5k,core,"NYSE: LXFR; FY2024 revenue >USD 400M, profitable, global gas-cylinder and elektron-alloy maker","Major high-pressure gas-cylinder brand (hydrogen, medical, industrial); UK home-of-F1 tie-in unactivated",S3b
89,MAN Energy Solutions,man-es.com,Germany,Air-Separation Plants & Gas Compression,"~14,000",10k+,core,"Wholly owned by Volkswagen Group (part of TRATON); revenue >EUR 3.5B, profitable gas-engine/compressor and LNG-solutions maker","German engineering brand for gas engines, compressors and LNG equipment; large parent balance sheet",S3b
90,"Matheson Tri-Gas, Inc.",mathesongas.com,USA,US merchant/specialty gases; Nippon Sanso Holdings' primary US brand,1900,1k-5k,core,revenue est. ~$1.5-2B (US subsidiary of Nippon Sanso Holdings),No evidence of F1 sponsorship; listed separately as Nippon Sanso's distinct US-market brand per brief.,S3a_v2
91,Max Weishaupt GmbH (Weishaupt),weishaupt.de,Germany,Industrial burners & combustion technology,"~4,000",1k-5k,core,Private family-owned; revenue est. >EUR700M,Major German combustion-technology group serving industrial-gas and heating markets across Europe.,W03
92,McDermott International,mcdermott.com,United States,Air-Separation Plants & Gas Compression,"~10,000+",5k-10k,core,"Private (post-2020 restructuring); revenue >USD 3B, major LNG/ASU/offshore EPC contractor (legacy CB&I air-separation business)",Historic ASU/LNG plant-construction pedigree; global engineering client base for hospitality,S3b
93,Meritus Gas Partners,meritusgp.com,United States,Independent gas & welding distribution platform,"~1,500 (est., roll-up platform)",1k-5k,core,Private equity-backed (Trilantic Capital); platform revenue est. >USD300M,"PE-backed roll-up of independent US welding/industrial-gas distributors, rapidly consolidating regional players.",W03
94,Messer Cutting Systems,messer-cutting.com,Germany,Welding-Gas & Cutting Equipment,"~1,000-1,300",1k-5k,core,"Private, spun off from Messer Group; estimated revenue in the low hundreds of millions EUR",Global gas and plasma cutting-systems specialist carrying the Messer industrial-gas heritage brand,S3b
95,Messer Group,messergroup.com,Germany,Global independent gas major - industrial/medical/specialty gases,11700,10k+,core,"revenue ~$4.3B (EUR ~3.9B, estimated group)","No evidence of F1 sponsorship found; family-owned, no motorsport branding identified.",S3a_v2
96,MISC Berhad,miscbhd.com,Malaysia,LNG shipping & offshore gas logistics,"~4,000",1k-5k,core,Bursa Malaysia-listed (Petronas-affiliated); FY2024 revenue >USD3B,Major Asian LNG-shipping group; growth-market Southeast Asia narrative fit for F1.,W03
