#,company,domain,hq_country,sector,subsector,employees_est,affordability,why_f1
11,Bikaji Foods International,bikaji.com,India,"Beverages, Food & CPG",Ethnic snacks,"~2,500-3,000","NSE-listed; revenue ~$280M (FY2025), profitable",India's massive young F1 fanbase (no home race) is reachable only via global properties; diaspora retail tie-ins
12,e.l.f. Beauty,elfbeauty.com,United States,"Beverages, Food & CPG",Beauty / personal care,"~1,300","NYSE-listed; revenue ~$1.3B (FY2025), profitable","Already in motorsport (Katherine Legge Indy 500) and NWSL; F1's fast-growing female Gen Z fanbase, no current F1 deal"
13,Harry's Inc,harrys.com,United States,"Beverages, Food & CPG",Grooming / personal care,"~1,300","Est. revenue >$600M (2023); raised $155M (2021) at $1.7B valuation; multi-brand (Flamingo, Lume)",Men's grooming challenger to Gillette; F1's young male global audience is the exact demo; driver grooming content
14,Huel,huel.com,United Kingdom,"Beverages, Food & CPG",Complete nutrition,~400-500,"Revenue ~£214M (~$270M, FY2024), profitable",Performance-nutrition story fits pit crews/drivers; young male DTC audience mirrors F1 growth demo
15,Manscaped,manscaped.com,United States,"Beverages, Food & CPG",Men's grooming,~350,"Est. revenue ~$300M; profitable with proven $1M+/yr sports sponsorships (UFC official partner, SD Padres)",Irreverent sports-sponsorship-led growth model; F1 is the global next step after UFC playbook
16,"Oddity Tech (Il Makiage, SpoiledChild)",oddity.com,Israel,"Beverages, Food & CPG",Beauty / personal care (DTC),~500,"NASDAQ-listed; revenue ~$649M (2024), profitable",Data-driven DTC beauty scaling internationally; F1's young global digital audience for brand launches
17,Parle Agro,parleagro.com,India,"Beverages, Food & CPG","Soft drinks (Frooti, Appy Fizz)","~3,500","Private; revenue ~$1B (FY2023), profitable; proven celebrity/sports marketing spend",India's largest homegrown beverage co; F1 gives youth-culture edge vs Coke/Pepsi and Gulf-diaspora reach
18,Thorne,thorne.com,United States,"Beverages, Food & CPG",Supplements,~750,"Revenue ~$290M (2023); taken private by L Catterton at ~$680M (2023); profitable with pro-sports partnerships (UFC, MLB teams)",NSF-certified performance supplements suit team-partner deals; science-led brand for driver-performance storytelling
19,Acronis,acronis.com,Switzerland,Cybersecurity,Cyber protection / backup & data security,"~1,800",Revenue ~$400M+ est.; EQT acquired majority stake (2024) at ~$4B valuation,"Serial motorsport spender (ex-Williams/Racing Point F1; current F2/F3 with PREMA and Campos in 2026, so no F1-team conflict) — a warm, proven buyer ready to step back up to F1."
20,Cellebrite,cellebrite.com,Israel,Cybersecurity,Digital forensics & intelligence,"~2,000","Revenue ~$400M (2024), NASDAQ-listed, profitable",Profitable digital-intelligence leader courting government and enterprise buyers globally; F1 hospitality is a strong fit and cyber is a proven category.
21,ESET,eset.com,Slovakia,Cybersecurity,Endpoint protection / consumer & SMB security,"~2,300","Revenue ~€700M+ (2023-24), profitable, privately held",Consumer-plus-B2B brand with existing motorsport heritage (ESET Cup series); direct endpoint rivals CrowdStrike and Bitdefender are already on the F1 grid.
22,Mimecast,mimecast.com,United Kingdom,Cybersecurity,Email security & human risk,"~2,400","Revenue ~$600M+ est., Permira-owned","UK-headquartered vendor in F1's home market (7 of 11 teams UK-based); email security rivals lack grid presence, and hospitality suits its mid-enterprise motion."
23,NCC Group,nccgroup.com,United Kingdom,Cybersecurity,Security consulting & managed services,"~2,200","Revenue ~£320M/~$400M (FY2024), LSE-listed","British assurance leader in F1's home industry cluster; consulting brands convert hospitality access to services deals better than most, in a proven cyber category."
24,Orange Cyberdefense,orangecyberdefense.com,France,Cybersecurity,Managed security services (MSSP),"~3,000","Revenue ~€1.1B (2024), profitable arm of Orange Group",Europe's largest MSSP with a French home Grand Prix constituency and parent with past F1 history (Arrows); MDR is now an F1 category via Arctic Wolf-Alpine.
25,Radware,radware.com,Israel,Cybersecurity,Application & DDoS protection,"~1,100","Revenue ~$270M (2024), NASDAQ-listed, profitable with strong cash position",Israeli app-protection stalwart needing brand refresh vs Cloudflare/Akamai; cyber is a proven F1 category and its carrier/enterprise buyers fit hospitality selling.
26,secunet Security Networks,secunet.com,Germany,Cybersecurity,Government & critical-infrastructure security,"~1,100","Revenue ~€406M (2024), Frankfurt-listed, profitable","Germany's flagship security vendor seeking commercial-sector growth beyond government; F1's German OEM presence (Mercedes, Audi) makes the platform natural."
27,Discord,discord.com,United States,"Electronics, Gaming & Esports",Communication/creator platform,~800,"Est. revenue ~$600M+ (2024), >$1B raised historically, IPO-track",F1 fan communities already live on Discord; official community/watch-along products reach core 16-30 demographic.
28,Dream Games,dreamgames.com,Turkey,"Electronics, Gaming & Esports",Mobile games (Royal Match),~500,Royal Match est. >$2B/yr gross revenue; CVC took stake at ~$5B valuation (2025),"Outspends rivals on mass-reach marketing (TV, celebrities); F1 broadcast integration matches its playbook; Istanbul GP heritage."
29,FunPlus,funplus.com,Switzerland,"Electronics, Gaming & Esports",Mobile games & esports (State of Survival; FunPlus Phoenix),"~2,000",Private; est. revenue ~US$2B peak years; funds FunPlus Phoenix esports org (proven $1M+/yr sports spend),Already invests in esports team ownership; F1 sponsorship extends its global sports-marketing strategy.
30,Game Science,gamesci.com.cn,China,"Electronics, Gaming & Esports",Game studio (Black Myth: Wukong),~400,"Black Myth: Wukong sold ~25M+ copies (2024-25), est. >US$1B revenue, profitable",China's breakout AAA brand; F1 Shanghai tie-in and global halo for its next title reach young male gamers.
31,Huya,huya.com,China,"Electronics, Gaming & Esports",Game live-streaming platform,"~1,700","NYSE-listed (Tencent-controlled); revenue ~RMB 6B (~US$840M), $1B+ cash, longtime esports event sponsor",Game-streaming reach among young Chinese males; F1 content rights/watch parties as it diversifies beyond esports.
32,Lilith Games,lilith.com,China,"Electronics, Gaming & Esports","Mobile games (AFK Journey, Rise of Kingdoms)","~2,000","Private; est. revenue >US$1B/yr, profitable top-10 Chinese mobile publisher",Global UA-heavy publisher; F1's Shanghai race and worldwide reach suit its overseas-first titles.
33,miHoYo (HoYoverse),hoyoverse.com,China,"Electronics, Gaming & Esports","Game studio (Genshin Impact, Honkai)","~4,500","Private; est. revenue US$4-5B/yr, highly profitable",Anime-gaming youth culture meets F1 fandom; character/livery collabs would be a first-of-kind global activation.
34,GS Caltex,gscaltex.com,South Korea,Energy & Mobility,"Refining, fuels & Kixx lubricants","~3,000-3,400","Revenue ~$35B (2023-2024), profitable GS/Chevron JV; Kixx lubricants sold in 60+ countries","Kixx is pushing global brand-building (esports, golf sponsorships) — F1 is the category-standard next step vs rivals already on the grid"
35,INPEX,inpex.co.jp,Japan,Energy & Mobility,Oil & gas / LNG and hydrogen,"~3,400","Revenue ~¥2.3T (~$15B, 2024), highly profitable; Japan's largest E&P",Japanese GP home race (Honda ties run deep in Japan Inc.); hydrogen/ammonia and CCS pivot supports F1 2026 sustainable-fuel story
36,Medco Energi,medcoenergi.com,Indonesia,Energy & Mobility,Independent oil & gas and power,"~2,000-3,000","Revenue ~$2.3B (2024), profitable IDX-listed independent with regional gas/power portfolio",Indonesia's leading private energy group; F1's huge Indonesian fanbase with no Indonesian brand on the grid — first-mover national visibility
37,Petron Corporation,petron.com,Philippines,Energy & Mobility,Refining & fuel retail,"~2,500-3,500","Revenue ~$14-16B (2023-2024), profitable; largest Philippine oil refiner and retailer (San Miguel group)",Blaze premium-fuel brand and existing local motorsport activation; Singapore GP is regional showcase for SE Asian fuel brands
38,ReNew,renew.com,India,Energy & Mobility,"Renewables developer (solar, wind, green hydrogen)","~1,500-2,500","Revenue ~$1.2B (FY2024), NASDAQ-listed with ~10GW+ portfolio; ADIA/GS-backed",India's clean-energy champion seeking global stature; F1's massive Indian fanbase with no Indian sponsor presence; COP-circuit hospitality
39,Santos,santos.com,Australia,Energy & Mobility,Oil & gas / LNG,"~3,000-3,800","Revenue ~$5.4B (2024), profitable ASX-listed LNG exporter",Australian GP home race; LNG-to-Asia and Moomba CCS story for transition-era positioning with APAC buyer hospitality
40,SK Enmove,skenmove.com,South Korea,Energy & Mobility,"Lubricants, base oils & EV fluids (ZIC)",~300-500,"Revenue ~$3-4B, consistently profitable SK Innovation subsidiary; world #1 in Group III base oils",ZIC brand globalization plus EV thermal fluids / immersion cooling — perfect for F1 2026 hybrid tech narrative; Korean fan market untapped
41,Vibra Energia,vibraenergia.com.br,Brazil,Energy & Mobility,Fuel distribution & lubricants,"~3,000-4,000","Revenue ~R$160B (~$30B, 2024), profitable; Brazil's largest fuel distributor (Petrobras station brand licensee)","Existing motorsport DNA (Stock Car Brasil, Petrobras lubricants heritage); São Paulo GP platform and ethanol/renewables story for 2026 fuels"
42,Canva,canva.com,Australia,Enterprise SaaS & Cloud,Design / collaboration software,"~4,500","Private; revenue >$3B annualized (2025), profitable for years; valued ~$42B (2025)",Massive consumer-to-enterprise brand push (Canva Enterprise vs Adobe); global youth-skewing audience mirrors F1's fan growth.
43,Darwinbox,darwinbox.com,India,Enterprise SaaS & Cloud,HR tech / HCM platform,"~1,000","Raised $140M round (Jan 2025, Partners Group/KKR); total raised ~$250M+; backed by Microsoft, Salesforce Ventures, TCV","Asia-born HCM expanding into Middle East, SEA and US - exactly F1's growth markets; competes with SAP SuccessFactors and Workday (both F1-adjacent)."
44,Insider,useinsider.com,Turkey,Enterprise SaaS & Cloud,Martech / personalization CDP,"~1,400",Raised $500M Series E (Apr 2024) led by General Atlantic at ~$1.2B+ valuation; ARR ~$200M,"Emerging-markets martech leader (MENA, APAC, LatAm) matching F1's growth geographies; consumer-brand customer base loves sport activations."
45,WiseTech Global,wisetechglobal.com,Australia,Enterprise SaaS & Cloud,Vertical SaaS - logistics (CargoWise),"~3,500","Public (ASX: WTC); revenue ~A$1.06B FY2025 (~US$700M), ~50% EBITDA margin",Powers global freight - F1's own logistics resonate; huge margins and market cap (~A$30B+) support marquee global branding.
46,Xero,xero.com,New Zealand,Enterprise SaaS & Cloud,Accounting / SMB SaaS,"~5,000","Public (ASX: XRO); revenue ~NZ$2.1B FY2025 (~US$1.25B), profitable","Pushing hard into US/UK markets; long history of sports partnerships (rugby, football academies); SMB brand awareness play."
47,AvidXchange,avidxchange.com,United States,Fintech & Payments,B2B AP automation,"~1,600",Revenue $439M (2024); TPG-led $2.2B take-private (2025),PE owners funding a growth reset; mid-market B2B brand could use F1 hospitality as its enterprise sales engine.
48,BILL,bill.com,United States,Fintech & Payments,SMB AP/AR automation,"~2,400","Revenue $1.3B FY2024, NYSE-listed",Needs brand awareness beyond accountant channel; F1's US SMB-owner audience growth makes a mainstream play viable.
49,Convera,convera.com,United States,Fintech & Payments,B2B cross-border FX,"~2,000",Revenue est. $500M+; largest non-bank B2B FX player (ex-Western Union Business Solutions),Rebranded giant needing name recognition fast; global B2B FX story fits F1's multinational corporate platform.
50,Flywire,flywire.com,United States,Fintech & Payments,Cross-border payments,"~1,200","Revenue $492M (2024), NASDAQ-listed",Cross-border payments across education/travel/healthcare in 240 markets; F1's international audience mirrors its payer base.
51,Justworks,justworks.com,United States,Fintech & Payments,PEO / payroll,"~1,400","Revenue ~$2B FY2024 (incl. benefits pass-through), profitable operations",Scaled PEO with shelved IPO awaiting a brand moment; F1 hospitality doubles as SMB-founder pipeline.
52,Neo Financial,neofinancial.com,Canada,Fintech & Payments,Consumer neobank,~700,Raised C$360M (~$260M) round completed May 2025; unicorn,Canada's leading neobank with Shopify-founder backing; Montreal GP is the country's biggest sports event and Canadian F1 fandom is surging.
53,AIA Engineering,aiaengineering.com,India,Industrial & Engineering,High-chrome wear parts & advanced alloys,"~1,900","Revenue ~INR 49B (~USD 580M, FY2024) with strong margins, NSE-listed",Indian metallurgy champion; materials-under-extreme-stress narrative and global mining/cement client hospitality.
54,Aspen Technology,aspentech.com,United States,Industrial & Engineering,Industrial process optimization software,"~3,800","Revenue ~USD 1.1B (FY2024), majority-owned by Emerson, strong margins",Optimization-software narrative (squeeze performance from every asset) mirrors race strategy; C-suite hospitality for energy/chemicals clients.
55,dSPACE,dspace.com,Germany,Industrial & Engineering,Simulation & hardware-in-the-loop testing,"~2,900","Revenue ~EUR 450M (~USD 490M, 2023), profitable private company",HIL simulation is exactly how F1 teams validate control systems — authentic 'tested before it touches the track' story.
56,Elgi Equipments,elgi.com,India,Industrial & Engineering,Air compressors & industrial equipment,"~2,400","Revenue ~INR 32B (~USD 390M, FY2024), profitable NSE-listed with global ambitions ('#2 by 2030')",Stated goal to become a top global compressor brand — F1 offers the global awareness leap vs Atlas Copco/Ingersoll Rand.
57,Ricardo,ricardo.com,United Kingdom,Industrial & Engineering,Engineering & environmental consultancy,"~3,000","Revenue ~GBP 474M (~USD 600M, FY2024), profitable LSE-listed",Historic motorsport transmission engineering pedigree; F1 partnership showcases advanced propulsion/sustainability consulting.
58,Rocket Lab,rocketlabusa.com,United States,Industrial & Engineering,Space launch & spacecraft (aerospace with civilian brand),"~2,600","Revenue ~USD 436M (2024), Nasdaq-listed with ~USD 500M+ liquidity and high-growth backlog",Consumer-recognizable space brand; 'rocket science meets race engineering' creative and recruiting halo for engineers.
59,Vector Informatik,vector.com,Germany,Industrial & Engineering,Automotive embedded software & testing tools,"~4,000","Revenue ~EUR 1.2B (~USD 1.3B, 2023), highly profitable private foundation-owned",Its toolchain sits in nearly every ECU program worldwide; F1 software-defined-vehicle narrative plus engineer recruiting.
60,HMM,hmm21.com,South Korea,Logistics & Supply Chain,Container shipping,"~1,800-2,000","Revenue ~$8.3B (2024), net profit ~$2.5B, KRX-listed",Korea's flagship ocean carrier with enormous profits and small headcount; global brand campaign potential akin to Evergreen/MSC visibility.
61,Hyundai Glovis,hyundaiglovis.com,South Korea,Logistics & Supply Chain,Automotive logistics & shipping,"~2,900 (Korea HQ basis)","Revenue ~KRW 28T (~$20B, 2024), consistently profitable, KRX-listed",Moves cars globally for Hyundai/Kia and third parties; motorsport-adjacent brand with huge budget and no F1 presence.
62,LX Pantos,lxpantos.com,South Korea,Logistics & Supply Chain,Freight forwarding / 3PL,"~2,500-4,000 (global)","Revenue ~KRW 9T (~$6.5B+, 2024), profitable LX Group arm",Top-tier Asian forwarder (LG ecosystem heritage) seeking global brand identity beyond Korea; F1 gives instant worldwide B2B reach.
63,Milaha (Qatar Navigation),milaha.com,Qatar,Logistics & Supply Chain,Maritime transport & logistics,"~2,500-3,500","Revenue ~QAR 3B (~$820M, 2024), net profit ~QAR 1B, QSE-listed",Cash-rich Qatari maritime group; Lusail GP home race and state appetite for global sports platforms.
64,Wan Hai Lines,wanhai.com,Taiwan,Logistics & Supply Chain,Container shipping (intra-Asia),"~2,000 shore (+crews)","Revenue ~$3.5B (2024), strongly profitable, TWSE-listed",Cash-rich intra-Asia leader expanding long-haul; container-side branding at APAC rounds builds global shipper awareness.
65,X-Press Feeders,x-pressfeeders.com,Singapore,Logistics & Supply Chain,Feeder container shipping,"~1,000-1,500","Revenue ~$2B+ (2022 peak), world's largest independent feeder operator, profitable",Singapore GP home race; green-methanol feeder pioneer whose network story fits F1's hub-and-spoke freight model.
66,Azimut Benetti Group,azimutbenetti.com,Italy,Luxury & Lifestyle,Yachting,"~2,900","Revenue ~€1.36B (FY2024), family-owned, profitable",World's largest private yacht builder; F1 hospitality and UHNW lead generation at marina races is a direct sales channel.
67,Ferretti Group,ferrettigroup.com,Italy,Luxury & Lifestyle,Yachting,"~1,800","Revenue €1.31B (2024), dual-listed Milan/Hong Kong, profitable",Riva and Pershing buyers are F1's paddock demographic; Monaco harbor activations already center on its yachts.
68,Leica Camera,leica-camera.com,Germany,Luxury & Lifestyle,Premium Lifestyle Hardware,"~1,900","Revenue €554M (FY2023/24, record year), profitable, Blackstone minority stake",Iconic optics brand; official photography partnership plus limited race-edition cameras targets F1's affluent creator fans.
69,Lürssen,luerssen-yachts.com,Germany,Luxury & Lifestyle,Yachting,"~2,800","Est. group revenue €1.5B+ (2023 est.), family-owned, profitable",Builder of the world's largest superyachts; discreet F1 hospitality partnerships reach the only clients it needs.
70,Marshall Group,marshall.com,Sweden,Luxury & Lifestyle,Premium Audio,~800,"Revenue SEK ~4.6B (~US$440M, 2024), profitable; Altor/Zenith backing",Rock-heritage audio brand chasing global lifestyle status; F1's music-festival race weekends and garage playlists fit its voice.
71,Mytheresa (LuxExperience),mytheresa.com,Germany,Luxury & Lifestyle,Luxury Retail Platform,"~1,700","Revenue €913M (FY2024), NYSE-listed; acquired YNAP in 2025",Top-customer strategy built on money-can't-buy experiences; F1 paddock access is the exact currency of its VIP program.
72,Sanlorenzo,sanlorenzoyacht.com,Italy,Luxury & Lifestyle,Yachting,"~1,100","Revenue €930M (2024), Milan-listed, profitable",Made-to-measure yachts for entrepreneurs; F1 paddock access mirrors its one-owner-one-yacht clienteling model.
73,The Hour Glass,thehourglass.com,Singapore,Luxury & Lifestyle,Luxury Watch Retail,~700,"Revenue S$1.1B (~US$820M, FY2024), SGX-listed, highly profitable",APAC's leading watch retailer; Singapore GP home advantage plus watch-collector clientele overlapping F1 paddock culture.
74,Watches of Switzerland Group,thewosgroup.com,United Kingdom,Luxury & Lifestyle,Luxury Watch Retail,"~3,300","Revenue £1.65B (FY2025), LSE-listed, profitable",US/UK luxury watch retail leader; F1 activations reach exactly the watch-buying male 25-54 demographic it acquires.
75,Bitpanda,bitpanda.com,Austria,"Trading, Crypto & Wealth",Crypto & multi-asset investing platform,~700,"Profitable (2023-24, record 2024 profit); football sponsorships incl. FC Bayern partnership",DACH market leader with Red Bull-country roots and proven seven-figure sponsorship spend.
76,Bullish,bullish.com,United States,"Trading, Crypto & Wealth",Crypto exchange (owns CoinDesk),~350,NYSE IPO Aug 2025 raised ~$1.1B,Institutional exchange flush with IPO cash needing mainstream brand awareness; CoinDesk media arm amplifies activation.
77,Dunamu (Upbit),dunamu.com,South Korea,"Trading, Crypto & Wealth",Crypto exchange,~600,"Revenue ~KRW 1.7T (~$1.2B, 2024), very profitable",Korea's dominant exchange with huge cash reserves; global sponsorship would support overseas expansion.
78,Galaxy Digital,galaxy.com,United States,"Trading, Crypto & Wealth",Crypto financial services & trading,~500,"Nasdaq-listed (2025); billion-dollar-scale revenue/gains, multi-billion balance sheet",High-profile crypto merchant bank building mainstream credibility; founder-led marketing appetite.
79,MEXC,mexc.com,Singapore,"Trading, Crypto & Wealth",Crypto exchange,"~1,000","Top-5 global exchange by spot/futures volume, profitable with aggressive marketing budget",High-growth exchange without a flagship global sponsorship while every major rival has one.
80,WhiteBIT,whitebit.com,Lithuania,"Trading, Crypto & Wealth",Crypto exchange,"~1,200",Profitable; official partner of FC Barcelona and Juventus (multi-M EUR/yr),Europe's largest exchange by traffic already paying Barca-level fees; motorsport extends the portfolio.
81,Cabify,cabify.com,Spain,Travel & Hospitality,Ride-hailing,"1,000-1,500",Revenue ~$900M (2024); profitable since 2022,"Strong in Spain and LatAm race cities (Madrid, Barcelona, Mexico City, Sao Paulo); premium ride product fits race-weekend surge demand"
82,Intrepid Travel,intrepidtravel.com,Australia,Travel & Hospitality,Tour operator (adventure),"2,000-2,800","Revenue ~A$1.0B (2024); profitable, B-Corp certified",World's largest adventure operator courting younger global travelers; Melbourne GP home market and sustainability-led activation angle
83,Lime,li.me,United States,Travel & Hospitality,Micromobility,"1,400-1,800",Revenue $686M (2024); EBITDA-profitable; IPO-track with Uber backing,Last-mile solution for congested race precincts; sustainability narrative matches F1 Net Zero 2030 and urban race formats
84,Lindblad Expeditions,expeditions.com,United States,Travel & Hospitality,Cruise (expedition),"1,800-2,500","Revenue $645M (2024); Nasdaq-listed, growing double digits",Ultra-affluent adventure clientele overlaps F1 hospitality buyers; needs mainstream luxury visibility beyond National Geographic tie-up
85,Ponant Explorations Group,ponant.com,France,Travel & Hospitality,Cruise (luxury expedition),"2,000-3,000",Revenue ~EUR 650M (2024); owned by Artemis (Pinault family holding),Luxury French brand with Monaco-adjacent yachting clientele; trackside superyacht/hospitality crossover at Monaco and Miami
86,Turo,turo.com,United States,Travel & Hospitality,Car sharing marketplace,"800-1,000","Revenue ~$960M (2024); profitable multiple years, IPO-shelved but cash-generative",Car-culture brand (already does Super Bowl ads) whose hosts rent exotic cars; F1 fans are its highest-intent customer segment
87,Virgin Voyages,virginvoyages.com,United States,Travel & Hospitality,Cruise (adults-only),"3,500-4,500",Revenue ~$1B+ (2024-25); raised $550M (2023) from Bain/Virgin investor group,Adults-only premium brand hunting the same experience-seeking affluents; Miami homeport aligns with Miami GP week
