tab_priority,sector_tab,rank,priority_score,tier,company,domain,hq_country,subsector,sells (what & to whom),employees_est,valuation (date),crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
1,AI,11,48,crossed 2025-26,Recursive Superintelligence,recursive.ai (est),UK,Foundation Models & AI Labs,"Stealth foundation-model research lab building self-improving AI that automates model architecture, training and evaluation",~60 (est),"$4.65B, May 2026, stealth round led by GV & Greycroft",May 2026,"May 2026, $650M, lead: GV & Greycroft (Nvidia and AMD Ventures also participated - minority stakes, OK)",revenue unproven (pre-product research lab),none known; Nvidia + AMD Ventures are minority investors only,UK-based frontier lab with marquee founders (ex-OpenAI/DeepMind/Meta AI) gives European visibility angle and R&D-credibility story for an F1 tech partner slot,revenue unproven
1,AI,12,47,crossed 2025-26,Pragmatik Labs,pragmatiklabs.com (est),China,AI Agents & Apps,Builder of AI agents for both digital and physical environments,"~45 (est) - sub-51, flagged (valuation $2B clears the $2B bar)","$2B, Aug 2026, seed round led by Gaorong Capital & HongShan",August 2026,"Aug 2026, $220M seed, lead: Gaorong Capital, HongShan",revenue unproven (seed stage),"none known found, but China-headquartered - screen for state-fund/sanctions exposure before outreach",Very early stage despite huge valuation; treat as speculative/high-risk pick pending compliance screening,revenue unproven
1,AI,13,47,crossed 2025-26,Simile,simile.ai (est),USA,AI Agents & Apps,Synthetic-user AI platform for simulating user research and product testing,~55 (est),"$2B, Jul 2026, Series B",July 2026,"Jul 2026, $200M Series B (lead undisclosed), five months after a $100M Series A",revenue unproven,none known,Extremely fast valuation climb ($2B five months after Series A) makes a compelling 'hot new AI money' sponsorship story,revenue unproven
1,AI,14,45,crossed 2025-26,Rhoda AI,rhoda.ai (est),USA,Foundation Models & AI Labs,Builds foundational AI models for robotic systems,"~55 (est) - sub-51 risk, flagged","$1.7B, Mar 2026, Series A led by Premji Invest, Mayfield, Capricorn, Khosla, Temasek",March 2026,"Mar 2026, $450M Series A, lead: Premji Invest, Mayfield Fund, Capricorn Investment Group, Khosla Ventures, Temasek",revenue unproven,none known,Robotics-foundation-model angle fits pit-crew/automation-adjacent sponsorship narratives,revenue unproven
1,AI,15,44,crossed 2025-26,DEEPX,deepx.ai (est),South Korea,AI Infrastructure,Edge AI processors (chips) for on-device inference,"~200 (est, 8-year-old company)","$2.2B, Aug 2026, Series D (first tranche)",August 2026,"Aug 2026, $29M Series D (first tranche), lead: existing investors",revenue unproven (chip revenue not disclosed),none known,Korean edge-AI chipmaker; APAC market-entry story for a team looking to expand sponsorship footprint in Korea,revenue unproven
1,AI,16,43,crossed 2025-26,LibLib,liblib.art (est),China,AI Agents & Apps,AI-generated content creation platform (image/video model marketplace and creation tools),~150 (est),"$2B+, Jun 2026, Series B+ led by Granite Asia & Tencent",June 2026,"Jun 2026, $300M+ Series B+, lead: Granite Asia, Tencent",revenue unproven,none known; China-headquartered - screen for state-fund exposure and any export/sanctions issues before outreach,"China-market creative-AI leader; if cleared, offers an APAC fan-engagement/content angle, though geographic/political sensitivity should be weighed",revenue unproven
1,AI,17,40,crossed 2025-26,Blitzy,blitzy.com,USA,AI Agents & Apps,AI coding tool for enterprise teams that reverse-engineers existing codebases to accelerate development,~100 (est),"$1.4B, May 2026, Series A/B led by Northzone",May 2026 (also appears in an April 2026 list at same terms - possible reporting lag),"May 2026, $200M Series A, lead: Northzone Ventures",revenue unproven,none known,Enterprise dev-tools brand seeking mainstream visibility outside its technical buyer base,revenue unproven
1,AI,18,40,crossed 2025-26,Exa,exa.ai,USA,AI Agents & Apps,Search/retrieval API ('web engine') purpose-built for AI agents to search and research the web,~90 (est),"$1.95B-$2.2B (reported inconsistently across sources), May 2026",May 2026,"May 2026, $250M Series C, lead: Andreessen Horowitz",revenue unproven (ARR not publicly disclosed),none known,Infrastructure layer under many agent products; fast-growing developer brand looking for consumer-facing visibility beyond its API niche,revenue unproven
1,AI,19,40,crossed 2025-26,Factory,factory.ai (est),USA,AI Agents & Apps,Autonomous coding agents ('droids') for enterprise software development - self-improving software platform,~140 (est),"$1.5B, Apr 2026, Series C led by Khosla Ventures",April 2026,"Apr 2026, $150M Series C, lead: Khosla Ventures",revenue unproven (enterprise ARR not disclosed),none known,Engineering-automation story pairs well with an F1 team's own software/engineering-performance narrative,revenue unproven
1,AI,20,40,established unicorn,Lightricks,lightricks.com,Israel,AI Agents & Apps,"AI-powered creative/content apps (Facetune, Photoleap) and LTX Studio video model",~800 (est),"$1.8B, Jun 2024",,"Jun 2024, $80M secondary/growth round","~$200M ARR, 2024 (reported)",none,Consumer creative-app company; no motorsport exposure,(est) figures
1,AI,21,40,crossed 2025-26,Recursive Intelligence,recursiveintel.ai (est) - note: distinct company from 'Recursive Superintelligence' (UK research lab) despite similar naming,USA,AI Infrastructure,AI-powered chip design startup (uses AI to accelerate semiconductor design),"~50 (est) - borderline sub-51, flagged (valuation $4B clears the $2B bar)","$4B, Jan 2026, Series A led by Lightspeed Venture Partners & Sequoia Capital",January 2026,"Jan 2026, $300M Series A, lead: Lightspeed Venture Partners, Sequoia Capital",revenue unproven,none known,AI-for-chip-design pairs with F1's engineering/simulation brand identity; verify against similarly-named 'Recursive Superintelligence' before outreach to avoid mix-ups,revenue unproven
1,AI,22,37,crossed 2025-26,Fundamental,fundamental.ai (est),USA,Foundation Models & AI Labs,AI foundational models specialized for dataset analysis,"~55 (est) - sub-51 risk, flagged","$1.4B, Feb 2026, Series A led by Oak HC/FT",February 2026,"Feb 2026, $255M Series A, lead: Oak HC/FT",revenue unproven,none known,Data-analysis-model story pairs with performance-data-driven sponsorship pitches,revenue unproven
1,AI,23,37,crossed 2025-26,webAI,webai.com,USA,Foundation Models & AI Labs,"Builds and deploys private, on-device enterprise AI models (no cloud dependency)",~120 (est),"$2.5B, Jan 2026, Series A",January 2026,"Jan 2026, Series A, amount undisclosed",revenue unproven,none known,"Edge/private-AI-for-enterprise story could tie into trackside/low-latency, data-sovereignty use cases",revenue unproven
1,AI,24,34,crossed 2025-26,Assort Health,assorthealth.com (est),USA,AI Agents & Apps,"AI agents that automate patient-journey tasks (scheduling, intake, triage) for health systems",~100 (est),"$1.2B, Jun 2026, Series C led by Menlo Ventures",June 2026,"Jun 2026, $120M Series C, lead: Menlo Ventures",revenue unproven,none known,Healthcare-AI unicorn; less obvious F1 fit but strong enterprise cash position for a smaller sponsorship tier,revenue unproven
1,AI,25,34,crossed 2025-26,Omni Analytics,omnianalytics.ai (est),USA,AI Agents & Apps,AI-powered business-intelligence platform for enterprise data analysis,~130 (est),"$1.51B, Apr 2026, Series C led by ICONIQ Growth",April 2026,"Apr 2026, $120M Series C, lead: ICONIQ Growth",revenue unproven,none known,BI/analytics-for-decisions positioning maps naturally onto race-strategy and data-driven performance messaging,revenue unproven
1,AI,26,34,crossed 2025-26,Parallel,parallel.ai (est),USA,AI Agents & Apps,Search engine built specifically for AI agents (founded by ex-Twitter CEO Parag Agrawal),~70 (est),"$2B, Apr 2026, Series B led by Sequoia",April 2026,"Apr 2026, $100M Series B, lead: Sequoia Capital",revenue unproven,none known,High-profile founder plus Sequoia backing gives a strong media hook for a tech-partnership announcement,revenue unproven
1,AI,27,34,crossed 2025-26,Vi Labs,vilabs.ai (est),USA,AI Agents & Apps,AI platform for health service organizations,~100 (est),"$1.64B, May 2026, Series B led by RevelStoke Capital Partners & Pritzker Organization",May 2026,"May 2026, $145M Series B, lead: RevelStoke Capital Partners, The Pritzker Organization",revenue unproven,none known,"Healthcare-AI unicorn; narrower fit, best as a smaller-tier partner",revenue unproven
1,AI,28,33,crossed 2025-26,FangQing Technology,"(est, no confirmed public domain)",China,AI Infrastructure,AI inference chip startup; first chips planned to ship Q4 2026,~80 (est),"$1.5B, Aug 2026, Series A led by Xuhui Venture Capital & Zhuhai Science and Technology Industry Group",August 2026,"Aug 2026, Series A, lead: Xuhui Venture Capital, Zhuhai Science and Technology Industry Group",revenue unproven; product not yet shipping (planned Q4 2026),unclear - China AI-chip startup with state-linked investors (Zhuhai government-affiliated fund); screen carefully for export-control/Entity List exposure before any outreach,High execution and compliance risk; only pursue after clearing sanctions/export-control screening - flagged as low-confidence pick,f1-risk note; revenue unproven
1,AI,29,31,crossed 2025-26,Applied Compute,appliedcompute.ai (est),USA,Foundation Models & AI Labs,Trains custom AI models/software for enterprises on their own proprietary data,"~55 (est) - sub-51 risk, flagged","$1.3B, Apr 2026, Series A+ led by Kleiner Perkins",April 2026,"Apr 2026, $80M Series A+, lead: Kleiner Perkins",revenue unproven,none known,Custom-model-for-data story could map to F1 telemetry/performance data use cases,revenue unproven
1,AI,30,31,crossed 2025-26,Avoca,avoca.ai (est),USA,AI Agents & Apps,AI agents that automate customer-support tasks end to end,~65 (est),"$1B, Apr 2026, Series B led by General Catalyst & Meritech Capital Partners",April 2026,"Apr 2026, $125M Series B, lead: General Catalyst, Meritech Capital Partners",revenue unproven,none known,Consumer-facing CX brand at fresh $1B mark; global support-automation story fits a broad sponsorship pitch,revenue unproven
1,AI,31,31,established unicorn,BioCatch,biocatch.com,Israel,AI Agents & Apps,Behavioral-biometrics AI for fraud detection and digital identity,~550 (est),"$1.3B, 2022 vintage",,"May 2022, $100M growth round, led by Bain Capital Tech Opportunities/Sixth Street","$100M+ ARR, 2023 (reported)",none,Fraud-detection SaaS for banks; no ties,stale valuation; (est) figures
1,AI,32,31,established unicorn,Celestial AI,celestial.ai,USA,AI Infrastructure,Photonic Fabric optical interconnect chips for AI data centers,~200 (est),"$2.5B, Feb 2024",,"Feb 2024, $175M Series C1, led by Fidelity Management & Research",revenue unproven (pre-commercial/design-partner stage),none,Semiconductor/optical interconnect IP; no consumer or motorsport exposure,(est) figures; revenue unproven
1,AI,33,31,crossed 2025-26,Collate,collate.com (est - possible name collision with an unrelated data-catalog company of the same name; verify before outreach),USA,AI Agents & Apps,AI document-automation platform for life-sciences companies,~75 (est),"$1B, Jun 2026, round led by Redpoint Ventures",June 2026,"Jun 2026, $95M round, lead: Redpoint Ventures",revenue unproven,none known,"Life-sciences-AI unicorn; narrower fit, best as a smaller-tier or regional partner",revenue unproven
1,AI,34,31,crossed 2025-26,Redo,redo.ai (est),USA,AI Agents & Apps,"AI-powered automation for e-commerce operations (returns, listings, customer ops)",~70 (est),"$1B+, Jun 2026, Series B led by Smash Capital",June 2026,"Jun 2026, $81M Series B, lead: Smash Capital",revenue unproven,none known,Fresh e-commerce-AI unicorn looking for consumer-brand visibility,revenue unproven
1,AI,35,30,established unicorn,Insitro,insitro.com,USA,AI Agents & Apps,Machine-learning-driven drug discovery platform,~400 (est),"$2.5B+, 2021 vintage",,"Jul 2021, $400M Series C, led by CPPIB/Deerfield","revenue unproven (pharma milestone deals w/ Gilead, BMS disclosed)",none,Biotech/AI drug discovery; no ties,stale valuation; (est) figures; revenue unproven
1,AI,36,26,crossed 2025-26,Unconventional AI,unconventional.ai (est),USA,AI Infrastructure,Building an energy-efficient computer/hardware platform purpose-built for AI workloads,"~50 (est) - borderline sub-51, flagged (valuation $4.5B clears the $2B bar)","$4.5B, 2026 (est - exact date unconfirmed)",2026 (est),"2026 (est), amount undisclosed",revenue unproven (pre-commercial hardware),none known,Founded by ex-Databricks head of AI Naveen Rao; energy-efficient-compute angle maps to F1's sustainability/efficiency messaging,valuation provisional; revenue unproven
1,AI,37,26,established unicorn,Zama,zama.ai,France,AI Infrastructure,Fully Homomorphic Encryption (FHE) tooling for confidential/privacy-preserving AI and blockchain compute,~180 (est),"~$1-1.5B (est), 2025 vintage",,"Mar 2025, $57M Series B, led by Multicoin Capital/Blockchange",revenue unproven (open-source-led GTM),none,Cryptography/privacy infra tooling; no ties,(est) figures; verify current valuation; revenue unproven
1,AI,38,22,established unicorn,Immunai,immunai.com,Israel / USA,AI Agents & Apps,AI/ML platform mapping the immune system for drug discovery,"~150 (est, post-2023 layoffs)","$1.2B+, 2022 vintage",,"Mar 2022, $215M Series C, led by Dragoneer/Koch Disruptive Technologies",revenue unproven (pharma collaboration deals disclosed),none,Biotech/immunology AI; no ties,stale valuation; (est) figures; headcount reduced since peak; revenue unproven
1,AI,39,22,established unicorn,Riiid,riiid.co,South Korea,AI Agents & Apps,AI adaptive test-prep/edtech platform (Santa),"~250 (est, down from peak after 2022-23 layoffs)","~$1.6-2B, 2021 vintage",,"Jul 2021, ~$175M Series D, led by SoftBank Vision Fund 2",revenue unproven,none,Edtech AI; withdrew 2022/23 IPO attempt; no auto or sponsorship exposure,stale valuation; (est) figures; revenue unproven
1,AI,40,16,established unicorn,Manycore Tech (Kujiale),kujiale.com,China,AI Agents & Apps,Cloud-based AI-driven 3D interior/architectural design platform,~1200 (est),"$1B+, 2018 vintage",,"2018, Series D, led by Tencent/IDG Capital",revenue unproven (subscription/SaaS + real-estate/furniture partnerships),none,Consumer/enterprise design SaaS; not sanctioned or state-owned; no ties,stale valuation; (est) figures; revenue unproven
1,AI,41,16,established unicorn,Terminus Group,terminusgroup.com,China,AI Infrastructure,"AI + IoT 'space intelligence' platform for smart buildings/cities, plus AI server and robotics hardware",~1500 (est),"$1B+, 2021 vintage",,"2021, Series D+, backers incl. China Merchants Capital, IDG","revenue unproven (hardware + platform sales disclosed, no ARR)",none,"Smart-building/AIoT company; privately held, not sanctioned or state-owned; no ties",stale valuation; (est) figures; revenue unproven
1,AI,42,13,established unicorn,Clarifai,clarifai.com,USA,AI Infrastructure,"Computer-vision and full-stack AI orchestration platform (model inference, MLOps)","~120 (est, down from peak)","$1B, 2021 vintage",,"Jan 2021, $60M Series C, led by Menlo Ventures","revenue unproven (enterprise/government contracts disclosed, no ARR)",none,Computer-vision infrastructure vendor; no ties,stale valuation; (est) figures; revenue unproven
1,AI,43,13,established unicorn,Paige AI,paige.ai,USA,AI Agents & Apps,AI computational pathology / cancer diagnostics platform,~350 (est),"$1B+, 2021 vintage",,"Sep 2021, $100M Series D, led by Casdin Capital/Sanofi","revenue unproven (pharma/clinical partnerships disclosed, no ARR)",none,Healthcare diagnostics AI; no ties,stale valuation; (est) figures; revenue unproven
1,AI,44,13,established unicorn,Xiaoice,xiaoice.com,China,Foundation Models & AI Labs,Conversational/emotional-companion AI framework and virtual-human tech licensed to enterprises,~300 (est),"$1B, 2020 vintage",,"Jul 2020, ~$140M, led by IDG Capital/China Media Capital (spin-off from Microsoft)",revenue unproven,none,"Consumer/enterprise conversational AI; no motorsport, automotive or sponsorship footprint",stale valuation; (est) figures; not on US Entity List; revenue unproven
1,AI,45,8,established unicorn,Vayyar Imaging,vayyar.com,Israel,AI Infrastructure,"4D imaging radar-on-chip sensors plus AI perception software (automotive, health, security)",~350 (est),"$1.5B, 2021 vintage",,"Oct 2021, $108M Series E, led by Koch Disruptive Technologies",revenue unproven (OEM design-win pipeline disclosed),low,"Sells imaging-radar sensors into automotive ADAS/in-cabin sensing broadly, but no disclosed motorsport/F1 program or team supply relationship",stale valuation; (est) figures; automotive-adjacent - verify no team supply relationship; f1-risk note; revenue unproven
1,AI,46,8,established unicorn,Wrtn Technologies,wrtn.ai,South Korea,AI Agents & Apps,"Consumer AI super-app/assistant (Wrtn) for chat, search and shopping",~200 (est),"~$1B, 2024-25 (est; local-press 'unicorn' status)",,"2024, reported growth round, investors incl. SK Networks, Shinhan",revenue unproven,none,Consumer AI assistant app; no ties,stale/unconfirmed valuation; (est) figures; valuation provisional; revenue unproven
2,Consumer,1,56,Tier 1,Lenskart,lenskart.com,India,Consumer Brands,"Eyewear retail brand (online + 2,000+ stores)","15,000 (est)","$5B (2024 round, SoftBank/ADIA/Temasek)",,2024 primary/secondary round at $5B valuation; IPO filing pending,"FY2024 revenue reported ~$600M+ (unverified media reports, growing fast)",low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,2,53,Tier 2,Panera Bread,panerabread.com,USA,Consumer Brands,Fast-casual bakery-cafe chain,"45,000 (est)",No recent disclosed figure; ~$7.5B enterprise value implied at 2017 JAB Holding buyout,,"Acquired by JAB Holding Company, 2017, ~$7.5B enterprise value; IPO plans shelved 2022","Reported system-wide sales >$6B/yr (unverified, private since 2017)",low,No known F1 or motorsport ties,"['private since 2017, no independently disclosed current valuation']; f1-risk note"
2,Consumer,3,50,crossed 2025-26,Rhode,rhodeskin.com,USA,Consumer Brands,"Hailey Bieber-founded lifestyle skincare and beauty brand (skin-tint, lip products, minimalist skincare)",~60-100 (est),"$1B (acquisition, up to $200M in earnout)","May 28, 2025",Acquired by e.l.f. Beauty for $1B ($800M cash+stock + up to $200M performance earnout),"$212M net sales for the twelve months ended March 31, 2025, profitable, more than doubled consumer base YoY",low,"Massive Gen Z/Millennial beauty following, now backed by e.l.f. Beauty's retail/marketing scale; strong mass-market activation candidate. No F1 ties.",f1-risk note
2,Consumer,4,49,Tier 2,Rare Beauty,rarebeauty.com,USA,Consumer Brands,Cosmetics and skincare brand founded by Selena Gomez,150 (est),~$2B (2024 reports),,No priced external round confirmed; 2024 secondary/press reports cite ~$2B,"Reported revenue >$400M/yr (2023, unverified media reports)",low,No known F1 or motorsport ties,['valuation moderate confidence - not a disclosed priced round']; f1-risk note
2,Consumer,5,47,crossed 2025-26,Nordic Knots,nordicknots.com,Sweden,Consumer Brands,"Scandinavian-design home textiles: handwoven wool/linen/jute rugs, curtains, bedding",~200-350 (est),$2.2B (€1.9B),March 2026,"$100M (€86M) raise led by Imaginary Ventures, w/ Creades, Iris Ventures, St Dominique Capital",Targeting $100M+ revenue in 2026 (company-reported); expanding physical flagship retail in major fashion capitals,low,"Fast-scaling premium lifestyle/home brand expanding into global fashion capitals; affluent, design-conscious consumer base overlaps with F1 paddock/lifestyle audience. No F1 ties.",f1-risk note
2,Consumer,6,46,Tier 3,Newsmax,newsmax.com,USA,Gaming & Media,"Cable news and digital media network (public, NYSE: NMAX)",500 (est),"~$1-2B market cap (extremely volatile since 2025 IPO, peaked >$20B)",,Public company - IPO Mar 2025,FY2024 revenue ~$171M (S-1 filing),low,No known F1 or motorsport ties,"['extremely volatile stock since IPO - verify current market cap before outreach; politically-oriented media brand, consider brand-fit sensitivity']; f1-risk note"
2,Consumer,7,43,Tier 2,True Classic,trueclassic.com,USA,Consumer Brands,"DTC men's basics apparel (t-shirts, underwear)",300 (est),~$1.2B (2022 minority stake reports),,"2022 minority stake sale, reported implied valuation ~$1.2B","Reported revenue run-rate >$300M/yr (unverified, media reports)",low,No known F1 or motorsport ties,['valuation moderate confidence - not independently confirmed']; f1-risk note
2,Consumer,8,40,Tier 2,Purplle,purplle.com,India,Consumer Apps & Marketplaces,Online beauty and personal care marketplace,"1,000 (est)",$1.1B (2022 unicorn round),,"Series F, Apr 2022, $33M at $1.1B valuation, led by Abu Dhabi Investment Authority/Kedaara",FY2024 revenue reported ~$150M (unverified media reports),low,No known F1 or motorsport ties,"['stale valuation (2022), no confirmed round since']; f1-risk note"
2,Consumer,9,40,Tier 2,Rothy's,rothys.com,USA,Consumer Brands,DTC recycled-material footwear and bags,800 (est),"$1B+ (2021 minority stake sale, Bonobos co-founder-backed)",,2021 minority investment (undisclosed size) at reported $1B+ valuation,"Revenue reported >$140M-plus in past years (unverified, DTC + retail wholesale)",low,No known F1 or motorsport ties,"['stale valuation (2021), no confirmed round since']; f1-risk note"
2,Consumer,10,39,Tier 2,Urban Company,urbancompany.com,India,Consumer Apps & Marketplaces,"Home services marketplace app (cleaning, beauty, repairs) - public, listed 2025 (NSE/BSE)","3,500 (est)",~$2-3B market cap (post-IPO 2025),,"IPO, 2025","FY2025 revenue ~$150M+ (public filings, INR terms, growing)",low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,11,38,Tier 2,Faire,faire.com,USA,Consumer Apps & Marketplaces,B2B wholesale marketplace connecting independent retailers with brands,"1,200 (est)","$1.8B (2023, down from $12.4B in 2022)",,"Series G, 2023, at $1.8B valuation (down round)",Revenue unproven publicly; GMV reported in billions,low,No known F1 or motorsport ties,['down-round: $12.4B (2022) -> $1.8B (2023) - verify current figure']; f1-risk note; revenue unproven
2,Consumer,12,38,Tier 3,Prime Hydration,drinkprime.com,USA,Consumer Brands,"Sports/hydration drink brand (KSI, Logan Paul), part of Congo Brands portfolio",200 (est),~$1.2-1.5B implied peak (2023); reported sales decline since,,"No independent priced round disclosed; part of Congo Brands (which raised $1.55B for Alani Nu acquisition, 2024)","Reported peak revenue >$1.2B (2023), reported significant decline in 2024-2025 amid backlash/competition",low,"No known F1 or motorsport ties (KSI has boxing/creator ties, not F1)","['distressed - reported sales decline 2024-2025', 'valuation unconfirmed/likely lower now']; f1-risk note; valuation provisional"
2,Consumer,13,36,crossed 2025-26,ShopMy,shopmy.us,USA,Consumer Apps & Marketplaces,"Creator-driven commerce infrastructure connecting brands, tastemakers/influencers, and shoppers (curated affiliate/product-linking platform)",~100-150 (est),$1.5B,October 2025,"$70M growth round led by Avenir, w/ Bain Capital Ventures, Bessemer, Menlo",Facilitates $1B+ in annual sales (GMV) through the platform; reported profitable since 2024,low,Fast-growing creator-commerce infra reaching beauty/fashion/lifestyle shoppers; mass-market DTC audience overlaps with F1's growing female/Gen-Z fanbase. No F1 or motorsport ties found.,f1-risk note
2,Consumer,14,36,crossed 2025-26,Substack,substack.com,USA,Gaming & Media,"Creator economy publishing platform for newsletters, podcasts, and video subscriptions",~100-150 (est),$1.1B,July 2025,"Series C, $100M led by BOND and The Chernin Group","~$45M ARR estimated (Sacra, July 2025), 5M+ paid subscriptions across the platform as of March 2025",low,"Leading creator/media publishing platform; potential content-partnership angle (driver newsletters, paddock storytelling, team media) rather than trackside branding. No F1 ties.",f1-risk note
2,Consumer,15,35,Tier 3,Cheesecake Factory,thecheesecakefactory.com,USA,Consumer Brands,"Casual dining restaurant chain (public, NASDAQ: CAKE)","45,000 (est)","~$2.5-3.5B market cap (fill, some periods above $3B)",,Public company - no funding round,FY2024 revenue ~$3.6B (public filings),low,No known F1 or motorsport ties,['market cap sometimes exceeds $3B fill ceiling - verify at time of outreach']; f1-risk note
2,Consumer,16,35,Tier 2,Country Delight,countrydelight.in,India,Consumer Brands,D2C fresh dairy and grocery subscription brand,"3,000 (est)",$1B+ (2024 reports),,"2024 funding round (Temasek/QIA-backed), reported unicorn valuation",Reported revenue run-rate >$200M (unverified media reports),low,No known F1 or motorsport ties,['valuation moderate confidence']; f1-risk note
2,Consumer,17,34,Tier 2,Sandbox VR,sandboxvr.com,USA,Gaming & Media,Location-based free-roam virtual reality entertainment venues,"1,500 (est)",$1.25B (2024 Series C),,"Series C, 2024, at $1.25B valuation",Revenue unproven publicly; expanding venue count globally,low,No known F1 or motorsport ties,[]; f1-risk note; revenue unproven
2,Consumer,18,32,Tier 3,Bloomin' Brands,bloominbrands.com,USA,Consumer Brands,"Casual dining restaurant portfolio (Outback Steakhouse, Carrabba's) - public NASDAQ: BLMN","90,000 (est)",~$0.9-1.2B market cap (borderline fill),,Public company - no funding round,FY2024 revenue ~$4.2B (public filings),low,No known F1 or motorsport ties,['market cap near $1B threshold - verify current figure before outreach']; f1-risk note
