#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
19,Hyundai WIA Corporation,hyundai-wia.com,South Korea,CNC lathes/machining centers and auto parts (Hyundai Motor Group),several thousand (group machine tool + auto parts divisions),unknown,core,"Publicly listed (KRX: 011210), part of Hyundai Motor Group; consolidated group revenue is multi-billion dollar — clears the core threshold. As of Sept 2026, Hyundai leadership (Cyril Abiteboul) has publicly stated no near-term F1 entry is planned, so no sponsor conflict.","Machine tool division supplies CNC equipment used in precision automotive/motorsport machining, with a clean (non-F1-affiliated) brand today.",yes,X03a
20,Höganäs AB,hoganas.com,Sweden,Metal powders including for additive manufacturing,2000,1k-5k,core,High ($1M+),"Swedish metal-powder leader with revenue above $1B and 2,000+ staff, meeting core threshold; no F1 sponsorship found.",,X03b
21,JTEKT Corporation (Toyoda Machine Tools),jtekt.co.jp,Japan,Grinding machines and machining centers (Toyoda brand),"~46,000 (JTEKT Group)",10k+,core,"Publicly listed (TSE: 6473), part of the Toyota Group; consolidated group revenue is in the multi-billion-dollar range — clears the core threshold on both revenue and staff.","Toyoda-brand grinding machines and machining centers are staples of precision powertrain/driveline manufacturing, a direct parallel to F1 component tolerances.",yes,X03a
22,Klingelnberg AG,klingelnberg.com,Switzerland,Bevel/gear cutting and precision measuring machines,"~1,900",1k-5k,core,Publicly listed (SIX: KLIN); FY revenue has historically run in the CHF 250-300M range — clears the $200M core threshold.,Precision gear-cutting and metrology machines used for high-performance transmission components analogous to F1 gearboxes.,yes,X03a
23,"Koike Sanso Kogyo Co., Ltd.",koike.co.jp,Japan,"Gas, plasma and laser cutting/welding equipment","~1,000 (group)",250-1k,core,Publicly listed (TSE: 6294); group revenue has historically run in the $250-300M range — clears the $200M core threshold.,Cutting and welding systems used in chassis/bodywork fabrication shops adjacent to motorsport manufacturing.,,X03a
24,Liebherr-Verzahntechnik GmbH (Liebherr Machine Tools),liebherr.com,Germany,Gear cutting machines and automation systems,"50,000+ (Liebherr Group)",10k+,core,"Liebherr Group is family-owned with disclosed group revenue over €14B and 50,000+ employees — clears the core threshold by a wide margin at group level.",Gear technology division supplies precision gear-cutting machines used in high-performance transmission manufacturing.,yes,X03a
25,Lincoln Additive Solutions,lincolnelectric.com,United States,Large-scale metal wire-arc additive manufacturing (WAAM),11000,10k+,core,High ($1M+),"Division of Nasdaq-listed Lincoln Electric Holdings (revenue >$4B, ~11,000 employees), meeting core threshold; no F1 sponsorship identified for Lincoln Electric.",yes,X03b
26,Linde Additive Manufacturing (Linde plc),linde.com,United Kingdom,Industrial gases & metal-powder atomization for AM,65000,10k+,core,High ($1M+),"Division of NYSE/Frankfurt-listed Linde plc with revenue above $30B and 65,000+ staff, meeting core threshold; no F1 sponsorship identified.",yes,X03b
27,"Makino Milling Machine Co., Ltd.",makino.com,Japan,5-axis machining centers and die-sink/wire EDM,"~4,000+",1k-5k,core,Publicly listed (TSE: 6141); consolidated group revenue has been reported in the ~$1B range — clears the $200M core threshold.,Makino 5-axis and EDM machines are widely used by aerospace/motorsport suppliers for high-precision components; several F1 team tooling suppliers already run Makino equipment.,yes,X03a
28,Maschinenfabrik Berthold Hermle AG,hermle.de,Germany,5-axis vertical machining centers,"~2,000",1k-5k,core,Publicly listed (Frankfurt: MBH3); reported annual revenue has historically run around €300-400M — clears the $200M core threshold.,"5-axis vertical machining centers are an industry benchmark for the complex, tight-tolerance aerospace and motorsport components F1 requires.",yes,X03a
29,Materialise NV,materialise.com,Belgium,AM software (Magics/Mimics) & 3D printing services,2400,1k-5k,core,High ($1M+),"Nasdaq-listed (MTLS) with revenue near €270M and 2,400+ employees, meeting core threshold; no F1 sponsorship identified.",yes,X03b
30,Messer Cutting Systems GmbH,messer-cutting.com,Germany,Thermal (plasma/laser/oxy-fuel) cutting systems,"~1,300",1k-5k,core,"Confirmed acquired by Air Liquide (publicly listed, Euronext Paris: AI) in March 2024, distinct from the separate Messer Group industrial-gases business (avoiding any F1-sponsor overlap); Air Liquide group revenue exceeds €20B — clears the core threshold.",Thermal cutting systems used in structural/chassis fabrication for motorsport and automotive manufacturing.,yes,X03a
31,Mikron Group,mikron.com,Switzerland,High-precision automation and machining systems,"~1,700",1k-5k,core,Publicly listed (SIX: MIKN); reported group revenue around CHF 300-350M — clears the $200M core threshold.,"Precision machining and automation systems supplier for micro-mechanical, high-tolerance parts akin to F1-grade components.",,X03a
32,Nidec OKK Corporation (formerly OKK Corp.),nidec.com,Japan,Machining centers for automotive parts production,"~700 (OKK); parent Nidec Group 100,000+",10k+,core,Nidec Corporation acquired a 67% majority stake in OKK in 2021 (confirmed via Nidec's own Nov 2021 press release); Nidec is publicly listed (TSE: 6594) with consolidated group revenue exceeding $15B — clears the core threshold at parent level.,"Machining center specialist now backed by Nidec's industrial scale, supplying automotive/precision component production.",yes,X03a
33,Nikon SLM Solutions,slm-solutions.com,Germany,Industrial metal laser powder-bed fusion 3D printers,700,250-1k,core,High ($1M+),"Wholly owned by Nikon Corporation (revenue >$4B, 18,000+ staff globally), satisfying core via parent scale; no evidence of Nikon or SLM Solutions F1 sponsorship.",,X03b
34,Oerlikon AM (Oerlikon Group),oerlikon.com,Switzerland,"Metal AM powders, systems & surface solutions",12000,10k+,core,High ($1M+),"Division of SIX-listed Oerlikon Group with revenue above CHF 2.6B and 12,000+ staff, meeting core threshold; no F1 sponsorship identified for Oerlikon.",yes,X03b
35,Okuma Corporation,okuma.com,Japan,CNC lathes and machining centers,"~4,700",1k-5k,core,Publicly listed (TSE: 6103); consolidated revenue has run roughly $900M-$1B in recent fiscal years — clears the $200M core threshold.,Leading CNC lathe/machining center builder whose equipment underpins precision automotive and motorsport component manufacturing.,yes,X03a
36,Perceptron Inc. (Atlas Copco),perceptron.com,United States,Automated metrology & measurement systems,300,250-1k,core,High ($1M+),"Acquired by Atlas Copco (Nasdaq Stockholm: ATCO A, revenue >$14B, 49,000+ staff) in 2021, meeting core threshold via parent; no F1 sponsorship identified.",yes,X03b
37,Prima Power (Prima Industrie S.p.A.),primapower.com,Italy,"Laser cutting, punching and bending systems","~1,700 (group)",1k-5k,core,Publicly listed (Borsa Italiana: PRI); group revenue has historically run around €400-450M — clears the $200M core threshold.,Laser and sheet-metal processing technology used across automotive and motorsport fabrication supply chains.,,X03a
38,Protolabs Inc.,protolabs.com,United States,On-demand digital manufacturing including 3D printing,2000,1k-5k,core,High ($1M+),"NYSE-listed (PRLB) with revenue near $500M and 2,000+ employees, meeting core threshold; no F1 sponsorship found.",,X03b
39,Renishaw plc,renishaw.com,United Kingdom,Metal additive manufacturing systems (RenAM) & precision metrology,5000,1k-5k,core,High ($1M+),"Publicly listed (LSE: RSW) with revenue near £700M and 5,000+ staff, meeting the core threshold; a search for Renishaw F1 sponsorship found no team listing Renishaw among current partners.",yes,X03b
40,Sandvik Additive Manufacturing,sandvik.com,Sweden,Metal powders & AM machining/tooling solutions,40000,10k+,core,High ($1M+),"Division of Nasdaq Stockholm-listed Sandvik Group with revenue above $10B and 40,000+ staff, meeting core threshold; Sandvik Coromant sponsors NASCAR teams but no current F1 team partnership was found in search.",yes,X03b
41,Schuler AG,schulergroup.com,Germany,Metal forming presses,"~5,600",5k-10k,core,"Owned by Andritz AG (publicly listed, Vienna: ANDR); Andritz group revenue exceeds €7B, and Schuler itself employs ~5,600 — clears the core threshold at parent level.","Forming press technology used in structural/chassis component stamping, adjacent to motorsport body and chassis fabrication.",,X03a
42,SCHUNK GmbH & Co. KG,schunk.com,Germany,Precision clamping technology and gripping systems,"~4,500 (Schunk Group, all divisions)",1k-5k,core,"Privately held (Schunk family); Schunk Group reports consolidated revenue in the €700-800M range with ~4,500 employees worldwide — clears the $200M core threshold at group level.","Precision clamping, gripping and toolholding technology is used throughout automotive and motorsport machining and automation lines.",yes,X03a
43,"Sodick Co., Ltd.",sodick.co.jp,Japan,"EDM machines, precision molding and metal additive manufacturing","~1,700 (group)",1k-5k,core,Publicly listed (TSE: 6143); group revenue has historically run around $400-450M — clears the $200M core threshold.,EDM and precision molding machines used extensively in mold/tool making for motorsport composite and metal components; also active in metal additive manufacturing.,yes,X03a
44,"Star Micronics Co., Ltd.",star-m.jp,Japan,Swiss-type CNC lathes,"~2,700 (group)",1k-5k,core,Publicly listed (TSE: 7718); group revenue has historically run in the $400-500M range — clears the $200M core threshold.,"Precision Swiss-type turning machines used for small, high-tolerance components in motorsport applications.",,X03a
45,Starrag Group Holding AG,starrag.com,Switzerland,High-precision machining centers (aerospace/energy),"~1,700",1k-5k,core,Publicly listed (SIX: STGN); group revenue historically in the CHF 300-400M range — clears the $200M core threshold.,High-precision 5-axis machining centers serve aerospace and motorsport structural component manufacturing.,,X03a
46,Stratasys Ltd.,stratasys.com,United States,Industrial polymer 3D printing systems (FDM & PolyJet),2200,1k-5k,core,High ($1M+),"Nasdaq-listed (SSYS) with revenue above $600M and 2,200+ employees, meeting core threshold; no F1 team sponsorship identified for Stratasys.",,X03b
47,TRUMPF GmbH + Co. KG,trumpf.com,Germany,"Laser cutting, sheet-metal machines and laser technology","16,000+",10k+,core,"Privately held (Leibinger family); company-reported group revenue exceeds €4B with over 16,000 employees — clears the core threshold by a wide margin.",Laser cutting and sheet-metal processing systems used extensively in motorsport fabrication shops for chassis and bodywork parts.,yes,X03a
48,Tsugami Corporation,tsugami.co.jp,Japan,CNC lathes and Swiss-type turning machines,"~2,000 (group, incl. China operations)",1k-5k,core,Publicly listed (TSE: 6101); group revenue has historically run around $250-300M — clears the $200M core threshold.,CNC turning/Swiss-type machine builder serving precision small-component manufacturing markets.,,X03a
49,United Grinding Group AG,unitedgrinding.com,Switzerland,"Precision grinding machines (cylindrical, surface and tool grinding — Studer, Mägerle, Blohm, Walter, EWAG brands)","~3,000",1k-5k,core,"Subsidiary of Körber AG (large privately held German industrial group); United Grinding reports ~3,000 employees as a top-3 global grinding machine builder, with parent Körber Group revenue exceeding €3B — clears the core threshold.","Grinding technology (Studer cylindrical, Walter/EWAG tool grinding) underpins precision shaft, gear and cutting-tool production used across motorsport supply chains.",,X03a
50,Xometry Inc.,xometry.com,United States,AI-powered on-demand manufacturing marketplace including 3D printing,800,250-1k,core,High ($1M+),"Nasdaq-listed (XMTR) with revenue above $460M, meeting core threshold; no F1 sponsorship identified.",yes,X03b
51,Yamazaki Mazak Corporation,mazak.com,Japan,CNC turning centers and multi-tasking machining centers,"~9,000 globally",5k-10k,core,"Privately/family-held; trade press (Gardner Business Media, Modern Machine Shop) consistently ranks Mazak the world's largest machine tool builder with group revenue well above $2B and ~9,000 employees worldwide — clears the $200M revenue / 6,000-staff core threshold.","World's largest CNC machine tool builder; its machining/turning centers are the standard equipment at Tier 1 automotive and aerospace shops that also machine F1 components, making precision manufacturing a native narrative fit.",,X03a
52,Bright Laser Technologies (BLT),blt-metal.com,China,Metal laser powder-bed-fusion 3D printing systems,1200,1k-5k,funded-150m,Medium-High ($250K-1M),China STAR-Market-listed metal-AM leader with cumulative capital raises exceeding $150M; no F1 sponsorship identified.,,X03b
53,Farsoon Technologies,farsoon.com,China,Industrial polymer & metal powder-bed-fusion 3D printers,800,250-1k,funded-150m,Medium-High ($250K-1M),"Listed on Shanghai's STAR Market since 2020, raising over $150M in IPO proceeds; no F1 sponsorship found.",,X03b
54,Nexa3D,nexa3d.com,United States,Ultrafast photopolymer 3D printing systems,150,100-250,funded-150m,Medium-High ($250K-1M),Raised over $130M across Series B/C funding rounds; no F1 sponsorship found.,,X03b
55,nTopology Inc.,ntopology.com,United States,Engineering & generative-design software for additive manufacturing,200,100-250,funded-150m,Medium-High ($250K-1M),Raised over $185M across funding rounds; no F1 sponsorship found.,,X03b
56,Seurat Technologies,seuratech.com,United States,Area-printing metal AM (laser patterning) for high-volume production,150,100-250,funded-150m,Medium-High ($250K-1M),"Raised an $86M Series C in 2023 with cumulative funding above $150M from investors including Founders Fund, GM Ventures and Xerox Ventures; no F1 sponsorship found.",,X03b
57,6K Inc.,6k.co,United States,Plasma-produced sustainable metal & battery powders for AM,300,250-1k,growth-projected,Medium-High ($250K-1M),Raised over $270M across funding rounds including DOE grants; no F1 sponsorship found.,,X03b
58,Carbon Inc.,carbon3d.com,United States,Digital Light Synthesis (DLS) industrial polymer 3D printing,600,250-1k,growth-projected,High ($500K-2M),"Raised over $680M in venture funding across Series A-E, peak valuation near $2.5B; no F1 sponsorship found.",,X03b
59,Divergent Technologies,divergent3d.com,United States,AM-driven automotive/aerospace structure design & production (DAPS platform),400,250-1k,growth-projected,High ($500K-2M),Raised over $346M across funding rounds from investors including Adient and Caterpillar Ventures; no F1 sponsorship identified.,yes,X03b
60,Formlabs Inc.,formlabs.com,United States,Desktop & benchtop resin (SLA/SLS) 3D printers,750,250-1k,growth-projected,High ($500K-2M),Raised over $253M across funding rounds including a $150M Series D at a $2B valuation; no F1 sponsorship found.,,X03b
61,Nano Dimension Ltd.,nano-di.com,Israel,Electronics & precision metal/polymer additive manufacturing (incl. Markforged),700,250-1k,growth-projected,High ($500K-2M),Nasdaq-listed (NNDM) with over $1B raised historically and recent acquisitions including Markforged; no F1 sponsorship found.,,X03b
62,3DCeram,3dceram.com,France,Ceramic stereolithography 3D printing,60,100-250,sentiment,Low (<$100K),French ceramic-AM specialist at gate-level scale; no F1 ties found.,,X03b
63,9T Labs,9tlabs.com,Switzerland,Carbon-fiber composite additive manufacturing,50,100-250,sentiment,Low-Medium ($50K-250K),Swiss composite-AM startup with venture funding above $18M; no F1 sponsorship found.,,X03b
64,Aconity3D,aconity3d.com,Germany,Modular metal LPBF R&D and production systems,60,100-250,sentiment,Low (<$100K),German modular metal-AM systems builder; no F1 sponsorship found.,,X03b
65,AddUp Solutions,addupsolutions.com,France,Industrial metal LPBF & DED 3D printing systems (Michelin/Fives joint venture),350,250-1k,sentiment,Medium-High ($250K-1M),"Joint venture of Michelin and Fives; Michelin is not F1's tyre supplier (Pirelli holds exclusivity), so no direct conflict, but flagged for parent-company review given large-industrial JV backing.",,X03b
66,AIM3D GmbH,aim3d.de,Germany,Hybrid pellet/granulate metal & polymer additive manufacturing (CEM),40,100-250,sentiment,Low (<$100K),German hybrid AM systems maker; no F1 sponsorship found.,,X03b
67,AMFG (Autonomous Manufacturing Ltd.),amfg.ai,United Kingdom,MES / workflow automation software for additive manufacturing,50,100-250,sentiment,Low-Medium ($50K-250K),UK AM-MES software provider; no F1 sponsorship found.,,X03b
68,ANCA Pty Ltd,anca.com,Australia,CNC tool and cutter grinders,"~1,000",250-1k,sentiment,"Privately held (family-owned); ~1,000 employees globally as a recognized global leader in CNC tool grinding, but without disclosed revenue confirming the core bar — sentiment-tier evidence.",CNC tool and cutter grinders produce the cutting tools used to machine F1 components — an upstream precision-manufacturing link.,,X03a
69,Anycubic,anycubic.com,China,Consumer FDM & resin (MSLA) 3D printers,1000,250-1k,sentiment,Medium-High ($250K-1M),Major Chinese consumer-3D-printer brand with multiple record-setting crowdfunding campaigns; no F1 sponsorship found.,,X03b
70,Arris Composites,arriscomposites.com,United States,Additive Molding of continuous-fiber composite parts,130,100-250,sentiment,Medium ($100K-500K),Raised over $100M in venture funding; no F1 sponsorship identified.,,X03b
71,Artec 3D,artec3d.com,Luxembourg,Handheld & industrial 3D scanning,200,100-250,sentiment,Medium ($100K-500K),Luxembourg-based 3D-scanning OEM at gate-level scale; no F1 sponsorship found.,yes,X03b
72,Authentise Inc.,authentise.com,United States,AM workflow & production tracking software,30,100-250,sentiment,Low (<$100K),US AM-workflow-software startup; no F1 activity identified.,,X03b
73,Axtra3D,axtra3d.com,United States,Hybrid PhotoSynthesis (LCD+DLP) resin 3D printing,40,100-250,sentiment,Low (<$100K),Early-stage hybrid resin-AM startup; no F1 activity identified.,,X03b
74,Bambu Lab,bambulab.com,China,Consumer/prosumer FDM 3D printers,1000,250-1k,sentiment,Medium-High ($250K-1M),Fast-growing Chinese consumer-AM brand reported to have surpassed $100M in revenue within its first two years; no F1 sponsorship found.,,X03b
75,Behringer GmbH,behringer.net,Germany,Industrial sawing machines,~500,250-1k,sentiment,Privately held German sawing-machine specialist (~500 employees) — sentiment-tier evidence.,Precision metal sawing systems used in raw-material prep for machining shops supplying motorsport components.,,X03a
76,"BIG Daishowa Seiki Co., Ltd.",bigdaishowa.com,Japan,Precision toolholding systems,~600,250-1k,sentiment,Privately held Japanese toolholding specialist (~600 employees) — sentiment-tier evidence.,High-precision toolholders directly affect machining accuracy and surface finish on components comparable to F1 parts.,,X03a
77,BigRep GmbH,bigrep.com,Germany,Large-format industrial FDM/FFF 3D printers,150,100-250,sentiment,Medium ($100K-500K),German large-format FDM OEM with over $80M raised in venture funding; no F1 sponsorship found.,,X03b
78,CEAD Group,ceadgroup.com,Netherlands,Large-format continuous-fiber composite additive manufacturing systems,70,100-250,sentiment,Medium ($100K-500K),Dutch large-format composite-AM OEM; no F1 ties found.,,X03b
79,Chiron Group SE,chiron-group.com,Germany,Vertical CNC machining centers,"~1,900",1k-5k,sentiment,"Privately held; company-reported global headcount near 1,900 with no disclosed public revenue figure meeting the $200M bar — sentiment-tier evidence.",Vertical machining centers widely used for aerospace and motorsport-grade aluminum/titanium components.,yes,X03a
80,Continuous Composites,continuouscomposites.com,United States,Continuous fiber composite 3D printing (CF3D),90,100-250,sentiment,Medium ($100K-500K),Raised roughly $85M from investors including Toyota's Woven Capital; no F1 sponsorship found.,,X03b
81,Continuum Powders,continuumpowders.com,United States,Recycled & sustainable metal powders for additive manufacturing,60,100-250,sentiment,Low-Medium ($50K-250K),US sustainable metal-powder producer for AM; no F1 sponsorship found.,,X03b
82,CoreTechnologie GmbH,coretechnologie.com,Germany,CAD/CAM interoperability & AM data-preparation software,100,100-250,sentiment,Low-Medium ($50K-250K),German CAD/AM-software provider; no F1 ties found.,,X03b
83,Dyndrite Corp.,dyndrite.com,United States,GPU-accelerated build-preparation software for AM,80,100-250,sentiment,Medium ($100K-500K),Raised over $66M in venture funding; no F1 sponsorship found.,,X03b
84,Elegoo,elegoo.com,China,Consumer resin (MSLA) 3D printers,800,250-1k,sentiment,Medium ($100K-500K),Leading Chinese consumer resin-3D-printer brand; no F1 sponsorship found.,,X03b
85,EMAG GmbH & Co. KG,emag.com,Germany,Vertical turning and grinding production systems,"~3,700 (group)",1k-5k,sentiment,"Privately held (founder family); industry sources (VDW, trade press) estimate group revenue in the several-hundred-million-euro range, without filed financials confirming the $200M bar — sentiment-tier evidence.","Vertical turning and grinding systems widely used in precision powertrain component production, directly analogous to F1 engine/drivetrain machining.",yes,X03a
86,Eplus3D,eplus3d.com,China,Industrial metal & polymer additive manufacturing systems,300,250-1k,sentiment,Low-Medium ($50K-250K),Growing Chinese industrial AM exporter; no F1 sponsorship evidence found.,,X03b
87,Equispheres Inc.,equispheres.com,Canada,Advanced metal powders for additive manufacturing,100,100-250,sentiment,Low-Medium ($50K-250K),Canadian metal-powder-for-AM company with roughly $50M raised; no F1 ties found.,,X03b
88,Erasteel,erasteel.com,France,High-speed steel & metal powders for additive manufacturing,900,250-1k,sentiment,Medium ($100K-500K),French specialty-steel/metal-powder producer; no F1 ties identified.,,X03b
89,Erowa AG,erowa.com,Switzerland,"Precision workholding, clamping and automation systems",~700,250-1k,sentiment,"Publicly listed (SIX: EROW); reported group revenue has historically run in the CHF 150-200M range, near but not confirmed above the $200M bar — sentiment-tier evidence.",Precision clamping and automation systems used in tool/mold rooms supplying motorsport component manufacturing.,,X03a
90,Fabric8Labs,fabric8labs.com,United States,Electrochemical additive manufacturing (ECAM) for micro metal parts,60,100-250,sentiment,Low-Medium ($50K-250K),Raised a $52M Series B in 2023; no F1 activity found.,,X03b
91,Fictiv Inc.,fictiv.com,United States,Digital manufacturing platform including on-demand 3D printing,300,250-1k,sentiment,Medium ($100K-500K),Raised over $140M across funding rounds; no F1 sponsorship identified.,,X03b
92,FIT Additive Manufacturing Group,fit.technology,Germany,Metal & polymer AM production services,800,250-1k,sentiment,Medium ($100K-500K),German AM production group at gate-level scale; no F1 sponsorship found.,,X03b
93,FlashForge,flashforge.com,China,Consumer & professional FDM/resin 3D printers,1000,250-1k,sentiment,Medium ($100K-500K),Established Chinese consumer/professional 3D-printer maker; no F1 sponsorship found.,,X03b
94,Freemelt AB,freemelt.com,Sweden,Open-architecture electron-beam metal 3D printers,40,100-250,sentiment,Low (<$100K),Listed on Nasdaq First North Growth Market; no F1 sponsorship found.,,X03b
95,Gebr. Heller Maschinenfabrik GmbH,heller.biz,Germany,Horizontal machining centers,"~2,600",1k-5k,sentiment,"Privately held; ~2,600 employees per company reporting, below any disclosed core-level revenue threshold — sentiment-tier evidence.","Horizontal machining centers used extensively for engine block/cylinder head production, a direct parallel to F1 powertrain machining.",,X03a
96,GEFERTEC GmbH,gefertec.de,Germany,Wire-arc additive manufacturing (WAAM) machine tools,90,100-250,sentiment,Low (<$100K),German WAAM machine-tool builder with credible commercial deployments; no F1 activity found.,,X03b
97,Gleason Corporation,gleason.com,United States,"Gear cutting, grinding and inspection machines","~2,000",1k-5k,sentiment,"Privately held (Gleason family/Vestar Capital heritage); ~2,000 employees globally, below any confirmed core-level revenue disclosure — sentiment-tier evidence.",World leader in gear-cutting and inspection technology directly relevant to F1 gearbox and transmission manufacturing.,,X03a
98,H.C. Starck Tungsten Powders,hcstarck.com,Germany,"Refractory metal powders (tungsten, tantalum) for additive manufacturing",1000,250-1k,sentiment,Medium ($100K-500K),German refractory-metals producer serving AM markets; no F1 ties identified.,yes,X03b
99,Haimer GmbH,haimer.com,Germany,Toolholding and tool balancing systems,~900,250-1k,sentiment,Privately held German toolholding specialist (~900 employees) — sentiment-tier evidence.,Precision toolholding and balancing technology is foundational to the surface-finish and tolerance standards F1 components require.,,X03a
100,Hardinge Inc.,hardinge.com,United States,Precision CNC lathes and grinding machines,~700,250-1k,sentiment,"Taken private in 2018 by Privet Fund Management; as a public company (former NASDAQ: HDNG) it last reported revenue in the $250-300M range, but current financials are undisclosed — sentiment-tier evidence rather than a confirmed present-day figure.",Precision lathe and grinding specialist whose ultra-tight-tolerance machines are used in racing component production.,yes,X03a
