brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
VMware (Broadcom),broadcom.com,,12,AWS (Amazon); CrowdStrike; Hewlett Packard Enterprise; Microsoft; Cisco; Okta; Bitdefender; Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",custom silicon/networking chips
Binance,binance.com,,11,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; CoinPayments; BingX; Zoomex; Circle,"Crypto, Trading & Wealth",largest global crypto exchange by volume
Dell Technologies (APEX),dell.com,YES,11,AWS (Amazon); Hewlett Packard Enterprise; Microsoft; Cisco; Rubrik; IBM; NetApp; VAST Data; Extreme Networks; HP; Lenovo,"Cloud, Data & AI Software; Cyber, IT & Hardware",McLaren partner
Repsol,repsol.com,,11,Aramco; Shell; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",Fuel retail rival
SAP,sap.com,YES,11,AWS (Amazon); Salesforce; Microsoft; Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Workday; IBM; ServiceNow; IFS; Avature; UKG,"Cloud, Data & AI Software",HCM cloud rival
ServiceNow,servicenow.com,YES,11,Salesforce; SAP; Microsoft; Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Splunk (Cisco); Freshworks; IBM; Atlassian; IFS; Dynatrace,"Cloud, Data & AI Software",ITSM rival
Accenture,accenture.com,,10,IBM; DXC Technology; Cognizant; Globant; Akkodis (Adecco Group); IndraMind (Indra Sistemas); Xerox; NTT DATA; Deloitte; PwC,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",global IT services/consulting
Chase (JPMorgan Chase),chase.com,,10,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; Velocity Black (Capital One); Mobilize Financial Services (Renault Group); BNY; Public.com,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Global investment bank rival
Eni,eni.com,YES,10,Aramco; Shell; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",Alpine fuel partner
Gemini,gemini.com,YES,10,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Nexo; Endstate; BingX; Zoomex; Circle,"Crypto, Trading & Wealth",McLaren partner; crypto rewards card
Nvidia,nvidia.com,,10,G42; Hewlett Packard Enterprise; Cisco; Groq; CoreWeave; Arm (SoftBank Group); Core Scientific; Unity; AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",AI compute/GPU rival
OpenAI,openai.com,,10,G42; Microsoft; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; IBM; Cognition AI; Airia; Claude (Anthropic); ElevenLabs; TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",frontier AI rival
Panasonic,panasonic.com,,10,HP; Dell Technologies; Lenovo; Xerox; Gillette (Procter & Gamble); Wilkinson Sword (Edgewell); Signify; Philips; DeWalt (Stanley Black & Decker); Duracell (Berkshire Hathaway),"Cyber, IT & Hardware; Beverages, Food & CPG; Energy, Industrial & Automotive; Telecom, Media, Electronics & Gaming",Consumer battery maker
Revolut,revolut.com,YES,10,"Visa; Mastercard; American Express; Cash App (Block, Inc.); MoneyGram; Nu (Nubank); Barclays; Endstate; Public.com; Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Global neobank rival; Audi F1 title partner
Uphold,uphold.com,,10,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; Endstate; BingX; Zoomex,"Crypto, Trading & Wealth",multi-asset rewards platform
Wipro,wipro.com,,10,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
Zoho,zoho.com,,10,Salesforce; TeamViewer; SAP; 1Password; Smartsheet; Dropbox; Freshworks; Okta; Atlassian; Keeper Security,"Cloud, Data & AI Software; Cyber, IT & Hardware",CRM/business suite rival
Akkodis (Adecco Group),akkodis.com,YES,9,DXC Technology; Cognizant; Mphasis; Globant; Brillio; RebelDot; NTT DATA; Randstad; ManpowerGroup,"Cyber, IT & Hardware; Health, Betting & Services",Mercedes partner
Bitfinex,bitfinex.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",long-running pro trading exchange
Bitget,bitget.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",copy-trading focused exchange
Bitpanda,bitpanda.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",EU retail crypto/investing app
Bitstamp,bitstamp.net,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",one of the oldest regulated exchanges
"Block, Inc. (Cash App)",cash.app,YES,9,Visa; Mastercard; American Express; Revolut; MoneyGram; Nu (Nubank); Endstate; Public.com; Circle,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Racing Bulls title partner
Blockchain.com,blockchain.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",wallet + exchange platform
Bybit,bybit.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",major derivatives-led exchange
Capgemini,capgemini.com,,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; IndraMind (Indra Sistemas); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
Castrol,castrol.com,YES,9,Shell; Petronas; Mobil 1 (ExxonMobil); Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Audi F1 lubricants partner
Crypto.com,crypto.com,YES,9,Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; Endstate; BingX; Zoomex,"Crypto, Trading & Wealth","F1 official partner, Miami GP title"
HSBC,hsbc.com,,9,American Express; Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; Velocity Black (Capital One); BNY,"Payments, Banking & Insurance",UK/global universal bank rival
Infosys,infosys.com,,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
KuCoin,kucoin.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",global altcoin-heavy exchange
Luno,luno.com,,9,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",emerging-markets focused exchange
NTT Data,nttdata.com,YES,9,AWS (Amazon); DXC Technology; Cognizant; Core Scientific; Mphasis; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas),"Cloud, Data & AI Software; Cyber, IT & Hardware",Red Bull partner
Tata Consultancy Services,tcs.com,,9,IBM; DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",IT services/consulting
Workday,workday.com,YES,9,Salesforce; SAP; Microsoft; Oracle; ServiceNow; IFS; Avature; Businessolver; UKG,"Cloud, Data & AI Software; Payments, Banking & Insurance",HCM/workforce cloud rival
Anthropic (Claude),anthropic.com,YES,8,G42; Microsoft; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; IBM; Cognition AI; Airia; TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",AI coding agent rival
BingX,bingx.com,YES,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; Zoomex,"Crypto, Trading & Wealth",Ferrari partner
Bithumb,bithumb.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",major South Korean exchange
BitMart,bitmart.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",global altcoin exchange
Bitso,bitso.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",Latin America exchange
Brillio,brillio.com,YES,8,IBM; DXC Technology; Cognizant; Mphasis; Globant; Akkodis (Adecco Group); RebelDot; NTT DATA,"Cloud, Data & AI Software; Cyber, IT & Hardware",Williams partner
CEX.IO,cex.io,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",veteran crypto exchange
Chopard,chopard.com,,8,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux; H. Moser & Cie; Breitling,"Luxury, Fashion & Beauty",Independent Swiss luxury watches
Coincheck,coincheck.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",leading Japanese exchange
Deutsche Bank,db.com,,8,American Express; Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank/wealth rival
EPAM Systems,epam.com,,8,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); RebelDot; NTT DATA,"Cyber, IT & Hardware",digital engineering services
Fuchs Petrolub,fuchs.com,,8,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",German lubricants specialist
Gate.io,gate.io,YES,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",Red Bull Racing partner
Globant,globant.com,YES,8,IBM; DXC Technology; Cognizant; Mphasis; Brillio; Akkodis (Adecco Group); RebelDot; NTT DATA,"Cloud, Data & AI Software; Cyber, IT & Hardware",F1 official partner
Gulf Oil,gulfoilltd.com,YES,8,Shell; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Williams partner
Huobi / HTX,htx.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",legacy Asia-based exchange
IG,ig.com,,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",large listed CFD/spread-betting broker
Kraken (Payward),kraken.com,YES,8,Crypto.com; Coinbase; OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",Williams partner
LBank,lbank.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",global altcoin exchange
MEXC,mexc.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",wide-listing altcoin exchange
Motul,motul.com,YES,8,Shell; Mobil 1 (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Lucas Oil,"Energy, Industrial & Automotive",McLaren partner
Mphasis,mphasis.com,YES,8,IBM; DXC Technology; Cognizant; Globant; Brillio; Akkodis (Adecco Group); RebelDot; NTT DATA,"Cloud, Data & AI Software; Cyber, IT & Hardware",Haas partner
NetApp,netapp.com,YES,8,AWS (Amazon); Hewlett Packard Enterprise; Oracle; Dropbox; Rubrik; IBM; VAST Data; Dell Technologies,"Cloud, Data & AI Software; Cyber, IT & Hardware",data storage rival
Nexo,nexo.com,YES,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",Audi F1 partner
Nike,nike.com,,8,Puma; adidas; Castore; New Era; Oakley (EssilorLuxottica); OGIO (Topgolf Callaway Brands); TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Global sportswear leader
OKX,okx.com,YES,8,Crypto.com; Coinbase; Kraken (Payward); Gate.io; Gemini (crypto exchange); Nexo; BingX; Zoomex,"Crypto, Trading & Wealth",McLaren primary partner
PayPal,paypal.com,,8,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; MoneyGram; Endstate; Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Digital wallet/P2P rival
Phemex,phemex.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",derivatives-focused exchange
Plus500,plus500.com,,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed CFD trading platform
Poloniex,poloniex.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",veteran US-origin exchange
Puma SE,puma.com,YES,8,LVMH; adidas; Castore; New Era; TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL); Alpinestars; Sparco,"Luxury, Fashion & Beauty; Energy, Industrial & Automotive",F1 sponsor (Ferrari/McLaren/Aston Martin)
Samsung,samsung.com,,8,Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; HP; Dell Technologies; Lenovo; Snapdragon (Qualcomm); Philips; WHOOP; Oura,"Cloud, Data & AI Software; Cyber, IT & Hardware; Energy, Industrial & Automotive; Health, Betting & Services",Smart ring
Saxo Bank,home.saxo,,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",multi-asset trading/investment bank
Snowflake,snowflake.com,,8,AWS (Amazon); Microsoft; Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Alteryx; IBM; VAST Data; Confluent,"Cloud, Data & AI Software",cloud data platform rival
Tech Mahindra,techmahindra.com,,8,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
Upbit,upbit.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",leading South Korean exchange
Valvoline,valvolineglobal.com,YES,8,Shell; Mobil 1 (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Motul; Lucas Oil,"Energy, Industrial & Automotive",Aston Martin partner
WazirX,wazirx.com,,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); BingX; Zoomex,"Crypto, Trading & Wealth",India-focused exchange
Wise,wise.com,,8,"Visa; Mastercard; American Express; Cash App (Block, Inc.); Revolut; MoneyGram; Nu (Nubank); Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Cross-border money transfer rival
XTB,xtb.com,,8,Public.com; eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed forex/CFD broker
Zoomex,zoomex.com,YES,8,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; BingX,"Crypto, Trading & Wealth",Haas partner
adidas AG,adidas.com,YES,7,LVMH; Puma; Castore; New Era; Oakley (EssilorLuxottica); TravisMathew (Topgolf Callaway Brands); Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",F1 sponsor (Mercedes apparel)
Admirals (Admiral Markets),admiralmarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
Amsoil,amsoil.com,,7,Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil,"Energy, Industrial & Automotive",Synthetic lubricants brand
Atos,atos.net,,7,Hewlett Packard Enterprise; DXC Technology; Cognizant; Mphasis; Akkodis (Adecco Group); IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
Axi,axi.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
Bank of America,bankofamerica.com,,7,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Global investment bank rival
Barclays (Barclaycard US),barclays.com,YES,7,American Express; Santander; Goldman Sachs; UBS; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",UK international bank rival; Williams partner
BlackBull Markets,blackbull.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",ECN forex/CFD broker
BNP Paribas,bnpparibas.com,,7,Santander; Goldman Sachs; UBS; Barclays; UniCredit; Standard Chartered; BNY,"Payments, Banking & Insurance",European universal bank rival
Capital.com,capital.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",CFD trading platform
Citigroup,citigroup.com,,7,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; BNY,"Payments, Banking & Insurance",Global emerging-markets banking rival
City Index,cityindex.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",CFD/spread-betting broker
CMC Markets,cmcmarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",listed CFD/forex broker
easyMarkets,easymarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
Eightcap,eightcap.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
ENEOS,eneos.co.jp,,7,Petronas; Mobil 1 (ExxonMobil); bp / Castrol; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",Japanese lubricants co
eToro,etoro.com,YES,7,Public.com; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",Alpine partner
Exness,exness.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",high-volume forex/CFD broker
FBS,fbs.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",retail forex/CFD broker
Forex.com,forex.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",StoneX retail forex/CFD brand
Fortinet,fortinet.com,,7,CrowdStrike; Cisco; Bitdefender; Extreme Networks; Ruckus Networks (CommScope); Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",network security
FP Markets,fpmarkets.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
Fujitsu,fujitsu.com,,7,Hewlett Packard Enterprise; DXC Technology; Cognizant; HP; Dell Technologies; Lenovo; NTT DATA,"Cyber, IT & Hardware",servers/enterprise IT
FXCM,fxcm.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",global forex/CFD broker
Genesys,genesys.com,YES,7,Salesforce; Oracle; Medallia; Freshworks; IBM; ServiceNow; Infobip,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",CX/contact center rival
Girard-Perregaux,girard-perregaux.com,YES,7,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); Richard Mille; IWC Schaffhausen (Richemont); H. Moser & Cie; Breitling,"Luxury, Fashion & Beauty",F1 sponsor (Williams)
Global Prime,globalprime.com,,7,eToro; Pepperstone; AvaTrade; FxPro; Libertex; XMTrading (Trading Point Group); Vantage Markets,"Crypto, Trading & Wealth",forex/CFD broker
HCLTech,hcltech.com,,7,DXC Technology; Cognizant; Mphasis; Globant; Brillio; Akkodis (Adecco Group); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
