#,company,domain,hq_country,sector,subsector,employees_est,revenue_est,why_f1
26,BNP Paribas,bnpparibas.com,France,Banking & Asset Management,Universal Banking,183000,€48.2B revenue (FY2024),"Eurozone's largest bank with an extensive global sponsorship portfolio (tennis Masters, rugby); F1 remains a white-space opportunity given the sport's growing European audience."
27,"CaixaBank, S.A.",caixabank.com,Spain,Banking & Asset Management,Universal Banking,40000,€11.7B revenue (FY2024),"Spain's largest domestic bank by assets with a strong retail brand; no current motorsport sponsorship despite Spain hosting two F1 races (Barcelona, Madrid from 2026)."
28,Canara Bank,canarabank.com,India,Banking & Asset Management,State-Owned Retail Banking,82000,~US$13B revenue (FY2024),Top-5 Indian public-sector bank with large retail footprint and rising digital/premium ambitions.
29,China Merchants Bank,cmbchina.com,China,Banking & Asset Management,Retail & Commercial Banking,110000,~US$50B revenue (FY2023),"China's leading commercial (non state-policy) bank, dominant in premium/private wealth banking for affluent Chinese."
30,Chubb Limited,chubb.com,Switzerland,Banking & Asset Management,Insurance,40000,$54.1B revenue (FY2024),"World's largest publicly traded P&C insurer, HQ'd in Zurich with major US operations, serving the HNW and corporate clients that populate F1 paddock hospitality; no current motorsport sponsorship."
31,CIBC (Canadian Imperial Bank of Commerce),cibc.com,Canada,Banking & Asset Management,Universal Banking,48000,C$24.3B revenue (FY2024),Major Canadian bank with growing US commercial banking and capital markets business; no existing motorsport sponsorship.
32,CIMB Group,cimb.com,Malaysia,Banking & Asset Management,Universal Banking,34000,~US$5.4B revenue (FY2023),Pan-ASEAN bank with youth-skewed digital banking arm (CIMB Octo) that fits F1's younger fan-growth narrative.
33,CITIC Bank,citicbank.com,China,Banking & Asset Management,Universal Banking,58000,~US$27B revenue (FY2023),Commercially oriented arm of CITIC Group with corporate and premium banking focus and global expansion goals.
34,Citigroup Inc.,citigroup.com,United States,Banking & Asset Management,Global Banking & Wealth Management,229000,$81.1B revenue (FY2024),Global consumer and institutional bank present in over 90 markets — matches F1's international footprint and client base of affluent/private-bank customers; not currently an F1 partner.
35,Commerzbank AG,commerzbank.com,Germany,Banking & Asset Management,Corporate & Retail Banking,37000,€10.7B revenue (FY2024),Major German corporate and retail bank with a strong SME/Mittelstand client base; no existing motorsport sponsorship despite Germany hosting F1 power-unit manufacturers.
36,Commonwealth Bank of Australia (CBA),commbank.com.au,Australia,Banking & Asset Management,Retail & Commercial Banking,49000,~US$18B revenue (FY2023),"Australia's largest bank by market cap, home-market tie to the Australian GP with no current motorsport sponsorship."
37,Crédit Agricole Group,credit-agricole.com,France,Banking & Asset Management,Universal Banking,76000,€39.9B revenue (FY2024),One of the world's largest cooperative banking groups with major asset management (Amundi) and insurance arms; unattached to F1 despite France hosting the Alpine works team.
38,Dai-ichi Life Holdings,dai-ichi-life-hd.com,Japan,Banking & Asset Management,Life Insurance,55000,~US$45B revenue (FY2023),"Global life insurance group (Japan, US, Asia) with growing international brand ambitions and no F1 presence."
39,Danske Bank A/S,danskebank.com,Denmark,Banking & Asset Management,Universal Banking,22000,DKK 46.9B revenue (FY2024),Largest bank in Denmark with Nordic-wide retail and corporate operations; no existing motorsport sponsorship.
40,DBS Bank,dbs.com,Singapore,Banking & Asset Management,Universal Banking,41000,~US$10.8B total income (FY2023),Singapore GP host-nation bank; premium/private-banking brand with heavy APAC wealth-management push and existing large-event sponsorship appetite.
41,Deutsche Bank AG,db.com,Germany,Banking & Asset Management,Universal & Investment Banking,90000,€30.1B revenue (FY2024),"Germany's largest bank and a global investment bank; peer UniCredit is already on the F1 grid, leaving Deutsche Bank as a clear competitive-response prospect in home market of two F1 power units (Mercedes, Audi)."
42,DNB Bank ASA,dnb.no,Norway,Banking & Asset Management,Universal Banking,14000,NOK 68.6B revenue (FY2024),Norway's largest financial services group with significant asset management and shipping/energy finance operations; unattached to F1.
43,Emirates NBD,emiratesnbd.com,UAE,Banking & Asset Management,Universal Banking,30000,~US$9.6B revenue (FY2023),"Dubai's flagship bank in the F1 host city, MENAT-wide footprint, no current F1 sponsorship despite regional peers active in motorsport."
44,Erste Group Bank AG,erstegroup.com,Austria,Banking & Asset Management,Universal Banking,47000,€9.8B revenue (FY2024),"Leading Central and Eastern European banking group headquartered in Vienna, covering high-growth CEE markets; no current F1 or motorsport sponsorship."
45,Fidelity Investments,fidelity.com,United States,Banking & Asset Management,Asset Management & Brokerage,76000,~$29B revenue est. (FY2024),"Privately held asset management giant ($5T+ AUM) with a strong US retail investor brand and no current motorsport sponsorship, well suited to F1's growing US audience."
46,First Abu Dhabi Bank (FAB),bankfab.com,UAE,Banking & Asset Management,Corporate & Investment Banking,17000,~US$8.4B revenue (FY2023),"UAE's largest bank by assets, headquartered in Abu Dhabi GP's home city; distinct from Mubadala's existing GP sponsorship."
47,FirstRand,firstrand.co.za,South Africa,Banking & Asset Management,Universal Banking,45000,~US$7.5B revenue (FY2023),"Leading South African financial group (FNB, RMB) with strong premium/private client brand and pan-African expansion."
48,Franklin Resources (Franklin Templeton),franklintempleton.com,United States,Banking & Asset Management,Asset Management,9500,$8.1B revenue (FY2024),Global asset manager with operations across the Americas and Europe matching F1's race markets; no existing motorsport sponsorship.
49,Grupo Financiero Banorte,banorte.com,Mexico,Banking & Asset Management,Universal Banking,32000,~$7B revenue est. (FY2024),"Mexico's largest domestically-owned banking group, based in the host city of the Mexico City Grand Prix; no current F1 sponsorship."
50,Hana Financial Group,hanafn.com,South Korea,Banking & Asset Management,Universal Banking / Financial Group,26000,~US$15B revenue (FY2023),Major Korean financial group with global card and wealth businesses seeking premium international visibility.
51,Hang Seng Bank,hangseng.com,Hong Kong,Banking & Asset Management,Retail & Commercial Banking,9500,~US$4.5B revenue (FY2023),Hong Kong's leading local bank with premium wealth-management arm and strong home-grown brand equity.
52,HDFC Bank,hdfcbank.com,India,Banking & Asset Management,Retail & Commercial Banking,213000,~US$28B revenue (FY2024),India's largest private bank post HDFC-Ltd merger; premium card/wealth arm targets exactly the audience F1 draws in India.
53,HSBC Holdings plc,hsbc.com,United Kingdom,Banking & Asset Management,Universal Banking,213000,$65.9B revenue (FY2024),"World's largest Europe-headquartered bank with a genuinely global branch network mirroring F1's calendar (Asia, Middle East, Americas, Europe); no current F1 sponsorship despite deep sports marketing history (golf, rugby sevens)."
54,ICICI Bank,icicibank.com,India,Banking & Asset Management,Universal Banking,140000,~US$20B revenue (FY2024),"Top-tier Indian private bank with strong premium credit-card and wealth franchise, no existing motorsport tie."
55,ING Group,ing.com,Netherlands,Banking & Asset Management,Universal Banking,60000,€22.5B revenue (FY2024),"Pan-European retail and wholesale bank with strong digital brand recognition; motorsport-marketing precedent (cycling, other series) but no current F1 tie."
56,Intesa Sanpaolo S.p.A.,intesasanpaolo.com,Italy,Banking & Asset Management,Universal Banking,95000,€25.5B revenue (FY2024),"Italy's largest bank by assets; direct domestic peer UniCredit already sponsors F1 (Ferrari's home market), positioning Intesa Sanpaolo as a strong competitive-response candidate."
57,Invesco Ltd.,invesco.com,United States,Banking & Asset Management,Asset Management,8000,$5.9B revenue (FY2024),Global investment manager (QQQ ETF sponsor) with a consumer-facing brand and international office network; unattached to motorsport.
58,Itaú Unibanco Holding S.A.,itau.com.br,Brazil,Banking & Asset Management,Universal Banking,96000,~$41B revenue est. (FY2024),"Largest bank in Latin America, headquartered in São Paulo — F1's home Brazilian Grand Prix market — with no current F1 sponsorship despite heavy sports marketing spend domestically."
59,JPMorgan Chase & Co.,jpmorganchase.com,United States,Banking & Asset Management,"Global Banking, Markets & Asset Management",309900,$177.6B revenue (FY2024),"Largest US bank by assets; deep-pocketed global brand competing directly with F1 sponsors Goldman Sachs, UBS and Barclays yet currently absent from the grid — strong white-space prospect for a global hospitality/brand campaign targeting HNW and corporate banking clients."
60,Julius Baer Group Ltd.,juliusbaer.com,Switzerland,Banking & Asset Management,Private Banking & Wealth Management,7300,CHF 3.4B revenue (FY2024),"Pure-play Swiss private bank serving UHNW clients — precisely F1's paddock club demographic; peer UBS already sponsors F1 (Mercedes), positioning Julius Baer as a wealth-management competitive-response candidate."
61,Kasikornbank (KBank),kasikornbank.com,Thailand,Banking & Asset Management,Universal Banking,19000,~US$5.0B revenue (FY2023),Digitally-forward Thai bank with strong youth/affluent segment focus and no current global motorsport sponsorship.
62,KB Financial Group,kbfg.com,South Korea,Banking & Asset Management,Universal Banking / Financial Group,26000,~US$18B revenue (FY2023),"Korea's largest financial holding company, aggressively globalizing brand with card/wealth arms fit for F1 audiences."
63,KeyCorp,key.com,United States,Banking & Asset Management,Retail & Commercial Banking,17000,$6.65B revenue (FY2024),US super-regional bank with a growing corporate banking business and no existing motorsport sponsorship.
64,Kotak Mahindra Bank,kotak.com,India,Banking & Asset Management,Universal Banking,85000,~US$7B revenue (FY2024),Premium-positioned Indian private bank/wealth manager with affluent-client focus that fits F1's demographic.
65,Krung Thai Bank,ktb.co.th,Thailand,Banking & Asset Management,State-Linked Commercial Banking,19000,~US$4.0B revenue (FY2023),Major Thai state-linked bank with nationwide retail reach and rising international ambitions.
66,Kuwait Finance House (KFH),kfh.com,Kuwait,Banking & Asset Management,Islamic Banking,8600,~US$6.4B revenue (FY2023),"Leading global Islamic bank (post Ahli United merger) with expanding GCC, Turkey and Malaysia footprint."
67,Life Insurance Corporation of India (LIC),licindia.in,India,Banking & Asset Management,Life Insurance,100000,~US$100B gross premium income (FY2024),"India's dominant, sovereign-backed life insurer with enormous scale seeking modern, premium brand association."
68,Lloyds Banking Group plc,lloydsbankinggroup.com,United Kingdom,Banking & Asset Management,Retail & Commercial Banking,60000,£17.9B revenue (FY2024),"UK's largest retail and commercial bank; unattached to F1 despite seven of the ten F1 teams being UK-based, giving Lloyds a home-market activation opportunity."
69,M&T Bank Corporation,mtb.com,United States,Banking & Asset Management,Retail & Commercial Banking,22000,$9.1B revenue (FY2024),Northeast US super-regional bank with a large commercial banking franchise; unattached to any current motorsport series.
70,Macquarie Group,macquarie.com,Australia,Banking & Asset Management,Asset Management & Investment Banking,20000,~US$14B revenue (FY2024),Global investment bank/asset manager headquartered in Sydney with infrastructure investments in motorsport-adjacent assets.
71,Manulife Financial Corporation,manulife.com,Canada,Banking & Asset Management,Insurance & Asset Management,38000,C$64.4B revenue (FY2024),"Global insurer and asset manager (Manulife/John Hancock) with operations across Canada, the US and Asia; active in sports sponsorship (NBA Raptors) but absent from F1."
72,Mapfre S.A.,mapfre.com,Spain,Banking & Asset Management,Insurance,34000,€28.5B revenue (FY2024),"Spain's largest insurer with operations across Europe and Latin America; active in motorsport sponsorship at a lower tier (MotoGP's Aspar Team) but has no current F1 deal, suggesting genuine category interest."
73,Maybank,maybank.com,Malaysia,Banking & Asset Management,Universal Banking,44000,~US$6.8B revenue (FY2023),Largest Malaysian banking group with ASEAN-wide retail and premium banking footprint seeking global brand elevation.
74,"MetLife, Inc.",metlife.com,United States,Banking & Asset Management,Insurance & Asset Management,45000,$69.6B revenue (FY2024),"One of the world's largest life insurers with global operations across the Americas, Europe and Asia; strong sports sponsorship history (NFL, MetLife Stadium) but no current F1 presence."
75,Mitsubishi UFJ Financial Group (MUFG),mufg.jp,Japan,Banking & Asset Management,Universal Banking / Financial Group,170000,~US$45B revenue (FY2023),Japan's largest financial group with global corporate/investment banking reach and Japanese GP home-market tie-in.
76,Mizuho Financial Group,mizuhogroup.com,Japan,Banking & Asset Management,Universal Banking / Financial Group,54000,~US$28B revenue (FY2023),Major Japanese megabank with global investment banking ambitions and home-market Japanese GP link.
77,Morgan Stanley,morganstanley.com,United States,Banking & Asset Management,Investment Banking & Wealth Management,80000,$61.8B revenue (FY2024),"Premier wealth management and investment bank with a UHNW client base overlapping F1's paddock/hospitality audience; direct peer Goldman Sachs is already an F1 sponsor, leaving Morgan Stanley as a live competitive prospect."
78,MS&AD Insurance Group,ms-ad-hd.com,Japan,Banking & Asset Management,General Insurance,40000,~US$38B revenue (FY2023),Japan's largest P&C insurance group with sizable overseas operations and motorsport-adjacent risk/mobility products.
79,Munich Re (Münchener Rück),munichre.com,Germany,Banking & Asset Management,Reinsurance,44000,€59.1B revenue (FY2024),World's largest reinsurer with a global institutional and corporate client base; no current F1 or major motorsport sponsorship despite German motorsport heritage.
80,National Australia Bank (NAB),nab.com.au,Australia,Banking & Asset Management,Business & Commercial Banking,36000,~US$14B revenue (FY2023),Leading Australian business bank with strong corporate hospitality culture fit for F1 sponsorship activation.
81,National Bank of Kuwait (NBK),nbk.com,Kuwait,Banking & Asset Management,Universal Banking,11000,~US$5.5B revenue (FY2023),Kuwait's largest bank with GCC-wide network and strong premium/private banking arm.
82,Nationwide Building Society,nationwide.co.uk,United Kingdom,Banking & Asset Management,Retail Banking,18000,£3.2B total income (FY2024),"UK's largest building society and a major sports sponsor (England football); pivoting its brand toward younger, digitally-engaged savers — a demographic overlap with F1's post-Drive to Survive fanbase."
83,NatWest Group plc,natwestgroup.com,United Kingdom,Banking & Asset Management,Retail & Commercial Banking,60000,£14.8B revenue (FY2024),"Major UK bank rebuilding its brand post state-ownership exit, with a strong existing sports sponsorship platform (Six Nations rugby); F1's UK-heavy team base is untapped."
84,Nedbank Group,nedbank.co.za,South Africa,Banking & Asset Management,Universal Banking,28000,~US$4.5B revenue (FY2023),"Top-5 South African bank with premium/private wealth arm and history of high-profile sports sponsorships (golf, rugby)."
85,Nippon Life Insurance,nissay.co.jp,Japan,Banking & Asset Management,Life Insurance,71000,~US$60B revenue (FY2023),Japan's largest life insurer with huge sales-agent workforce and global brand-building push (incl. US MassMutual stake).
86,Nomura Holdings,nomura.com,Japan,Banking & Asset Management,Investment Banking & Securities,28000,~US$14B revenue (FY2023),Japan's leading global investment bank/broker with HNW client base overlapping F1's premium hospitality audience.
87,Nordea Bank Abp,nordea.com,Finland,Banking & Asset Management,Universal Banking,29000,€10.3B revenue (FY2024),"Largest financial services group in the Nordics with operations across Sweden, Denmark, Norway and Finland; unattached to F1 despite strong Nordic motorsport fandom (Bottas, Räikkönen legacy)."
88,Northern Trust Corporation,northerntrust.com,United States,Banking & Asset Management,Wealth & Asset Management,24000,$7.4B revenue (FY2024),"Wealth management-focused bank serving UHNW families and institutions; F1 hospitality is a natural fit for its client entertainment strategy, and it has no existing motorsport partnership."
89,OCBC Bank,ocbc.com,Singapore,Banking & Asset Management,Universal Banking,32000,~US$9.6B total income (FY2023),Singapore GP host-nation bank targeting regional premium/wealth clients; strong brand-building budget and no existing motorsport tie-up.
90,Ping An Bank,bank.pingan.com,China,Banking & Asset Management,Retail & Commercial Banking,40000,~US$22B revenue (FY2023),"Commercially-run Chinese bank (Ping An Group subsidiary) targeting affluent retail clients, distinct from state megabanks."
91,Ping An Insurance Group,pingan.com,China,Banking & Asset Management,Diversified Insurance & Financial Group,330000,~US$160B revenue (FY2023),"China's largest private insurer/fintech conglomerate, commercially driven with global brand ambitions unlike state banks."
92,Principal Financial Group,principal.com,United States,Banking & Asset Management,Insurance & Asset Management,19000,$14.2B revenue (FY2024),"Global retirement, insurance and asset management group with operations in the Americas, Europe and Asia; naming-rights sponsor of Principal Park and Principal Charity Classic, showing sports-marketing appetite but no F1 presence."
93,Prudential Financial,prudential.com,United States,Banking & Asset Management,Insurance & Asset Management,40000,$66.4B revenue (FY2024),"Major US life insurer and asset manager (PGIM) with global operations; distinct from UK's Prudential plc, unattached to F1 and to any other current racing series."
94,Public Bank Berhad,pbebank.com,Malaysia,Banking & Asset Management,Retail & Commercial Banking,19000,~US$3.1B revenue (FY2023),Malaysia's most profitable bank with strong retail/SME base and regional expansion ambitions untapped by motorsport marketing.
95,Punjab National Bank,pnbindia.in,India,Banking & Asset Management,State-Owned Retail Banking,100000,~US$12B revenue (FY2024),Major Indian public-sector bank with vast retail base and government push for higher brand recognition.
96,Qatar National Bank (QNB),qnb.com,Qatar,Banking & Asset Management,Universal Banking,28000,~US$16B revenue (FY2023),"Largest bank in the Middle East/Africa by assets, extensive MENA/Europe network, no current F1 partnership."
97,QBE Insurance Group,qbe.com,Australia,Banking & Asset Management,General Insurance,13000,~US$16B gross written premium (FY2023),Global specialty/commercial insurer headquartered in Sydney with corporate risk products relevant to motorsport.
98,Rabobank,rabobank.com,Netherlands,Banking & Asset Management,Cooperative & Wholesale Banking,43000,€14.9B revenue (FY2024),Large Dutch cooperative bank with global food & agri banking franchise; no current motorsport sponsorship despite Dutch Grand Prix's huge orange-army following.
99,Riyad Bank,riyadbank.com,Saudi Arabia,Banking & Asset Management,Universal Banking,7700,~US$4.2B revenue (FY2023),Major Saudi bank benefiting from the Kingdom's F1/motorsport investment wave via Saudi Arabian GP and Aramco ties.
100,Royal Bank of Canada (RBC),rbc.com,Canada,Banking & Asset Management,Universal Banking,94000,C$56.1B revenue (FY2024),"Canada's largest bank by market cap with major existing sports sponsorship (RBC Heritage golf, Team Canada); not currently on the F1 grid despite RBC's high-visibility motorsport-adjacent marketing style."
101,Saudi National Bank (SNB),alahli.com,Saudi Arabia,Banking & Asset Management,Universal Banking,12000,~US$7.3B revenue (FY2023),"Saudi Arabia's largest bank by assets (post NCB-Samba merger), state-adjacent but distinct from STC/PIF sponsorships."
102,Scotiabank (Bank of Nova Scotia),scotiabank.com,Canada,Banking & Asset Management,Universal Banking,90000,C$32.7B revenue (FY2024),"Canada's most internationally diversified bank with strong Latin American operations, mirroring F1's Americas expansion (Mexico City, Miami, Las Vegas, São Paulo); unattached to F1."
103,Shinhan Financial Group,shinhangroup.com,South Korea,Banking & Asset Management,Universal Banking / Financial Group,30000,~US$17B revenue (FY2023),Top Korean financial group with global ambitions and history of high-profile sports/culture sponsorships.
104,Siam Commercial Bank (SCB X),scb.co.th,Thailand,Banking & Asset Management,Universal Banking,20000,~US$4.7B revenue (FY2023),"Thailand's oldest bank, actively rebranding as tech-forward SCBX group seeking premium global visibility."
105,Skandinaviska Enskilda Banken (SEB),seb.se,Sweden,Banking & Asset Management,Corporate & Private Banking,17000,SEK 47.8B revenue (FY2024),Leading Nordic corporate and private bank serving large corporates and wealthy families; no current F1 sponsorship.
106,Société Générale,societegenerale.com,France,Banking & Asset Management,Universal Banking,119000,€26.6B revenue (FY2024),Major French universal bank with global corporate and investment banking operations; no current F1 or top motorsport sponsorship.
107,Standard Bank Group,standardbank.com,South Africa,Banking & Asset Management,Pan-African Universal Banking,51000,~US$8.5B revenue (FY2023),"Africa's largest bank by assets across 20 countries, distinct from Standard Chartered, unmatched African reach for F1."
108,State Bank of India (SBI),bank.sbi,India,Banking & Asset Management,State-Owned Universal Banking,235000,~US$60B revenue (FY2024),"World's largest state-owned bank by branches, huge scale and growing global brand ambitions."
109,State Street Corporation,statestreet.com,United States,Banking & Asset Management,Custody Banking & Asset Management,46000,$12.9B revenue (FY2024),"Global custody bank and owner of the SPDR ETF brand; large institutional client base and global offices align with F1's international calendar, with no current racing sponsorship."
110,Sumitomo Mitsui Financial Group (SMBC),smfg.co.jp,Japan,Banking & Asset Management,Universal Banking / Financial Group,110000,~US$40B revenue (FY2023),Top-3 Japanese megabank with large global wealth/corporate banking arm and appetite for international brand campaigns.
111,Sun Life Financial Inc.,sunlife.com,Canada,Banking & Asset Management,Insurance & Asset Management,22000,C$27.5B revenue (FY2024),"Global financial services group spanning insurance and asset management (SLC Management, MFS); no current motorsport tie despite broad international presence."
112,Swiss Re AG,swissre.com,Switzerland,Banking & Asset Management,Reinsurance,15000,$46.3B revenue (FY2024),World's second-largest reinsurer with a global institutional client base of insurers and banks that overlaps heavily with F1's corporate hospitality guest list; no current motorsport sponsorship.
113,T. Rowe Price Group,troweprice.com,United States,Banking & Asset Management,Asset Management,7600,$6.98B revenue (FY2024),Global active asset manager with a strong retail and institutional brand seeking younger investor engagement — an audience F1 has proven adept at reaching via Drive to Survive.
114,TD Bank Group,td.com,Canada,Banking & Asset Management,Universal Banking,95000,C$52.2B revenue (FY2024),Major North American retail/commercial bank with a large US East Coast footprint (TD Bank) and no current F1 sponsorship.
115,The Charles Schwab Corporation,schwab.com,United States,Banking & Asset Management,Brokerage & Wealth Management,32000,$19.7B revenue (FY2024),"Largest US retail brokerage/custodian; targets a self-directed investor demographic that skews toward F1's growing US fanbase post-Drive to Survive, with no existing motorsport tie-in."
116,The PNC Financial Services Group,pnc.com,United States,Banking & Asset Management,Retail & Commercial Banking,56000,$21.5B revenue (FY2024),"Top-10 US bank by assets with a large commercial/corporate client base and heavy existing sports sponsorship spend (PNC Park), signalling openness to marquee sponsorships like F1."
117,The Travelers Companies,travelers.com,United States,Banking & Asset Management,Insurance,30000,$46.4B revenue (FY2024),Major US commercial/personal lines insurer with a strong golf sponsorship platform (Travelers Championship); could extend premium sports marketing into F1's global audience.
118,The Vanguard Group,vanguard.com,United States,Banking & Asset Management,Asset Management,20000,~$8B operating revenue est. (FY2024),Second-largest global asset manager (~$9T AUM) with a mass-affluent retail investor base; no current motorsport sponsorship despite BlackRock-scale marketing budget.
119,Tokio Marine Holdings,tokiomarinehd.com,Japan,Banking & Asset Management,General Insurance,41000,~US$45B revenue (FY2023),"Global P&C insurer (owns HCC, Philadelphia Insurance) with worldwide corporate client base suited to F1 hospitality."
120,Truist Financial Corporation,truist.com,United States,Banking & Asset Management,Retail & Commercial Banking,40000,$23.2B revenue (FY2024),"Large Southeastern US super-regional bank actively investing in brand-building post-merger (SunTrust/BB&T); F1's expanding US race calendar (Miami, Austin, Vegas) fits its regional footprint."
121,U.S. Bancorp,usbank.com,United States,Banking & Asset Management,Retail & Commercial Banking,70000,$27.7B revenue (FY2024),"Fifth-largest US bank by assets with national retail and payments franchise; unattached to any F1 team or race, giving it a clean opportunity in a growing US market."
122,Union Bank of India,unionbankofindia.co.in,India,Banking & Asset Management,State-Owned Retail Banking,75000,~US$11B revenue (FY2024),Large Indian public-sector bank expanding brand presence as India's F1 fanbase and Grand Prix ambitions grow.
123,United Overseas Bank (UOB),uobgroup.com,Singapore,Banking & Asset Management,Universal Banking,29000,~US$8.3B total income (FY2023),"ASEAN-wide private bank based in the Singapore GP host market, actively expanding premium card and wealth segments."
