#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_earlier_list,source_batch
11,Anritsu Infivis,infivis.com,Japan,X-ray & checkweighing inspection systems for food/pharma,700,250-1k,core,"Wholly owned by Anritsu Corp (TYO:6754); Anritsu group revenue ~¥100B (~$680M), 4,000+ employees",Anritsu's inspection lines serve global food/pharma packagers — parent-company scale supports a hospitality-led sell.,,P18a
12,Ardagh Group,ardaghgroup.com,Luxembourg,Glass & metal beverage/food container manufacturing,"~16,000",10k+,core,Private (Ardagh Group S.A.); est. group revenue ~$9B. Meets gate (a) and (b).,Ardagh forms the glass bottles and metal cans used by premium beverage brands active in F1 sponsorship — direct upstream supply-chain relationship.,,W27
13,ATS Corporation,atsautomation.com,Canada,Food Robotics & Automation,"~7,500",5k-10k,core,TSX/NYSE-listed (ATS); FY2024 revenue ~CAD2.7B. Meets gate (a) and (b).,"Diversified automation group serving food & beverage manufacturing, expanding brand reach through high-visibility sponsorship.",yes,P18b
14,BA Glass,ba-glass.com,Portugal,Glass packaging manufacturing,"~3,000",1k-5k,core,Owned by KPS Capital Partners (private equity); estimated revenue ~EUR700M. Meets gate (a) and (b).,BA Glass forms bottles for European beverage brands — PE-scale budget supports enterprise hospitality investment.,,W27
15,Baader Group,baader.com,Germany,"Meat, Poultry & Fish Processing","~3,300",1k-5k,core,"Private, estimated revenue ~EUR700M across fish/poultry/meat processing tech. Meets gate (a) revenue.",Precision-cutting and robotics technology story that plays well against F1's precision-engineering brand codes.,,P18b
16,Balchem Corporation,balchem.com,USA,Encapsulated nutrition & food ingredient solutions,"~2,000",1k-5k,core,Public (NASDAQ:BCPC); FY2023 revenue ~$950M. Meets gate (a) revenue.,Balchem's nutrition ingredients feed packaged-food and animal-nutrition brands adjacent to F1's CPG sponsor base.,,W27
17,Barry Callebaut,barry-callebaut.com,Switzerland,Chocolate & cocoa ingredients for food manufacturers,"~13,000",10k+,core,Public (SIX:BARN); FY2023 revenue ~CHF8.1B. Meets gate (a) and (b).,Barry Callebaut supplies chocolate ingredients to confectionery brands active in F1 hospitality — Swiss precision-engineering pitch.,yes,W27
18,Bausch+Ströbel,bausch-stroebel.com,Germany,"Pharmaceutical filling & packaging machinery (vials, syringes)","2,700",1k-5k,core,"Private, family-owned; est. revenue >€400M from global pharma capital-equipment sales",Vaccine and injectable-drug fillers built by Bausch+Ströbel serve pharma majors with the budgets F1 hospitality targets.,,P18a
19,Bell Flavors & Fragrances,bellff.com,USA,Flavor & fragrance ingredients for food/beverage,"~1,000",250-1k,core,"Private, family-owned; estimated revenue ~$400M. Meets gate (a) revenue (estimate).",Bell's flavor ingredients feed beverage brands adjacent to F1's CPG sponsor roster — family-owned global exporter.,,W27
20,Beneo GmbH,beneo.com,Germany,"Functional food ingredients (rice, chicory, sugar beet)","~1,400",1k-5k,core,"Wholly owned by Südzucker AG (public, XETRA:SZU); Südzucker group revenue ~EUR10B. Meets gate (a) and (b) via parent.",Beneo's functional ingredients feed health-forward CPG brands adjacent to F1's sponsor base — Südzucker's balance sheet funds enterprise sponsorship.,,W27
21,Bericap,bericap.com,Germany,Plastic closures manufacturing with machinery engineering,"~4,000",1k-5k,core,"Private, family-owned; estimated group revenue ~€1B+. Meets gate (a) and (b).",Bericap's closures cap the beverage brands on the F1 grid — direct upstream supply-chain relationship.,,V18
22,Beverage-Air (Dover Corp),beverage-air.com,USA,Refrigeration & Cold Chain Equipment,"~26,000 (Dover overall)",10k+,core,Owned by Dover Corporation (NYSE: DOV); FY2023 revenue ~$7.7B. Meets gate (a) and (b) via parent.,Dover's diversified industrial platform could use F1 to elevate its beverage/refrigeration equipment segment globally.,,P18b
23,Bischof+Klein,bischof-klein.de,Germany,Flexible packaging manufacturing,"~2,700",1k-5k,core,"Private, family-owned; estimated group revenue ~EUR700M. Meets gate (a) and (b).",Bischof+Klein's flexible packaging wraps snack/food brands adjacent to F1's CPG sponsor base — German family-engineering pride.,,W27
24,Bizerba SE & Co. KG,bizerba.com,Germany,"Weighing, labeling & inspection technology for food retail/industry","4,400+",1k-5k,core,"Private, family-owned; FY2022 revenue ~€900M, 4,400+ employees",Bizerba's weighing/labeling tech touches the retail food supply chain that F1 CPG sponsors depend on.,,P18a
25,Bosch Rexroth,boschrexroth.com,Germany,Food Robotics & Automation,"~31,000",10k+,core,Part of Robert Bosch GmbH (private); Bosch Group FY2023 revenue ~EUR91.6B. Meets gate (a) and (b) via parent.,Bosch's motion-control and automation arm for food processing lines could anchor a broader Bosch F1 activation.,yes,P18b
26,Bucher Emhart Glass,emhartglass.com,Switzerland,Glass container forming & inspection machinery,"1,100",1k-5k,core,"Wholly owned by Bucher Industries (SIX:BUCN); FY2023 revenue ~CHF 3.4B, 12,700+ employees",Emhart Glass equipment forms the glass bottles used by premium spirits/beverage sponsors on the F1 grid.,,P18a
27,Bucher Industries,bucherindustries.com,Switzerland,Process Technology Groups,"~12,700 (group)",10k+,core,SIX Swiss Exchange-listed (BUCN); FY2023 revenue ~CHF3.4B. Meets gate (a) and (b).,Diversified Swiss industrial group whose fruit/beverage processing division could headline a Swiss-engineering sponsorship story.,yes,P18b
28,Buhler Group,buhlergroup.com,Switzerland,Process Technology Groups,"~12,700",10k+,core,"Private, FY2022/23 revenue ~CHF3.3B. Meets gate (a) revenue and (b) headcount.",Grain/food processing tech leader positioning itself on precision engineering — mirrors F1 performance-engineering storytelling.,,P18b
29,Bunn-O-Matic Corporation,bunn.com,USA,Commercial Kitchen & Foodservice Equipment,"~1,500",1k-5k,core,"Private, estimated revenue ~$400M in commercial brewing equipment. Meets gate (a) revenue (estimate).",Commercial coffee/beverage brewing brand seeking premium global visibility to match its US category leadership.,yes,P18b
30,CAMA Group,cama1.com,Italy,Robotic cartoning & secondary packaging machinery,700,250-1k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,CAMA's robotic cartoners serve the same confectionery/food brands active in F1 hospitality sponsorship.,,P18a
31,CanPack Group,canpack.eu,Poland,Aluminum beverage can manufacturing,"~5,000+",1k-5k,core,"Owned by Grupa Kęty (public, WSE: KTY); estimated group revenue ~$3B+. Meets gate (a) and (b).","CanPack manufactures the cans used by F1's beverage sponsors — direct upstream relationship, Central European scale.",,V18
32,Carrier Commercial Refrigeration,carrier.com,USA,Refrigeration & Cold Chain Equipment,"~53,000 (Carrier overall)",10k+,core,NYSE-listed (CARR); FY2023 revenue ~$22.1B. Meets gate (a) and (b).,Global cold-chain leader with sustainability commitments that align with F1's net-zero-by-2030 sponsor positioning.,yes,P18b
33,Cascades Inc,cascades.com,Canada,"Recycled paper, packaging & tissue manufacturing","~10,000",5k-10k,core,Public (TSX:CAS); FY2023 revenue ~CAD4.6B. Meets gate (a) and (b).,Cascades' recycled packaging carries a strong sustainability narrative that suits F1's net-zero-by-2030 sponsor positioning.,,W27
34,CFT Group,cft-group.com,Italy,Food & beverage filling and processing machinery,~600,250-1k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,CFT's filling and processing lines serve beverage brands adjacent to F1's sponsor roster — Coesia's scale funds hospitality spend.,,V18
35,Christeyns,christeyns.com,Belgium,Industrial & food-hygiene cleaning chemicals,"~2,500",1k-5k,core,Private; estimated group revenue ~EUR700M. Meets gate (a) and (b).,Christeyns' hygiene chemicals clean food-processing plants and hospitality kitchens adjacent to F1's own paddock catering operations.,yes,W27
36,Coesia S.p.A.,coesia.com,Italy,Diversified packaging & process machinery holding group,"7,700+",5k-10k,core,"Private (Isabella Seràgnoli); FY2022 revenue ~€2.5B, 7,700+ employees across ~20 operating companies",Coesia's portfolio touches nearly every F1 CPG sponsor's supply chain — Bologna engineering pride plus scale to fund hospitality relationships.,,P18a
37,Consol Glass,consol.co.za,South Africa,Glass container manufacturing,"~1,800",1k-5k,core,"Private (Consol Holdings, backed by Ball Corporation minority stake and PE); estimated revenue ~$300M. Meets gate (a) revenue (estimate).",Consol's glass containers serve South African beverage brands — a distinctive African-market growth story.,,W27
38,Consolidated Container Company,consolidatedcontainer.com,USA,Rigid plastic packaging manufacturing,"~4,000",1k-5k,core,"Owned by Loews Corporation (public, NYSE:L); estimated revenue ~$1B. Meets gate (a) and (b) via parent.",CCC's plastic packaging serves food/beverage brands adjacent to F1's CPG sponsor roster — Loews' balance sheet supports enterprise sponsorship.,,W27
39,Coperion,coperion.com,Germany,Ingredient Systems,"~2,700",1k-5k,core,Owned by Hillenbrand Inc (NYSE: HI); FY2023 revenue ~$3.1B. Meets gate (a) and (b) via parent.,Hillenbrand's diversified industrial platform could use F1 to build cross-portfolio brand equity for its ingredient-handling unit.,,P18b
40,Corbion NV,corbion.com,Netherlands,Food preservation & bakery ingredients,"~2,300",1k-5k,core,Public (Euronext Amsterdam: CRBN); FY2023 revenue ~EUR1.4B. Meets gate (a) revenue.,Corbion's food-preservation ingredients feed the bakery and dairy brands adjacent to F1's CPG sponsor base.,,W27
41,Cornelius Inc,cornelius.com,USA,Commercial Kitchen & Foodservice Equipment,"~2,000",1k-5k,core,Marmon Holdings subsidiary (Berkshire Hathaway); backed by parent's scale/profitability. Meets gate (c).,Beverage-dispensing equipment brand with Berkshire backing and direct relevance to trackside hospitality/beverage sponsors.,,P18b
42,Cosmo Films Limited,cosmofilms.com,India,BOPP/BOPET packaging films manufacturing,"~2,000+",1k-5k,core,Public (NSE/BSE: COSMOFILMS); estimated FY2023 revenue ~$450M. Meets gate (a) revenue.,Cosmo Films supplies packaging films to global CPG brands — growth-focused Indian exporter seeking premium global visibility.,,V18
43,Coveris,coveris.com,UK,Flexible packaging manufacturing with machinery integration,"~4,000",1k-5k,core,"Owned by Lindsay Goldberg (private equity); estimated group revenue ~€1.1B, 4,000+ employees. Meets gate (a) revenue.",Coveris wraps food/beverage brands adjacent to F1's CPG sponsor base — PE ownership supports brand-building investment.,,V18
44,CTB Inc (Berkshire Hathaway),ctbinc.com,USA,"Meat, Poultry & Fish Processing","~3,500",1k-5k,core,"Berkshire Hathaway subsidiary (incl. MPS poultry-processing systems, Chore-Time, Brock); backed by parent's scale/profitability. Meets gate (c).",Berkshire-backed balance sheet gives long-run sponsorship stability rare among ag-tech manufacturers.,,P18b
45,Daikin (Cold Chain Solutions),daikin.com,Japan,Refrigeration & Cold Chain Equipment,"~96,000 (Daikin overall)",10k+,core,Tokyo Stock Exchange-listed (6367); FY2023 revenue ~JPY4.6T (~$30B). Meets gate (a) and (b).,World's largest HVAC/refrigeration group with global scale to fund a marquee F1 sponsorship and Japan GP activation.,yes,P18b
46,Darling Ingredients,darlingii.com,USA,"Rendering, food ingredients & renewable diesel feedstocks","~13,000",10k+,core,Public (NYSE:DAR); FY2023 revenue ~$5.5B. Meets gate (a) and (b).,Darling's ingredient and sustainability-feedstock story fits F1's circular-economy and renewable-fuel sponsor narrative.,,W27
47,Davis-Standard,davis-standard.com,USA,Extrusion & converting machinery for plastics/flexible packaging,"~1,400",1k-5k,core,Private equity-backed (American Industrial Partners); estimated revenue ~$300M+ in extrusion/converting equipment. Meets gate (a) revenue (estimate).,Davis-Standard equips the film/packaging converters supplying F1-adjacent CPG brands — US industrial scale for North American activation.,,V18
48,De'Longhi Group,delonghigroup.com,Italy,Commercial Coffee Machines,"~9,000",5k-10k,core,Borsa Italiana-listed (DLG); FY2023 revenue ~EUR2.9B. Meets gate (a) and (b).,Owns Eversys and La Marzocco commercial coffee brands — an Italian premium-lifestyle fit for F1's paddock and hospitality culture.,yes,P18b
49,DeLaval,delaval.com,Sweden,Dairy farm milking & processing equipment,"~4,500",1k-5k,core,Wholly owned by Tetra Laval (private); Tetra Laval group revenue >$14B. Meets gate (a) and (b) via parent.,DeLaval's milking/processing systems serve the dairy supply chain feeding F1-sponsor-adjacent CPG brands — Tetra Laval's scale funds enterprise relationship-building.,,V18
50,Della Toffola Group,dellatoffola.it,Italy,"Wine/beverage filling, filtration & bottling machinery",750,250-1k,core,"Private, family-owned; group revenue est. >€200M across beverage/wine machinery divisions and international subsidiaries",Della Toffola serves wine and beverage producers targeting the same luxury-hospitality audience F1 paddocks cultivate.,,P18a
51,Domino Printing Sciences,domino-printing.com,UK,"Industrial coding, printing & labeling equipment","3,000",1k-5k,core,Wholly owned by Brother Industries (TYO:6448); Brother FY2023 revenue ~¥690B (~$4.6B),Domino's coders mark packaging for global CPG brands — Brother's scale plus UK engineering base supports enterprise hospitality sales.,,P18a
52,DSM-Firmenich,dsm-firmenich.com,Netherlands,"Nutrition, flavor & fragrance ingredients","~26,000",10k+,core,Public (Euronext Amsterdam: DSFIR); FY2023 combined revenue ~EUR12.8B. Meets gate (a) and (b).,DSM-Firmenich's nutrition and flavor portfolio touches nearly every global CPG sponsor — post-merger scale seeking a unifying brand platform.,,W27
53,Duke Manufacturing,dukemfg.com,USA,Commercial Kitchen & Foodservice Equipment,"~1,200 (global)",1k-5k,core,"Private, estimated global revenue ~$300M in foodservice equipment. Meets gate (a) revenue (estimate).",Family-owned exporter looking to build international brand recognition beyond its US commercial-kitchen base.,,P18b
54,Duravant LLC,duravant.com,USA,Food Robotics & Automation,"~4,000 (portfolio-wide)",1k-5k,core,Warburg Pincus-backed platform; portfolio revenue estimated $1B+ across food processing/automation brands. Meets gate (a) (estimate).,Multi-brand food-automation roll-up with PE capital to fund a single unifying global sponsorship platform.,,P18b
55,Electrolux Professional,electroluxprofessional.com,Sweden,Commercial Kitchen & Foodservice Equipment,"~3,000",1k-5k,core,Nasdaq Stockholm-listed (EPRO B); FY2023 revenue ~SEK6.9B. Meets gate (a) revenue.,Spun off from Electrolux consumer brand and building independent visibility — F1 offers a distinct premium platform.,,P18b
56,Elopak ASA,elopak.com,Norway,Carton packaging & filling machinery for liquid food,"3,000",1k-5k,core,"Public (Oslo: ELO); FY2023 revenue ~€930M, well above the $200M revenue gate",Elopak's filling lines serve the same beverage majors that sponsor F1 — European hospitality-led enterprise sell.,,P18a
57,Epta S.p.A.,epta.com,Italy,Refrigeration & Cold Chain Equipment,"~4,500",1k-5k,core,"Private Italian group, estimated revenue ~EUR1.3B. Meets gate (a) and (b).",Commercial refrigeration leader with Italian roots — natural cultural tie-in to F1's Italian teams and Monza GP.,,P18b
58,FlexLink,flexlink.com,Sweden,Conveyor & factory automation systems for packaging lines,900,250-1k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,FlexLink automates the factory floors of F1 sponsors' CPG supply chains — Nordic/Italian engineering pride combo.,,P18a
59,Flottweg,flottweg.com,Germany,Ingredient Systems,~900,250-1k,core,"Private family company, estimated revenue ~EUR250-300M in centrifuge/separation technology. Meets gate (a) revenue (estimate).",Centrifuge/separation specialist for food and beverage ingredient processing seeking premium global brand recognition.,,P18b
60,Follett Corporation,follettice.com,USA,Commercial Kitchen & Foodservice Equipment,~700,250-1k,core,"Private, estimated revenue ~$200M+ in ice and beverage equipment. Meets gate (a) revenue (estimate).",Niche ice/beverage-systems leader that could use F1 hospitality as a live product showcase to global foodservice buyers.,,P18b
61,Franke Coffee Systems,franke.com,Switzerland,Commercial Coffee Machines,"~7,500 (Franke Group)",5k-10k,core,"Private group, estimated revenue ~CHF2.4B. Meets gate (a) and (b) via group.",Global commercial coffee-machine leader with Swiss engineering positioning that suits F1's precision-brand storytelling.,,P18b
62,Frigoglass,frigoglass.com,Greece,Glass packaging & beverage cooling equipment,"~3,000",1k-5k,core,Public (Athens Exchange: FRIGO); estimated FY2023 revenue ~EUR400M. Meets gate (a) revenue.,Frigoglass makes both the glass bottles and the coolers used at the point of sale by F1's beverage sponsors.,,W27
63,"Fuji Machinery Co., Ltd.",fujipack.co.jp,Japan,Vertical & horizontal form-fill-seal packaging machinery,"1,100",1k-5k,core,Private; est. revenue >$200M from global food/pharma packaging-line exports,Fuji Machinery packs snack and pharma products for multinational brands with premium sponsorship budgets.,,P18a
64,Fuji Seal International,fujiseal.com,Japan,Shrink-sleeve labels & labeling machinery,"~7,000",5k-10k,core,Private (Fuji Seal Holdings); estimated group revenue ~$1B. Meets gate (a) revenue (estimate).,Fuji Seal's sleeve labels brand beverage products for global CPG customers — Japanese GP gives a natural APAC entry point.,,W27
65,G.D S.p.A,gd.it,Italy,High-speed packaging machinery for tobacco/pharma/nutrition,"~1,800",1k-5k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,G.D's high-speed packaging lines serve multinational manufacturers — Bologna engineering pride plus Coesia scale.,,V18
66,GEA Group,gea.com,Germany,Process Technology Groups,"~18,000",10k+,core,Frankfurt-listed (XETRA: G1A); FY2023 revenue ~EUR5.4B. Meets gate (a) revenue and (b) headcount.,Global process-engineering brand with dairy/food plants on every continent — natural fit for F1's global broadcast reach.,yes,P18b
67,Gebo Cermex,gebocermex.com,France,"End-of-line conveying, packing & palletizing systems","2,000",1k-5k,core,Wholly owned by Sidel/Tetra Laval (private); backed by Tetra Laval group revenue >$14B,Gebo Cermex automates the end-of-line for beverage plants owned by F1 sponsor brands.,yes,P18a
68,Georgia-Pacific LLC,gp.com,USA,Paper & packaging manufacturing,"~30,000+",10k+,core,Private (Koch Industries); estimated packaging/paper segment revenue well above $200M. Meets gate (a) and (b).,Georgia-Pacific's packaging division serves North American CPG brands — Koch's balance sheet supports a marquee sponsorship.,,V18
69,Gerresheimer AG,gerresheimer.com,Germany,Pharma & cosmetics glass/plastic packaging manufacturing,"~11,000",10k+,core,Public (XETRA:GXI); FY2023 revenue ~EUR2.1B. Meets gate (a) and (b).,Gerresheimer's pharma packaging serves drugmakers with the C-suite budgets F1 hospitality is built to reach.,,W27
70,Givaudan,givaudan.com,Switzerland,Flavors & taste solutions for food/beverage brands,"~16,000",10k+,core,Public (SIX:GIVN); FY2023 revenue ~CHF7.1B. Meets gate (a) and (b).,Givaudan's flavor technology underpins nearly every packaged-food and beverage F1 sponsor — premium Swiss engineering brand.,,W27
71,Glatt Group,glatt.com,Germany,Ingredient Systems,"~2,700 (group)",1k-5k,core,Private family group; estimated group revenue ~EUR600M (food & pharma process technology). Meets gate (a) revenue (estimate).,Granulation/drying process technology group for food ingredients seeking a premium brand platform beyond pharma circles.,,P18b
72,Graham Packaging,grahampackaging.com,USA,Rigid plastic packaging manufacturing,"~8,000",5k-10k,core,Owned by Reynolds Group Holdings (private); estimated revenue ~$2.5B. Meets gate (a) and (b).,Graham Packaging's bottles serve food/beverage brands adjacent to F1's CPG sponsor roster — deep-pocketed parent.,,W27
73,Graphic Packaging Holding Company,graphicpkg.com,USA,Paperboard packaging manufacturing,"~24,000+",10k+,core,Public (NYSE: GPK); FY2023 revenue ~$9B. Meets gate (a) and (b).,Graphic Packaging's cartons carry F1-sponsor-adjacent food/beverage brands — scale supports premium hospitality investment.,,V18
74,Greiner Packaging,greiner-gpi.com,Austria,"Plastic packaging for dairy, food & pharma","~11,000 (Greiner Group)",10k+,core,Owned by Greiner AG (private); group revenue ~EUR2.5B. Meets gate (a) and (b) via parent.,Greiner packages dairy and food brands adjacent to F1's CPG sponsor base — Austrian family-group scale supports brand investment.,,W27
75,Groninger & Co.,groninger-group.com,Germany,Aseptic filling & packaging lines for pharma/cosmetics,"1,400",1k-5k,core,"Private, family-owned; est. revenue ~€300M from pharma/cosmetics filling-line exports",Groninger fills injectables and cosmetics for global brands whose marketing chiefs are prime F1 hospitality targets.,,P18a
76,Guala Closures,gualaclosures.com,Italy,Spirits & beverage closures manufacturing,"~4,000",1k-5k,core,"Public (Borsa Italiana: GCL); estimated revenue ~€600M+, 4,000+ employees. Meets gate (a) and (b).",Guala closures cap the premium spirits brands already active in F1 sponsorship and hospitality.,,V18
77,Handtmann,handtmann.com,Germany,"Meat, Poultry & Fish Processing","~4,000 (group)",1k-5k,core,"Private family group, estimated total revenue ~EUR850M (incl. machinery + metal casting divisions). Meets gate (a) revenue.",German engineering heritage brand — a natural cultural fit for an F1 team's German/DACH market push.,,P18b
78,Heatcraft Worldwide Refrigeration,heatcraftrpd.com,USA,Refrigeration & Cold Chain Equipment,"~19,000 (Lennox overall)",10k+,core,Owned by Lennox International (NYSE: LII); FY2023 revenue ~$4.9B. Meets gate (a) and (b) via parent.,Lennox's commercial refrigeration division could use F1 to expand brand recognition beyond its core HVAC identity.,,P18b
79,Herma GmbH,herma.com,Germany,Self-adhesive labeling machinery & materials,"1,700",1k-5k,core,"Private, family-owned; est. group revenue >€500M across labeling machinery and materials",Herma's labeling lines brand the products of F1-adjacent CPG customers — German mid-cap engineering pride.,,P18a
80,Hindustan National Glass & Industries,hngil.com,India,Glass container manufacturing,"~4,000",1k-5k,core,Private; estimated revenue ~$300M+. Meets gate (a) revenue (estimate).,HNGIL's glass bottles serve India's beverage industry amid F1's fast-growing Indian fanbase.,,W27
81,Hinojosa Packaging Group,hinojosa.es,Spain,Corrugated & folding-carton packaging manufacturing,"~5,500",5k-10k,core,"Private, family-owned; estimated group revenue ~EUR1.3B. Meets gate (a) and (b).",Hinojosa's packaging serves Spanish/European food brands — home-market relevance to the Spanish GP.,,W27
82,Hoshizaki Corporation,hoshizaki.com,Japan,Commercial Kitchen & Foodservice Equipment,"~13,000",10k+,core,Tokyo Stock Exchange-listed (6465); FY2023 revenue ~JPY237B (~$1.6B). Meets gate (a) and (b).,Japanese ice-machine/refrigeration leader expanding globally — F1's Japanese GP and APAC fanbase offer a natural entry point.,,P18b
83,Hosokawa Micron,hosokawamicron.com,Japan,Ingredient Systems,"~3,900 (group)",1k-5k,core,Tokyo Stock Exchange-listed (6266); FY2023 revenue ~JPY95B (~$650M). Meets gate (a) revenue.,"Powder-processing tech leader expanding food-ingredient applications, seeking Western brand visibility beyond APAC.",,P18b
84,Hussmann (Panasonic),hussmann.com,USA,Refrigeration & Cold Chain Equipment,"~4,600",1k-5k,core,Acquired by Panasonic in 2022; parent FY2023 revenue ~JPY8.5T (~$60B). Meets gate (a) and (b) via parent.,Panasonic's recent US refrigeration acquisition needs global brand integration — F1 offers a shared platform across markets.,,P18b
85,IDEX Corporation (Fristam),idexcorp.com,USA,Dairy & Beverage Process,"~9,000 (IDEX overall)",5k-10k,core,NYSE-listed (IEX); FY2023 revenue ~$3.2B. Meets gate (a) and (b).,Fristam pumps for food/beverage process lines gives a precision-fluid-handling story that echoes F1 hydraulics engineering.,yes,P18b
86,IFF (International Flavors & Fragrances),iff.com,USA,"Flavors, food ingredients & enzymes","~20,000",10k+,core,Public (NYSE:IFF); FY2023 revenue ~$11.1B. Meets gate (a) and (b).,IFF's ingredient science reaches nearly every packaged-food F1 sponsor's product — blue-chip enterprise budget.,,W27
87,Ilapak International,ilapak.com,Switzerland,Flow-wrap & vertical form-fill-seal packaging machinery,900,250-1k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,Ilapak wraps snack and food products from brands courted by F1 hospitality — Swiss/Italian engineering credibility.,,P18a
88,IMA Group,ima.it,Italy,"Pharma, cosmetics & tea/coffee packaging machinery","10,000+",5k-10k,core,"Public (Milan: IMA); FY2023 revenue ~€2.1B, 10,000+ employees",IMA's packaging lines run inside every major pharma/cosmetics house — hospitality-driven B2B sell plus Bologna engineering pride.,,P18a
89,Ingredion Incorporated,ingredion.com,USA,"Starches, sweeteners & food ingredient solutions","~11,000",10k+,core,Public (NYSE:INGR); FY2023 revenue ~$8B. Meets gate (a) and (b).,Ingredion supplies the ingredient base for packaged-food brands adjacent to F1's CPG sponsor roster — US industrial scale.,,W27
90,"Ishida Co., Ltd.",ishida.com,Japan,"Weighing, checkweighing & inspection systems for packaging lines","4,700+",1k-5k,core,"Public (TYO:6197); FY2023 revenue ~¥140B (~$950M), 4,700+ employees",Ishida's inspection systems run on the lines of global food brands — direct customer overlap with F1 CPG sponsors.,,P18a
91,ITW Food Equipment,itwfeg.com,USA,Commercial Kitchen & Foodservice Equipment,"~45,000 (ITW overall)",10k+,core,Parent Illinois Tool Works is NYSE-listed (ITW); FY2023 revenue ~$16.1B. Meets gate (a) and (b) via parent.,ITW's segment-leadership playbook could extend into F1 sponsorship as a showcase for its industrial-technology portfolio.,,P18b
92,IWK Verpackungstechnik,iwk.de,Germany,Cartoning & blister packaging machinery for pharma/cosmetics,900,250-1k,core,Owned by Coesia (private); backed by Coesia group revenue ~€2.5B,IWK packages pharma/cosmetics lines for brands whose marketing chiefs are F1 hospitality decision-makers.,,P18a
93,JBT Marel,jbtc.com,USA,Process Technology Groups,"~14,000 (combined)",10k+,core,"NYSE-listed (JBT); completed merger with Iceland's Marel in 2025, combined revenue estimated $3.5B+. Meets gate (a) and (b).",Newly merged global protein/food-tech leader looking for a unified brand platform — F1 offers a unifying global stage post-merger.,,P18b
